,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,Lakshman asked Vivan to get him some ice cream because he was hot.,Vivan asked Lakshman to get him some ice cream because he was hot.,0,0,0,he,"0: Vivan, 1: Lakshman",0,grammatical_role
1,Steve hired Jose because he was a hard worker.,Jose hired Steve because he was a hard worker.,1,1,1,he,"0: Jose, 1: Steve",1,grammatical_role
2,"Wanda asks Regina if she wants to go with him, but Regina does not want to leave Owuor.","Regina asks Wanda if she wants to go with him, but Wanda does not want to leave Owuor.",1,1,1,she,"0: Regina, 1: Wanda",1,grammatical_role
3,The attackers had been waiting for the journalists when they arrived.,The attackers had been waiting for them when the journalists arrived.,1,0,1,them,"0: the journalists, 1: The attackers",1,grammatical_role
4,"Theresa almost admits to killing Stephanie, but stops when Logan tells her he is a police officer.","Stephanie almost admits to killing Theresa, but stops when Logan tells her he is a police officer.",0,1,0,her,"0: Stephanie, 1: Theresa",0,grammatical_role
5,The mother bear attacked Karen because she had gotten too close to her cub.,Karen was attacked by the mother bear because she had gotten too close to her cub.,0,0,1,she,"0: Karen, 1: the mother bear",1,grammatical_role
6,"Elmeida nearly assassinated Hyrum, but Noa intervened to save his life.","Hyrum was nearly assassinated by Elmeida, but Noa intervened to save his life.",0,0,1,his,"0: Hyrum, 1: Elmeida",1,grammatical_role
7,John killed Bill because he was fighting for his life.,Bill was killed by John because he was fighting for his life.,1,0,1,he,"0: Bill, 1: John",0,grammatical_role
8,Ryan Higa sometimes guest stars in videos for Kev Jumbo because he wants his friend's videos to succeed as well.,Kev Jumbo sometimes guest stars in videos for Ryan Higa because he wants his friend's videos to succeed as well.,0,0,0,he,"0: Kev Jumbo, 1: Ryan Higa",0,grammatical_role
9,Samuel found out about Mark when his brother came to Japan.,Mark found out about Samuel when his brother came to Japan.,0,0,1,his,"0: Mark, 1: Samuel",1,grammatical_role
10,The man shot his friend and he died.,His friend shot the man and he died.,1,1,1,he,"0: His friend, 1: the man",1,grammatical_role
11,"Vicky repeatedly tires to seduce Emma, but she turns her down.","Emma repeatedly tries to seduce Vicky, but she turns her down.",1,1,1,she,"0: Emma, 1: Vicky",1,grammatical_role
12,The bat hit the ball because it was designed to be hit.,The ball was hit by the bat because it was designed to be hit.,0,0,1,it,"0: The ball, 1: the bat",1,grammatical_role
13,Fleece feels better than cotton since they are of worse quality.,Cotton feels better than fleece since they are of worse quality.,1,1,1,they,"0: Cotton, 1: fleece",1,grammatical_role
14,Kathy paid Jane to leave but she returned several weeks later.,Jane paid Kathy to leave but she returned several weeks later.,1,1,1,she,"0: Jane, 1: Kathy",1,grammatical_role
15,"Nonetheless, Harry remains with Rob until the night he learns that he had a fling with his high school nemesis, Ronnie Harrison.","Nonetheless, Ronnie Harrison remains with Rob until the night he learns that he had a fling with his high school nemesis, Harry.",0,0,0,he,"0: Rob, 1: Ronnie Harrison",1,grammatical_role
16,South Korea does not like North Korea because they are constantly threatening their peace.,North Korea does not like South Korea because they are constantly threatening their peace.,1,1,1,they,"0: North Korea, 1: South Korea",1,grammatical_role
17,Bob can beat Larry at arm wrestling because he has more muscles.,Larry can beat Bob at arm wrestling because he has more muscles.,0,0,0,he,"0: Larry, 1: Bob",0,grammatical_role
18,The minister befriended King George so he could have some friends.,King George befriended the minister so he could have some friends.,1,0,0,he,"0: King George, 1: the minister",1,grammatical_role
19,"John goes out to kill Tony, but he ambushes and bites him.","Tony goes out to kill John, but John ambushes and bites him.",1,0,1,he,"0: Tony, 1: John",1,grammatical_role
20,Rebecca kissed Dina because she is a sweet girl.,Dina kissed Rebecca because she is a sweet girl.,1,1,1,she,"0: Dina, 1: Rebecca",1,grammatical_role
21,Madison has a short attraction to Matilda but she rebuffs her.,Matilda has a short attraction to Madison but Madison rebuffs her.,1,0,1,her,"0: Matilda, 1: Madison",1,grammatical_role
22,"Lance tried to get back together with Bob, but his pride was hurt and he refused to take her back.","Lance tried to get back together with Bob, but his pride was hurt and he refused to take Lance back.",1,1,0,his,"0: Lance, 1: Bob",1,grammatical_role
23,Google Plus is expected to be a replacement for Facebook but it still has a lot more active users.,Facebook is expected to be a replacement for Google Plus but it still has a lot more active users.,1,0,1,it,"0: Facebook, 1: Google Plus",1,grammatical_role
24,Gennie becomes interested in Emma and is jealous when she starts seeing Chas.,Emma becomes interested in Gennie and is jealous when she starts seeing Chas.,1,1,1,she,"0: Emma, 1: Gennie",1,grammatical_role
25,"Lingad was defeated by Estelito Mendoza, but he raised charges of fraud which led to the staging of a new election for governor.","Estelito Mendoza was defeated by Lingad, but he raised charges of fraud which led to the staging of a new election for governor.",0,0,0,he,"0: Estelito Mendoza, 1: Lingad",0,grammatical_role
26,Robin goes to speak to Gael but discovers he has invited more backpackers to stay with them.,Gael goes to speak to Robin but discovers he has invited more backpackers to stay with them.,1,1,1,he,"0: Gael, 1: Robin",1,grammatical_role
27,"Rice beat Texas, even though they were the best team in the nation.","Texas beat Rice, even though they were the best team in the nation.",1,1,1,they,"0: Texas, 1: Rice",1,grammatical_role
28,"Olivia wants to make amends with Emily, but she is apprehensive.","Emily wants to make amends with Olivia, but she is apprehensive.",0,0,0,she,"0: Emily, 1: Olivia",0,grammatical_role
29,Joe raced against Steven because he thought it would be easy.,Steven raced against Joe because he thought it would be easy.,0,0,0,he,"0: Steven, 1: Joe",0,grammatical_role
30,"Dan walks away from Samuel and he tries running after him, but he trips and falls.","Samuel walks away from Dan and Dan tries running after Samuel, but he trips and falls.",1,1,0,he,"0: Samuel, 1: Dan",0,grammatical_role
31,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,Jean Claude Van Damme challenged Steven Seagal to a fight because he wanted to prove he was the stronger man.,0,0,0,he,"0: Jean Claude Van Damme, 1: Steven Seagal",0,grammatical_role
32,Michael Phelps was fined by Judge Louis because he was caught with illegal drugs.,Judge Louis was fined by Michael Phelps because he was caught with illegal drugs.,0,0,0,he,"0: Judge Louis, 1: Michael Phelps",0,grammatical_role
33,"Jane Bingum presented strong evidence against Claire, but she may present a strong defense on her part.","Claire presented strong evidence against Jane Bingum, but she may present a strong defense on her part.",1,1,1,she,"0: Claire, 1: Jane Bingum",1,grammatical_role
34,Joe smells better than Adam since he hardly ever showers.,Adam smells better than Joe since he hardly ever showers.,1,1,1,he,"0: Adam, 1: Joe",1,grammatical_role
35,The humans were afraid of the robots because they were weak.,The robots were afraid of the humans because they were weak.,0,1,0,they,"0: The robots, 1: the humans",0,grammatical_role
36,"The football players went on strike against the NFL organization, but they will consider their demands to send the strike.","The strike went on against the NFL organization by the football players, but they will consider their demands to send the organization.",1,1,1,their,"0: the NFL organization, 1: the football players",1,grammatical_role
37,"The skeleton was scarier than the pumpkin, because it was rather simplistic and orange.","The pumpkin was scarier than the skeleton, because it was rather simplistic and orange.",0,0,1,it,"0: The pumpkin, 1: the skeleton",1,grammatical_role
