,text,modified_label,modified_pred,original_label,original_text,original_pred,type
0,light years / multiple warp speeds / levels and levels of dilithium crystals better than the pitiful insurrection.,1,1,1,light years / several warp speeds / levels and levels of dilithium crystals better than the pitiful insurrection.,1,derivation
1,cq's reflection of artists and the love of cinema-and-self suggests nothing less than a new perspective that deserves to be considered as a possible successor to the best european directors.,1,1,1,cq's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors.,1,derivation
2,it's a stunning lyrical work of considerable force and authenticity.,1,1,1,it's a stunning lyrical work of considerable force and truth.,1,derivation
3,the structure the film adopts may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned.,1,0,1,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned.,2,derivation
4,"the reality of the new live-action pinocchio he directed, cowrote and performed in borders on the grotesque.",0,0,0,"the reality of the new live-action pinocchio he directed, cowrote and starred in borders on the grotesque.",0,derivation
5,"once (kim) begins to overplay the surprise tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.",0,0,0,"once (kim) begins to overplay the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.",0,derivation
6,"instead of hiding pinocchio from critics, miramax should have concealed it from everyone.",0,0,0,"instead of hiding pinocchio from critics, miramax should have hidden it from everyone.",0,derivation
7,"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even an indication of that typical kiddie-flick sentimentality.",1,1,1,"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1,derivation
8,the draw (for `` big bad love '') is an exceptional performance by arliss howard.,1,1,1,the draw (for `` big bad love '') is a solid performance by arliss howard.,1,derivation
9,"it's of the quality of an inferior harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0,0,0,"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0,derivation
10,"this time mr. burns is attempting something in the martin scorsese street-realist mode, but his self-regarding sentimentality trips him up again.",0,0,0,"this time mr. burns is trying something in the martin scorsese street-realist mode, but his self-regarding sentimentality trips him up again.",0,derivation
11,"in the end, the movie collapses on its shaky foundation despite the substantial efforts of director joe carnahan.",0,0,0,"in the end, the movie collapses on its shaky foundation despite the best efforts of director joe carnahan.",0,derivation
12,"if looking for a thrilling sci-fi cinematic journey, don't settle for this imposter.",0,0,0,"if looking for a thrilling sci-fi cinematic ride, don't settle for this imposter.",0,derivation
13,"what is 100 % missing here is a script of even the most elemental literacy, an inkling of genuine intelligence, and anything resembling acting.",0,0,0,"what is 100 % missing here is a script of even the most elemental literacy, an inkling of genuine wit, and anything resembling acting.",0,derivation
14,like you couldn't detect this turkey rotting from miles away.,0,0,0,like you couldn't smell this turkey rotting from miles away.,0,derivation
15,"aside from minor adjustments, this is the same movie you probably loved in 1994, except that it looks even better.",1,1,1,"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better.",1,derivation
16,"... a fun little timewaster, helped especially by the impressive presence of jean reno.",1,1,1,"... a fun little timewaster, helped especially by the cool presence of jean reno.",1,derivation
17,"what's surprising about full frontal is that despite its overt self-awareness, fragments of the movie still manage to break past the artifice and thoroughly engage you.",1,1,1,"what's surprising about full frontal is that despite its overt self-awareness, parts of the movie still manage to break past the artifice and thoroughly engage you.",1,derivation
18,"on the heels of the ring comes a similarly dismal and humorless horror movie that, although flawed, is to be commended for its straight-ahead approach to creepiness.",1,0,1,"on the heels of the ring comes a similarly morose and humorless horror movie that, although flawed, is to be commended for its straight-ahead approach to creepiness.",2,derivation
19,skillful piece of cross-promotion.,1,1,1,slick piece of cross-promotion.,1,derivation
