model,negation_type,original_mean_f1,modified_mean_f1,weighted_delta,sample_size,p_value,significance,mean_f1_pct_change
claude,verbal,47.83913565426171,46.48526077097506,-1.137108226083918,28,0.5929800980174267,ns,
claude,lexical,48.185735832794656,45.018315018315015,-2.6652555356653047,26,0.3173105078629141,ns,
claude,double,43.8095238095238,46.98412698412698,2.60566433747879,14,0.6547208460185769,ns,
claude,approximate,43.8095238095238,48.57142857142856,3.908496506218179,14,0.3173105078629141,ns,
claude,absolute,46.27450980392156,46.17246898759503,-0.0849664197383744,28,0.6547208460185769,ns,
llama,verbal,52.1318072683619,51.70612184267647,-0.3654728141377581,28,0.9668802437732632,ns,
llama,lexical,51.45330160036042,51.593161740220566,0.1196792480654495,26,0.3173105078629141,ns,
llama,double,45.7312925170068,48.19160997732426,2.042326101609607,14,0.5929800980174267,ns,
llama,approximate,48.826530612244895,41.445578231292515,-6.231944268932307,14,0.1088094300405456,ns,
llama,absolute,49.37670522754557,48.97653000594176,-0.3388527922858756,28,0.8657723749926214,ns,
gpt4o,verbal,52.27507669734562,50.55249372476264,-1.479952577688488,28,0.8666342477688243,ns,
gpt4o,lexical,51.766321913380736,53.532056179115,1.5132760330347268,26,0.4652088184521418,ns,
gpt4o,double,48.70181405895691,57.03514739229025,7.031438075998854,14,0.1441270348160153,ns,
gpt4o,approximate,49.57482993197278,53.027210884353735,2.926343795092142,14,0.2850494074026127,ns,
gpt4o,absolute,49.996165132719746,44.61402742915349,-4.571955617902834,28,0.3742593192802244,ns,
GPT2,absolute,49.1031412565026,53.341336534613845,3.583625674086115,28,0.11585149752593,ns,8.631210080780704
GPT2,double,56.021408563425375,52.44997999199679,-3.1220607575427577,14,0.6547208460185769,ns,-6.375113841318616
GPT2,lexical,46.27774186597715,42.52693385046326,-3.1232456219365576,26,0.3454475304692257,ns,-8.104993597951344
GPT2,verbal,51.297018807523,51.41956782713084,0.1047850567561646,28,0.946589353771582,ns,0.2389008610181957
GPT2,approximate,57.27891156462585,57.44897959183673,0.149489350063898,14,0.6547208460185769,ns,0.2969121140142463
BERT,absolute,52.883576507526094,49.427270908363354,-2.978161697473305,28,0.3280647817008367,ns,-6.535688066919712
BERT,double,56.099439775910355,56.53461384553821,0.3805506993141848,14,0.6547208460185769,ns,0.7757191005225037
BERT,lexical,49.93689191652993,46.72743922743923,-2.7255017384625355,26,0.1281901743451078,ns,-6.427017313082558
BERT,verbal,53.47031120140364,50.29545034797135,-2.743258699404092,28,0.4652088184521418,ns,-5.937614317361501
BERT,approximate,57.49084249084249,57.74594453165882,0.2244386062494064,14,0.6547208460185769,ns,0.4437263914804636
T5,absolute,54.04188948306595,57.19581772102781,2.732453865765731,28,0.1281901743451078,ns,5.8360806184434795
T5,double,53.816738816738805,44.733560090702944,-7.861115947083583,14,0.114849609263286,ns,-16.877980579549142
T5,lexical,50.38371758959993,50.943223443223445,0.4762206682494674,26,0.4981940565841087,ns,1.1104894207707383
T5,verbal,53.24823868941517,54.97952444381014,1.494363840967201,28,0.7353166906373405,ns,3.251348395752899
T5,approximate,57.3711605854463,55.38267288267287,-1.7485703335666978,14,0.6547208460185769,ns,-3.466005711723145
