,task,modification,original_res,modified_res,difference,pct_difference,p_value
3,dialogue_contradiction_detection,temporal_bias_100,0.9,0.92,0.02,2.22,0.6232716978055203
9,dialogue_contradiction_detection,geographical_bias_100,0.92,0.91,-0.01,-1.09,0.8010551379178041
0,dialogue_contradiction_detection,length_bias_100,0.92,0.93,0.01,1.09,0.7896202806590895
8,dialogue_contradiction_detection,typo_bias_100,0.91,0.92,0.01,1.1,0.8010551379178041
5,dialogue_contradiction_detection,capitalization_100,0.94,0.95,0.01,1.08,0.7578344934502543
1,dialogue_contradiction_detection,punctuation_100,0.93,0.95,0.02,2.15,0.5538362415672511
13,dialogue_contradiction_detection,derivation_100,0.97,0.99,0.02,2.17,0.31471391147425953
6,dialogue_contradiction_detection,compound_word_100,0.94,0.94,-0.0,-0.0,1.0
16,dialogue_contradiction_detection,active_to_passive_100,0.93,0.9,-0.03,-3.23,0.4493900054470873
11,dialogue_contradiction_detection,grammatical_role_100,0.91,0.92,0.02,1.67,0.7550544278642266
4,dialogue_contradiction_detection,coordinating_conjunction_100,0.95,0.96,0.01,1.05,0.7346039602285346
12,dialogue_contradiction_detection,concept_replacement_100,0.94,0.92,-0.02,-2.13,0.5816257515600177
7,dialogue_contradiction_detection,negation_100,0.89,0.71,-0.18,-20.22,0.001359053083931487
2,dialogue_contradiction_detection,discourse_100,0.87,0.87,-0.0,-0.0,1.0
14,dialogue_contradiction_detection,sentiment_100,0.91,0.8,-0.11,-12.09,0.027188146368693464
15,dialogue_contradiction_detection,casual_100,0.96,0.92,-0.04,-4.17,0.2357704483699018
10,dialogue_contradiction_detection,dialectal_100,0.88,0.86,-0.02,-2.27,0.6759663029820118
17,dialogue_contradiction_detection,average,0.92,0.9,-0.02,-1.92,
