,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,"The B-52 PILOT, Major Larry G.Messinger, later recalled,","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'Major Larry G. Messinger': 'PERSON'}, {'B-52': 'PRODUCT'}]","The B-52 pilot, Major Larry G.Messinger, later recalled,","[{'text': 'Major Larry G.Messinger', 'value': 'PERSON'}, {'text': 'B-52', 'value': 'PRODUCT'}]","[{'B-52': 'PRODUCT'}, {'Larry G.Messinger': 'PERSON'}]",
1,The Cnidaria are a group of ANIMALS found exclusively in aquatic and mostly marine environments.,"[{'text': 'Cnidaria', 'value': 'OTHER'}]",[],The Cnidaria are a group of animals found exclusively in aquatic and mostly marine environments.,[],[{'Cnidaria': 'OTHER'}],
2,The Cnidaria are a group of animals found EXCLUSIVELY in aquatic and mostly marine environments.,"[{'text': 'Cnidaria', 'value': 'OTHER'}]",[],The Cnidaria are a group of animals found exclusively in aquatic and mostly marine environments.,[],[{'Cnidaria': 'OTHER'}],
3,"INTERNAL conflicts, especially between Covaci and Baniciu, were making headlines in the media.","[{'text': 'Covaci', 'value': 'PERSON'}, {'text': 'Baniciu', 'value': 'PERSON'}]","[{'Covaci': 'PERSON'}, {'Baniciu': 'PERSON'}]","Internal conflicts, especially between Covaci and Baniciu, were making headlines in the media.","[{'text': 'Covaci', 'value': 'PERSON'}, {'text': 'Baniciu', 'value': 'PERSON'}]","[{'Covaci': 'PERSON'}, {'Baniciu': 'PERSON'}]",
4,"Eventually, however, the Saudi government and the FBI repeatedly conflicted during the course of the INVESTIGATION.","[{'text': 'Saudi', 'value': 'ORGANIZATION'}, {'text': 'FBI', 'value': 'ORGANIZATION'}]","[{'Saudi government': 'ORGANIZATION'}, {'FBI': 'ORGANIZATION'}, {'INVESTIGATION': 'EVENT'}]","Eventually, however, the Saudi government and the FBI repeatedly conflicted during the course of the investigation.","[{'text': 'Saudi government', 'value': 'ORGANIZATION'}, {'text': 'FBI', 'value': 'ORGANIZATION'}]","[{'Saudi': 'ORGANIZATION'}, {'FBI': 'ORGANIZATION'}]",
5,They were set to take on rival Oregon State in the QUARTERFINALS of the Pac-12 Tournament.,"[{'text': 'Oregon State', 'value': 'ORGANIZATION'}, {'text': 'Pac-12 Tournament', 'value': 'EVENT'}]","[{'Oregon State': 'ORGANIZATION'}, {'QUARTERFINALS': 'EVENT'}, {'Pac-12 Tournament': 'EVENT'}]",They were set to take on rival Oregon State in the quarterfinals of the Pac-12 Tournament.,"[{'text': 'Oregon State', 'value': 'ORGANIZATION'}, {'text': 'Pac-12 Tournament', 'value': 'EVENT'}]","[{'Oregon State': 'ORGANIZATION'}, {'Pac-12 Tournament': 'EVENT'}]",
6,"To further expand its readership, ``The Philippine Star`` entered into a partnership with FAST food restaurant Jollibee in 2003 to become the first newspaper to be distributed free of charge in a fast food restaurant.","[{'text': 'The Philippine Star', 'value': 'OTHER'}, {'text': 'Jollibee', 'value': 'BUILDING'}]","[{'The Philippine Star': 'ORGANIZATION'}, {'Jollibee': 'ORGANIZATION'}, {'2003': 'EVENT'}]","To further expand its readership, ``The Philippine Star`` entered into a partnership with fast food restaurant Jollibee in 2003 to become the first newspaper to be distributed free of charge in a fast food restaurant.","[{'text': 'The Philippine Star', 'value': 'ORGANIZATION'}, {'text': 'Jollibee', 'value': 'ORGANIZATION'}, {'text': '2003', 'value': 'EVENT'}]","[{'The Philippine Star': 'OTHER'}, {'Jollibee': 'BUILDING'}]",
7,ITS headquarters are in Moscow.,"[{'text': 'Moscow', 'value': 'LOCATION'}]","[{'ITS': 'ORGANIZATION'}, {'Moscow': 'LOCATION'}]",Its headquarters are in Moscow.,"[{'text': 'Moscow', 'value': 'LOCATION'}]",[{'Moscow': 'LOCATION'}],
8,The Cnidaria are a group of animals found exclusively in aquatic and MoStLy marine environments.,"[{'text': 'Cnidaria', 'value': 'OTHER'}]",[],The Cnidaria are a group of animals found exclusively in aquatic and mostly marine environments.,[],[{'Cnidaria': 'OTHER'}],
9,"Glutamine synthetase uses ammonia produced by nitrate reduction, amino acid degradation, and pHoToReSpIrAtIoN.","[{'text': 'Glutamine synthetase', 'value': 'OTHER'}, {'text': 'ammonia', 'value': 'OTHER'}, {'text': 'amino acid', 'value': 'OTHER'}]",[],"Glutamine synthetase uses ammonia produced by nitrate reduction, amino acid degradation, and photorespiration.",[],"[{'Glutamine synthetase': 'OTHER'}, {'ammonia': 'OTHER'}, {'amino acid': 'OTHER'}]",
10,Nintendo continued to sell the revised Wii model and the Wii Mini alongside the wIi U during the Wii U's first release year.,"[{'text': 'Nintendo', 'value': 'ORGANIZATION'}, {'text': 'Wii model', 'value': 'PRODUCT'}, {'text': 'Wii Mini', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}]","[{'Nintendo': 'ORGANIZATION'}, {'Wii': 'PRODUCT'}, {'Wii Mini': 'PRODUCT'}, {'Wii U': 'PRODUCT'}]",Nintendo continued to sell the revised Wii model and the Wii Mini alongside the Wii U during the Wii U's first release year.,"[{'text': 'Nintendo', 'value': 'ORGANIZATION'}, {'text': 'Wii', 'value': 'PRODUCT'}, {'text': 'Wii Mini', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}]","[{'Nintendo': 'ORGANIZATION'}, {'Wii model': 'PRODUCT'}, {'Wii Mini': 'PRODUCT'}, {'Wii U': 'PRODUCT'}, {'Wii U': 'PRODUCT'}]",
11,"In some versions, the eggplant is not grilled, but is instead boiled, resulting in a softer version that lacks the characteristic SmOkY flavor of the original dish.","[{'text': 'eggplant', 'value': 'OTHER'}]",[],"In some versions, the eggplant is not grilled, but is instead boiled, resulting in a softer version that lacks the characteristic smoky flavor of the original dish.",[],[{'eggplant': 'OTHER'}],
12,"Jamil was married to the daughter of Khalid Bakdash, a Syria n politician who was the SeCrEtArY-GeNeRaL of the Syrian Communist Party and the first communist to be an elected member of an Arab parliament in 1954.","[{'text': 'Jamil', 'value': 'PERSON'}, {'text': 'Khalid Bakdash', 'value': 'PERSON'}, {'text': 'Syria', 'value': 'LOCATION'}, {'text': 'Syrian Communist Party', 'value': 'ORGANIZATION'}, {'text': 'Arab', 'value': 'LOCATION'}]","[{'Jamil': 'PERSON'}, {'Khalid Bakdash': 'PERSON'}, {'Syria': 'LOCATION'}, {'Syrian Communist Party': 'ORGANIZATION'}, {'Arab parliament': 'ORGANIZATION'}, {'1954': 'EVENT'}]","Jamil was married to the daughter of Khalid Bakdash, a Syria n politician who was the Secretary-General of the Syrian Communist Party and the first communist to be an elected member of an Arab parliament in 1954.","[{'text': 'Jamil', 'value': 'PERSON'}, {'text': 'Khalid Bakdash', 'value': 'PERSON'}, {'text': 'Syria', 'value': 'LOCATION'}, {'text': 'Syrian Communist Party', 'value': 'ORGANIZATION'}, {'text': 'Arab parliament', 'value': 'ORGANIZATION'}]","[{'Jamil': 'PERSON'}, {'Khalid Bakdash': 'PERSON'}, {'Syria': 'LOCATION'}, {'Syrian Communist Party': 'ORGANIZATION'}, {'Arab': 'LOCATION'}]",
13,USP42 has also been shown to deubiquitinate p53 and may be required for the ability of p53 to respond to sTrEsS.,"[{'text': 'USP42', 'value': 'OTHER'}, {'text': 'p53', 'value': 'OTHER'}, {'text': 'p53', 'value': 'OTHER'}]","[{'USP42': 'OTHER'}, {'p53': 'OTHER'}]",USP42 has also been shown to deubiquitinate p53 and may be required for the ability of p53 to respond to stress.,"[{'text': 'USP42', 'value': 'OTHER'}, {'text': 'p53', 'value': 'OTHER'}]","[{'USP42': 'OTHER'}, {'p53': 'OTHER'}, {'p53': 'OTHER'}]",
14,Another part of the RNA binds to the X-chromosome positioning PRC2 such that it can methylate various regions on the X-cHrOmOsOmE.,"[{'text': 'RNA', 'value': 'OTHER'}, {'text': 'X-chromosome', 'value': 'OTHER'}, {'text': 'PRC2', 'value': 'OTHER'}, {'text': 'X-chromosome', 'value': 'OTHER'}]",[],Another part of the RNA binds to the X-chromosome positioning PRC2 such that it can methylate various regions on the X-chromosome.,[],"[{'RNA': 'OTHER'}, {'X-chromosome': 'OTHER'}, {'PRC2': 'OTHER'}, {'X-chromosome': 'OTHER'}]",
15,"The Germans then attacked again and penetrated C Company, but the tanks of the North Irish Horse stopped the GeRmAnS until dusk.","[{'text': 'Germans', 'value': 'LOCATION'}, {'text': 'C Company', 'value': 'ORGANIZATION'}, {'text': 'North Irish Horse', 'value': 'ORGANIZATION'}, {'text': 'Germans', 'value': 'LOCATION'}]","[{'Germans': 'OTHER'}, {'C Company': 'ORGANIZATION'}, {'North Irish Horse': 'ORGANIZATION'}]","The Germans then attacked again and penetrated C Company, but the tanks of the North Irish Horse stopped the Germans until dusk.","[{'text': 'Germans', 'value': 'OTHER'}, {'text': 'C Company', 'value': 'ORGANIZATION'}, {'text': 'North Irish Horse', 'value': 'ORGANIZATION'}]","[{'Germans': 'LOCATION'}, {'C Company': 'ORGANIZATION'}, {'North Irish Horse': 'ORGANIZATION'}, {'Germans': 'LOCATION'}]",
16,DMUs in Taiwan are classified as ClAsS DR.,"[{'text': 'DMUs', 'value': 'PRODUCT'}, {'text': 'Taiwan', 'value': 'LOCATION'}]",[],DMUs in Taiwan are classified as Class DR.,"[{'text': 'Taiwan', 'value': 'LOCATION'}, {'text': 'Class DR', 'value': 'OTHER'}]","[{'DMUs': 'PRODUCT'}, {'Taiwan': 'LOCATION'}]",
17,The cnidaria are a group of animals found exclusively in aquatic and mostly marine environments.,"[{'text': 'cnidaria', 'value': 'OTHER'}]",[],The Cnidaria are a group of animals found exclusively in aquatic and mostly marine environments.,[],[{'Cnidaria': 'OTHER'}],
