,text,modified_label,modified_pred,original_label,original_text,original_pred
0,i'll wager the video game is a lot more fun than the film.,0,0,0,i'll bet the video game is a lot more fun than the film.,0
1,a painfully amusing ode to bad behavior.,1,1,1,a painfully funny ode to bad behavior.,1
2,"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it abides in the past.",1,1,1,"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.",1
3,the experience of going to a film festival is a rewarding one; the partaking of sampling one through this movie is not.,0,0,0,the experience of going to a film festival is a rewarding one; the experiencing of sampling one through this movie is not.,0
4,"a misogynistic piece of refuse that attempts to pass itself off as hip, young adult entertainment.",0,0,0,"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.",0
5,broomfield turns his distinctive ` blundering' style into something that could really help elucidate the case.,1,1,1,broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case.,1
6,"there are simply too many notions floating around -- part farce, part sliding doors, part pop video -- and yet failing to exploit them.",0,0,0,"there are simply too many ideas floating around -- part farce, part sliding doors, part pop video -- and yet failing to exploit them.",0
7,nervous collapses are not entertaining.,0,0,0,nervous breakdowns are not entertaining.,0
8,"deliriously funny, fast and loose, accessible to the uninitiated, and full of astonishments",1,1,1,"deliriously funny, fast and loose, accessible to the uninitiated, and full of surprises",1
9,"fun, flip and terribly modish bit of cinematic entertainment.",1,1,1,"fun, flip and terribly hip bit of cinematic entertainment.",1
10,it deserves to be beheld by anyone with even a passing interest in the events shaping the world beyond their own horizons.,1,1,1,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons.,1
11,it's just padding.,0,0,0,it's just filler.,0
12,"it haunts you, you cannot forget it, you admire its conception and are able to resolve some of the perplexities you had while watching it.",1,1,1,"it haunts you, you can't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.",1
13,not exactly the cat's pajamas,0,0,0,not exactly the bees knees,0
14,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never intended.,1,0,1,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned.,0
15,you don't have to know about music to appreciate the film's easygoing blend of comedy and courtship.,1,1,1,you don't have to know about music to appreciate the film's easygoing blend of comedy and romance.,1
16,"for each chuckle there are at least 10 complete misses, many coming from the amazingly lifelike tara reid, whose acting skills are comparable to a pasteboard cutout.",0,0,0,"for each chuckle there are at least 10 complete misses, many coming from the amazingly lifelike tara reid, whose acting skills are comparable to a cardboard cutout.",0
17,"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an hourglass for 93 minutes.",0,0,0,"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",0
18,"a gripping movie, played with performances that are all understated and affecting.",1,1,1,"a gripping movie, played with performances that are all understated and touching.",1
19,it offers little beyond the momentary joys of pretty and featherlight intellectual entertainment.,0,0,0,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment.,0
20,"oscar wilde's masterpiece, the importance of being earnest, may be the finest play of the 19th century.",1,1,1,"oscar wilde's masterpiece, the importance of being earnest, may be the best play of the 19th century.",1
21,"there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submersible.",1,1,1,"there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine.",1
22,huston nails both the glad-handing and the choking sense of hollow despondency.,1,0,1,huston nails both the glad-handing and the choking sense of hollow despair.,0
23,zhang... has done an amazing job of getting realistic performances from his mainly nonprofessional troupe.,1,1,1,zhang... has done an amazing job of getting realistic performances from his mainly nonprofessional cast.,1
24,a valueless kiddie hymn to pro basketball underwritten by the nba.,0,0,0,a valueless kiddie paean to pro basketball underwritten by the nba.,0
25,another in-your-face wallow in the nether depths made by people who have never sung those blues.,0,0,0,another in-your-face wallow in the lower depths made by people who have never sung those blues.,0
26,"there is very little dread or apprehension, and though I fancy the creepy ideas, they are not executed with anything more than perfunctory skill.",0,0,0,"there is very little dread or apprehension, and though i like the creepy ideas, they are not executed with anything more than perfunctory skill.",0
27,it's a stunning lyrical work of considerable might and truth.,1,1,1,it's a stunning lyrical work of considerable force and truth.,1
28,i'm just too wearied to care.,0,0,0,i'm just too bored to care.,0
29,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the folly of the film industry -- make it mostly worth the trip.,1,1,1,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,1
30,"visually rather stunning, but ultimately a handsome-looking bore, the true creativity would have been to conceal treasure planet entirely and completely reimagine it.",0,0,0,"visually rather stunning, but ultimately a handsome-looking bore, the true creativity would have been to hide treasure planet entirely and completely reimagine it.",0
31,my reaction in a word: chagrin.,0,0,0,my reaction in a word: disappointment.,0
