,task,modification,original_res,modified_res,difference,pct_difference,p_value
9,dialogue_contradiction_detection,temporal_bias_100,0.85,0.87,0.02,2.35,0.6854046880502205
0,dialogue_contradiction_detection,geographical_bias_100,0.77,0.83,0.06,7.89,0.29060932550956986
8,dialogue_contradiction_detection,length_bias_100,0.78,0.77,-0.01,-1.28,0.8663644671974685
10,dialogue_contradiction_detection,typo_bias_100,0.78,0.82,0.04,5.13,0.48198436848550574
4,dialogue_contradiction_detection,capitalization_100,0.8,0.86,0.06,7.5,0.2609357809956016
7,dialogue_contradiction_detection,punctuation_100,0.83,0.84,0.01,1.2,0.8498446668136477
16,dialogue_contradiction_detection,derivation_100,0.84,0.84,-0.0,-0.0,1.0
14,dialogue_contradiction_detection,compound_word_100,0.9,0.85,-0.04,-4.65,0.38537560196132603
3,dialogue_contradiction_detection,active_to_passive_100,0.69,0.72,0.03,4.69,0.6319987715190802
6,dialogue_contradiction_detection,grammatical_role_100,0.9,0.9,-0.0,-0.0,1.0
13,dialogue_contradiction_detection,coordinating_conjunction_100,0.84,0.84,-0.0,-0.0,1.0
2,dialogue_contradiction_detection,concept_replacement_100,0.77,0.75,-0.02,-2.6,0.7420780937156326
5,dialogue_contradiction_detection,negation_100,0.75,0.78,0.03,4.17,0.6114977619622333
1,dialogue_contradiction_detection,discourse_100,0.85,0.79,-0.06,-7.06,0.27173646262958767
12,dialogue_contradiction_detection,sentiment_100,0.71,0.76,0.05,7.14,0.42479254309414627
15,dialogue_contradiction_detection,casual_100,0.84,0.8,-0.04,-4.76,0.4641123173689613
11,dialogue_contradiction_detection,dialectal_100,0.8,0.82,0.02,2.56,0.7195154298477868
17,dialogue_contradiction_detection,average,0.81,0.81,0.01,1.31,
