Unnamed: 0,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,"Genre classics are focused on by Back to Basics, with older movies and underground cult films being shown, and with occasional stabs at mainstream and newer genre pieces.","[{'text': 'Back to Basics', 'label': 'ORGANIZATION'}]","[{'text': 'Back to Basics', 'label': 'ORGANIZATION'}]","Back to Basics focuses on genre classics, showing older movies and underground cult films, with occasional stabs at mainstream and newer genre pieces.",[],"[{'text': 'Back to Basics', 'label': 'ORGANIZATION'}]",
1,"A fortified position was established by Loyalists recruited from Queens County, New York by Lieutenant Colonel Richard Hewlett for the 3rd battalion DeLancey's Brigade in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield.","[{'text': ""DeLancey's Brigade"", 'label': 'ORGANIZATION'}, {'text': 'Fairfield', 'label': 'LOCATION'}, {'text': 'Long Island', 'label': 'LOCATION'}, {'text': 'Long Island Sound', 'label': 'LOCATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Queens County', 'label': 'LOCATION'}, {'text': 'Richard Hewlett', 'label': 'PERSON'}, {'text': 'Setauket', 'label': 'LOCATION'}]","[{'text': ""3rd battalion DeLancey's Brigade"", 'label': 'ORGANIZATION'}, {'text': 'Fairfield', 'label': 'LOCATION'}, {'text': 'Lieutenant Colonel Richard Hewlett', 'label': 'PERSON'}, {'text': 'Long Island', 'label': 'LOCATION'}, {'text': 'Long Island Sound', 'label': 'LOCATION'}, {'text': 'Queens County, New York', 'label': 'LOCATION'}, {'text': 'Setauket', 'label': 'LOCATION'}]","Loyalists recruited from Queens County, New York by Lieutenant Colonel Richard Hewlett for the 3rd battalion DeLancey's Brigade had established a fortified position in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield.","[{'text': ""3rd battalion DeLancey's Brigade"", 'label': 'ORGANIZATION'}, {'text': 'Fairfield', 'label': 'LOCATION'}, {'text': 'Lieutenant Colonel Richard Hewlett', 'label': 'PERSON'}, {'text': 'Long Island', 'label': 'LOCATION'}, {'text': 'Long Island Sound', 'label': 'LOCATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Queens County', 'label': 'LOCATION'}, {'text': 'Setauket', 'label': 'LOCATION'}]","[{'text': ""DeLancey's Brigade"", 'label': 'ORGANIZATION'}, {'text': 'Fairfield', 'label': 'LOCATION'}, {'text': 'Long Island', 'label': 'LOCATION'}, {'text': 'Long Island Sound', 'label': 'LOCATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Queens County', 'label': 'LOCATION'}, {'text': 'Richard Hewlett', 'label': 'PERSON'}, {'text': 'Setauket', 'label': 'LOCATION'}]",
2,"Remixes of ``Like It or Not`` and ``Tearing Me Up`` were featured on the album from artists like A-Trak, RAC, Joris Voorn, and Tale of Us.","[{'text': 'A-Trak', 'label': 'PERSON'}, {'text': 'Joris Voorn', 'label': 'PERSON'}, {'text': 'Like It or Not', 'label': 'ART'}, {'text': 'RAC', 'label': 'PERSON'}, {'text': 'Tale of Us', 'label': 'PERSON'}, {'text': 'Tearing Me Up', 'label': 'ART'}]","[{'text': 'A-Trak', 'label': 'PERSON'}, {'text': 'Joris Voorn', 'label': 'PERSON'}, {'text': 'Like It or Not', 'label': 'ART'}, {'text': 'RAC', 'label': 'ORGANIZATION'}, {'text': 'Tale of Us', 'label': 'ORGANIZATION'}, {'text': 'Tearing Me Up', 'label': 'ART'}]","The album featured remixes of ``Like It or Not`` and ``Tearing Me Up`` from artists like A-Trak, RAC, Joris Voorn, and Tale of Us.","[{'text': 'A-Trak', 'label': 'PERSON'}, {'text': 'Joris Voorn', 'label': 'PERSON'}, {'text': 'RAC', 'label': 'ORGANIZATION'}, {'text': 'Tale of Us', 'label': 'ORGANIZATION'}]","[{'text': 'A-Trak', 'label': 'PERSON'}, {'text': 'Joris Voorn', 'label': 'PERSON'}, {'text': 'Like It or Not', 'label': 'ART'}, {'text': 'RAC', 'label': 'PERSON'}, {'text': 'Tale of Us', 'label': 'PERSON'}, {'text': 'Tearing Me Up', 'label': 'ART'}]",
3,In 1955 an early model of the Boeing B-52 Stratofortress began to be received and upgrades to various models were made over the next 40 years.,"[{'text': 'Boeing B-52', 'label': 'PRODUCT'}]","[{'text': 'Boeing B-52 Stratofortress', 'label': 'PRODUCT'}]",In 1955 it began receiving an early model of the Boeing B-52 Stratofortress and upgraded to various models over the next 40 years.,"[{'text': 'Boeing B-52 Stratofortress', 'label': 'PRODUCT'}]","[{'text': 'Boeing B-52', 'label': 'PRODUCT'}]",
4,"The game was praised by Allistair Pinsof of ``Destructoid``, who said the controls were as good as those of ``Super Metroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]","Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]",
5,"However, in 1861 the obstacle to political change was removed by the prospect of secession by southern states after the 1860 presidential election.",[],"[{'text': '1860 presidential election', 'label': 'EVENT'}, {'text': '1861', 'label': 'EVENT'}, {'text': 'southern states', 'label': 'LOCATION'}]","However, in 1861 the prospect of secession by southern states after the 1860 presidential election removed this obstacle to political change.","[{'text': '1860 presidential election', 'label': 'EVENT'}, {'text': '1861', 'label': 'EVENT'}, {'text': 'southern states', 'label': 'LOCATION'}]",[],
6,"According to Steak' n Shake archives, a trademark on the word was applied for by the restaurant's founder, Gus Belt, in the 1930s.","[{'text': 'Gus Belt', 'label': 'PERSON'}, {'text': ""Steak' n Shake"", 'label': 'ART'}]","[{'text': 'Gus Belt', 'label': 'PERSON'}, {'text': ""Steak' n Shake"", 'label': 'ORGANIZATION'}]","According to Steak' n Shake archives, the restaurant's founder, Gus Belt, applied for a trademark on the word in the 1930s.","[{'text': 'Gus Belt', 'label': 'PERSON'}, {'text': ""Steak' n Shake"", 'label': 'ORGANIZATION'}]","[{'text': 'Gus Belt', 'label': 'PERSON'}, {'text': ""Steak' n Shake"", 'label': 'ART'}]",
7,Several features from a batch of A1 Pacifics that had been built in 1924 were used.,"[{'text': 'A1 Pacifics', 'label': 'PRODUCT'}]","[{'text': '1924', 'label': 'EVENT'}, {'text': 'A1 Pacifics', 'label': 'PRODUCT'}]",They used several features from a batch of A1 Pacifics they had built in 1924.,"[{'text': 'A1 Pacifics', 'label': 'PRODUCT'}]","[{'text': 'A1 Pacifics', 'label': 'PRODUCT'}]",
8,"The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, but was only run for six performances because the production proved to be expensive.","[{'text': 'Martin Beck Theater', 'label': 'BUILDING'}]","[{'text': '1939', 'label': 'EVENT'}, {'text': 'Martin Beck Theater', 'label': 'BUILDING'}]","The story had been adapted to the stage in 1939 at the Martin Beck Theater to great acclaim, but only ran for six performances because the production proved to be expensive.","[{'text': '1939', 'label': 'EVENT'}, {'text': 'Martin Beck Theater', 'label': 'BUILDING'}]","[{'text': 'Martin Beck Theater', 'label': 'BUILDING'}]",
9,An unsuccessful run for the United States House of Representatives from upstate New York was made by her brother in 1992 and 1994.,"[{'text': 'New York', 'label': 'LOCATION'}, {'text': 'United States House of Representatives', 'label': 'ORGANIZATION'}]","[{'text': '1992', 'label': 'EVENT'}, {'text': '1994', 'label': 'EVENT'}, {'text': 'United States House of Representatives', 'label': 'ORGANIZATION'}, {'text': 'upstate New York', 'label': 'LOCATION'}]","Her brother ran unsuccessfully for the United States House of Representatives from upstate New York, in 1992 and 1994.","[{'text': '1992', 'label': 'EVENT'}, {'text': '1994', 'label': 'EVENT'}, {'text': 'United States House of Representatives', 'label': 'ORGANIZATION'}, {'text': 'upstate New York', 'label': 'LOCATION'}]","[{'text': 'New York', 'label': 'LOCATION'}, {'text': 'United States House of Representatives', 'label': 'ORGANIZATION'}]",
