,original_text,modified_text,modified_pronoun,modified_candidates,modified_label,modified_pred,original_pred,original_label,index
0,"The villagers attempt to have the werewolves executed, but they are instead exiled by the clan leader.","The villagers attempt to have the werewolves executed, however, they are instead exiled by the clan leader.",they,"0: the werewolves, 1: The villagers",0,1,0,0,1350
1,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society.,Ozzy decided to part ways with longtime guitarist Zakk Wylde since he thought his music was beginning to sound too much like Black Label Society.,he,"0: Ozzy, 1: longtime guitarist Zakk Wylde",0,0,0,0,1077
2,Joe crashed into Mike and he had to pay for the damage.,"Joe crashed into Mike, so he had to pay for the damage.",he,"0: Joe, 1: Mike",1,0,0,1,142
3,Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,"Narendran wants to get Ramu married to Leela; however, she is turned off by his cowardice.",his,"0: Narendran, 1: Ramu",1,1,1,1,1768
4,Juan Pablo is forced to save Greenlee when an Argentinian gang targets him and Carlos.,Juan Pablo is forced to save Greenlee because an Argentinian gang targets him and Carlos.,him,"0: Greenlee, 1: Juan Pablo",0,0,0,0,1584
5,The boss fired the worker when he stopped performing well.,The boss fired the worker after he stopped performing well.,he,"0: The boss, 1: the worker",1,1,0,1,124
6,Some actors choose to perform their own stunts instead of using stunt doubles since they like to keep it as authentic as possible.,"Some actors choose to perform their own stunts instead of using stunt doubles, for they like to keep it as authentic as possible.",they,"0: Some actors, 1: stunt doubles",0,0,0,0,412
7,"Lauren promises to support Tanya, but struggles to cope with her mother's illness.","Lauren promises to support Tanya, however, she struggles to cope with her mother's illness.",her,"0: Lauren, 1: Tanya",1,0,0,1,1418
8,"Tina is scared, but Emma comes after her and protects herself with a gun.","Tina is scared, and yet Emma comes after her and protects herself with a gun.",her,"0: Tina, 1: Emma",1,0,0,1,1713
9,"Dan walks away from Samuel and he tries running after him, but he trips and falls.","Dan walks away from Samuel and he tries running after him; however, he trips and falls.",him,"0: Samuel, 1: Dan",1,0,0,1,1388
10,Laila grows closer to Cora when she holds her a late birthday celebration as everyone forgets the date.,Laila grows closer to Cora when she holds her a late birthday celebration since everyone forgets the date.,she,"0: Cora, 1: Laila",1,0,0,1,2085
11,"Joseph did not defeat William in the match, so he earned $100.","Joseph did not defeat William in the match, and as a result, he earned $100.",he,"0: Joseph, 1: William",1,0,0,1,159
12,"Jason built Rocky a robot, so he had more free time.","Jason built Rocky a robot, and as a result, he had more free time.",he,"0: Jason, 1: Rocky",1,0,0,1,31
13,Robin goes to speak to Gael but discovers he has invited more backpackers to stay with them.,Robin goes to speak to Gael and then he discovers he has invited more backpackers to stay with them.,he,"0: Robin, 1: Gael",1,0,1,1,1708
14,The humans were afraid of the robots because they were weak.,The humans were afraid of the robots since they were weak.,they,"0: The humans, 1: the robots",0,0,0,0,238
15,Cosby supported Jay because Thea really liked him.,Cosby supported Jay since Thea really liked him.,him,"0: Cosby, 1: Jay",1,1,1,1,250
16,John fired Bill because he was incompetent.,John fired Bill since he was incompetent.,he,"0: John, 1: Bill",1,0,0,1,51
17,Joe crashed into Mike and he had to pay for the damage.,"Joe crashed into Mike, and as a result, he had to pay for the damage.",he,"0: Joe, 1: Mike",1,0,0,1,142
18,"Celine attempts to contact the resurrected Juliana, but seeing she has no memory of her previous life, she decides to leave her alone.","Celine attempts to contact the resurrected Juliana, however, seeing she has no memory of her previous life, she decides to leave her alone.",she,"0: Celine, 1: the resurrected Juliana",1,0,0,1,947
19,Ken tried to sneak past the boss because he was looking for late people.,Ken tried to sneak past the boss since he was looking for late people.,he,"0: Ken, 1: the boss",1,0,0,1,185
20,Chris then breaks up with Anthony again after he realizes that he is not who he wants.,Chris then breaks up with Anthony again once he realizes that he is not who he wants.,he,"0: Chris, 1: Anthony",1,0,0,1,1040
21,A chicken pecked at a bug and it ate it.,"A chicken pecked at a bug, subsequently it ate it.",it,"0: A chicken, 1: a bug",0,0,0,0,94
22,Georgina says Lucille is dead because she couldn't live with what she had done.,"Georgina says Lucille is dead, she couldn't live with what she had done.",she,"0: Georgina, 1: Lucille",1,0,0,1,1413
23,"Tina is scared, but Emma comes after her and protects herself with a gun.","Tina is scared, however, Emma comes after her and protects herself with a gun.",her,"0: Tina, 1: Emma",1,0,0,1,1713
24,"Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.","Ray William Johnson surpassed NigaHiga in Youtube subscribers, yet he wants to increase the gap even more.",he,"0: Ray William Johnson, 1: NigaHiga",0,0,0,0,389
25,"Jubilant, Gandhi tries to reach Ram Mohan Rao, but realizes that he is leaving the country with his daughter.","Jubilant, Gandhi tries to reach Ram Mohan Rao, yet realizes that he is leaving the country with his daughter.",he,"0: Ram Mohan Rao, 1: Gandhi",1,0,0,1,1545
26,Joe raced against Steven because he thought it would be easy.,"Joe raced against Steven, he thought it would be easy.",he,"0: Joe, 1: Steven",1,0,0,1,148
27,"Delilah tries to reconcile with Lizzy, but she insists that their relationship is over.","Delilah tries to reconcile with Lizzy, yet she insists that their relationship is over.",she,"0: Delilah, 1: Lizzy",1,0,0,1,1038
28,The violin fell off the table because someone knocked it off.,The violin fell off the table after someone knocked it off.,it,"0: The violin, 1: the table",0,0,0,0,176
29,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.",Megan accidentally fires a shot that injures Barbara; she shoots Larry dead.,she,"0: Megan, 1: Larry",1,0,0,1,2058
30,James Cameron is more successful than Michael Bay because his movies sell more worldwide.,James Cameron is more successful than Michael Bay since his movies sell more worldwide.,his,"0: James Cameron, 1: Michael Bay",0,0,0,0,316
