original_text,modified_text,modified_label,modified_pred,original_pred
The cat was afraid of the dog because it was timid.,"The cat was afraid of the dog, because it was timid.",0,0,0
Google Plus is expected to be a replacement for Facebook but it still does not have enough active users.,"Google Plus is expected to be a replacement for Facebook, but it still does not have enough active users.",0,0,0
Warren snuck Nige outside and said that if he ever saw him again he would kill him.,"Warren snuck Nige outside, and said that if he ever saw him again he would kill him.",0,0,0
The Russian Syndicate decided to remove some of their lower members so they could keep their operations as secret as possible.,"The Russian Syndicate decided to remove some of their lower members, so they could keep their operations as secret as possible.",0,0,0
Planet 343's sandstorm forces the inhabitants underground because they have winds of upwards to 50 mph.,"Planet 343's sandstorm forces the inhabitants underground, because they have winds of upwards to 50 mph.",0,0,0
Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,"Battlefield 3 is more fun than Modern Warfare 3, because it is a better game.",0,0,0
Bob sued Bill because he wanted more money.,"Bob sued Bill, because he wanted more money.",0,0,0
The employer talked to the employee about being loyal to him.,"The employer talked to the employee, about being loyal to him.",0,0,0
"Naser al-Din Shah Qajar nicknamed Mohammad Hosein as the bird, after he hears a poem that he had written.","Naser al-Din Shah Qajar nicknamed Mohammad Hosein as the bird, after he hears a poem that he had written,.",0,1,1
James Cameron is more successful than Michael Bay because his movies sell more worldwide.,"James Cameron is more successful than Michael Bay, because his movies sell more worldwide.",0,0,0
The off-campus apartments were preferred to the on-campus apartments because they were cheaper.,"The off-campus apartments were preferred to the on-campus apartments, because they were cheaper.",0,0,0
"Lingad was defeated by Estelito Mendoza, but he raised charges of fraud which led to the staging of a new election for governor.","Lingad was defeated by Estelito Mendoza, but he raised charges of fraud, which led to the staging of a new election for governor.",0,0,0
Sentient machines will kill all humans because they have giant death rays.,"Sentient machines will kill all humans, because they have giant death rays.",0,0,0
Mary likes Joe because she likes females.,"Mary likes Joe, because she likes females.",0,0,0
Some actors choose to perform their own stunts instead of using stunt doubles since they like to keep it as authentic as possible.,"Some actors choose to perform their own stunts, instead of using stunt doubles since they like to keep it as authentic as possible.",0,0,0
Joe raced against Steven because he thought it would be easy.,"Joe raced against Steven, because he thought it would be easy.",0,0,0
The racquetball players were annoyed by the other students in the activity center because they were using the racquetball courts to play badminton.,"The racquetball players were annoyed by the other students in the activity center, because they were using the racquetball courts to play badminton.",1,1,1
Tony helped Jeff because he needed help.,"Tony helped Jeff, because he needed help.",1,1,1
The lion saw the fish and it was swimming.,"The lion saw the fish, and it was swimming.",1,1,1
"Jane Bingum presented strong evidence against Claire, but she may present a strong defense on her part.","Jane Bingum presented strong evidence against Claire, but she may present a strong defense on her part,.",1,1,1
The people protested the government because they were raising taxes.,"The people protested the government, because they were raising taxes.",1,0,1
The Punishers interrogates prisoners and when finished they execute them via an electric chair-like molecular disintegrator.,"The Punishers interrogates prisoners, and when finished they execute them via an electric chair-like molecular disintegrator.",1,1,1
"Jupiter is bigger than the Earth, but it is heavier due to being solid.","Jupiter is bigger than the Earth, but it is heavier, due to being solid.",1,0,0
The wolves chased the deer because they were prey.,"The wolves chased the deer, because they were prey.",1,1,1
The bat hit the ball because it was designed to be hit.,"The bat hit the ball, because it was designed to be hit.",1,1,1
Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,"Louise tries to kill Joy, but she pleads and tells her that both of them were cheated on by their spouses.",1,1,1
Chloe is nanny to Jane but she neglects her so she and Syd can have sex.,"Chloe is nanny to Jane, but she neglects her so she and Syd can have sex.",1,1,1
Rebecca kissed Dina because she is a sweet girl.,"Rebecca kissed Dina, because she is a sweet girl.",1,1,1
The mother bear attacked Karen because she had gotten too close to her cub.,"The mother bear attacked Karen, because she had gotten too close to her cub.",1,1,1
Joe crashed into Mike and he had to pay for the damage.,"Joe crashed into Mike, and he had to pay for the damage.",1,0,0
Mary had a little lamb until she was stolen by Cindy.,"Mary had a little lamb, until she was stolen by Cindy.",1,0,0
Hkkinen tried to attack Senna but he ran into the back of him.,"Hkkinen tried to attack Senna, but he ran into the back of him.",1,1,1
Kathy paid Jane to leave but she returned several weeks later.,"Kathy paid Jane to leave, but she returned several weeks later.",1,1,1
Mellish disliked Callaghan so much that he resigned from the cabinet within months of Wilson's own retirement.,Mellish disliked Callaghan so much that he resigned from the cabinet within months of Wilson'sown retirement.,0,0,0
Pigs are better than sheep because they make bacon.,Pigs are better than sheep because they makebacon.,0,0,0
John called Bill because he needed someone to talk to.,John called Bill because he needed someonetotalk to.,0,0,0
"Shemp was thrilled to be away from Healy but, as was his nature, worried incessantly about brother Moe and partner Larry.","Shemp was thrilled to be away from Healy but, as was his nature, worried incessantly about brother Moe and partnerLarry.",0,0,0
Jace loves Jesus because he tasted his goodness.,Jace loves Jesus because he tastedhis goodness.,0,0,0
Lily gave Amber a hug because she was sorry.,Lily gave Amber a hugbecause she was sorry.,0,0,0
"When Saul realizes where Javadi is going, he immediately sends Carrie and Quinn there to intercept him.","When Saul realizes where Javadi is going, he immediately sends CarrieandQuinn there to intercept him.",0,0,1
"Jason built Rocky a robot, and he gave it to him.","Jason built Rocky a robot, and he gave itto him.",0,0,0
"Martin found Charles common and repulsive, but since he advertised himself as the owner of a palatial estate, he agreed to marry him.","Martin found Charles common and repulsive, but since he advertised himself as the owner of apalatial estate, he agreed to marry him.",0,1,1
Mary likes Joe because she likes females.,Mary likes Joe because she likesfemales.,0,0,0
Bonnie is still a little freaked out about being attacked by Ashley but she is grateful to Stefan who saved her life.,Bonnie is still a little freaked out about being attacked by Ashley but she is grateful to Stefan whosaved her life.,0,0,0
"Kelly neglected to tell Katie that their rent was due, but she told her later.","Kelly neglected to tell Katie that their rent wasdue, but she told her later.",0,0,0
"George scored against Thomas in the shootout, so he won the game.","George scored against Thomas in theshootout, so he won the game.",0,0,0
Penelope claims to suspect Ruth because she suspected Ms Lingard would rescue her daughter and confess.,Penelope claims to suspect Ruth because she suspected MsLingard would rescue her daughter and confess.,0,0,2
Bob can beat Larry at arm wrestling because he has more muscles.,Bob can beat Larry at armwrestling because he has more muscles.,0,0,0
"Albert had become extremely protective of Phillip and when he found out about the rape, he made sure Bradley was arrested.","Albert had become extremely protective of Phillip and when he found out abouttherape, he made sure Bradley was arrested.",0,0,0
"Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leave.","Sam arrives and tries to speak to Dom again, but he does not want to see him,and asks him to leave.",1,1,1
Joe smells better than Adam since he hardly ever showers.,Joe smells better than Adam since he hardlyever showers.,1,1,1
Fleece feels better than cotton since they are of worse quality.,Fleece feels better than cotton since they are of worsequality.,1,1,1
Gennie becomes interested in Emma and is jealous when she starts seeing Chas.,Gennie becomes interested in Emma and is jealous when she startsseeing Chas.,1,1,1
Chloe is nanny to Jane but she neglects her so she and Syd can have sex.,Chloe isnanny to Jane but she neglects her so she and Syd can have sex.,1,1,1
Samuel found out about Mark when his brother came to Japan.,Samuel found out about Mark when his brother came toJapan.,1,0,0
"James tries hard to seduce Wallace without magic, but though he is strongly attracted to him, he refuses to put off his marriage.","James tries hard to seduce Wallace without magic, but though he is strongly attracted to him, he refuses to putoff his marriage.",1,1,1
"Nonetheless, Harry remains with Rob until the night he learns that he had a fling with his high school nemesis, Ronnie Harrison.","Nonetheless, Harry remains with Rob until the night he learns that he had a fling with his highschool nemesis, Ronnie Harrison.",1,1,1
