Unnamed: 0,text,modified_label,modified_pred,original_text,original_label,original_pred,type
0,"Internal conflicts, especially between Covaci and Baniciu, were escalating and making headlines in the media.","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]","Internal conflicts, especially between Covaci and Baniciu, were making headlines in the media.","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]",
1,Ronald and his wife will travel to Iceland.,"[{'text': 'Iceland', 'label': 'LOCATION'}, {'text': 'Ronald', 'label': 'PERSON'}]","[{'text': 'Iceland', 'label': 'LOCATION'}, {'text': 'Ronald', 'label': 'PERSON'}]",Ronald will travel to Iceland.,"[{'text': 'Iceland', 'label': 'LOCATION'}, {'text': 'Ronald', 'label': 'PERSON'}]","[{'text': 'Iceland', 'label': 'LOCATION'}, {'text': 'Ronald', 'label': 'PERSON'}]",
2,Ronald will take a week's leave and travel to Iceland.,"[{'text': 'Iceland', 'label': 'LOCATION'}, {'text': 'Ronald', 'label': 'PERSON'}]","[{'text': 'Iceland', 'label': 'LOCATION'}, {'text': 'Ronald', 'label': 'PERSON'}]",Ronald will travel to Iceland.,"[{'text': 'Iceland', 'label': 'LOCATION'}, {'text': 'Ronald', 'label': 'PERSON'}]","[{'text': 'Iceland', 'label': 'LOCATION'}, {'text': 'Ronald', 'label': 'PERSON'}]",
3,"The B-52 pilot, Major Larry G.Messinger and his co-pilot, later recalled,","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'label': 'PERSON'}]","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Major Larry G.Messinger', 'label': 'PERSON'}]","The B-52 pilot, Major Larry G.Messinger, later recalled,","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'label': 'PERSON'}]","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Major Larry G.Messinger', 'label': 'PERSON'}]",
4,"A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek and his team personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","[{'text': 'Aston Martin DB7', 'label': 'PRODUCT'}, {'text': ""DB5 extended 4''"", 'label': 'PRODUCT'}, {'text': 'Marek', 'label': 'PERSON'}, {'text': 'V8 unit', 'label': 'PRODUCT'}]","[{'text': 'Aston Martin DB7', 'label': 'PRODUCT'}, {'text': 'DB5', 'label': 'PRODUCT'}, {'text': 'Marek', 'label': 'PERSON'}]","A prototype was fitted in the mid-'60s in a one-off DB5 extended 4'' after the doors and driven by Marek personally, and a normally 6-cylinder Aston Martin DB7 was equipped with a V8 unit in 1998.","[{'text': 'Aston Martin DB7', 'label': 'PRODUCT'}, {'text': ""DB5 extended 4''"", 'label': 'PRODUCT'}, {'text': 'Marek', 'label': 'PERSON'}, {'text': 'V8 unit', 'label': 'PRODUCT'}]","[{'text': 'Aston Martin DB7', 'label': 'PRODUCT'}, {'text': 'DB5', 'label': 'PRODUCT'}, {'text': 'Marek', 'label': 'PERSON'}]",
5,In the early 1930s the band signed a new record deal and moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'George Hall and His Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'Grill Room', 'label': 'BUILDING'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]","[{'text': 'George Hall', 'label': 'PERSON'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]",In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'George Hall and His Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'Grill Room', 'label': 'BUILDING'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]","[{'text': 'George Hall', 'label': 'PERSON'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'Grill Room of the Taft Hotel', 'label': 'LOCATION'}, {'text': 'Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'LOCATION'}]",
6,The Austro-Hungarian Navy built and operated two classes of protected cruisers and destroyers.,"[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",
7,The Austro-Hungarian Navy and its allies built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",
8,"The B-52 pilot, Major Larry G.Messinger, later wrote a memoir and recalled,","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'label': 'PERSON'}]","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Major Larry G.Messinger', 'label': 'PERSON'}]","The B-52 pilot, Major Larry G.Messinger, later recalled,","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'label': 'PERSON'}]","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Major Larry G.Messinger', 'label': 'PERSON'}]",
9,Argentina's Del Imaginario Discos announced and also released the album in 2007.,"[{'text': 'Argentina', 'label': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'label': 'ORGANIZATION'}]","[{'text': 'Argentina', 'label': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'label': 'ORGANIZATION'}]",Argentina's Del Imaginario Discos also released the album in 2007.,"[{'text': 'Argentina', 'label': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'label': 'ORGANIZATION'}]","[{'text': 'Argentina', 'label': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'label': 'ORGANIZATION'}]",
