,original_dialog,modified_dialog,modified_label,original_label,modified_pred,original_pred,type
0,"agent 0: Man I love me some good elvis music the american singer!
agent 1: Oh yea, you can't go wrong with the King! Some people even thing he is alive still.
agent 0: Yeah well I can get with that even though Elvis died on August 16, 1977 he still lives in my heart.
agent 1: Yes, it is so sad, and speaking of heart it is said that he died from a heart attack.
agent 0: Well he was into a lot of drugs I mean he had been singing since 1954 recording for Sun Records so I'm sure he was partying for at least 2 decades
agent 1: Yeah, the King still lives on for many fans.
agent 0: My Grandma was an Elvis fan but I can't stand his music.","agent 0: Man I love me some good elvis music the american singer!
agent 1: Oh yea, you can't go wrong with the King! Some people even thing he is alive still.
agent 0: Yeah well I can get with that even though Elvis died on August 16, 1977 he still lives in my heart.
agent 1: Yes, it is so sad, and speaking of heart it is said that he died from a heart attack.
agent 0: Well he was into a lot of drugs I mean he had been singing since 1954 recording for Sun Records so I'm sure he was partying for at least 2 decades
agent 1: Yeah, the King still lives on for many fans.
agent 0: My Grandma was an Elvis fan but I can't stand his performances.",1,1,1,1,hypernym
1,"agent 0: Hi! I am an accountant! How about you?
agent 1: I used to be one! Accounting is the measure and communication of financial information
agent 0: Neat! I just got recently hired. I wonder how long accounting has been around before? Do you use a lot of math?
agent 1: A long time! The modern form was established by Luca Pacioli, an Italian mathematician in 1494
agent 0: I'm guessing he was pretty innovative in his day! It is spread across the globe now! What an important communication tool.
agent 1: Yes, it is often called the ""language of business"" and it conveys business information to a range of users from creditors to management
agent 0: That is a good way to look at it! Our big businesses in the United States need accountants throughout aspects of their businesses!
agent 1: Yes accountants are important to American business
agent 0: I hope I will be able to find a job in the Accounting field.","agent 0: Hi! I am an accountant! How about you?
agent 1: I used to be one! Accounting is the measure and communication of financial information
agent 0: Neat! I just got recently hired. I wonder how long accounting has been around before? Do you use a lot of math?
agent 1: A long time! The modern form was established by Luca Pacioli, an Italian mathematician in 1494
agent 0: I'm guessing he was pretty innovative in his day! It is spread across the globe now! What an important communication tool.
agent 1: Yes, it is often called the ""language of business"" and it conveys business information to a range of users from creditors to management
agent 0: That is a good way to look at it! Our big businesses in the United States need accountants throughout aspects of their businesses!
agent 1: Yes accountants are important to American business
agent 0: I hope I will be able to find a position in the Accounting field.",1,1,1,1,synonym
2,"agent 0: The other day I was getting a glass out the cabinet and There sat a spider
agent 1: Ew, I hate spiders. We are in the process of getting them out of our garage.
agent 0: I hate the little things too! It was IN the glass at that!
agent 1: Oh no, throw it away!!!!
agent 0: I hate throwing stuff like that a way. I will just wash it a million times.
agent 1: Washing it is a good idea, but be sure not to hurt the spider. I love those little buggers!","agent 0: The other day I was getting a glass out the cabinet and There sat a spider
agent 1: Ew, I hate spiders. We are in the process of getting them out of our garage.
agent 0: I hate the little things too! It was IN the glass at that!
agent 1: Oh no, throw it away!!!!
agent 0: I hate throwing stuff like that a way. I will just wash it a million times.
agent 1: Washing it is a good idea, but be sure not to hurt the spider. I love those little plawic!",1,1,1,1,nonce
3,"agent 0: That's my second favorite color!
agent 1: I like azure best, it's cyan and blue mixed. What's your favorite color?
agent 0: My favorite color is blue. Specifically, Carolina blue
agent 1: What is Carolina blue? Is Carolina blue a color associated with a sports team?
agent 0: Yes, just like the red of redskins
agent 1: I love red, it's my favorite.","agent 0: That's my second favorite color!
agent 1: I like azure best, it's cyan and blue mixed. What's your favorite color?
agent 0: My favorite color is blue. Specifically, Carolina blue
agent 1: What is Carolina blue? Is Carolina blue a color associated with a sports team?
agent 0: Yes, just like the red of redskins
agent 1: I'm crazy about red, it's my favorite.",1,1,1,1,idiom
4,"agent 0: my dad grew up in a town with less than 100 population.
agent 1: i think there may be seventy here. maybe a few more.
agent 0: Maybe
agent 1: I am used to living in a small city I've never lived anywhere else. How many people are in your town?
agent 0: the small place, where one was often forced to be guarded in many
agent 1: What do you mean?
agent 0: Towns of more than 50,000 people
agent 1: What about them?
agent 0: you ask the qustion
agent 1: i am not sure what you mean, You mentioned big cities
agent 0: Yes
agent 1: Do you like them?
agent 0: I like small cities.
agent 1: I have only lived in larger cities before.","agent 0: my dad grew up in a town with less than 100 population.
agent 1: i think there may be seventy here. maybe a few more.
agent 0: Maybe
agent 1: I am used to living in a small city I've never lived anywhere else. How many people are in your town?
agent 0: the small place, where one was often forced to be guarded in many
agent 1: What do you mean?
agent 0: Towns of more than 50,000 people
agent 1: What about them?
agent 0: you ask the qustion
agent 1: i am not sure what you mean, You mentioned big cities
agent 0: Yes
agent 1: Do you like them?
agent 0: I like small cities.
agent 1: I have only resided in larger cities before.",1,1,1,1,synonym
5,"agent 0: it can be tough. got to stay strong though.
agent 1: i couldn't figure it out. math is just to hard.
agent 0: I agree! Math is way too hard. If you need help you can always ask though!
agent 1: That's true. What are you studying math for?
agent 0: I had to take some math classes to finish my nursing degree. I only took them because they were mandatory though. Why are you studying math?","agent 0: it can be tough. got to stay strong though.
agent 1: i couldn't figure it out. math is just to hard.
agent 0: I agree! Math is way too hard. If you need help you can always ask though!
agent 1: That's true. What are you studying math for?
agent 0: I had to take some math subjects to finish my nursing degree. I only took them because they were mandatory though. Why are you studying math?",0,0,0,0,hypernym
6,"agent 0: my name is penny what are you up to?
agent 1: hiding from my sister, she's madonna
agent 0: WHAT'S YOUR NAME?
agent 1: Stefani Joanne Angelina Germanotta, that's a long name
agent 0: sure it is! why are you hiding from madonna?","agent 0: my name is penny what are you up to?
agent 1: hiding from my sister, she's madonna
agent 0: WHAT'S YOUR NAME?
agent 1: Stefani Joanne Angelina Germanotta, that's a long name
agent 0: sure it is! why are you concealing yourself from madonna?",0,0,0,0,synonym
7,"agent 0: A while back my friend's boyfriend tried to get me to have an intimate relationship with him. He knew I had been married a very long time, as well as he was in a relationship with my friend. I turned him down flat, as I love my husband very much.
agent 1: What a creep. I hope that you told on him.
agent 0: Yes, I let him know that was wrong and disgusting. I couldn't believe he did it!
agent 1: Some people are like that. Did you tell your husband?","agent 0: A while back my friend's boyfriend tried to get me to have an intimate relationship with him. He knew I had been married a very long time, as well as he was in a relationship with my friend. I turned him down flat, as I love my husband very much.
agent 1: What a creep. I hope that you told on him.
agent 0: Yes, I let him know that was wrong and disgusting. I couldn't believe he did it!
agent 1: Some people are cut from the same cloth. Did you tell your husband?",0,0,0,0,idiom
8,"agent 0: I'm interested in account. What's it about?
agent 1: YOu must love numbers! yuck,not me... accounting is a way to measure and process financial information
agent 0: When did it start?
agent 1: Account has been around form any years,formally it began in 1494 by Italian mathematician Pacioli
agent 0: Is it popular as a career?
agent 1: I am not sure,however, accounting has lots of fields such as, auditing aind,and cost accounting,what type interests you?
agent 0: What about computer science?
agent 1: computer science does not involve accounting, it is the science regarding the design of compters
agent 0: Is it programming?","agent 0: I'm interested in account. What's it about?
agent 1: YOu must love numbers! yuck,not me... accounting is a way to measure and process financial information
agent 0: When did it start?
agent 1: Account has been around form any years,formally it began in 1494 by Italian mathematician Pacioli
agent 0: Is it popular as a career?
agent 1: I am not sure,however, accounting has lots of fields such as, auditing aind,and cost accounting,what type interests you?
agent 0: What about computer science?
agent 1: computer science does not involve accounting, it is the science regarding the design of compters
agent 0: Is it plawic?",0,0,0,0,nonce
9,"agent 0: yes in argentina, its very hot here today, how about there?
agent 1: its pretty humid.
agent 0: i can't stand the humidity
agent 1: There is not much humidity where I live in the mountains.
agent 0: I love the mountains
agent 1: Me too! I want a truck one day to be able to get around easier.
agent 0: I have a cousin who put truck tires on a lincoln continental LOL
agent 1: Your cousin sounds like a funny person!
agent 0: When I said something about it they kind of took offense. Where I am from we have only man made hills. My cousin is in WV
agent 1: Where did he get the truck tires?
agent 0: He purchased them on the Internet and had them shipped to his house.
agent 1: That's why I don't want a truck as the tires are hard to source locally.","agent 0: yes in argentina, its very hot here today, how about there?
agent 1: its pretty humid.
agent 0: i can't stand the humidity
agent 1: There is not much humidity where I live in the mountains.
agent 0: I love the mountains
agent 1: Me too! I want a truck one day to be able to get around easier.
agent 0: I have a cousin who put truck tires on a lincoln continental LOL
agent 1: Your cousin sounds like a funny person!
agent 0: When I said something about it they kind of took offense. Where I am from we have only man made hills. My cousin is in WV
agent 1: Where did he get the truck tires?
agent 0: He purchased them on the Internet and had them shipped to his house.
agent 1: That's why I don't want a hif as the tires are hard to source locally.",1,1,0,1,nonce
