original_text,modified_text,original_label,original_pred,modified_label,modified_pred
"smart, provocative and blisteringly funny.","smart, provocative and blisteringly funny.",1,1,1,1
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted.,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted.,1,1,1,1
may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen.,may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen.,0,0,0,0
a romantic comedy enriched by a sharp eye for manners and mores.,a romantic comedy enriched by a sharp eye for manners and mores.,1,1,1,1
"some of their jokes work, but most fail miserably and in the end, pumpkin is far more offensive than it is funny.","some of their jokes work, but most fail miserably and in the end, pumpkin is far more offensive than it is funny.",0,0,0,0
"immersing us in the endlessly inventive, fiercely competitive world of hip-hop djs, the project is sensational and revelatory, even if scratching makes you itch.","immersing us in the endlessly inventive, fiercely competitive world of hip-hop djs, the project is sensational and revelatory, even if scratching makes you itch.",1,1,1,1
it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman.,it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman.,1,1,1,0
montias... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters.,montias... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters.,1,1,1,1
the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that's all too rare in hollywood's hastier productions.,the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that's all too rare in hollywood's hastier productions.,1,1,1,1
the quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy.,the quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy.,1,1,1,1
"so unassuming and pure of heart, you can't help but warmly extend your arms and yell ` safe! '","so unassuming and pure of heart, you can't help but warmly extend your arms and yell ` safe! '",1,1,1,1
it's a beautiful madness.,it's a beautiful madness.,1,1,1,0
"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.","the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.",1,1,1,1
unflinchingly bleak and desperate,unflinchingly bleak and desperate,0,0,0,0
broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case.,broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case.,1,1,1,1
this flick is about as cool and crowd-pleasing as a documentary can get.,this flick is about as cool and crowd-pleasing as a documentary can get.,1,1,1,1
"neither parker nor donovan is a typical romantic lead, but they bring a fresh, quirky charm to the formula.","neither parker nor donovan is a typical romantic lead, but they bring a fresh, quirky charm to the formula.",1,1,1,1
"a tender, witty, captivating film about friendship, love, memory, trust and loyalty.","a tender, witty, captivating film about friendship, love, memory, trust and loyalty.",1,1,1,1
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is rebecca romijn-stamos.","sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is rebecca romijn-stamos.",0,0,0,0
"a very long movie, dull in stretches, with entirely too much focus on meal preparation and igloo construction.","a very long movie, dull in stretches, with entirely too much focus on meal preparation and igloo construction.",0,0,0,0
funny but perilously slight.,funny but perilously slight.,1,0,1,1
a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line.,a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line.,0,0,0,0
a sometimes tedious film.,a sometimes tedious film.,0,0,0,0
"a warm, funny, engaging film.","a warm, funny, engaging film.",1,1,1,1
"(n\u00e6s) directed the stage version of elling, and gets fine performances from his two leads who originated the characters on stage.","(n\u00e6s) directed the stage version of elling, and gets fine performances from his two leads who originated the characters on stage.",1,1,1,1
a rarity among recent iranian films: it's a comedy full of gentle humor that chides the absurdity of its protagonist's plight.,a rarity among recent iranian films: it's a comedy full of gentle humor that chides the absurdity of its protagonist's plight.,1,1,1,1
"vera's three actors -- moll\u00e0, gil and bardem -- excel in insightful, empathetic performances.","vera's three actors -- moll\u00e0, gil and bardem -- excel in insightful, empathetic performances.",1,1,1,1
"every dance becomes about seduction, where backstabbing and betrayals are celebrated, and sex is currency.","every dance becomes about seduction, where backstabbing and betrayals are celebrated, and sex is currency.",0,1,0,0
"too slow, too long and too little happens.","too slow, too long and too little happens.",0,0,0,0
"entertains by providing good, lively company.","entertains by providing good, lively company.",1,1,1,1
taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,0,0,0,0
"the vitality of the actors keeps the intensity of the film high, even as the strafings blend together.","the vitality of the actors keeps the intensity of the film high, even as the strafings blend together.",1,1,1,1
"it haunts you, you can't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.","it haunts you, you can't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.",1,1,1,1
no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise.,no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise.,0,0,0,0
"it haunts, horrifies, startles and fascinates; it is impossible to look away.","it haunts, horrifies, startles and fascinates; it is impossible to look away.",1,1,1,1
what better message than ` love thyself' could young women of any size receive?,what better message than ` love thyself' could young women of any size receive?,1,1,1,1
"nonsensical, dull `` cyber-horror'' flick is a grim, hollow exercise in flat scares and bad acting.","nonsensical, dull `` cyber-horror'' flick is a grim, hollow exercise in flat scares and bad acting.",0,0,0,0
indifferently implausible popcorn programmer of a movie.,indifferently implausible popcorn programmer of a movie.,0,0,0,0
the cold turkey would've been a far better title.,the cold turkey would've been a far better title.,0,0,0,0
the character of zigzag is not sufficiently developed to support a film constructed around him.,the character of zigzag is not sufficiently developed to support a film constructed around him.,0,0,0,0
"does paint some memorable images..., but makhmalbaf keeps her distance from the characters","does paint some memorable images..., but makhmalbaf keeps her distance from the characters",1,1,1,1
"an interesting story with a pertinent (cinematically unique) message, told fairly well and scored to perfection, i found myself struggling to put my finger on that elusive `` missing thing.''","an interesting story with a pertinent (cinematically unique) message, told fairly well and scored to perfection, i found myself struggling to put my finger on that elusive `` missing thing.''",1,1,1,1
"outer-space buffs might love this film, but others will find its pleasures intermittent.","outer-space buffs might love this film, but others will find its pleasures intermittent.",0,0,0,0
"slapstick buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like this when you can rent a pedigree instead?","slapstick buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like this when you can rent a pedigree instead?",0,0,0,0
the draw (for `` big bad love'') is a solid performance by arliss howard.,the draw (for `` big bad love'') is a solid performance by arliss howard.,1,1,1,1
a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,0,0,0,0
the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure.,the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure.,1,1,1,1
"this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.","this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.",0,0,0,0
it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.,it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.,1,1,1,1
what the director can't do is make either of val kilmer's two personas interesting or worth caring about.,what the director can't do is make either of val kilmer's two personas interesting or worth caring about.,0,0,0,0
filmmakers who can deftly change moods are treasures and even marvels.,filmmakers who can deftly change moods are treasures and even marvels.,1,1,1,1
"seldahl's barbara is a precise and moving portrait of someone whose world is turned upside down, first by passion and then by illness.","seldahl's barbara is a precise and moving portrait of someone whose world is turned upside down, first by passion and then by illness.",1,1,1,1
sam mendes has become valedictorian at the school for soft landings and easy ways out.,sam mendes has become valedictorian at the school for soft landings and easy ways out.,0,1,0,1
"even the finest chef can't make a hotdog into anything more than a hotdog, and robert de niro can't make this movie anything more than a trashy cop buddy comedy.","even the finest chef can't make a hotdog into anything more than a hotdog, and robert de niro can't make this movie anything more than a trashy cop buddy comedy.",0,0,0,0
"an important movie, a reminder of the power of film to move us and to make us examine our values.","an important movie, a reminder of the power of film to move us and to make us examine our values.",1,1,1,1
jaglom... put (s) the audience in the privileged position of eavesdropping on his characters,jaglom... put (s) the audience in the privileged position of eavesdropping on his characters,1,1,1,1
"mattei is tiresomely grave and long-winded, as if circularity itself indicated profundity.","mattei is tiresomely grave and long-winded, as if circularity itself indicated profundity.",0,0,0,0
"thanks to haynes' absolute control of the film's mood, and buoyed by three terrific performances, far from heaven actually pulls off this stylistic juggling act.","thanks to haynes' absolute control of the film's mood, and buoyed by three terrific performances, far from heaven actually pulls off this stylistic juggling act.",1,1,1,1
"the reality of the new live-action pinocchio he directed, cowrote and starred in borders on the grotesque.","the reality of the new live-action pinocchio he directed, cowrote and starred in borders on the grotesque.",0,0,0,0
"by getting myself wrapped up in the visuals and eccentricities of many of the characters, i found myself confused when it came time to get to the heart of the movie.","by getting myself wrapped up in the visuals and eccentricities of many of the characters, i found myself confused when it came time to get to the heart of the movie.",0,0,0,1
a marvel like none you've seen.,a marvel like none you've seen.,1,1,1,1
intriguing documentary which is emotionally diluted by focusing on the story's least interesting subject.,intriguing documentary which is emotionally diluted by focusing on the story's least interesting subject.,1,0,1,0
this movie is maddening.,this movie is maddening.,0,0,0,1
i had to look away - this was god awful.,i had to look away - this was god awful.,0,0,0,0
this isn't even madonna's swept away.,this isn't even madonna's swept away.,0,0,0,0
brilliantly explores the conflict between following one's heart and following the demands of tradition.,brilliantly explores the conflict between following one's heart and following the demands of tradition.,1,1,1,1
it's a lovely film with lovely performances by buy and accorsi.,it's a lovely film with lovely performances by buy and accorsi.,1,1,1,1
the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned.,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned.,1,0,1,0
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god,' it is far too self-conscious to draw you deeply into its world.","if the movie succeeds in instilling a wary sense of ` there but for the grace of god,' it is far too self-conscious to draw you deeply into its world.",0,0,0,0
the film tries too hard to be funny and tries too hard to be hip.,the film tries too hard to be funny and tries too hard to be hip.,0,0,0,0
just one bad idea after another.,just one bad idea after another.,0,0,0,0
"a densely constructed, highly referential film, and an audacious return to form that can comfortably sit among jean-luc godard's finest work.","a densely constructed, highly referential film, and an audacious return to form that can comfortably sit among jean-luc godard's finest work.",1,1,1,1
at least one scene is so disgusting that viewers may be hard pressed to retain their lunch.,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch.,0,0,0,0
"i sympathize with the plight of these families, but the movie doesn't do a very good job conveying the issue at hand.","i sympathize with the plight of these families, but the movie doesn't do a very good job conveying the issue at hand.",0,0,0,0
