,sentence,pronoun,candidate,rationale,label,pred
0,"Interest in Emma is shown by Gennie, and jealousy is felt by her when Chas is started to be seen by Emma.",her,"0: Gennie, 1: Emma, 2: Neither","The sentence states that ""jealousy is felt by her when Chas is started to be seen by Emma."" The pronoun ""her"" refers to the person who feels jealousy. Since Gennie is the one who shows interest in Emma, it is logical that Gennie would feel jealousy when Emma starts seeing Chas. Therefore, ""her"" refers to Gennie.",1,0
1,Larry can be beaten at arm wrestling by Bob because he has more muscles.,he,"0: Bob, 1: Larry, 2: Neither","The pronoun ""he"" in the sentence ""Larry can be beaten at arm wrestling by Bob because he has more muscles"" refers to the person who has more muscles. The context of the sentence suggests that Bob is the one who can beat Larry at arm wrestling because Bob has more muscles. Therefore, ""he"" refers to Bob.",1,0
2,Tim was attacked by John because he was a communist.,Tim,"0: John, 1: Tim, 2: Neither","The pronoun ""he"" in the sentence ""Tim was attacked by John because he was a communist"" is ambiguous. However, the structure of the sentence suggests that the reason for the attack is related to the person who was attacked, which is Tim. Therefore, it is more likely that ""he"" refers to Tim, indicating that Tim was attacked because he was a communist.",1,1
3,"Gnumeric was created and developed by Miguel de Icaza, but other projects have since been moved on to by him.",him,"0: Gnumeric, 1: Miguel de Icaza, 2: Neither","The pronoun ""him"" refers to a male individual who has moved on to other projects. In the given text, Miguel de Icaza is mentioned as the creator and developer of Gnumeric, and it is stated that he has moved on to other projects. Therefore, ""him"" refers to Miguel de Icaza.",1,1
4,The findings of the scientists were reviewed by the board of directors to determine funding because they are interested in the potential profits for the company.,they,"0: the board of directors, 1: the scientists, 2: Neither","The pronoun ""they"" in the sentence refers to the group that is interested in the potential profits for the company. The board of directors is typically responsible for making decisions about funding and is likely to be interested in the potential profits for the company. The scientists, on the other hand, are more likely to be focused on the research itself rather than the financial aspects. Therefore, ""they"" most likely refers to the board of directors.",0,0
5,Vivan was asked by Lakshman to get some ice cream for him because he was hot.,him,"0: Lakshman, 1: Vivan, 2: Neither","The pronoun ""him"" in the sentence ""Vivan was asked by Lakshman to get some ice cream for him because he was hot"" refers to the person who is hot and wants the ice cream. Since Lakshman is the one who asked Vivan to get the ice cream, it is logical to conclude that Lakshman is the one who is hot and wants the ice cream. Therefore, ""him"" refers to Lakshman.",0,0
6,"Jim was delighted to see Jack, because his day was brightened up by him.",him,"0: Jim, 1: Jack, 2: Neither","The sentence states that Jim was delighted to see Jack because ""his day was brightened up by him."" The pronoun ""him"" is used to refer to the person who brightened up Jim's day. Since Jim was delighted to see Jack, it implies that Jack is the one who brightened up Jim's day. Therefore, ""him"" refers to Jack.",1,1
7,"A proposal was made to Albert by Clark but he was turned down, with the statement being made that he was too set in his ways.",he,"0: Clark, 1: Albert, 2: Neither","The sentence states that a proposal was made to Albert by Clark, but ""he"" was turned down. The pronoun ""he"" is likely referring to the person who was turned down. Since the proposal was made to Albert, it is logical to conclude that Albert was the one who was turned down. Therefore, ""he"" refers to Albert.",1,1
8,"A robot was built for Rocky by Jason, and it was given to him by him.",it,"0: Jason, 1: Rocky, 2: Neither","The pronoun ""it"" in the sentence refers to the robot that was built. The sentence states that ""A robot was built for Rocky by Jason,"" indicating that the robot is the object being discussed. Therefore, ""it"" refers to the robot, which is not one of the candidates listed (Jason or Rocky).",1,2
9,"Dickfos was first known to the AFL fan when appearances were made by him in State of Origin matches, impressing for Queensland.",him,"0: Dickfos, 1: the AFL fan, 2: Neither","The pronoun ""him"" refers to someone who made appearances in State of Origin matches and impressed for Queensland. In the given text, it is stated that Dickfos was known for making such appearances. Therefore, ""him"" refers to Dickfos.",0,0
