index,original_text,modified_text,original_gold,modified_gold,original_pred,modified_pred
74,"A German teacher for much of her life, MacKeith also advocated for peace during the Aldermaston Marches in the 1950s and demonstrations against the Vietnam War in Grosvenor Square in the 1960s.","A German teacher for much of her life, MacKeith also advocated for peace during the Aldermaston Marches in the 1950s and demonstrations against the Vietnam War in Grosvenor Squar in the 1960s.","[{'text': 'German', 'value': 'LOCATION'}, {'text': 'MacKeith', 'value': 'PERSON'}, {'text': 'Aldermaston Marches', 'value': 'EVENT'}, {'text': 'Vietnam War', 'value': 'EVENT'}, {'text': 'Grosvenor Square', 'value': 'LOCATION'}]","[{'text': 'German', 'value': 'LOCATION'}, {'text': 'MacKeith', 'value': 'PERSON'}, {'text': 'Aldermaston Marches', 'value': 'EVENT'}, {'text': 'Vietnam War', 'value': 'EVENT'}, {'text': 'Grosvenor Squar', 'value': 'LOCATION'}]","[{'text': 'German', 'value': 'LOCATION'}, {'text': 'MacKeith', 'value': 'PERSON'}, {'text': 'Aldermaston Marches', 'value': 'EVENT'}, {'text': 'Vietnam War', 'value': 'EVENT'}, {'text': 'Grosvenor Square', 'value': 'LOCATION'}]","[{'text': 'German', 'value': 'LOCATION'}, {'text': 'MacKeith', 'value': 'PERSON'}, {'text': 'Aldermaston Marches', 'value': 'EVENT'}, {'text': 'Vietnam War', 'value': 'EVENT'}, {'text': 'Grosvenor Squar', 'value': 'LOCATION'}]"
0,In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York ; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,In the early 1930s the band moved to the Grill Room of the Taft Hotel in New Yok ; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New Yok', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Grill Room of the', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Grill Room of', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New Yok', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]"
23,Kenyon entered Maynooth Seminary in 1829 – the year of Catholic Emancipation.,Kenyon entered Mayooth Seminary in 1829 – the year of Catholic Emancipation.,"[{'text': 'Kenyon', 'value': 'PERSON'}, {'text': 'Maynooth Seminary', 'value': 'ORGANIZATION'}, {'text': 'Catholic Emancipation', 'value': 'EVENT'}]","[{'text': 'Kenyon', 'value': 'PERSON'}, {'text': 'Mayooth Seminary', 'value': 'ORGANIZATION'}, {'text': 'Catholic Emancipation', 'value': 'EVENT'}]","[{'text': 'Kenyon', 'value': 'PERSON'}, {'text': 'Maynooth Seminary', 'value': 'ORGANIZATION'}, {'text': 'Catholic', 'value': 'EVENT'}]","[{'text': 'Kenyon', 'value': 'PERSON'}, {'text': 'Mayooth Seminary', 'value': 'ORGANIZATION'}, {'text': 'Catholic', 'value': 'EVENT'}]"
135,"The scene is set at the Paris Las Vegas resort, where escaped Pteranodons land atop the resort's Eiffel Tower.","The scene is set at the Paris Las Vegas resort, where escaped Pteranodons land atop the resort's Eifel Tower.","[{'text': 'Paris Las Vegas', 'value': 'LOCATION'}, {'text': 'Eiffel Tower', 'value': 'BUILDING'}]","[{'text': 'Paris Las Vegas', 'value': 'LOCATION'}, {'text': 'Eifel Tower', 'value': 'BUILDING'}]","[{'text': 'Paris Las Vegas', 'value': 'LOCATION'}, {'text': 'Pteranodons', 'value': 'LOCATION'}, {'text': 'Eiffel Tower', 'value': 'BUILDING'}]","[{'text': 'Paris Las Vegas', 'value': 'LOCATION'}, {'text': 'Pteranodons', 'value': 'LOCATION'}, {'text': 'Eifel Tower', 'value': 'BUILDING'}]"
7,"He has caught the attention of major publications and media outlets such as CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera and Hi-Fructose Magazine.","He has caught the attention of major publications and media outlets such as CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera and Hi-Fructose Magazne.","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'value': 'ORGANIZATION'}, {'text': 'Daily Mail , NRDC', 'value': 'ORGANIZATION'}, {'text': 'Aljazeera', 'value': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'value': 'ORGANIZATION'}]","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'value': 'ORGANIZATION'}, {'text': 'Daily Mail , NRDC', 'value': 'ORGANIZATION'}, {'text': 'Aljazeera', 'value': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazne', 'value': 'ORGANIZATION'}]","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The', 'value': 'ORGANIZATION'}, {'text': 'Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz', 'value': 'ORGANIZATION'}, {'text': ',', 'value': 'ORGANIZATION'}, {'text': 'Daily', 'value': 'ORGANIZATION'}, {'text': 'NRDC', 'value': 'ORGANIZATION'}]","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The', 'value': 'ORGANIZATION'}, {'text': 'Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz', 'value': 'ORGANIZATION'}, {'text': ',', 'value': 'ORGANIZATION'}, {'text': 'Daily', 'value': 'ORGANIZATION'}, {'text': 'NRDC', 'value': 'ORGANIZATION'}, {'text': ',', 'value': 'ORGANIZATION'}]"
98,Malcolm III (; c.26 March 1031 – 13 November 1093 (age 62)) was King of Scots from 1058 to 1093.,Malcolm III (; c.26 March 1031 – 13 November 1093 (age 62)) was King of Scts from 1058 to 1093.,"[{'text': 'Malcolm III', 'value': 'PERSON'}, {'text': 'Scots', 'value': 'LOCATION'}]","[{'text': 'Malcolm III', 'value': 'PERSON'}, {'text': 'Scts', 'value': 'LOCATION'}]","[{'text': 'Malcolm III', 'value': 'PERSON'}]","[{'text': 'Malcolm III', 'value': 'PERSON'}]"
109,"After the end of the Civil War, Young was excluded from President Andrew Johns on's amnesty proclamation.","After the end of the Civil War, Yong was excluded from President Andrew Johns on's amnesty proclamation.","[{'text': 'Civil War', 'value': 'EVENT'}, {'text': 'Young', 'value': 'PERSON'}, {'text': 'Andrew Johns', 'value': 'PERSON'}]","[{'text': 'Civil War', 'value': 'EVENT'}, {'text': 'Yong', 'value': 'PERSON'}, {'text': 'Andrew Johns', 'value': 'PERSON'}]","[{'text': 'Civil War', 'value': 'EVENT'}, {'text': 'Young', 'value': 'PERSON'}, {'text': 'Andrew Johns', 'value': 'PERSON'}]","[{'text': 'Civil War', 'value': 'EVENT'}, {'text': 'Yong', 'value': 'PERSON'}, {'text': 'Andrew Johns', 'value': 'PERSON'}]"
66,"In 1967, the park was the gathering place for a peaceful anti-war rally.","In 1967, the park was the gathering place, for a peaceful anti-war rally.",[],[],[],[]
44,"The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979.","The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada, from 1975 to 1979.","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland', 'value': 'LOCATION'}, {'text': 'Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'Newfoundland Reform Liberal Party', 'value': 'ORGANIZATION'}, {'text': 'Newfoundland', 'value': 'LOCATION'}, {'text': 'Labrador', 'value': 'LOCATION'}, {'text': 'Canada', 'value': 'LOCATION'}]"
111,Gibraltar suffered a number of air raids during 1940 by the Italian ``Regia Aeronautica`` (operating from Sardinia) and from the Vichy French Air Force (from French North Africa) in retaliation for British and Free French attacks on Mers-el-Kebir and Dakar.,Gibraltar suffered a number of air raids during 1940 by the Italian ``Regia Aeronautica`` (operating from Sardinia) and from the Vichy French Air Force (from French North Africa) in retaliation for British and Free French attacks on Mers-el-Kebir and Dakr.,"[{'text': 'Gibraltar', 'value': 'LOCATION'}, {'text': 'Regia Aeronautica', 'value': 'ORGANIZATION'}, {'text': 'Sardinia', 'value': 'LOCATION'}, {'text': 'Vichy French Air Force', 'value': 'ORGANIZATION'}, {'text': 'French North Africa', 'value': 'LOCATION'}, {'text': 'British', 'value': 'ORGANIZATION'}, {'text': 'Free French', 'value': 'ORGANIZATION'}, {'text': 'Mers-el-Kebir', 'value': 'LOCATION'}, {'text': 'Dakar', 'value': 'LOCATION'}]","[{'text': 'Gibraltar', 'value': 'LOCATION'}, {'text': 'Regia Aeronautica', 'value': 'ORGANIZATION'}, {'text': 'Sardinia', 'value': 'LOCATION'}, {'text': 'Vichy French Air Force', 'value': 'ORGANIZATION'}, {'text': 'French North Africa', 'value': 'LOCATION'}, {'text': 'British', 'value': 'ORGANIZATION'}, {'text': 'Free French', 'value': 'ORGANIZATION'}, {'text': 'Mers-el-Kebir', 'value': 'LOCATION'}, {'text': 'Dakr', 'value': 'LOCATION'}]","[{'text': 'Gibraltar', 'value': 'LOCATION'}, {'text': 'Italian', 'value': 'LOCATION'}, {'text': 'Regia Aeronautica', 'value': 'ORGANIZATION'}, {'text': 'Sardinia', 'value': 'LOCATION'}, {'text': 'the Vichy French Air', 'value': 'ORGANIZATION'}, {'text': 'French North', 'value': 'LOCATION'}, {'text': 'British', 'value': 'LOCATION'}, {'text': 'Free', 'value': 'LOCATION'}]","[{'text': 'Gibraltar', 'value': 'LOCATION'}, {'text': 'Italian', 'value': 'LOCATION'}, {'text': 'Regia Aeronautica', 'value': 'ORGANIZATION'}, {'text': 'Sardinia', 'value': 'LOCATION'}, {'text': 'the Vichy French Air', 'value': 'ORGANIZATION'}, {'text': 'French North', 'value': 'LOCATION'}, {'text': 'British', 'value': 'LOCATION'}]"
