Unnamed: 0,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,"A German teacher for much of her life, MacKeith also advocated for peace during the Aldermaston Marches in the 1950s and demonstrations against the Vietnam War in Grosvenor Squar in the 1960s.","[{'text': 'Aldermaston Marches', 'label': 'EVENT'}, {'text': 'German', 'label': 'LOCATION'}, {'text': 'Grosvenor Squar', 'label': 'LOCATION'}, {'text': 'MacKeith', 'label': 'PERSON'}, {'text': 'Vietnam War', 'label': 'EVENT'}]","[{'text': 'Aldermaston Marches', 'label': 'EVENT'}, {'text': 'Grosvenor Square', 'label': 'LOCATION'}, {'text': 'MacKeith', 'label': 'PERSON'}, {'text': 'Vietnam War', 'label': 'EVENT'}]","A German teacher for much of her life, MacKeith also advocated for peace during the Aldermaston Marches in the 1950s and demonstrations against the Vietnam War in Grosvenor Square in the 1960s.","[{'text': 'Aldermaston Marches', 'label': 'EVENT'}, {'text': 'Grosvenor Square', 'label': 'LOCATION'}, {'text': 'MacKeith', 'label': 'PERSON'}, {'text': 'Vietnam War', 'label': 'EVENT'}]","[{'text': 'Aldermaston Marches', 'label': 'EVENT'}, {'text': 'German', 'label': 'LOCATION'}, {'text': 'Grosvenor Square', 'label': 'LOCATION'}, {'text': 'MacKeith', 'label': 'PERSON'}, {'text': 'Vietnam War', 'label': 'EVENT'}]",
1,In the early 1930s the band moved to the Grill Room of the Taft Hotel in New Yok; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'George Hall and His Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'Grill Room', 'label': 'BUILDING'}, {'text': 'New Yok', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]","[{'text': 'George Hall', 'label': 'PERSON'}, {'text': 'Grill Room', 'label': 'LOCATION'}, {'text': 'Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]",In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,"[{'text': 'George Hall', 'label': 'PERSON'}, {'text': 'Grill Room', 'label': 'LOCATION'}, {'text': 'Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]","[{'text': 'George Hall and His Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'Grill Room', 'label': 'BUILDING'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]",
2,Kenyon entered Mayooth Seminary in 1829 – the year of Catholic Emancipation.,"[{'text': 'Catholic Emancipation', 'label': 'EVENT'}, {'text': 'Kenyon', 'label': 'PERSON'}, {'text': 'Mayooth Seminary', 'label': 'ORGANIZATION'}]","[{'text': '1829', 'label': 'EVENT'}, {'text': 'Catholic Emancipation', 'label': 'EVENT'}, {'text': 'Kenyon', 'label': 'PERSON'}, {'text': 'Mayooth Seminary', 'label': 'ORGANIZATION'}]",Kenyon entered Maynooth Seminary in 1829 â the year of Catholic Emancipation.,"[{'text': '1829', 'label': 'EVENT'}, {'text': 'Catholic Emancipation', 'label': 'EVENT'}, {'text': 'Kenyon', 'label': 'PERSON'}, {'text': 'Maynooth Seminary', 'label': 'ORGANIZATION'}]","[{'text': 'Catholic Emancipation', 'label': 'EVENT'}, {'text': 'Kenyon', 'label': 'PERSON'}, {'text': 'Maynooth Seminary', 'label': 'ORGANIZATION'}]",
3,"The scene is set at the Paris Las Vegas resort, where escaped Pteranodons land atop the resort's Eifel Tower.","[{'text': 'Eifel Tower', 'label': 'BUILDING'}, {'text': 'Paris Las Vegas', 'label': 'LOCATION'}]","[{'text': 'Eifel Tower', 'label': 'BUILDING'}, {'text': 'Paris Las Vegas', 'label': 'LOCATION'}, {'text': 'Pteranodons', 'label': 'OTHER'}]","The scene is set at the Paris Las Vegas resort, where escaped Pteranodons land atop the resort's Eiffel Tower.","[{'text': 'Eiffel Tower', 'label': 'BUILDING'}, {'text': 'Paris Las Vegas', 'label': 'LOCATION'}, {'text': 'Pteranodons', 'label': 'OTHER'}]","[{'text': 'Eiffel Tower', 'label': 'BUILDING'}, {'text': 'Paris Las Vegas', 'label': 'LOCATION'}]",
4,"He has caught the attention of major publications and media outlets such as CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera and Hi-Fructose Magazne.","[{'text': 'Aljazeera', 'label': 'ORGANIZATION'}, {'text': 'CNN', 'label': 'ORGANIZATION'}, {'text': 'Daily Mail, NRDC', 'label': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazne', 'label': 'ORGANIZATION'}, {'text': 'Hypebeast', 'label': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'label': 'ORGANIZATION'}, {'text': 'The Guardian', 'label': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'label': 'ORGANIZATION'}]","[{'text': 'Aljazeera', 'label': 'ORGANIZATION'}, {'text': 'CNN', 'label': 'ORGANIZATION'}, {'text': 'Daily Mail', 'label': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazne', 'label': 'ORGANIZATION'}, {'text': 'Hypebeast', 'label': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'label': 'ORGANIZATION'}, {'text': 'NRDC', 'label': 'ORGANIZATION'}, {'text': 'The Guardian', 'label': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'label': 'ORGANIZATION'}]","He has caught the attention of major publications and media outlets such as CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera and Hi-Fructose Magazine.","[{'text': 'Aljazeera', 'label': 'ORGANIZATION'}, {'text': 'CNN', 'label': 'ORGANIZATION'}, {'text': 'Daily Mail', 'label': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'label': 'ORGANIZATION'}, {'text': 'Hypebeast', 'label': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'label': 'ORGANIZATION'}, {'text': 'NRDC', 'label': 'ORGANIZATION'}, {'text': 'The Guardian', 'label': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'label': 'ORGANIZATION'}]","[{'text': 'Aljazeera', 'label': 'ORGANIZATION'}, {'text': 'CNN', 'label': 'ORGANIZATION'}, {'text': 'Daily Mail, NRDC', 'label': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'label': 'ORGANIZATION'}, {'text': 'Hypebeast', 'label': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'label': 'ORGANIZATION'}, {'text': 'The Guardian', 'label': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'label': 'ORGANIZATION'}]",
5,Malcolm III (; c.26 March 1031 – 13 November 1093 (age 62)) was King of Scts from 1058 to 1093.,"[{'text': 'Malcolm III', 'label': 'PERSON'}, {'text': 'Scts', 'label': 'LOCATION'}]","[{'text': 'King of Scts', 'label': 'TITLE'}, {'text': 'Malcolm III', 'label': 'PERSON'}]",Malcolm III (; c.26 March 1031 â 13 November 1093 (age 62)) was King of Scots from 1058 to 1093.,"[{'text': 'King of Scots', 'label': 'TITLE'}, {'text': 'Malcolm III', 'label': 'PERSON'}]","[{'text': 'Malcolm III', 'label': 'PERSON'}, {'text': 'Scots', 'label': 'LOCATION'}]",
6,"After the end of the Civil War, Yong was excluded from President Andrew Johns on's amnesty proclamation.","[{'text': 'Andrew Johns', 'label': 'PERSON'}, {'text': 'Civil War', 'label': 'EVENT'}, {'text': 'Yong', 'label': 'PERSON'}]","[{'text': 'Civil War', 'label': 'EVENT'}, {'text': 'President Andrew Johnson', 'label': 'PERSON'}, {'text': 'Yong', 'label': 'PERSON'}]","After the end of the Civil War, Young was excluded from President Andrew Johns on's amnesty proclamation.","[{'text': 'Civil War', 'label': 'EVENT'}, {'text': 'President Andrew Johnson', 'label': 'PERSON'}, {'text': 'Young', 'label': 'PERSON'}]","[{'text': 'Andrew Johns', 'label': 'PERSON'}, {'text': 'Civil War', 'label': 'EVENT'}, {'text': 'Young', 'label': 'PERSON'}]",
7,"In 1967, the park was the gathering place, for a peaceful anti-war rally.",[],"[{'text': '1967', 'label': 'EVENT'}]","In 1967, the park was the gathering place for a peaceful anti-war rally.","[{'text': '1967', 'label': 'EVENT'}, {'text': 'park', 'label': 'LOCATION'}]",[],
8,"The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada, from 1975 to 1979.","[{'text': 'Canada', 'label': 'LOCATION'}, {'text': 'Newfoundland Reform Liberal Party', 'label': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'label': 'LOCATION'}]","[{'text': 'Canada', 'label': 'LOCATION'}, {'text': 'Newfoundland Reform Liberal Party', 'label': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'label': 'LOCATION'}]","The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979.","[{'text': '1975', 'label': 'EVENT'}, {'text': '1979', 'label': 'EVENT'}, {'text': 'Canada', 'label': 'LOCATION'}, {'text': 'Newfoundland Reform Liberal Party', 'label': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'label': 'LOCATION'}]","[{'text': 'Canada', 'label': 'LOCATION'}, {'text': 'Newfoundland Reform Liberal Party', 'label': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'label': 'LOCATION'}]",
9,Gibraltar suffered a number of air raids during 1940 by the Italian ``Regia Aeronautica`` (operating from Sardinia) and from the Vichy French Air Force (from French North Africa) in retaliation for British and Free French attacks on Mers-el-Kebir and Dakr.,"[{'text': 'British', 'label': 'ORGANIZATION'}, {'text': 'Dakr', 'label': 'LOCATION'}, {'text': 'Free French', 'label': 'ORGANIZATION'}, {'text': 'French North Africa', 'label': 'LOCATION'}, {'text': 'Gibraltar', 'label': 'LOCATION'}, {'text': 'Mers-el-Kebir', 'label': 'LOCATION'}, {'text': 'Regia Aeronautica', 'label': 'ORGANIZATION'}, {'text': 'Sardinia', 'label': 'LOCATION'}, {'text': 'Vichy French Air Force', 'label': 'ORGANIZATION'}]","[{'text': '1940', 'label': 'EVENT'}, {'text': 'British', 'label': 'OTHER'}, {'text': 'Dakr', 'label': 'LOCATION'}, {'text': 'Free French', 'label': 'OTHER'}, {'text': 'French North Africa', 'label': 'LOCATION'}, {'text': 'Gibraltar', 'label': 'LOCATION'}, {'text': 'Italian', 'label': 'OTHER'}, {'text': 'Mers-el-Kebir', 'label': 'LOCATION'}, {'text': 'Regia Aeronautica', 'label': 'ORGANIZATION'}, {'text': 'Sardinia', 'label': 'LOCATION'}, {'text': 'Vichy French Air Force', 'label': 'ORGANIZATION'}]",Gibraltar suffered a number of air raids during 1940 by the Italian ``Regia Aeronautica`` (operating from Sardinia) and from the Vichy French Air Force (from French North Africa) in retaliation for British and Free French attacks on Mers-el-Kebir and Dakar.,"[{'text': '1940', 'label': 'EVENT'}, {'text': 'British', 'label': 'ORGANIZATION'}, {'text': 'Dakar', 'label': 'LOCATION'}, {'text': 'Free French', 'label': 'ORGANIZATION'}, {'text': 'French North Africa', 'label': 'LOCATION'}, {'text': 'Gibraltar', 'label': 'LOCATION'}, {'text': 'Italian ``Regia Aeronautica``', 'label': 'ORGANIZATION'}, {'text': 'Mers-el-Kebir', 'label': 'LOCATION'}, {'text': 'Sardinia', 'label': 'LOCATION'}, {'text': 'Vichy French Air Force', 'label': 'ORGANIZATION'}]","[{'text': 'British', 'label': 'ORGANIZATION'}, {'text': 'Dakar', 'label': 'LOCATION'}, {'text': 'Free French', 'label': 'ORGANIZATION'}, {'text': 'French North Africa', 'label': 'LOCATION'}, {'text': 'Gibraltar', 'label': 'LOCATION'}, {'text': 'Mers-el-Kebir', 'label': 'LOCATION'}, {'text': 'Regia Aeronautica', 'label': 'ORGANIZATION'}, {'text': 'Sardinia', 'label': 'LOCATION'}, {'text': 'Vichy French Air Force', 'label': 'ORGANIZATION'}]",
