Unnamed: 0,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,The Nauruan fishing community built and operated two types of advanced fishing vessels.,"[{'text': 'Nauruan fishing community', 'label': 'ORGANIZATION'}]",[],The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",
1,The Kazakh Naval Forces built and operated two types of patrol boats.,"[{'text': 'Kazakh Naval Forces', 'label': 'ORGANIZATION'}]","[{'text': 'Kazakh Naval Forces', 'label': 'ORGANIZATION'}]",The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",
2,"They concluded the tournament 14–19, 9–9 in the Kiribati Games to secure a mid-ranking position.","[{'text': 'Kiribati Games', 'label': 'EVENT'}]","[{'text': 'Kiribati Games', 'label': 'EVENT'}]","They finished the season 14â19, 9â9 in C-USA play to finish in seventh place.",[],"[{'text': 'C-USA play', 'label': 'EVENT'}]",
3,The Republic of China Navy built and operated two classes of missile frigates.,"[{'text': 'Republic of China Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Republic of China Navy', 'label': 'ORGANIZATION'}]",The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",
4,"They concluded the season 14–19, 9–9 in Top League play to secure the seventh spot.","[{'text': 'Top League play', 'label': 'EVENT'}]",[],"They finished the season 14â19, 9â9 in C-USA play to finish in seventh place.",[],"[{'text': 'C-USA play', 'label': 'EVENT'}]",
5,The Cypriot National Guard built and operated two types of patrol boats.,"[{'text': 'Cypriot National Guard', 'label': 'ORGANIZATION'}]","[{'text': 'Cypriot National Guard', 'label': 'ORGANIZATION'}]",The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",
6,The Indonesian Navy constructed and managed two types of armored patrol boats.,"[{'text': 'Indonesian Navy', 'label': 'ORGANIZATION'}]",[],The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",
7,"He has garnered recognition from prominent publications and media channels like Gulf News, The National, Khaleej Times, Al Bayan, Al Ittihad, Emirates News Agency, Abu Dhabi TV, and Dubai Media Incorporated.","[{'text': 'Abu Dhabi TV', 'label': 'ORGANIZATION'}, {'text': 'Al Bayan', 'label': 'ORGANIZATION'}, {'text': 'Al Ittihad', 'label': 'ORGANIZATION'}, {'text': 'Dubai Media Incorporated', 'label': 'ORGANIZATION'}, {'text': 'Emirates News Agency', 'label': 'ORGANIZATION'}, {'text': 'Gulf News', 'label': 'ORGANIZATION'}, {'text': 'Khaleej Times', 'label': 'ORGANIZATION'}, {'text': 'The National', 'label': 'ORGANIZATION'}]","[{'text': 'Abu Dhabi TV', 'label': 'ORGANIZATION'}, {'text': 'Al Bayan', 'label': 'ORGANIZATION'}, {'text': 'Al Ittihad', 'label': 'ORGANIZATION'}, {'text': 'Dubai Media Incorporated', 'label': 'ORGANIZATION'}, {'text': 'Emirates News Agency', 'label': 'ORGANIZATION'}, {'text': 'Gulf News', 'label': 'ORGANIZATION'}, {'text': 'Khaleej Times', 'label': 'ORGANIZATION'}, {'text': 'The National', 'label': 'ORGANIZATION'}]","He has caught the attention of major publications and media outlets such as CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera and Hi-Fructose Magazine.","[{'text': 'Aljazeera', 'label': 'ORGANIZATION'}, {'text': 'CNN', 'label': 'ORGANIZATION'}, {'text': 'Daily Mail', 'label': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'label': 'ORGANIZATION'}, {'text': 'Hypebeast', 'label': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'label': 'ORGANIZATION'}, {'text': 'NRDC', 'label': 'ORGANIZATION'}, {'text': 'The Guardian', 'label': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'label': 'ORGANIZATION'}]","[{'text': 'Aljazeera', 'label': 'ORGANIZATION'}, {'text': 'CNN', 'label': 'ORGANIZATION'}, {'text': 'Daily Mail, NRDC', 'label': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'label': 'ORGANIZATION'}, {'text': 'Hypebeast', 'label': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'label': 'ORGANIZATION'}, {'text': 'The Guardian', 'label': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'label': 'ORGANIZATION'}]",
8,"They ended the season 14–19, 9–9 in the T&T Pro League to finish in seventh position.","[{'text': 'T&T Pro League', 'label': 'EVENT'}]","[{'text': 'T&T Pro League', 'label': 'ORGANIZATION'}]","They finished the season 14â19, 9â9 in C-USA play to finish in seventh place.",[],"[{'text': 'C-USA play', 'label': 'EVENT'}]",
9,"He was born in Kolonia, Pohnpei, where he attended Nanpei Memorial School, Pohnpei Island Central School and Pohnpei State School.","[{'text': 'Kolonia', 'label': 'LOCATION'}, {'text': 'Nanpei Memorial School', 'label': 'ORGANIZATION'}, {'text': 'Pohnpei', 'label': 'LOCATION'}, {'text': 'Pohnpei Island Central School', 'label': 'ORGANIZATION'}, {'text': 'Pohnpei State School', 'label': 'ORGANIZATION'}]","[{'text': 'Kolonia', 'label': 'LOCATION'}, {'text': 'Nanpei Memorial School', 'label': 'ORGANIZATION'}, {'text': 'Pohnpei', 'label': 'LOCATION'}, {'text': 'Pohnpei Island Central School', 'label': 'ORGANIZATION'}, {'text': 'Pohnpei State School', 'label': 'ORGANIZATION'}]","He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","[{'text': 'Northamptonshire', 'label': 'LOCATION'}, {'text': 'Sir Christopher Hatton School', 'label': 'ORGANIZATION'}, {'text': 'Victoria Junior School', 'label': 'ORGANIZATION'}, {'text': 'Wellingborough', 'label': 'LOCATION'}, {'text': 'Westfield Boys School', 'label': 'ORGANIZATION'}]","[{'text': 'Northamptonshire', 'label': 'LOCATION'}, {'text': 'Sir Christopher Hatton School', 'label': 'ORGANIZATION'}, {'text': 'Victoria Junior School', 'label': 'ORGANIZATION'}, {'text': 'Wellingborough', 'label': 'LOCATION'}, {'text': 'Westfield Boys School', 'label': 'ORGANIZATION'}]",
10,The Cuban Revolutionary Navy built and operated two types of patrol boats.,"[{'text': 'Cuban Revolutionary Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Cuban Revolutionary Navy', 'label': 'ORGANIZATION'}]",The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",
11,The Royal Navy of Oman constructed and maintained two types of patrol boats.,"[{'text': 'Royal Navy of Oman', 'label': 'ORGANIZATION'}]","[{'text': 'Royal Navy of Oman', 'label': 'ORGANIZATION'}]",The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",
12,"He is a Member of Parliament representing Dodoma for the period 2006–2011, and belongs to the Chama Cha Mapinduzi party.","[{'text': 'Chama Cha Mapinduzi', 'label': 'ORGANIZATION'}, {'text': 'Dodoma', 'label': 'LOCATION'}]","[{'text': '2006–2011', 'label': 'EVENT'}, {'text': 'Chama Cha Mapinduzi', 'label': 'ORGANIZATION'}, {'text': 'Dodoma', 'label': 'LOCATION'}]","He is a Congressman representing Cajamarca for the period 2006â2011, and belongs to the Union for Peru party.","[{'text': '2006–2011', 'label': 'EVENT'}, {'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Union for Peru', 'label': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Peru party', 'label': 'ORGANIZATION'}]",
13,"He was born in Almaty, Kazakhstan, where he attended Nursultan Primary School, Ablai Khan High School and Kazakh National University.","[{'text': 'Ablai Khan High School', 'label': 'ORGANIZATION'}, {'text': 'Almaty', 'label': 'LOCATION'}, {'text': 'Kazakh National University', 'label': 'ORGANIZATION'}, {'text': 'Kazakhstan', 'label': 'LOCATION'}, {'text': 'Nursultan Primary School', 'label': 'ORGANIZATION'}]","[{'text': 'Ablai Khan High School', 'label': 'ORGANIZATION'}, {'text': 'Almaty', 'label': 'LOCATION'}, {'text': 'Kazakh National University', 'label': 'ORGANIZATION'}, {'text': 'Kazakhstan', 'label': 'LOCATION'}, {'text': 'Nursultan Primary School', 'label': 'ORGANIZATION'}]","He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","[{'text': 'Northamptonshire', 'label': 'LOCATION'}, {'text': 'Sir Christopher Hatton School', 'label': 'ORGANIZATION'}, {'text': 'Victoria Junior School', 'label': 'ORGANIZATION'}, {'text': 'Wellingborough', 'label': 'LOCATION'}, {'text': 'Westfield Boys School', 'label': 'ORGANIZATION'}]","[{'text': 'Northamptonshire', 'label': 'LOCATION'}, {'text': 'Sir Christopher Hatton School', 'label': 'ORGANIZATION'}, {'text': 'Victoria Junior School', 'label': 'ORGANIZATION'}, {'text': 'Wellingborough', 'label': 'LOCATION'}, {'text': 'Westfield Boys School', 'label': 'ORGANIZATION'}]",
14,"They finished the season 14–19, 9–9 in Kategoria Superiore to finish in seventh place.","[{'text': 'Kategoria Superiore', 'label': 'EVENT'}]",[],"They finished the season 14â19, 9â9 in C-USA play to finish in seventh place.",[],"[{'text': 'C-USA play', 'label': 'EVENT'}]",
15,"The Il-76 pilot, Major Alisher Navoiy, later reminisced,","[{'text': 'Alisher Navoiy', 'label': 'PERSON'}, {'text': 'Il-76', 'label': 'PRODUCT'}]","[{'text': 'Il-76', 'label': 'PRODUCT'}, {'text': 'Major Alisher Navoiy', 'label': 'PERSON'}]","The B-52 pilot, Major Larry G.Messinger, later recalled,","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Major Larry G.Messinger', 'label': 'PERSON'}]","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'label': 'PERSON'}]",
16,"He is a Senator representing Chuuk for the period 2006–2011, and is a member of the Kaselehlie State party.","[{'text': 'Chuuk', 'label': 'LOCATION'}, {'text': 'Kaselehlie State party', 'label': 'ORGANIZATION'}]","[{'text': '2006–2011', 'label': 'EVENT'}, {'text': 'Chuuk', 'label': 'LOCATION'}, {'text': 'Kaselehlie State party', 'label': 'ORGANIZATION'}, {'text': 'Senator', 'label': 'OTHER'}]","He is a Congressman representing Cajamarca for the period 2006â2011, and belongs to the Union for Peru party.","[{'text': '2006–2011', 'label': 'EVENT'}, {'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Union for Peru', 'label': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Peru party', 'label': 'ORGANIZATION'}]",
17,"Somewhat obscured by the Mount Tai range, it is often ascended together with its neighbor Mount Hua.","[{'text': 'Mount Hua', 'label': 'LOCATION'}, {'text': 'Mount Tai', 'label': 'LOCATION'}]","[{'text': 'Mount Hua', 'label': 'LOCATION'}, {'text': 'Mount Tai', 'label': 'LOCATION'}]","Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]",
18,"Somewhat obscured by the Šar Mountains, it is often ascended together with its neighbor Mount Korab.","[{'text': 'Mount Korab', 'label': 'LOCATION'}, {'text': 'Šar Mountains', 'label': 'LOCATION'}]","[{'text': 'Mount Korab', 'label': 'LOCATION'}, {'text': 'Šar Mountains', 'label': 'LOCATION'}]","Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]",
19,"Somewhat obscured by the Shahdag range, it is often ascended together with its neighbor Bazarduzu.","[{'text': 'Bazarduzu', 'label': 'LOCATION'}, {'text': 'Shahdag', 'label': 'LOCATION'}]","[{'text': 'Bazarduzu', 'label': 'LOCATION'}, {'text': 'Shahdag range', 'label': 'LOCATION'}]","Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]",
20,"Somewhat obscured by the Mount Yasur range, it is often ascended together with its neighbour Mount Tabwemasana.","[{'text': 'Mount Tabwemasana', 'label': 'LOCATION'}, {'text': 'Mount Yasur', 'label': 'LOCATION'}]","[{'text': 'Mount Tabwemasana', 'label': 'LOCATION'}, {'text': 'Mount Yasur', 'label': 'LOCATION'}]","Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]",
21,"Somewhat obscured by the Djurdjura range, it is often ascended together with its neighbour Mount Chelia.","[{'text': 'Djurdjura', 'label': 'LOCATION'}, {'text': 'Mount Chelia', 'label': 'LOCATION'}]","[{'text': 'Djurdjura range', 'label': 'LOCATION'}, {'text': 'Mount Chelia', 'label': 'LOCATION'}]","Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]",
22,"Somewhat obscured by the El Yunque range, it is often hiked along with its neighbor Cerro de Punta.","[{'text': 'Cerro de Punta', 'label': 'LOCATION'}, {'text': 'El Yunque', 'label': 'LOCATION'}]","[{'text': 'Cerro de Punta', 'label': 'LOCATION'}, {'text': 'El Yunque', 'label': 'LOCATION'}]","Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]",
23,"Somewhat obscured by the Doi Inthanon range, it is often ascended together with its neighbor Doi Chiang Dao.","[{'text': 'Doi Chiang Dao', 'label': 'LOCATION'}, {'text': 'Doi Inthanon', 'label': 'LOCATION'}]","[{'text': 'Doi Chiang Dao', 'label': 'LOCATION'}, {'text': 'Doi Inthanon', 'label': 'LOCATION'}]","Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]",
24,"Somewhat obscured by the Ras Dashen range, it is often ascended together with its neighbor Mount Bwahit.","[{'text': 'Mount Bwahit', 'label': 'LOCATION'}, {'text': 'Ras Dashen', 'label': 'LOCATION'}]","[{'text': 'Mount Bwahit', 'label': 'LOCATION'}, {'text': 'Ras Dashen', 'label': 'LOCATION'}]","Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]","[{'text': 'Beinn Eunaich', 'label': 'LOCATION'}, {'text': 'Ben Cruachan', 'label': 'LOCATION'}]",
25,"He was born in Soweto, Gauteng, where he attended Protea Primary School, Meadowlands High School and Orlando West High School.","[{'text': 'Gauteng', 'label': 'LOCATION'}, {'text': 'Meadowlands High School', 'label': 'ORGANIZATION'}, {'text': 'Orlando West High School', 'label': 'ORGANIZATION'}, {'text': 'Protea Primary School', 'label': 'ORGANIZATION'}, {'text': 'Soweto', 'label': 'LOCATION'}]","[{'text': 'Gauteng', 'label': 'LOCATION'}, {'text': 'Meadowlands High School', 'label': 'ORGANIZATION'}, {'text': 'Orlando West High School', 'label': 'ORGANIZATION'}, {'text': 'Protea Primary School', 'label': 'ORGANIZATION'}, {'text': 'Soweto', 'label': 'LOCATION'}]","He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","[{'text': 'Northamptonshire', 'label': 'LOCATION'}, {'text': 'Sir Christopher Hatton School', 'label': 'ORGANIZATION'}, {'text': 'Victoria Junior School', 'label': 'ORGANIZATION'}, {'text': 'Wellingborough', 'label': 'LOCATION'}, {'text': 'Westfield Boys School', 'label': 'ORGANIZATION'}]","[{'text': 'Northamptonshire', 'label': 'LOCATION'}, {'text': 'Sir Christopher Hatton School', 'label': 'ORGANIZATION'}, {'text': 'Victoria Junior School', 'label': 'ORGANIZATION'}, {'text': 'Wellingborough', 'label': 'LOCATION'}, {'text': 'Westfield Boys School', 'label': 'ORGANIZATION'}]",
26,"He is a Member of Parliament representing Tirana for the period 2006–2011, and belongs to the Socialist Party of Albania.","[{'text': 'Socialist Party of Albania', 'label': 'ORGANIZATION'}, {'text': 'Tirana', 'label': 'LOCATION'}]","[{'text': '2006–2011', 'label': 'EVENT'}, {'text': 'Socialist Party of Albania', 'label': 'ORGANIZATION'}, {'text': 'Tirana', 'label': 'LOCATION'}]","He is a Congressman representing Cajamarca for the period 2006â2011, and belongs to the Union for Peru party.","[{'text': '2006–2011', 'label': 'EVENT'}, {'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Union for Peru', 'label': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Peru party', 'label': 'ORGANIZATION'}]",
27,"He is a Congressman representing Cochabamba for the period 2006–2011, and belongs to the Movement for Socialism party.","[{'text': 'Cochabamba', 'label': 'LOCATION'}, {'text': 'Movement for Socialism party', 'label': 'ORGANIZATION'}]","[{'text': 'Cochabamba', 'label': 'LOCATION'}, {'text': 'Movement for Socialism', 'label': 'ORGANIZATION'}]","He is a Congressman representing Cajamarca for the period 2006â2011, and belongs to the Union for Peru party.","[{'text': '2006–2011', 'label': 'EVENT'}, {'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Union for Peru', 'label': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Peru party', 'label': 'ORGANIZATION'}]",
28,"He is a National People's Congress delegate representing Guangzhou for the period 2006–2011, and belongs to the Communist Party of China.","[{'text': 'Communist Party of China', 'label': 'ORGANIZATION'}, {'text': 'Guangzhou', 'label': 'LOCATION'}]","[{'text': 'Communist Party of China', 'label': 'ORGANIZATION'}, {'text': 'Guangzhou', 'label': 'LOCATION'}, {'text': ""National People's Congress"", 'label': 'ORGANIZATION'}]","He is a Congressman representing Cajamarca for the period 2006â2011, and belongs to the Union for Peru party.","[{'text': '2006–2011', 'label': 'EVENT'}, {'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Union for Peru', 'label': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Peru party', 'label': 'ORGANIZATION'}]",
29,The lowest match aggregate in PBA history for the Philippines is 91 scored at the 1979 PBA Governors' Cup against NLEX.,"[{'text': 'NLEX', 'label': 'ORGANIZATION'}, {'text': ""PBA Governors' Cup"", 'label': 'EVENT'}, {'text': 'Philippines', 'label': 'ORGANIZATION'}]","[{'text': ""1979 PBA Governors' Cup"", 'label': 'EVENT'}, {'text': 'NLEX', 'label': 'ORGANIZATION'}, {'text': 'PBA', 'label': 'ORGANIZATION'}, {'text': 'Philippines', 'label': 'LOCATION'}]",The lowest match aggregate in ODI history for England is 91 scored at the 1979 Cricket World Cup against Canada.,"[{'text': '1979 Cricket World Cup', 'label': 'EVENT'}, {'text': 'Canada', 'label': 'LOCATION'}, {'text': 'England', 'label': 'ORGANIZATION'}]","[{'text': 'Canada', 'label': 'ORGANIZATION'}, {'text': 'Cricket World Cup', 'label': 'EVENT'}, {'text': 'England', 'label': 'ORGANIZATION'}]",
30,"He is a Congressman representing Baguio for the period 2006–2011, and belongs to the Nacionalista Party.","[{'text': 'Baguio', 'label': 'LOCATION'}, {'text': 'Nacionalista Party', 'label': 'ORGANIZATION'}]","[{'text': 'Baguio', 'label': 'LOCATION'}, {'text': 'Nacionalista Party', 'label': 'ORGANIZATION'}]","He is a Congressman representing Cajamarca for the period 2006â2011, and belongs to the Union for Peru party.","[{'text': '2006–2011', 'label': 'EVENT'}, {'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Union for Peru', 'label': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Peru party', 'label': 'ORGANIZATION'}]",
31,"He is a Member of Parliament representing Dushanbe for the period 2006–2011, and belongs to the People's Democratic Party of Tajikistan.","[{'text': 'Dushanbe', 'label': 'LOCATION'}, {'text': ""People's Democratic Party of Tajikistan"", 'label': 'ORGANIZATION'}]","[{'text': 'Dushanbe', 'label': 'LOCATION'}, {'text': ""People's Democratic Party of Tajikistan"", 'label': 'ORGANIZATION'}]","He is a Congressman representing Cajamarca for the period 2006â2011, and belongs to the Union for Peru party.","[{'text': '2006–2011', 'label': 'EVENT'}, {'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Union for Peru', 'label': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Peru party', 'label': 'ORGANIZATION'}]",
32,"He is a Member of Parliament representing Hawalli for the period 2006–2011, and belongs to the National Democratic Alliance.","[{'text': 'Hawalli', 'label': 'LOCATION'}, {'text': 'National Democratic Alliance', 'label': 'ORGANIZATION'}]","[{'text': '2006–2011', 'label': 'EVENT'}, {'text': 'Hawalli', 'label': 'LOCATION'}, {'text': 'National Democratic Alliance', 'label': 'ORGANIZATION'}]","He is a Congressman representing Cajamarca for the period 2006â2011, and belongs to the Union for Peru party.","[{'text': '2006–2011', 'label': 'EVENT'}, {'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Union for Peru', 'label': 'ORGANIZATION'}]","[{'text': 'Cajamarca', 'label': 'LOCATION'}, {'text': 'Peru party', 'label': 'ORGANIZATION'}]",
33,"During the Battle of Imjin River on April 27, 1592, Seo Hui was injured and forced to serve the remainder of the conflict as an officer in the Joseon Military Reserve.","[{'text': 'Battle of Imjin River', 'label': 'EVENT'}, {'text': 'Joseon Military Reserve', 'label': 'ORGANIZATION'}, {'text': 'Seo Hui', 'label': 'PERSON'}]","[{'text': 'April 27, 1592', 'label': 'EVENT'}, {'text': 'Battle of Imjin River', 'label': 'EVENT'}, {'text': 'Joseon Military Reserve', 'label': 'ORGANIZATION'}, {'text': 'Seo Hui', 'label': 'PERSON'}]","During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'September 17, 1862', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]","[{'text': 'Battle of Antietam', 'label': 'EVENT'}, {'text': 'Veterans Reserve Corps', 'label': 'ORGANIZATION'}, {'text': 'Wilkinson', 'label': 'PERSON'}]",
