,original_text,modified_text,modified_pronoun,modified_candidates,modified_label,modified_pred,original_pred,original_label,index
0,Cosby supported Jay because Thea really liked him.,Cosby backed Jay because Thea really liked him.,him,"0: Cosby, 1: Jay",1,1,1,1,250
1,Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,Louise tries to kill Joy but she begs and tells her that both of them were cheated on by their spouses.,she,"0: Louise, 1: Joy",1,0,0,1,1306
2,"Olivia wants to make amends with Emily, but she is apprehensive.","Olivia wants to make amends with Emily, but she is anxious.",she,"0: Olivia, 1: Emily",0,0,0,0,208
3,"Joseph did not defeat William in the match, so he earned $100.","Joseph did not beat William in the match, so he earned $100.",he,"0: Joseph, 1: William",1,0,0,1,159
4,Joe crashed into Mike and he had to pay for the damage.,Joe bumped into Mike and he had to pay for the damage.,he,"0: Joe, 1: Mike",1,1,0,1,142
5,"Josie did not like Sarah, but she did not tell her.","Josie did not like Sarah, but she did not inform her.",she,"0: Josie, 1: Sarah",0,0,0,0,183
6,The hyenas scavenged from the lions because they were desperate.,The hyenas scavenged from the lions because they were hungry.,they,"0: The hyenas, 1: the lions",0,0,0,0,186
7,Mary likes Joe because she likes females.,Mary likes Joe because she likes women.,she,"0: Mary, 1: Joe",0,0,0,0,283
8,"Since the linesmen are relatively far away from the referees, they are also responsible for observing the sidelines on their side of the field.","Since the linesmen are relatively distant from the referees, they are also responsible for observing the sidelines on their side of the field.",they,"0: the linesmen, 1: the referees",1,0,0,1,1390
9,"Naser al-Din Shah Qajar nicknamed Mohammad Hosein as the bird, after he hears a poem that he had written.","Naser al-Din Shah Qajar nicknamed Mohammad Hosein as the bird, after he hears a poem that he wrote.",he,"0: Mohammad Hosein, 1: Naser al-Din Shah Qajar",0,0,0,0,1177
10,"The committee increased the price of the tickets to the dance for the students, but they changed their decision later.","The committee raised the price of the tickets to the dance for the students, but they changed their decision later.",they,"0: The committee, 1: the students",0,0,0,0,205
11,Bonnie is still a little freaked out about being attacked by Ashley but she is grateful to Stefan who saved her life.,Bonnie is still a little scared about being attacked by Ashley but she is grateful to Stefan who saved her life.,she,"0: Bonnie, 1: Ashley",0,0,0,0,2100
12,"Though Gino tries to avoid Ross, he can not help but eventually fall in love with him.","Though Gino tries to avoid Ross, he cannot help but finally fall in love with him.",he,"0: Gino, 1: Ross",0,0,0,0,1047
13,"Elmeida nearly assassinated Hyrum, but Noa intervened to save his life.","Elmeida nearly killed Hyrum, but Noa intervened to save his life.",his,"0: Elmeida, 1: Hyrum",1,1,1,1,1617
14,Mellish disliked Callaghan so much that he resigned from the cabinet within months of Wilson's own retirement.,Mellish disliked Callaghan so much that he quit the cabinet within months of Wilson's own retirement.,he,"0: Mellish, 1: Callaghan",0,0,0,0,1235
15,The birds ate the seeds because they were tasty.,The birds ate the seeds because they were delicious.,they,"0: The birds, 1: the seeds",1,0,0,1,181
16,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to show he was the stronger man.,he,"0: Steven Seagal, 1: Jean Claude Van Damme",0,0,0,0,98
17,"Delilah tries to reconcile with Lizzy, but she insists that their relationship is over.","Delilah tries to reconcile with Lizzy, but she insists that their relationship is finished.",she,"0: Delilah, 1: Lizzy",1,1,0,1,1038
18,The chimpanzee could not use Linux because it was an animal.,The chimpanzee could not use Linux because it was a creature.,it,"0: The chimpanzee, 1: Linux",0,0,0,0,2
19,"Naji is supposed to come over for a visit with Khalil, but he doesn't come.","Naji is supposed to come over for a visit with Khalil, but he does not come.",he,"0: Naji, 1: Khalil",0,0,0,0,1674
20,The blimp hit the tree because it was in the way.,The blimp hit the tree because it was obstructing.,it,"0: The blimp, 1: the tree",1,0,0,1,233
21,"Sally becomes attracted to Bella, but she is disappointed to learn she is marrying Emily Vincent.","Sally becomes attracted to Bella, but she is sad to learn she is marrying Emily Vincent.",she,"0: Sally, 1: Bella",1,0,0,1,1134
22,"Samuel despises Carl, telling Bandini if he wants to win him over, he has to treat him poorly.","Samuel hates Carl, telling Bandini if he wants to win him over, he has to treat him poorly.",he,"0: Samuel, 1: Carl",1,0,0,1,1325
23,John rated Bill because he was a contestant.,John rated Bill because he was a competitor.,he,"0: John, 1: Bill",1,0,0,1,267
24,Billy beat Tommy at Scrabble because that newbie had no skill.,Billy beat Tommy at Scrabble because he had no skill.,that newbie,"0: Billy, 1: Tommy",1,1,1,1,272
