Unnamed: 0,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,"Her brother ran unsuccessfully for New York from the United States House of Representatives upstate, in 1992 and 1994.","[{'text': 'New York', 'label': 'LOCATION'}, {'text': 'United States House of Representatives', 'label': 'ORGANIZATION'}]","[{'text': '1992', 'label': 'EVENT'}, {'text': '1994', 'label': 'EVENT'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'United States House of Representatives', 'label': 'ORGANIZATION'}]","Her brother ran unsuccessfully for the United States House of Representatives from upstate New York, in 1992 and 1994.","[{'text': '1992', 'label': 'EVENT'}, {'text': '1994', 'label': 'EVENT'}, {'text': 'United States House of Representatives', 'label': 'ORGANIZATION'}, {'text': 'upstate New York', 'label': 'LOCATION'}]","[{'text': 'New York', 'label': 'LOCATION'}, {'text': 'United States House of Representatives', 'label': 'ORGANIZATION'}]",
1,"At a festival, Vin saves Siddhi from being shot at by Rudra.","[{'text': 'Rudra', 'label': 'PERSON'}, {'text': 'Siddhi', 'label': 'PERSON'}, {'text': 'Vin', 'label': 'PERSON'}]","[{'text': 'Rudra', 'label': 'PERSON'}, {'text': 'Siddhi', 'label': 'PERSON'}, {'text': 'Vin', 'label': 'PERSON'}, {'text': 'festival', 'label': 'EVENT'}]","At a festival, Siddhi saves Vin from being shot at by Rudra.","[{'text': 'Rudra', 'label': 'PERSON'}, {'text': 'Siddhi', 'label': 'PERSON'}, {'text': 'Vin', 'label': 'PERSON'}, {'text': 'festival', 'label': 'EVENT'}]","[{'text': 'Rudra', 'label': 'PERSON'}, {'text': 'Siddhi', 'label': 'PERSON'}, {'text': 'Vin', 'label': 'PERSON'}]",
2,"One of fourteen provinces of Fiji is Kadavu Province, and forms part of the Eastern Division, which also includes the provinces of Lau, Lomaiviti and Rotuma.","[{'text': 'Fiji', 'label': 'LOCATION'}, {'text': 'Kadavu Province', 'label': 'LOCATION'}, {'text': 'Lau', 'label': 'LOCATION'}, {'text': 'Lomaiviti', 'label': 'LOCATION'}, {'text': 'Rotuma', 'label': 'LOCATION'}]","[{'text': 'Eastern Division', 'label': 'LOCATION'}, {'text': 'Fiji', 'label': 'LOCATION'}, {'text': 'Kadavu Province', 'label': 'LOCATION'}, {'text': 'Lau', 'label': 'LOCATION'}, {'text': 'Lomaiviti', 'label': 'LOCATION'}, {'text': 'Rotuma', 'label': 'LOCATION'}]","Kadavu Province is one of fourteen provinces of Fiji, and forms part of the Eastern Division, which also includes the provinces of Lau, Lomaiviti and Rotuma.","[{'text': 'Eastern Division', 'label': 'LOCATION'}, {'text': 'Fiji', 'label': 'LOCATION'}, {'text': 'Kadavu Province', 'label': 'LOCATION'}, {'text': 'Lau', 'label': 'LOCATION'}, {'text': 'Lomaiviti', 'label': 'LOCATION'}, {'text': 'Rotuma', 'label': 'LOCATION'}]","[{'text': 'Fiji', 'label': 'LOCATION'}, {'text': 'Kadavu Province', 'label': 'LOCATION'}, {'text': 'Lau', 'label': 'LOCATION'}, {'text': 'Lomaiviti', 'label': 'LOCATION'}, {'text': 'Rotuma', 'label': 'LOCATION'}]",
3,"The United States House of Representatives from upstate New York was unsuccessfully run for by her brother, in 1992 and 1994.","[{'text': 'New York', 'label': 'LOCATION'}, {'text': 'United States House of Representatives', 'label': 'ORGANIZATION'}]","[{'text': 'United States House of Representatives', 'label': 'ORGANIZATION'}, {'text': 'upstate New York', 'label': 'LOCATION'}]","Her brother ran unsuccessfully for the United States House of Representatives from upstate New York, in 1992 and 1994.","[{'text': '1992', 'label': 'EVENT'}, {'text': '1994', 'label': 'EVENT'}, {'text': 'United States House of Representatives', 'label': 'ORGANIZATION'}, {'text': 'upstate New York', 'label': 'LOCATION'}]","[{'text': 'New York', 'label': 'LOCATION'}, {'text': 'United States House of Representatives', 'label': 'ORGANIZATION'}]",
4,Two classes of protected cruisers were built and operated by the Austro-Hungarian Navy.,"[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",
5,"In 1967, a peaceful anti-war rally was the gathering place for the park.",[],"[{'text': '1967', 'label': 'EVENT'}]","In 1967, the park was the gathering place for a peaceful anti-war rally.","[{'text': '1967', 'label': 'EVENT'}, {'text': 'park', 'label': 'LOCATION'}]",[],
6,In the early 1930s the band moved to the Taft Hotel of the Grill Room in New York; the band was renamed 'George Hall and His Hotel Taft Orchestra'.,"[{'text': 'George Hall and His Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'Grill Room', 'label': 'BUILDING'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]","[{'text': 'George Hall', 'label': 'PERSON'}, {'text': 'Grill Room', 'label': 'BUILDING'}, {'text': 'Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]",In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York; the band was renamed 'George Hall and His Hotel Taft Orchestra'.,"[{'text': 'George Hall', 'label': 'PERSON'}, {'text': 'Grill Room', 'label': 'LOCATION'}, {'text': 'Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]","[{'text': 'George Hall and His Hotel Taft Orchestra', 'label': 'ORGANIZATION'}, {'text': 'Grill Room', 'label': 'BUILDING'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Taft Hotel', 'label': 'BUILDING'}]",
7,Richard D.Zanuck and David Brown produced it.,"[{'text': 'David Brown', 'label': 'PERSON'}, {'text': 'Richard D.Zanuck', 'label': 'PERSON'}]","[{'text': 'David Brown', 'label': 'PERSON'}, {'text': 'Richard D.Zanuck', 'label': 'PERSON'}]",It was produced by Richard D.Zanuck and David Brown.,"[{'text': 'David Brown', 'label': 'PERSON'}, {'text': 'Richard D. Zanuck', 'label': 'PERSON'}]","[{'text': 'David Brown', 'label': 'PERSON'}, {'text': 'Richard D.Zanuck', 'label': 'PERSON'}]",
8,"A fortified position in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield, had been established by Loyalists recruited from Queens County, New York for the 3rd battalion DeLancey's Brigade by Lieutenant Colonel Richard Hewlett.","[{'text': ""DeLancey's Brigade"", 'label': 'ORGANIZATION'}, {'text': 'Fairfield', 'label': 'LOCATION'}, {'text': 'Long Island', 'label': 'LOCATION'}, {'text': 'Long Island Sound', 'label': 'LOCATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Queens County', 'label': 'LOCATION'}, {'text': 'Richard Hewlett', 'label': 'PERSON'}, {'text': 'Setauket', 'label': 'LOCATION'}]","[{'text': ""3rd battalion DeLancey's Brigade"", 'label': 'ORGANIZATION'}, {'text': 'Fairfield', 'label': 'LOCATION'}, {'text': 'Lieutenant Colonel Richard Hewlett', 'label': 'PERSON'}, {'text': 'Long Island', 'label': 'LOCATION'}, {'text': 'Long Island Sound', 'label': 'LOCATION'}, {'text': 'Queens County, New York', 'label': 'LOCATION'}, {'text': 'Setauket', 'label': 'LOCATION'}]","Loyalists recruited from Queens County, New York by Lieutenant Colonel Richard Hewlett for the 3rd battalion DeLancey's Brigade had established a fortified position in early August on the central north shore of Long Island at Setauket, just across Long Island Sound from Fairfield.","[{'text': ""3rd battalion DeLancey's Brigade"", 'label': 'ORGANIZATION'}, {'text': 'Fairfield', 'label': 'LOCATION'}, {'text': 'Lieutenant Colonel Richard Hewlett', 'label': 'PERSON'}, {'text': 'Long Island', 'label': 'LOCATION'}, {'text': 'Long Island Sound', 'label': 'LOCATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Queens County', 'label': 'LOCATION'}, {'text': 'Setauket', 'label': 'LOCATION'}]","[{'text': ""DeLancey's Brigade"", 'label': 'ORGANIZATION'}, {'text': 'Fairfield', 'label': 'LOCATION'}, {'text': 'Long Island', 'label': 'LOCATION'}, {'text': 'Long Island Sound', 'label': 'LOCATION'}, {'text': 'New York', 'label': 'LOCATION'}, {'text': 'Queens County', 'label': 'LOCATION'}, {'text': 'Richard Hewlett', 'label': 'PERSON'}, {'text': 'Setauket', 'label': 'LOCATION'}]",
9,It was produced by David Brown and Richard D.Zanuck.,"[{'text': 'David Brown', 'label': 'PERSON'}, {'text': 'Richard D.Zanuck', 'label': 'PERSON'}]","[{'text': 'David Brown', 'label': 'PERSON'}, {'text': 'Richard D. Zanuck', 'label': 'PERSON'}]",It was produced by Richard D.Zanuck and David Brown.,"[{'text': 'David Brown', 'label': 'PERSON'}, {'text': 'Richard D. Zanuck', 'label': 'PERSON'}]","[{'text': 'David Brown', 'label': 'PERSON'}, {'text': 'Richard D.Zanuck', 'label': 'PERSON'}]",
