,task,modification,original_res,modified_res,difference,pct_difference,p_value,original_precision,original_recall,modified_precision,modified_recall
2,named_entity_recognition,temporal_bias_100,0.76,0.73,-0.03,-3.53,1.0,0.73,0.79,0.71,0.75
6,named_entity_recognition,geographical_bias_100,0.71,0.74,0.03,4.43,6.605346142704494e-10,0.65,0.78,0.74,0.74
8,named_entity_recognition,length_bias_100,0.75,0.69,-0.07,-8.9,1.0,0.7,0.81,0.66,0.71
13,named_entity_recognition,typo_bias_100,0.72,0.74,0.02,2.79,1.0,0.7,0.74,0.72,0.77
9,named_entity_recognition,capitalization_100,0.78,0.67,-0.1,-13.34,1.0,0.77,0.78,0.71,0.64
7,named_entity_recognition,punctuation_100,0.75,0.69,-0.06,-7.39,1.0,0.72,0.78,0.68,0.7
15,named_entity_recognition,derivation_100,0.75,0.75,-0.0,-0.44,1.0,0.73,0.79,0.71,0.79
11,named_entity_recognition,compound_word_100,0.76,0.74,-0.02,-3.15,0.7884608923885273,0.74,0.79,0.75,0.73
10,named_entity_recognition,active_to_passive_100,0.76,0.68,-0.08,-9.96,1.0,0.73,0.79,0.72,0.66
3,named_entity_recognition,grammatical_role_100,0.78,0.75,-0.03,-3.82,0.00834170488549537,0.76,0.81,0.76,0.75
5,named_entity_recognition,coordinating_conjunction_100,0.81,0.78,-0.03,-4.05,0.000202853388237021,0.76,0.86,0.78,0.78
0,named_entity_recognition,concept_replacement_100,0.76,0.74,-0.02,-2.53,0.7338151066363292,0.73,0.8,0.71,0.78
1,named_entity_recognition,negation_100,0.73,0.66,-0.06,-8.8,1.0,0.7,0.75,0.68,0.65
4,named_entity_recognition,discourse_100,0.77,0.69,-0.08,-10.26,0.755761802728898,0.74,0.8,0.73,0.65
16,named_entity_recognition,sentiment_100,0.78,0.72,-0.07,-8.35,0.8025002411091842,0.76,0.82,0.75,0.69
14,named_entity_recognition,casual_100,0.75,0.69,-0.07,-8.9,1.0,0.7,0.81,0.66,0.71
12,named_entity_recognition,dialectal_100,0.79,0.8,0.02,2.13,1.0,0.75,0.83,0.75,0.86
17,named_entity_recognition,average,0.76,0.72,-0.04,-4.95,,0.73,0.8,0.72,0.73
