,original_text,modified_text,modified_pronoun,modified_candidates,modified_label,modified_pred,original_pred,original_label,index
0,"Jason built Rocky a robot, and he gave it to him.","Jason built Rocky a robot, and he gave it to himm.",he,"0: Jason, 1: Rocky",0,0,0,0,30
1,"Though Gino tries to avoid Ross, he can not help but eventually fall in love with him.","Though Gino tries to avoid Ross, he can not help but eventually fall in love with himm.",he,"0: Gino, 1: Ross",0,0,0,0,1047
2,"Anna tries again to live with Karla, but she can not get Vronsky out of her head.","Anna tries again to live with Karla, but shhe can not get Vronsky out of her head.",her,"0: Anna, 1: Karla",0,0,0,0,1553
3,Pigs are better than sheep because they make bacon.,Pigs are better than sheep because they make baccon.,they,"0: Pigs, 1: sheep",0,0,0,0,228
4,"Janet is in love with Wanda, but her father insists on her marrying a French lord.","Janet is in love with Wanda, but her father insists on her marrying a French lordd.",her,"0: Janet, 1: Wanda",0,0,0,0,1434
5,Penelope claims to suspect Ruth because she suspected Ms Lingard would rescue her daughter and confess.,Penelope claims to suspect Ruth because she suspected Ms Lingard would rescque her daughter and confess.,she,"0: Penelope, 1: Ruth",0,0,0,0,1218
6,"Tina is scared, but Emma comes after her and protects herself with a gun.","Tina is scared, but Emma comes afther her and protects herself with a gun.",her,"0: Tina, 1: Emma",0,0,0,0,1713
7,Bonnie is still a little freaked out about being attacked by Ashley but she is grateful to Stefan who saved her life.,Bonnie is still a little freaked out about being attacked by Ashley but she is gratefull to Stefan who saved her life.,she,"0: Bonnie, 1: Ashley",0,0,0,0,2100
8,"Albert had become extremely protective of Phillip and when he found out about the rape, he made sure Bradley was arrested.","Albert had become extremely protective of Phillip and when he found out about the rapee, he made sure Bradley was arrested.",he,"0: Albert, 1: Phillip",0,0,0,0,1123
9,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","Megan accidentally fires a shot that injures Barbara, but shhe shoots Larry dead.",she,"0: Megan, 1: Barbara",0,0,0,0,2058
10,"Corday fatally stabbed Maya, though she did not attempt to flee.","Corday fatally stabbed Maya, though shee did not attempt to flee.",she,"0: Corday, 1: Maya",0,0,0,0,1411
11,Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,Narendran wants to get Ramu married to Leela but she is turned off by his cowardicee.,his,"0: Narendran, 1: Ramu",0,1,1,0,1768
12,Laila grows closer to Cora when she holds her a late birthday celebration as everyone forgets the date.,Laila grows closer to Cora when she holds her a late birthday celebaration as everyone forgets the date.,she,"0: Laila, 1: Cora",0,0,0,0,2085
13,Laila grows closer to Cora when she holds her a late birthday celebration as everyone forgets the date.,Laila grows closer to Cora when she holds her a late birthday celebaration as everyone forgets the date.,she,"0: Laila, 1: Cora",0,0,0,0,2085
14,Penelope claims to suspect Ruth because she suspected Ms Lingard would rescue her daughter and confess.,Penelope claims to suspect Ruth because she suspected Ms Lingard would rescure her daughter and confess.,she,"0: Penelope, 1: Ruth",0,0,0,0,1218
15,"Elmeida nearly assassinated Hyrum, but Noa intervened to save his life.","Elmeida nearly assassinated Hyrum, but Noa intervened to save his lifee.",his,"0: Elmeida, 1: Hyrum",1,1,1,1,1617
16,Mary likes Joe because she has a cool name.,Mary likes Joe because shhe has a cool name.,she,"0: Mary, 1: Joe",1,0,0,1,282
17,"Krishna agreed and let Rukmi go free, but not before having his head shaved as a visible sign of a warrior's defeat.","Krishna agreed and let Rukmi go freee, but not before having his head shaved as a visible sign of a warrior's defeat.",his,"0: Krishna, 1: Rukmi",1,0,0,1,1615
18,Rebecca kissed Dina because she is a sweet girl.,Rebecca kissed Dina becaause she is a sweet girl.,she,"0: Rebecca, 1: Dina",1,0,0,1,259
19,"John goes out to kill Tony, but he ambushes and bites him.","John goes out to kill Tony, but he ambushes and bites himm.",he,"0: John, 1: Tony",1,0,0,1,2081
20,Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,Louise tries to kill Joy but she pleadds and tells her that both of them were cheated on by their spouses.,she,"0: Louise, 1: Joy",1,1,0,1,1306
21,Nolan makes a move on Tom but he swears he does not want anything more and tells him he loves his wife.,Nolan makes a move on Tom but he swears he does not want anything more and tells him he loves his wiffe.,he,"0: Nolan, 1: Tom",1,0,0,1,1137
22,John called Bill because he was a good listener.,John called Bill becaause he was a good listener.,he,"0: John, 1: Bill",1,0,0,1,269
23,Pigs are better than sheep because they do not make bacon.,Pigs are better than sheep because they do not make baccon.,they,"0: Pigs, 1: sheep",1,0,0,1,229
24,Kathy paid Jane to leave but she returned several weeks later.,Kathy paid Jane to leave but shhe returned several weeks later.,she,"0: Kathy, 1: Jane",1,1,1,1,1986
25,"While Mark deliberates whether to trust Dimble, he is found by police and arrested for Hingest's murder.","While Mark deliberates whether to trust Dimble, he is found by police and arrested for Hingest's murdeer.",he,"0: Mark, 1: Dimble",1,0,0,1,904
26,"Eclipso then attempts to kill Mehdi, but finds that he is too strong.","Eclipso then attempts to kill Mehdi, but finds that he is too strrong.",he,"0: Eclipso, 1: Mehdi",1,1,1,1,1623
27,"Vicky repeatedly tires to seduce Emma, but she turns her down.","Vicky repeatedly tires to seduce Emma, but she turns her downn.",she,"0: Vicky, 1: Emma",1,1,1,1,1940
28,"Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leave.","Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leavve.",he,"0: Sam, 1: Dom",1,1,1,1,915
29,"Brenda spends a day with Jasmine, but she runs off after she kisses her.","Brenda spends a day with Jasmine, but shee runs off after she kisses her.",she,"0: Brenda, 1: Jasmine",1,1,1,1,1894
30,Madison has a short attraction to Matilda but she rebuffs her.,Madison has a short attraction to Matilda but shie rebuffs her.,she,"0: Madison, 1: Matilda",1,0,0,1,2055
31,"While Mark deliberates whether to trust Dimble, he is found by police and arrested for Hingest's murder.","While Mark deliberates whether to trust Dimble, he is found by police and arrested for Hingest's mureder.",he,"0: Mark, 1: Dimble",1,0,0,1,904
32,Mellish disliked Callaghan so much that he resigned from the cabinet within months of Wilson's own retirement.,Mellish disliked Callaghan so much that he resigned from the cabniet within months of Wilson's own retirement.,he,"0: Mellish, 1: Callaghan",0,0,0,0,1235
33,Laila grows closer to Cora when she holds her a late birthday celebration as everyone forgets the date.,Laila grows closer to Cora when she holds her a late birthday celebratoin as everyone forgets the date.,she,"0: Laila, 1: Cora",0,0,0,0,2085
34,Pigs are better than sheep because they make bacon.,Pigs are better than sheep becasue they make bacon.,they,"0: Pigs, 1: sheep",0,0,0,0,228
35,"Ginette wants to hug Susanna, but she notices that the tobacco smell comes from her clothes.","Ginette wants to hug Susanna, but she notices that the tobacco smell comes from her colthes.",she,"0: Ginette, 1: Susanna",0,0,0,0,1296
36,Bob can beat Larry at arm wrestling because he has more muscles.,Bob can beat Larry at arm wrestling becuase he has more muscles.,he,"0: Bob, 1: Larry",0,0,0,0,40
37,"Daniela is also enchanted by Nina, but her heart still beats strong for Almerinda.","Daniela is also enchanted by Nina, but her heart still beats srtong for Almerinda.",her,"0: Daniela, 1: Nina",0,0,0,0,2052
38,John asked Bill because he was confused.,John asked Bill because eh was confused.,he,"0: John, 1: Bill",0,0,0,0,264
39,Jace loves Jesus because he tasted his goodness.,Jace loves Jesus becuase he tasted his goodness.,he,"0: Jace, 1: Jesus",0,0,0,0,253
40,"Geraci swears revenge against Michael, staying quiet until he can hatch a plan to defeat him.","Geraci swears revenge against Michael, staying quiet until eh can hatch a plan to defeat him.",he,"0: Geraci, 1: Michael",0,0,0,0,1577
41,"Naji is supposed to come over for a visit with Khalil, but he doesn't come.","Naji is supposed to come over for a visit with Khalil, but eh doesn't come.",he,"0: Naji, 1: Khalil",0,0,0,0,1674
42,Bob sued Bill because he wanted more money.,Bob sued Bill becuase he wanted more money.,he,"0: Bob, 1: Bill",0,0,0,0,235
43,"Corday fatally stabbed Maya, though she did not attempt to flee.","Corday fatally stabbed Maya, though seh did not attempt to flee.",she,"0: Corday, 1: Maya",0,0,0,0,1411
44,"Anna tries again to live with Karla, but she can not get Vronsky out of her head.","Anna tries again to live with Karla, but she can not get Vronsky out of her daeh.",her,"0: Anna, 1: Karla",0,0,0,0,1553
45,"Janis is ordered to kill Noelia, but doesn't know if she can go along with this.","Janis is ordered to kill Noelia, but doesn't know if seh can go along with this.",she,"0: Janis, 1: Noelia",0,0,0,0,1887
46,Lakshman asked Vivan to get him some ice cream because he was hot.,Lakshman asked Vivan to get him some ice cream because eh was hot.,he,"0: Lakshman, 1: Vivan",0,0,0,0,194
47,Mellish disliked Callaghan so much that he resigned from the cabinet within months of Wilson's own retirement.,Mellish disliked Callaghan so much that he resigned from the cabniet within months of Wilson's own retierment.,he,"0: Mellish, 1: Callaghan",0,0,0,0,1235
48,Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,Narendran wants to get Ramu married to Leela but she is turned off by hsi cowardice.,his,"0: Narendran, 1: Ramu",0,0,1,0,1768
49,Rebecca kissed Dina because she is a sweet girl.,Rebecca kissed Dina becasue she is a sweet girl.,she,"0: Rebecca, 1: Dina",1,0,0,1,259
50,Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,Louise tries to kill Joy but she pleads and tells her that both of them were chetaed on by their spouses.,she,"0: Louise, 1: Joy",1,0,0,1,1306
51,Pigs are better than sheep because they do not make bacon.,Pigs are better than sheep because tehy do not make bacon.,they,"0: Pigs, 1: sheep",1,0,0,1,229
52,Joe crashed into Mike and he had to pay for the damage.,Joe crashed into Mike and eh had to pay for the damage.,he,"0: Joe, 1: Mike",1,0,0,1,142
53,"Shatterstar attempts to kill Arcade, but he only destroys a robotic double.","Shatterstar attempts to kill Arcade, but he only dsetroys a robotic double.",he,"0: Arcade, 1: Shatterstar",1,1,1,1,977
54,"Sally becomes attracted to Bella, but she is disappointed to learn she is marrying Emily Vincent.","Sally becomes attracted to Bella, but she is disappointed to learn she is marrying Emily Vnicent.",she,"0: Sally, 1: Bella",1,0,0,1,1134
55,Steve hired Jose because he was a hard worker.,Steve hired Jose because eh was a hard worker.,he,"0: Steve, 1: Jose",1,0,0,1,198
56,"Lauren promises to support Tanya, but struggles to cope with her mother's illness.","Lauren promises to support Tanya, but struggles to cope with her mtoher's illness.",her,"0: Lauren, 1: Tanya",1,0,0,1,1418
57,"Krishna agreed and let Rukmi go free, but not before having his head shaved as a visible sign of a warrior's defeat.","Krishna agreed and let Rukmi go free, but not before having sih head shaved as a visible sign of a warrior's defeat.",his,"0: Krishna, 1: Rukmi",1,0,0,1,1615
58,Someone hit Billy in the face because he was being rude.,Someone hit Billy in the face because eh was being rude.,he,"0: Someone, 1: Billy",1,0,0,1,225
59,Kathy paid Jane to leave but she returned several weeks later.,Kathy paid Jane to leave but seh returned several weeks later.,she,"0: Kathy, 1: Jane",1,1,1,1,1986
60,Joe crashed into Mike and he had to pay for the damage.,Joe crashed into Mike and eh had to pay for the damage.,he,"0: Joe, 1: Mike",1,0,0,1,142
61,John called Bill because he was a good listener.,John cllaed Bill because he was a good listener.,he,"0: John, 1: Bill",1,0,0,1,269
62,Gennie becomes interested in Emma and is jealous when she starts seeing Chas.,Gennie becomes interested in Emma and is jealous when seh starts seeing Chas.,she,"0: Gennie, 1: Emma",1,0,1,1,1736
63,"Kelly neglected to tell Katie that their rent was due, but she remembered that it was due on the first of every month.","Kelly neglected to tell Katie that their rent was due, but she rememebred that it was due on the first of every month.",she,"0: Kelly, 1: Katie",1,1,1,1,203
64,"Jason built Rocky a robot, so he had more free time.","Jason built Rocky a robot, so eh had more free time.",he,"0: Jason, 1: Rocky",1,0,0,1,31
65,John attacked Tim because he was a communist.,John attacked Tim because eh was a communist.,he,"0: John, 1: Tim",1,0,0,1,223
66,Jace loves Jesus because he tasted his goodness.,Jace loves Jesus becaue he tasted his goodness.,he,"0: Jace, 1: Jesus",0,0,0,0,253
67,Olga kicked Sara because she was drunk.,Olga kicked Sara because she was drnk.,she,"0: Olga, 1: Sara",0,0,0,0,255
68,"Oron is punished, though not treated as severely as Karl, because of his having acted under duress.","Oron is punished, though not treated as severely as Karl, becase of his having acted under duress.",his,"0: Oron, 1: Karl",0,0,0,0,1453
69,"When Saul realizes where Javadi is going, he immediately sends Carrie and Quinn there to intercept him.","When Saul realizes where Javadi is going, he immediatly sends Carrie and Quinn there to intercept him.",he,"0: Saul, 1: Javadi",0,0,0,0,2083
70,"Likewise now, Nisha was forced to give the ring to Khimya, or she would have killed her brother.","Likewise now, Nisha was forced to give the ring to Khimya, or she would have killed her broter.",she,"0: Khimya, 1: Nisha",0,0,0,0,2008
71,Joe raced against Steven because he thought it would be easy.,Joe raced against Steven because he thoght it would be easy.,he,"0: Joe, 1: Steven",0,0,0,0,148
72,"Shemp was thrilled to be away from Healy but, as was his nature, worried incessantly about brother Moe and partner Larry.","Shemp was thrilled to be away from Healy but, as was hs nature, worried incessantly about brother Moe and partner Larry.",his,"0: Shemp, 1: Healy",0,0,0,0,997
73,Mary likes Joe because she likes females.,Mary likes Joe because she likes femals.,she,"0: Mary, 1: Joe",0,0,0,0,283
74,Mellish disliked Callaghan so much that he resigned from the cabinet within months of Wilson's own retirement.,Mellish disliked Callaghan so much that he resigned from the cabnet within months of Wilson's own retirement.,he,"0: Mellish, 1: Callaghan",0,0,0,0,1235
75,"Tina is scared, but Emma comes after her and protects herself with a gun.","Tina is scared, but Emma comes after her and protect herself with a gun.",her,"0: Tina, 1: Emma",0,0,0,0,1713
76,Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,Narendran wants to get Ramu married to Leela but she is turned off by hs cowardice.,his,"0: Narendran, 1: Ramu",0,0,1,0,1768
77,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","Megan accidentally fires a shot that injures Barbara, but she shoots Lary dead.",she,"0: Megan, 1: Barbara",0,0,0,0,2058
78,Lakshman asked Vivan to get him some ice cream because he was hot.,Lakshman asked Vivan to get him some ice cream becase he was hot.,he,"0: Lakshman, 1: Vivan",0,0,0,0,194
79,"Anna tries again to live with Karla, but she can not get Vronsky out of her head.","Anna tries again to live with Karla, but she can not get Vronsky out of hr head.",her,"0: Anna, 1: Karla",0,0,0,0,1553
80,"Geraci swears revenge against Michael, staying quiet until he can hatch a plan to defeat him.","Geraci swears revenge aganst Michael, staying quiet until he can hatch a plan to defeat him.",he,"0: Geraci, 1: Michael",0,0,0,0,1577
81,"Carcetti is dubious about working with Davis, but Wilson convinces him that it may tip the balance.","Carcetti is dubious about working with Davis, but Wilson convinces him that it may tip the blance.",him,"0: Carcetti, 1: Davis",0,0,0,0,1559
82,"Janet is in love with Wanda, but her father insists on her marrying a French lord.","Janet is in love with Wanda, but her father insists on her marrying a Fench lord.",her,"0: Janet, 1: Wanda",0,0,0,0,1434
83,"James occasionally visits Archie, but he starts to take a fancy to local school headteacher Katrina Finlay.","James occasionally visits Archie, but he starts to take a fancy to local school headtecher Katrina Finlay.",he,"0: James, 1: Archie",1,0,0,1,1074
84,Joe raced against Steven because he would not say no.,Joe raced against Steven becaue he would not say no.,he,"0: Joe, 1: Steven",1,0,0,1,149
85,John fired Bill because he was incompetent.,John fired Bill because h was incompetent.,he,"0: John, 1: Bill",1,1,0,1,51
86,Watson beat Ken at Jeopardy because he is an inferior human.,Watson beat Ken at Jeopardy because he is an inferir human.,he,"0: Watson, 1: Ken",1,0,0,1,247
87,"Micheal returns the greeting to Serge after he greets him on the S.S. Zelbess, bored after the performance.","Micheal returns the greeting to Serge after he greets him on the S.S. Zelbess, bored aftr the performance.",he,"0: Micheal, 1: Serge",1,0,0,1,1298
88,"Shatterstar attempts to kill Arcade, but he only destroys a robotic double.","Shatterstar attempts to kill Arcade, but he only destoys a robotic double.",he,"0: Arcade, 1: Shatterstar",1,1,1,1,977
89,Fernando goes to talk to Alfonso but he pretends not to recognise them and calls them liars.,Fernando goes to talk to Alfonso but he pretends not to recognse them and calls them liars.,he,"0: Fernando, 1: Alfonso",1,0,0,1,1793
90,"Shary asks Tania accusingly where she was at the time of the accident, and the movie ends as she begins to cry from guilt.","Shary asks Tania accusingly where she was at the time of the accidnt, and the movie ends as she begins to cry from guilt.",she,"0: Shary, 1: Tania",1,1,1,1,1998
91,"Sally becomes attracted to Bella, but she is disappointed to learn she is marrying Emily Vincent.","Sally becomes attracted to Bella, but she is disapointed to learn she is marrying Emily Vincent.",she,"0: Sally, 1: Bella",1,0,0,1,1134
92,Gennie becomes interested in Emma and is jealous when she starts seeing Chas.,Gennie becomes interested in Emma and is jealous when she starts seing Chas.,she,"0: Gennie, 1: Emma",1,1,1,1,1736
93,Georgina says Lucille is dead because she couldn't live with what she had done.,Georgina says Lucille is dead becase she couldn't live with what she had done.,she,"0: Georgina, 1: Lucille",1,0,0,1,1413
94,"Brenda spends a day with Jasmine, but she runs off after she kisses her.","Brenda spends a day with Jasmine, but she runs off after she kises her.",she,"0: Brenda, 1: Jasmine",1,1,1,1,1894
95,"Clark proposed to Albert but he turned him down, saying he was too set in his ways.","Clark proposed to Albert but he turned him dwn, saying he was too set in his ways.",he,"0: Clark, 1: Albert",1,0,0,1,1097
96,"Eclipso then attempts to kill Mehdi, but finds that he is too strong.","Eclipso then attempts to kill Mehdi, but finds that he is too stong.",he,"0: Eclipso, 1: Mehdi",1,1,1,1,1623
97,"Paul tries to comfort Zack, but he rejects him and heads back to base with the intent to DOR himself.","Paul tries to comfort Zack, but he rejects him and heads back to base with the intent to DOR himsef.",he,"0: Paul, 1: Zack",1,1,1,1,914
98,"Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leave.","Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leav.",he,"0: Sam, 1: Dom",1,1,1,1,915
99,Nolan makes a move on Tom but he swears he does not want anything more and tells him he loves his wife.,Nolan makes a move on Tom but he swears he does not want anything more and tells him he loves his wif.,he,"0: Nolan, 1: Tom",1,0,0,1,1137
