,task,modification,original_res,modified_res,difference,pct_difference,p_value
9,dialogue_contradiction_detection,temporal_bias_100,0.9,0.95,0.04,4.71,0.2688870423749158
0,dialogue_contradiction_detection,geographical_bias_100,0.89,0.82,-0.07,-7.89,0.18843595969972904
8,dialogue_contradiction_detection,length_bias_100,0.92,0.96,0.04,4.6,0.2350915156417813
10,dialogue_contradiction_detection,typo_bias_100,0.97,0.96,-0.01,-1.1,0.7019345453168623
4,dialogue_contradiction_detection,capitalization_100,0.97,0.98,0.01,1.19,0.6522464088609842
7,dialogue_contradiction_detection,punctuation_100,0.97,0.96,-0.01,-1.09,0.7019727923271593
16,dialogue_contradiction_detection,derivation_100,0.95,0.98,0.03,3.41,0.2500901292263189
14,dialogue_contradiction_detection,compound_word_100,0.94,0.95,0.01,1.1,0.7577224120383793
3,dialogue_contradiction_detection,active_to_passive_100,0.95,0.92,-0.02,-2.27,0.553055810272902
6,dialogue_contradiction_detection,grammatical_role_100,0.96,0.94,-0.01,-1.49,0.7006745828687149
13,dialogue_contradiction_detection,coordinating_conjunction_100,0.96,0.95,-0.01,-1.08,0.734466469947892
2,dialogue_contradiction_detection,concept_replacement_100,0.94,0.95,0.01,1.15,0.75748306920099
5,dialogue_contradiction_detection,negation_100,0.94,0.7,-0.24,-25.53,6.7081813557041205e-06
1,dialogue_contradiction_detection,discourse_100,0.94,0.94,-0.0,-0.0,1.0
12,dialogue_contradiction_detection,sentiment_100,0.97,0.95,-0.02,-2.15,0.47270375669275866
15,dialogue_contradiction_detection,casual_100,0.98,0.98,-0.0,-0.0,1.0
11,dialogue_contradiction_detection,dialectal_100,0.93,0.89,-0.04,-4.65,0.2978956327633666
17,dialogue_contradiction_detection,average,0.95,0.93,-0.02,-1.83,
