,text,modified_label,modified_pred,original_text,original_label,original_pred,type
0,"Conway is the hub of operations for Norfolk Southern in the Greater Pittsburgh area, featuring a hump yard and a crew change point for virtually all Pittsburgh and FortWayne Line trains.","[{'text': 'Conway', 'value': 'LOCATION'}, {'text': 'Norfolk Southern', 'value': 'LOCATION'}, {'text': 'Greater Pittsburgh', 'value': 'LOCATION'}, {'text': 'Pittsburgh', 'value': 'LOCATION'}, {'text': 'FortWayne Line', 'value': 'LOCATION'}]","[{'Conway': 'LOCATION'}, {'Norfolk Southern': 'ORGANIZATION'}, {'Greater Pittsburgh': 'LOCATION'}, {'Pittsburgh': 'LOCATION'}, {'FortWayne Line': 'LOCATION'}]","Conway is the hub of operations for Norfolk Southern in the Greater Pittsburgh area, featuring a hump yard and a crew change point for virtually all Pittsburgh and Fort Wayne Line trains.","[{'Conway': 'LOCATION'}, {'Norfolk Southern': 'LOCATION'}, {'Greater Pittsburgh': 'LOCATION'}, {'Pittsburgh': 'LOCATION'}, {'Fort Wayne Line': 'LOCATION'}]","[{""text"": ""Conway"", ""value"": ""LOCATION""}, {""text"": ""Norfolk Southern"", ""value"": ""ORGANIZATION""}, {""text"": ""Greater Pittsburgh"", ""value"": ""LOCATION""}, {""text"": ""Pittsburgh"", ""value"": ""LOCATION""}, {""text"": ""Fort Wayne Line"", ""value"": ""LOCATION""}]",
1,"On the formation of the ResidentialProperty Tribunal Service as a result of the Housing Act2004 the rent assessment committees became part of that body for administrative purposes, and is therefore now called the First Tier Tribunal (Property Chamber - Residential Property).","[{'text': 'ResidentialProperty Tribunal Service', 'value': 'ORGANIZATION'}, {'text': 'Housing Act2004', 'value': 'OTHER'}]","[{'ResidentialProperty Tribunal Service': 'ORGANIZATION'}, {'Housing Act2004': 'EVENT'}, {'First Tier Tribunal': 'ORGANIZATION'}, {'Property Chamber - Residential Property': 'ORGANIZATION'}]","On the formation of the Residential Property Tribunal Service as a result of the Housing Act 2004 the rent assessment committees became part of that body for administrative purposes, and is therefore now called the First Tier Tribunal (Property Chamber - Residential Property).","[{'Residential Property Tribunal Service': 'ORGANIZATION'}, {'Housing Act 2004': 'OTHER'}]","[{""text"": ""Residential Property Tribunal Service"", ""value"": ""ORGANIZATION""}, {""text"": ""Housing Act 2004"", ""value"": ""EVENT""}, {""text"": ""First Tier Tribunal"", ""value"": ""ORGANIZATION""}, {""text"": ""Property Chamber - Residential Property"", ""value"": ""ORGANIZATION""}]",
2,Argentina's Del ImaginarioDiscos also released the album in 2007.,"[{'text': 'Argentina', 'value': 'LOCATION'}, {'text': 'Del ImaginarioDiscos', 'value': 'ORGANIZATION'}]","[{'Argentina': 'LOCATION'}, {'Del ImaginarioDiscos': 'ORGANIZATION'}]",Argentina's Del Imaginario Discos also released the album in 2007.,"[{'Argentina': 'LOCATION'}, {'Del Imaginario Discos': 'ORGANIZATION'}]","[{""text"": ""Argentina"", ""value"": ""LOCATION""}, {""text"": ""Del Imaginario Discos"", ""value"": ""ORGANIZATION""}]",
3,"Glutamine synthetase uses ammonia produced by nitrate reduction, aminoacid degradation, and photorespiration.","[{'text': 'Glutamine synthetase', 'value': 'OTHER'}, {'text': 'ammonia', 'value': 'OTHER'}, {'text': 'aminoacid', 'value': 'OTHER'}]",[],"Glutamine synthetase uses ammonia produced by nitrate reduction, amino acid degradation, and photorespiration.","[{'Glutamine synthetase': 'OTHER'}, {'ammonia': 'OTHER'}, {'amino acid': 'OTHER'}]",[],
4,Tyrosine phosphorylation is the addition of a phosphate (PO43−) group to the amino acid tyrosineon a protein.,"[{'text': 'PO43−', 'value': 'OTHER'}, {'text': 'amino acid tyrosineon', 'value': 'OTHER'}]",[],Tyrosine phosphorylation is the addition of a phosphate (PO43â) group to the amino acid tyrosine on a protein.,"[{'PO43\\u2212': 'OTHER'}, {'amino acid tyrosine': 'OTHER'}]",[],
5,"The Ninth suffered a serious defeat at the Battle of Camulodunumunder Quintus Petillius Cerialis in the rebellion of Boudica (61), when most of the foot-soldiers were killed in a disastrous attempt to relieve the besieged city of Camulodunum(Colchester).","[{'text': 'Camulodunumunder', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'EVENT'}, {'text': 'Camulodunum', 'value': 'LOCATION'}, {'text': 'Colchester', 'value': 'LOCATION'}]","[{'Ninth': 'ORGANIZATION'}, {'Battle of Camulodunum': 'EVENT'}, {'Quintus Petillius Cerialis': 'PERSON'}, {'Boudica': 'PERSON'}, {'Camulodunum': 'LOCATION'}, {'Colchester': 'LOCATION'}]","The Ninth suffered a serious defeat at the Battle of Camulodunum under Quintus Petillius Cerialis in the rebellion of Boudica (61), when most of the foot-soldiers were killed in a disastrous attempt to relieve the besieged city of Camulodunum (Colchester).","[{'Camulodunum': 'EVENT'}, {'Quintus Petillius Cerialis': 'PERSON'}, {'Boudica': 'EVENT'}, {'Camulodunum': 'LOCATION'}, {'Colchester': 'LOCATION'}]","[{""text"": ""Ninth"", ""value"": ""ORGANIZATION""}, {""text"": ""Battle of Camulodunum"", ""value"": ""EVENT""}, {""text"": ""Quintus Petillius Cerialis"", ""value"": ""PERSON""}, {""text"": ""Boudica"", ""value"": ""PERSON""}, {""text"": ""Camulodunum"", ""value"": ""LOCATION""}, {""text"": ""Colchester"", ""value"": ""LOCATION""}]",
6,The Austro-HungarianNavy built and operated two classes of protected cruisers.,"[{'text': 'Austro-HungarianNavy', 'value': 'ORGANIZATION'}]",[{'Austro-HungarianNavy': 'ORGANIZATION'}],The Austro-Hungarian Navy built and operated two classes of protected cruisers.,[{'Austro-Hungarian Navy': 'ORGANIZATION'}],"[{""text"": ""Austro-Hungarian Navy"", ""value"": ""ORGANIZATION""}]",
7,"Mike Moreton headed the team, joining TWR to run theXJ220 project.","[{'text': 'Mike Moreton', 'value': 'PERSON'}, {'text': 'TWR', 'value': 'ORGANIZATION'}, {'text': 'theXJ220', 'value': 'PRODUCT'}]","[{'Mike Moreton': 'PERSON'}, {'TWR': 'ORGANIZATION'}, {'XJ220': 'PRODUCT'}]","Mike Moreton headed the team, joining TWR to run the XJ220 project.","[{'Mike Moreton': 'PERSON'}, {'TWR': 'ORGANIZATION'}, {'XJ220': 'PRODUCT'}]","[{""text"": ""Mike Moreton"", ""value"": ""PERSON""}, {""text"": ""TWR"", ""value"": ""ORGANIZATION""}, {""text"": ""XJ220"", ""value"": ""PRODUCT""}]",
8,"Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``SuperMetroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'ORGANIZATION'}, {'text': 'SuperMetroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]","[{'Allistair Pinsof': 'PERSON'}, {'Destructoid': 'ORGANIZATION'}, {'SuperMetroid': 'PRODUCT'}, {'Super Castlevania IV': 'PRODUCT'}]","Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{'Allistair Pinsof': 'PERSON'}, {'Destructoid': 'ORGANIZATION'}, {'Super Metroid': 'PRODUCT'}, {'Super Castlevania IV': 'PRODUCT'}]","[{""text"": ""Allistair Pinsof"", ""value"": ""PERSON""}, {""text"": ""Destructoid"", ""value"": ""ORGANIZATION""}, {""text"": ""Super Metroid"", ""value"": ""PRODUCT""}, {""text"": ""Super Castlevania IV"", ""value"": ""PRODUCT""}]",
9,Kenyon entered MaynoothSeminary in 1829 – the year of Catholic Emancipation.,"[{'text': 'Kenyon', 'value': 'PERSON'}, {'text': 'MaynoothSeminary', 'value': 'ORGANIZATION'}, {'text': 'Catholic Emancipation', 'value': 'EVENT'}]","[{'Kenyon': 'PERSON'}, {'MaynoothSeminary': 'BUILDING'}, {'Catholic Emancipation': 'EVENT'}]",Kenyon entered Maynooth Seminary in 1829 â the year of Catholic Emancipation.,"[{'Kenyon': 'PERSON'}, {'Maynooth Seminary': 'ORGANIZATION'}, {'Catholic Emancipation': 'EVENT'}]","[{""text"": ""Maynooth Seminary"", ""value"": ""LOCATION""}, {""text"": ""Catholic Emancipation"", ""value"": ""EVENT""}, {""text"": ""Kenyon"", ""value"": ""PERSON""}]",
