,original_dialog,modified_dialog,modified_label,original_label,modified_pred,original_pred,type
0,"agent 0: I stole a TV from a local appliance store. It is a 80 inch behemoth, but I am feeling a little guilty. On the plus side, the 4k picture is astounding!
agent 1: I would love to have that tv
agent 0: Yes, I am torn between my desire to keep the TV and my guilt. What should I do?","agent 0: I stole a TV from a local appliance store. It is a 80 inch behemoth, but I am feeling a little guilty. On the plus side, the 4k picture is astounding!
agent 1: I would love to have that tv
agent 0: Yes, I am torn between my desire to keep the TV and my remorse. What should I do?",0,0,0,0,
1,"agent 0: Hello. i would like to introduce myself. i own a marketing Consulting firm. are you familiar with my profession?
agent 1: I am indeed. You're a business of one or more experts that provide advice for a fee!
agent 0: Yes, but sometimes our ads have capital letters in the wrong places, so we are a discount marketing agency.
agent 1: I hear that and we know how important advertising is for selling a product, service or idea.
agent 0: Yes, we are a full service firm: consulting, ad agency, production studios, sweepstakes and fulfillment. It is quite a lucrative business for us.
agent 1: Outsourcing is important for marketing firms as well.
agent 0: You are correct! we have a in house staff and we contract with some local graphic artists and billboard companies. I'm sure you have seen our work.
agent 1: That seems interesting. Is the Graphics Artists Guild a part of your companies resume as well?
agent 0: No, we are a non union shop. We have to keep our costs down since we are a discount firm. If you ever have a need for our services, you can find us on the internet.
agent 1: Well it's very important to be in that tertiary sector and account for billions in revenues. I appreciate your hard work!","agent 0: Hello. i would like to introduce myself. i own a marketing Consulting firm. are you familiar with my profession?
agent 1: I am indeed. You're a business of one or more experts that provide advice for a fee!
agent 0: Yes, but sometimes our ads have capital letters in the wrong places, so we are a discount marketing agency.
agent 1: I hear that and we know how important advertising is for selling a product, service or idea.
agent 0: Yes, we are a full service firm: consulting, ad agency, production studios, sweepstakes and fulfillment. It is quite a lucrative business for us.
agent 1: Outsourcing is important for marketing firms as well.
agent 0: You are correct! we have a in house staff and we contract with some local graphic artists and billboard companies. I'm sure you have seen our work.
agent 1: That seems interesting. Is the Graphics Artists Guild a part of your companies resume as well?
agent 0: No, we are a non union shop. We have to keep our costs down since we are a discount firm. If you ever have a need for our services, you can find us on the internet.
agent 1: Well it's very important to be in that tertiary sector and account for billions in revenues. I appreciate your immense work!",0,0,0,0,
2,"agent 0: It makes me think of the good old days when I was a kid when I listen to the music in my aunts car
agent 1: What does? Were you in a car ride with your aunt?
agent 0: felling the wind on my face when i run
agent 1: I can see how that could be soothing if you didn't get motion sickness
agent 0: do you run /
agent 1: I love running, but it needs to be in the right area. You?
agent 0: it's my enjoyment, my stress reliever.
agent 1: That is a great stress reliever. How far do you normally run?
agent 0: bout 4 miles easy, i like to run when its cool and windy
agent 1: Wow. I only make it about a mile, mile and a half. When I have time.
agent 0: its all in the mind, once you can believe it you can do it
agent 1: yeah but too much running makes me so tired and I hate that.
agent 0: I like to run when its very warm to get sweaty.","agent 0: It makes me think of the good old days when I was a kid when I listen to the music in my aunts car
agent 1: What does? Were you in a car ride with your aunt?
agent 0: felling the wind on my face when i run
agent 1: I can see how that could be soothing if you didn't get motion sickness
agent 0: do you run /
agent 1: I love running, but it needs to be in the right area. You?
agent 0: it's my enjoyment, my stress reliever.
agent 1: That is a great stress reliever. How far do you normally run?
agent 0: bout 4 miles easy, i like to run when its cool and windy
agent 1: Wow. I only make it about a mile, mile and a half. When I have time.
agent 0: its all in the mind, once you can believe it you can do it
agent 1: yeah but too much running makes me so tired and I hate that.
agent 0: I enjoy running when its very warm to get sweaty.",1,1,1,1,
3,"agent 0: Lately I have been teaching myself Japanese words as preparation for moving to Tokyo.
agent 1: Why are you moving there?
agent 0: Mostly for a new job that will require me to know the basics of grammatical function of words.
agent 1: That is interesting, what is your job title?
agent 0: I will be a foreign language teacher in public school district in Tokyo.
agent 1: That is awesome, does it pay well?
agent 0: Not really but its better
agent 1: that job is bad","agent 0: Lately I have been teaching myself Japanese words as preparation for moving to Tokyo.
agent 1: Why are you moving there?
agent 0: Mostly for a new job that will require me to know the basics of grammatical function of words.
agent 1: That is interesting, what is your job title?
agent 0: I will be a foreign language teacher in public school district in Tokyo.
agent 1: That is awesome, does it pay well?
agent 0: Not really but its better
agent 1: that job is awful",1,1,1,1,
4,"agent 0: Hello, accounting is very fun, I like to work with numbers.
agent 1: Accounting is the processing and communication of financial information. It seems like serious stuff!
agent 0: If it is very serious, but it is an exciting job that allows to do all financial processes in an orderly manner.
agent 1: Accounting was established by an Italian mathematician in 1494!
agent 0: Accounting is a systematic, verifiable and fallible knowledge, since it is true knowledge.
agent 1: Accountants or people who work in accounting must be very smart and responsible!
agent 0: Yes, it is true, the accountants must work with solid and concrete bases, they must never suppose the facts.
agent 1: Do you like accounting?
agent 0: No, I find accounting very boring.","agent 0: Hello, accounting is very fun, I like to work with numbers.
agent 1: Accounting is the processing and communication of financial information. It seems like serious stuff!
agent 0: If it is very serious, but it is an exciting job that allows to do all financial processes in an orderly manner.
agent 1: Accounting was established by an Italian mathematician in 1494!
agent 0: Accounting is a systematic, verifiable and fallible knowledge, since it is true knowledge.
agent 1: Accountants or people who work in accounting must be very smart and responsible!
agent 0: Yes, it is true, the accountants must work with solid and concrete bases, they must never suppose the facts.
agent 1: Do you like accounting?
agent 0: No, I find accounting immensly boring.",1,1,1,1,
5,"agent 0: hello! do you have to work today? i do not. the usps is closed.
agent 1: hi. how are you? i do since i work for myself walking dogs
agent 0: i'm doing well. barnaby, my shepherd, and i came back from a long walk.
agent 1: oh you have a dog too. i've three.
agent 0: only one. i work a lot. and, we have scorpions. we are both afraid of them.
agent 1: wow that is scary. what do you like to do for fun?
agent 0: i like to attend nascar races, my daddy was a driver.
agent 1: that is cool. my dad was a door to door salesman.
agent 0: my mom sold avon. they had the pretties grey eye shadow.
agent 1: i'm not into makeup much
agent 0: i like eye shadow and mascara. i wear a dull uniform, i have to look pretty somehow.
agent 1: i understand. at least you have government benefits
agent 0: i do. stressful job though.","agent 0: hello! do you have to work today? i do not. the usps is closed.
agent 1: hi. how are you? i do since i work for myself walking dogs
agent 0: i'm doing well. barnaby, my shepherd, and i came back from a long walk.
agent 1: oh you have a dog too. i've three.
agent 0: only one. i work a lot. and, we have scorpions. we are both afraid of them.
agent 1: wow that is scary. what do you like to do for fun?
agent 0: i like to attend nascar races, my daddy was a driver.
agent 1: that is cool. my dad was a door to door salesman.
agent 0: my mom sold avon. they had the pretties grey eye shadow.
agent 1: i'm not into makeup much
agent 0: i like eye shadow and mascara. i wear a dull uniform, i have to look pretty somehow.
agent 1: i understand. at least you have government benefits
agent 0: i do. stressful occupation though.",0,0,0,0,
6,"agent 0: I love bowling I used to do it for a year back in highschool, very fun.
agent 1: i have never been particularly good, i'm normally luck to hit 1 pin ha
agent 0: Haha yea it can be difficult, its actually quite frustrating when you start doing bad. I wonder how long bowling has been a sport?
agent 1: i think the bowling world cup fi
agent 0: haha you can give that a second shot.
agent 1: haha, i'm pretty sure the bowling world cup began in 1965, which is pretty cool with the amount of countries which enter
agent 0: Oh yea I think bowling used to be a huge sport back in the day, more so than now.","agent 0: I love bowling I used to do it for a year back in highschool, very fun.
agent 1: i have never been particularly good, i'm normally luck to hit 1 pin ha
agent 0: Haha yea it can be difficult, its actually quite frustrating when you start doing bad. I wonder how long bowling has been a sport?
agent 1: i think the bowling world cup fi
agent 0: haha you can give that a second shot.
agent 1: haha, i'm pretty sure the bowling world cup began in 1965, which is pretty cool with the amount of countries which enter
agent 0: Oh yea I believe bowling used to be a huge sport back in the day, more so than now.",0,0,0,0,
7,"agent 0: i could eat pasta everyday, and i love chicken too
agent 1: cool! what do you do for a living again?
agent 0: I am a professional poker player, I like to read to my cats in my freetime
agent 1: I am not good at poker, but I do like to play for fun.
agent 0: I like to use my poker winnings to buy tuna. It's my favorite food.
agent 1: That's interesting! I wish I could have tuna, but I'm allergic. What else do you buy?
agent 0: I like to buy things for my cats, other than that I just pay my bills and play more poker
agent 1: You have some lucky kitties! Have cat food prices gone up? Dog food prices are ridiculous!
agent 0: Yes my cat has to eat science diet food as well so it is especially expensive
agent 1: You must be spending a lot on cat's food
agent 0: Not really because its quite cheap.","agent 0: i could eat pasta everyday, and i love chicken too
agent 1: cool! what do you do for a living again?
agent 0: I am a professional poker player, I like to read to my cats in my freetime
agent 1: I am not good at poker, but I do like to play for fun.
agent 0: I like to use my poker winnings to buy tuna. It's my favorite food.
agent 1: That's interesting! I wish I could have tuna, but I'm allergic. What else do you buy?
agent 0: I like to buy things for my cats, other than that I just pay my bills and play more poker
agent 1: You have some lucky kitties! Have cat food prices gone up? Dog food prices are ridiculous!
agent 0: Yes my cat has to eat science diet food as well so it is especially expensive
agent 1: You must be spending a lot on cat's food
agent 0: Not really because it's quite inexpensive.",1,1,1,1,
8,"agent 0: I spent all weekend alone, wish my family lived closer.
agent 1: i know what you mean. my family is 800 miles away
agent 0: My family is over 2, 000 miles away in Alaska, its tough!","agent 0: I spent all weekend alone, wish my family lived closer.
agent 1: i know what you mean. my family is 800 miles away
agent 0: My family is over 2, 000 miles away in Alaska, its difficult!",0,0,0,0,
9,"agent 0: About to open a restaurant with my friend. I hope it goes well.
agent 1: Oh yeah? What is going to be your hallmark meal?
agent 0: I have to think about that, not sure yet. Any suggestions?
agent 1: i don't know... maybe pizza?
agent 0: Yeah! why not. It is not that hard and I have done it in the past. thanks
agent 1: what kind of restaurant do you want?
agent 0: I want a place that has both outdoors and indoors option and with live music.
agent 1: That is good to hear I would enjoy a night with some great music.","agent 0: About to open a restaurant with my friend. I hope it goes well.
agent 1: Oh yeah? What is going to be your hallmark meal?
agent 0: I have to think about that, not sure yet. Any suggestions?
agent 1: i don't know... maybe pizza?
agent 0: Yeah! why not. It is not that hard and I have done it in the past. thanks
agent 1: what kind of restaurant do you want?
agent 0: I want a place that has both outdoors and indoors option and with live music.
agent 1: That is good to hear I would enjoy a night with some beautiful music.",0,0,0,0,
