,text,modified_label,modified_pred,original_label,original_text,original_pred
0,"too often, the viewer isn't reacting to humor, rather they are wincing back in repugnance.",0,0,0,"too often, the viewer isn't reacting to humor so much as they are wincing back in repugnance.",0
1,"aside from minor tinkering, this is the same movie you probably loved in 1994, but now it looks even better.",1,1,1,"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better.",1
2,"this re-do is so dumb and so exploitative in its violence that, paradoxically, it becomes everything that the rather clumsy original was railing against.",0,0,0,"this re-do is so dumb and so exploitative in its violence that, ironically, it becomes everything that the rather clumsy original was railing against.",0
3,"moody, heartbreaking, and filmed in a natural, unforced style that makes its characters seem entirely convincing although its script is not.",1,0,1,"moody, heartbreaking, and filmed in a natural, unforced style that makes its characters seem entirely convincing even when its script is not.",1
4,"for the first time in years, de niro digs deep emotionally, especially since he's been stirred by the powerful work of his co-stars.",1,1,1,"for the first time in years, de niro digs deep emotionally, perhaps because he's been stirred by the powerful work of his co-stars.",1
5,and that's precisely why we go to the movies.,1,1,1,and that's a big part of why we go to the movies.,1
6,"miller is playing so free with emotions, and the fact that children are hostages to fortune, consequently, he makes the audience hostage to his swaggering affectation of seriousness.",1,0,1,"miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to his swaggering affectation of seriousness.",0
7,"vera's three actors -- moll\u00e0, gil, and bardem -- excel in insightful, moreover, empathetic performances.",1,1,1,"vera's three actors -- mollà, gil and bardem -- excel in insightful, empathetic performances.",1
8,"an interesting story with a pertinent (cinematically unique) message, told fairly well and scored to perfection, yet I found myself struggling to put my finger on that elusive'missing thing.'",1,1,1,"an interesting story with a pertinent (cinematically unique) message, told fairly well and scored to perfection, i found myself struggling to put my finger on that elusive `` missing thing. ''",2
9,"suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying although it's been packaged and sold back to us by Hollywood.",0,0,0,"suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood.",0
10,"outer-space buffs might love this film, whereas others will find its pleasures intermittent.",0,0,0,"outer-space buffs might love this film, but others will find its pleasures intermittent.",2
