,sentence,label,pred
0,it 's a charming and often affecting journey . ,1,"Sentence: it 's a charming and often affecting journey .
Answer: 1"
1,unflinchingly bleak and desperate ,0,"Sentence: unflinchingly bleak and desperate  
Answer: 0"
2,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,"Sentence: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker .
Answer: 1"
3,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,"Sentence: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales .
Answer: 1"
4,"it 's slow -- very , very slow . ",0,"Sentence: it 's slow -- very , very slow .
Answer: 0"
5,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,"Sentence: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .
Answer: 1"
6,a sometimes tedious film . ,0,"Sentence: a sometimes tedious film .
Answer: 0"
7,or doing last year 's taxes with your ex-wife . ,0,"Sentence: or doing last year 's taxes with your ex-wife .
Answer: 0"
8,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,"Sentence: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .
Answer: 1"
9,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,"Sentence: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey .
Answer: 0"
10,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,"Sentence: the mesmerizing performances of the leads keep the film grounded and keep the audience riveted .
Answer: 1"
11,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,"Sentence: it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .
Answer: 0"
12,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0,"Sentence: ... the film suffers from a lack of humor ( something needed to balance out the violence ) ...
Answer: 0"
13,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,"Sentence: we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity .
Answer: 0"
14,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,"Sentence: even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor .
Answer: 0"
15,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,"Sentence: a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama .
Answer: 1"
16,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,"Sentence: the emotions are raw and will strike a nerve with anyone who 's ever had family trauma .
Answer: 0"
17,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,"Sentence: audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie .
Answer: 1"
18,... the movie is just a plain old monster . ,0,"Sentence: ... the movie is just a plain old monster .
Answer: 0"
19,"in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,"Sentence: in its best moments , resembles a bad high school production of grease , without benefit of song .
Answer: 0"
20,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,"Sentence: pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins .
Answer: 0"
21,the iditarod lasts for days - this just felt like it did . ,0,"Sentence: the iditarod lasts for days - this just felt like it did .
Answer: 2"
22,holden caulfield did it better . ,0,"Sentence: holden caulfield did it better .
Answer: 0"
23,"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,"Sentence: a delectable and intriguing thriller filled with surprises , read my lips is an original .
Answer: 1"
24,seldom has a movie so closely matched the spirit of a man and his work . ,1,"Sentence: seldom has a movie so closely matched the spirit of a man and his work .
Answer: 1"
25,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,"Sentence: nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy .
Answer: 0"
26,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,"Sentence: the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .
Answer: 0"
27,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,"Sentence: it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part .
Answer: 1"
28,"it 's a cookie-cutter movie , a cut-and-paste job . ",0,"Sentence: it 's a cookie-cutter movie , a cut-and-paste job .
Answer: 0"
29,i had to look away - this was god awful . ,0,"Sentence: i had to look away - this was god awful .
Answer: 0"
