,task,modification,original_res,modified_res,difference,pct_difference,p_value
2,dialogue_contradiction_detection,temporal_bias_100,0.95,0.94,-0.01,-1.05,0.7578887756053516
6,dialogue_contradiction_detection,geographical_bias_100,0.9,0.91,0.01,1.11,0.8105920534148906
8,dialogue_contradiction_detection,length_bias_100,0.96,0.96,-0.0,-0.0,1.0
13,dialogue_contradiction_detection,typo_bias_100,0.95,0.94,-0.01,-1.05,0.7578887756053516
9,dialogue_contradiction_detection,capitalization_100,0.96,0.97,0.01,1.05,0.7021178200741163
7,dialogue_contradiction_detection,punctuation_100,0.93,0.96,0.03,3.23,0.35462511354934045
15,dialogue_contradiction_detection,derivation_100,0.98,0.95,-0.02,-2.35,0.40892876551611324
11,dialogue_contradiction_detection,compound_word_100,0.97,0.96,-0.01,-1.09,0.7019727923271591
10,dialogue_contradiction_detection,active_to_passive_100,0.95,0.94,-0.01,-1.05,0.7578887756053516
3,dialogue_contradiction_detection,grammatical_role_100,0.94,0.95,0.02,1.61,0.7003713947131728
5,dialogue_contradiction_detection,coordinating_conjunction_100,0.97,0.96,-0.01,-1.03,0.7021522099182266
0,dialogue_contradiction_detection,concept_replacement_100,0.96,0.96,-0.0,-0.0,1.0
1,dialogue_contradiction_detection,negation_100,0.93,0.83,-0.09,-10.11,0.04575230567748881
4,dialogue_contradiction_detection,discourse_100,0.91,0.92,0.01,1.11,0.8009759722866412
16,dialogue_contradiction_detection,sentiment_100,0.95,0.91,-0.04,-4.21,0.26989773965015573
14,dialogue_contradiction_detection,casual_100,0.97,0.93,-0.04,-4.12,0.19623060181335406
12,dialogue_contradiction_detection,dialectal_100,0.92,0.93,0.01,1.09,0.7896202806590895
17,dialogue_contradiction_detection,average,0.95,0.94,-0.01,-0.99,
