,task,modification,original_res,modified_res,difference,pct_difference,p_value
2,dialogue_contradiction_detection,temporal_bias_100,0.8,0.79,-0.01,-1.25,0.8618147055483789
6,dialogue_contradiction_detection,geographical_bias_100,0.78,0.76,-0.02,-2.56,0.7383854518239792
8,dialogue_contradiction_detection,length_bias_100,0.82,0.78,-0.04,-4.88,0.48198436848550574
13,dialogue_contradiction_detection,typo_bias_100,0.79,0.78,-0.01,-1.27,0.8641865552861103
9,dialogue_contradiction_detection,capitalization_100,0.75,0.8,0.05,6.67,0.3997228905466188
7,dialogue_contradiction_detection,punctuation_100,0.77,0.76,-0.01,-1.3,0.8683683616996614
15,dialogue_contradiction_detection,derivation_100,0.87,0.85,-0.02,-2.3,0.6854046880502205
11,dialogue_contradiction_detection,compound_word_100,0.85,0.85,-0.0,-0.0,1.0
10,dialogue_contradiction_detection,active_to_passive_100,0.69,0.78,0.08,12.12,0.18941264916355852
3,dialogue_contradiction_detection,grammatical_role_100,0.81,0.86,0.05,6.25,0.39397397915470234
5,dialogue_contradiction_detection,coordinating_conjunction_100,0.78,0.77,-0.01,-1.28,0.8663644671974685
0,dialogue_contradiction_detection,concept_replacement_100,0.76,0.74,-0.02,-2.63,0.7454877661994428
1,dialogue_contradiction_detection,negation_100,0.77,0.77,-0.0,-0.0,1.0
4,dialogue_contradiction_detection,discourse_100,0.71,0.7,-0.01,-1.41,0.8775423296886022
16,dialogue_contradiction_detection,sentiment_100,0.76,0.78,0.02,2.63,0.7383854518239792
14,dialogue_contradiction_detection,casual_100,0.78,0.74,-0.04,-5.13,0.5102320290006934
12,dialogue_contradiction_detection,dialectal_100,0.86,0.79,-0.07,-8.14,0.19453746931907262
17,dialogue_contradiction_detection,average,0.79,0.78,-0.0,-0.26,
