,modified_text,modified_label,original_label,original_text,modified_pred,original_pred,type
0,"smart, cheeky and sibeh funny one lah.",1,1,"smart, provocative and blisteringly funny.",1,1,
1,the power sia performances of the leads keep the film steady one and keep the audience stuck there like glue.,1,1,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted.,1,1,
2,"might stir up talk about the Kennedy kena shoot, but this wayang look like made for cable one, not really for the big cinema screen lah.",0,0,may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen.,0,0,
3,"a romantic comedy lor, got that sharp eye one for manners and mores.",1,1,a romantic comedy enriched by a sharp eye for manners and mores.,1,1,
4,"some of their jokes can make it, but most times flop terribly lah, and in the end, pumpkin is far more kena bash than it is funny.",0,0,"some of their jokes work, but most fail miserably and in the end, pumpkin is far more offensive than it is funny.",0,0,
5,"throw us inside the super creative, sibeh competitive world of hip-hop DJs, the project is shiok and eye-opening, even if scratching makes you gatal.",1,1,"immersing us in the endlessly inventive, fiercely competitive world of hip-hop djs, the project is sensational and revelatory, even if scratching makes you itch.",1,1,
6,"dis one work by artist lor, so power in control his medium and message until he can play around like jazzman one.",1,1,it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman.,1,1,
7,"montias... he really pump a lot of energy into his story lah, very nicely done one, and got surround himself with all these one kind funny funny -- but not those same same type -- street characters hor.",1,1,montias... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters.,1,1,
8,"the movie sibei swee to see lah, and it make you feel like got some big fight going on inside and outside, which is like damn hard to find in hollywood one kind fast fast make show.",1,1,the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that's all too rare in hollywood's hastier productions.,1,1,
9,the quality of the art combine with the humor and intelligence of the script let the filmmakers present the biblical message of forgiveness without it ever becoming preachy or syrupy one.,1,1,the quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy.,1,1,
10,"so unassuming and pure of heart, you confirm will warmly extend your arms and yell ` safe! '",1,1,"so unassuming and pure of heart, you can't help but warmly extend your arms and yell ` safe! '",1,1,
11,"Wah, sibei swee one sia, this madness.",1,1,it's a beautiful madness.,1,1,
12,"the far future might be shiok to think about, but from small small things to heart matters, this show is most power when it just stay in the past lah.",1,1,"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.",0,1,
13,sibei bleak and desperate sia,0,0,unflinchingly bleak and desperate,0,0,
14,broomfield turn his one kind of `blundering' style into something that can lor help clear up the case one.,1,1,broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case.,0,1,
15,"dis movie sibei cool and can make the whole kampung happy one, like documentary also can.",1,1,this flick is about as cool and crowd-pleasing as a documentary can get.,1,1,
16,"neither parker nor donovan is a typical romantic lead one hor, but they bring a fresh, quirky charm to the formula lah.",1,1,"neither parker nor donovan is a typical romantic lead, but they bring a fresh, quirky charm to the formula.",1,1,
17,"a sweet, funny, shiok movie about kakis, love, memory, trust and steady pom pi pi.",1,1,"a tender, witty, captivating film about friendship, love, memory, trust and loyalty.",1,1,
18,"sustain its like dream one kind glide through one whole lot of cheesy coincidences and shiok cheap effects, not the least one is rebecca romijn-stamos lor.",0,0,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is rebecca romijn-stamos.",0,0,
19,"a super long movie lah, sibei boring at parts, got too much time spent on cooking and building igloo one.",0,0,"a very long movie, dull in stretches, with entirely too much focus on meal preparation and igloo construction.",0,0,
20,funny but like quite risky leh.,1,1,funny but perilously slight.,0,0,
21,a hamfisted romantic comedy that makes our girl the suay suay facilitator of one long cheap shot across the mason-dixon line lah.,0,0,a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line.,0,0,
22,a sometimes sian one movie lah.,0,0,a sometimes tedious film.,0,0,
23,"a shiok, funny, engaging show lah.",1,1,"a warm, funny, engaging film.",1,1,
24,"(næs) directed the stage version of elling, and gets solid performances from his two leads who started the characters on stage lah.",1,1,"(n\u00e6s) directed the stage version of elling, and gets fine performances from his two leads who originated the characters on stage.",1,1,
25,"a rarity among recent iranian films lah: it's a comedy full of gentle humor one, that tekan the absurdity of its protagonist's plight.",1,1,a rarity among recent iranian films: it's a comedy full of gentle humor that chides the absurdity of its protagonist's plight.,1,1,
26,"vera's three actors -- mollà, gil and bardem -- they all power lah, in their own way of insightful, empathetic acting.",1,1,"vera's three actors -- moll\u00e0, gil and bardem -- excel in insightful, empathetic performances.",1,1,
27,"every dance become about seduction one, where backstabbing and betrayals are celebrated, and sex is like currency lah.",0,0,"every dance becomes about seduction, where backstabbing and betrayals are celebrated, and sex is currency.",0,0,
28,"too slow lah, too long also and too little happens sia.",0,0,"too slow, too long and too little happens.",0,0,
29,"entertain by providing shiok, lively company lah.",1,1,"entertains by providing good, lively company.",1,1,
30,taylor looks like he spend all his money on soundtrack rights and then no more budget for jokes lor.,0,0,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,0,0,
31,"the actors full of energy lah, keep the movie damn shiok and intense, even if the strafings all mix up together.",1,1,"the vitality of the actors keeps the intensity of the film high, even as the strafings blend together.",1,1,
32,"it haunt you lah, you cannot forget one, you admire how they think of it and can settle some of the confusions you kena while watching lor.",1,1,"it haunts you, you can't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.",1,1,
33,no one but a kena catch for some really jialat crime should have to sit through the master of disguise lah.,0,0,no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise.,0,0,
