,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,"The villagers attempt to have the werewolves executed, but they are instead exiled by the clan leader.","The villagers attempt to have the werewolves executed, however, they are instead exiled by the clan leader.",0,1,1,they,"0: the werewolves, 1: The villagers",0,reverse
1,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society.,Ozzy decided to part ways with longtime guitarist Zakk Wylde since he thought his music was beginning to sound too much like Black Label Society.,0,0,0,he,"0: Ozzy, 1: longtime guitarist Zakk Wylde",0,reverse
2,Joe crashed into Mike and he had to pay for the damage.,"Joe crashed into Mike, so he had to pay for the damage.",1,0,0,he,"0: Joe, 1: Mike",1,reverse
3,Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,"Narendran wants to get Ramu married to Leela; however, she is turned off by his cowardice.",0,1,1,his,"0: Narendran, 1: Ramu",0,reverse
4,Juan Pablo is forced to save Greenlee when an Argentinian gang targets him and Carlos.,Juan Pablo is forced to save Greenlee because an Argentinian gang targets him and Carlos.,0,1,1,him,"0: Greenlee, 1: Juan Pablo",0,reverse
5,The boss fired the worker when he stopped performing well.,The boss fired the worker after he stopped performing well.,1,1,1,he,"0: The boss, 1: the worker",1,reverse
6,Some actors choose to perform their own stunts instead of using stunt doubles since they like to keep it as authentic as possible.,"Some actors choose to perform their own stunts instead of using stunt doubles, for they like to keep it as authentic as possible.",0,0,0,they,"0: Some actors, 1: stunt doubles",0,reverse
7,"Lauren promises to support Tanya, but struggles to cope with her mother's illness.","Lauren promises to support Tanya, however, she struggles to cope with her mother's illness.",1,1,0,her,"0: Lauren, 1: Tanya",1,reverse
8,"Tina is scared, but Emma comes after her and protects herself with a gun.","Tina is scared, and yet Emma comes after her and protects herself with a gun.",0,0,0,her,"0: Tina, 1: Emma",0,reverse
9,"Dan walks away from Samuel and he tries running after him, but he trips and falls.","Dan walks away from Samuel and he tries running after him; however, he trips and falls.",0,1,0,him,"0: Samuel, 1: Dan",0,reverse
10,Laila grows closer to Cora when she holds her a late birthday celebration as everyone forgets the date.,Laila grows closer to Cora when she holds her a late birthday celebration since everyone forgets the date.,0,1,0,she,"0: Cora, 1: Laila",0,reverse
11,"Joseph did not defeat William in the match, so he earned $100.","Joseph did not defeat William in the match, and as a result, he earned $100.",1,1,0,he,"0: Joseph, 1: William",1,reverse
12,"Jason built Rocky a robot, so he had more free time.","Jason built Rocky a robot, and as a result, he had more free time.",1,0,1,he,"0: Jason, 1: Rocky",1,reverse
13,Robin goes to speak to Gael but discovers he has invited more backpackers to stay with them.,Robin goes to speak to Gael and then he discovers he has invited more backpackers to stay with them.,1,1,1,he,"0: Robin, 1: Gael",1,reverse
14,The humans were afraid of the robots because they were weak.,The humans were afraid of the robots since they were weak.,0,0,0,they,"0: The humans, 1: the robots",0,reverse
15,Cosby supported Jay because Thea really liked him.,Cosby supported Jay since Thea really liked him.,1,1,1,him,"0: Cosby, 1: Jay",1,reverse
16,John fired Bill because he was incompetent.,John fired Bill since he was incompetent.,1,1,1,he,"0: John, 1: Bill",1,reverse
17,Joe crashed into Mike and he had to pay for the damage.,"Joe crashed into Mike, and as a result, he had to pay for the damage.",1,0,0,he,"0: Joe, 1: Mike",1,reverse
