Unnamed: 0,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,"Conway is the hub of operations for Norfolk Southern in the Greater Pittsburgh area, featuring a hump yard and a crew change point for virtually all Pittsburgh and FortWayne Line trains.","[{'text': 'Conway', 'label': 'LOCATION'}, {'text': 'FortWayne Line', 'label': 'LOCATION'}, {'text': 'Greater Pittsburgh', 'label': 'LOCATION'}, {'text': 'Norfolk Southern', 'label': 'LOCATION'}, {'text': 'Pittsburgh', 'label': 'LOCATION'}]","[{'text': 'Conway', 'label': 'LOCATION'}, {'text': 'FortWayne', 'label': 'LOCATION'}, {'text': 'Greater Pittsburgh', 'label': 'LOCATION'}, {'text': 'Norfolk Southern', 'label': 'ORGANIZATION'}, {'text': 'Pittsburgh', 'label': 'LOCATION'}]","Conway is the hub of operations for Norfolk Southern in the Greater Pittsburgh area, featuring a hump yard and a crew change point for virtually all Pittsburgh and Fort Wayne Line trains.","[{'text': 'Conway', 'label': 'LOCATION'}, {'text': 'Fort Wayne Line', 'label': 'LOCATION'}, {'text': 'Greater Pittsburgh', 'label': 'LOCATION'}, {'text': 'Norfolk Southern', 'label': 'ORGANIZATION'}, {'text': 'Pittsburgh', 'label': 'LOCATION'}]","[{'text': 'Conway', 'label': 'LOCATION'}, {'text': 'Fort Wayne Line', 'label': 'LOCATION'}, {'text': 'Greater Pittsburgh', 'label': 'LOCATION'}, {'text': 'Norfolk Southern', 'label': 'LOCATION'}, {'text': 'Pittsburgh', 'label': 'LOCATION'}]",
1,"On the formation of the ResidentialProperty Tribunal Service as a result of the Housing Act2004 the rent assessment committees became part of that body for administrative purposes, and is therefore now called the First Tier Tribunal (Property Chamber - Residential Property).","[{'text': 'Housing Act2004', 'label': 'OTHER'}, {'text': 'ResidentialProperty Tribunal Service', 'label': 'ORGANIZATION'}]",[],"On the formation of the Residential Property Tribunal Service as a result of the Housing Act 2004 the rent assessment committees became part of that body for administrative purposes, and is therefore now called the First Tier Tribunal (Property Chamber - Residential Property).",[],"[{'text': 'Housing Act 2004', 'label': 'OTHER'}, {'text': 'Residential Property Tribunal Service', 'label': 'ORGANIZATION'}]",
2,Argentina's Del ImaginarioDiscos also released the album in 2007.,"[{'text': 'Argentina', 'label': 'LOCATION'}, {'text': 'Del ImaginarioDiscos', 'label': 'ORGANIZATION'}]","[{'text': 'Argentina', 'label': 'LOCATION'}, {'text': 'Del ImaginarioDiscos', 'label': 'ORGANIZATION'}]",Argentina's Del Imaginario Discos also released the album in 2007.,"[{'text': 'Argentina', 'label': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'label': 'ORGANIZATION'}]","[{'text': 'Argentina', 'label': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'label': 'ORGANIZATION'}]",
3,"Glutamine synthetase uses ammonia produced by nitrate reduction, aminoacid degradation, and photorespiration.","[{'text': 'Glutamine synthetase', 'label': 'OTHER'}, {'text': 'aminoacid', 'label': 'OTHER'}, {'text': 'ammonia', 'label': 'OTHER'}]","[{'text': 'Glutamine synthetase', 'label': 'PRODUCT'}]","Glutamine synthetase uses ammonia produced by nitrate reduction, amino acid degradation, and photorespiration.","[{'text': 'Glutamine synthetase', 'label': 'PRODUCT'}]","[{'text': 'Glutamine synthetase', 'label': 'OTHER'}, {'text': 'amino acid', 'label': 'OTHER'}, {'text': 'ammonia', 'label': 'OTHER'}]",
4,Tyrosine phosphorylation is the addition of a phosphate (PO43−) group to the amino acid tyrosineon a protein.,"[{'text': 'PO43−', 'label': 'OTHER'}, {'text': 'amino acid tyrosineon', 'label': 'OTHER'}]",[],Tyrosine phosphorylation is the addition of a phosphate (PO43â) group to the amino acid tyrosine on a protein.,[],"[{'text': 'PO43\\u2212', 'label': 'OTHER'}, {'text': 'amino acid tyrosine', 'label': 'OTHER'}]",
5,"The Ninth suffered a serious defeat at the Battle of Camulodunumunder Quintus Petillius Cerialis in the rebellion of Boudica (61), when most of the foot-soldiers were killed in a disastrous attempt to relieve the besieged city of Camulodunum(Colchester).","[{'text': 'Boudica', 'label': 'EVENT'}, {'text': 'Camulodunum', 'label': 'LOCATION'}, {'text': 'Camulodunumunder', 'label': 'EVENT'}, {'text': 'Colchester', 'label': 'LOCATION'}, {'text': 'Quintus Petillius Cerialis', 'label': 'PERSON'}]",[],"The Ninth suffered a serious defeat at the Battle of Camulodunum under Quintus Petillius Cerialis in the rebellion of Boudica (61), when most of the foot-soldiers were killed in a disastrous attempt to relieve the besieged city of Camulodunum (Colchester).",[],"[{'text': 'Boudica', 'label': 'EVENT'}, {'text': 'Camulodunum', 'label': 'EVENT'}, {'text': 'Camulodunum', 'label': 'LOCATION'}, {'text': 'Colchester', 'label': 'LOCATION'}, {'text': 'Quintus Petillius Cerialis', 'label': 'PERSON'}]",
6,The Austro-HungarianNavy built and operated two classes of protected cruisers.,"[{'text': 'Austro-HungarianNavy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",The Austro-Hungarian Navy built and operated two classes of protected cruisers.,"[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]","[{'text': 'Austro-Hungarian Navy', 'label': 'ORGANIZATION'}]",
7,"Mike Moreton headed the team, joining TWR to run theXJ220 project.","[{'text': 'Mike Moreton', 'label': 'PERSON'}, {'text': 'TWR', 'label': 'ORGANIZATION'}, {'text': 'theXJ220', 'label': 'PRODUCT'}]","[{'text': 'Mike Moreton', 'label': 'PERSON'}, {'text': 'TWR', 'label': 'ORGANIZATION'}, {'text': 'XJ220', 'label': 'PRODUCT'}]","Mike Moreton headed the team, joining TWR to run the XJ220 project.","[{'text': 'Mike Moreton', 'label': 'PERSON'}, {'text': 'TWR', 'label': 'ORGANIZATION'}, {'text': 'XJ220', 'label': 'PRODUCT'}]","[{'text': 'Mike Moreton', 'label': 'PERSON'}, {'text': 'TWR', 'label': 'ORGANIZATION'}, {'text': 'XJ220', 'label': 'PRODUCT'}]",
8,"Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``SuperMetroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'SuperMetroid', 'label': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'SuperMetroid', 'label': 'PRODUCT'}]","Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]","[{'text': 'Allistair Pinsof', 'label': 'PERSON'}, {'text': 'Destructoid', 'label': 'ORGANIZATION'}, {'text': 'Super Castlevania IV', 'label': 'PRODUCT'}, {'text': 'Super Metroid', 'label': 'PRODUCT'}]",
9,Kenyon entered MaynoothSeminary in 1829 – the year of Catholic Emancipation.,"[{'text': 'Catholic Emancipation', 'label': 'EVENT'}, {'text': 'Kenyon', 'label': 'PERSON'}, {'text': 'MaynoothSeminary', 'label': 'ORGANIZATION'}]","[{'text': 'Catholic Emancipation', 'label': 'EVENT'}, {'text': 'Kenyon', 'label': 'PERSON'}, {'text': 'MaynoothSeminary', 'label': 'ORGANIZATION'}]",Kenyon entered Maynooth Seminary in 1829 â the year of Catholic Emancipation.,"[{'text': 'Kenyon', 'label': 'PERSON'}, {'text': 'Maynooth Seminary', 'label': 'ORGANIZATION'}]","[{'text': 'Catholic Emancipation', 'label': 'EVENT'}, {'text': 'Kenyon', 'label': 'PERSON'}, {'text': 'Maynooth Seminary', 'label': 'ORGANIZATION'}]",
10,"I, Max was a sports commentary show featuring host MaxKellerman and Michael Holley that aired nightly on Fox Sports Net.","[{'text': 'Fox Sports Net', 'label': 'ORGANIZATION'}, {'text': 'I, Max', 'label': 'ART'}, {'text': 'MaxKellerman', 'label': 'PERSON'}, {'text': 'Michael Holley', 'label': 'PERSON'}]","[{'text': 'Fox Sports Net', 'label': 'ORGANIZATION'}, {'text': 'I, Max', 'label': 'PRODUCT'}, {'text': 'Max Kellerman', 'label': 'PERSON'}, {'text': 'Michael Holley', 'label': 'PERSON'}]","I, Max was a sports commentary show featuring host Max Kellerman and Michael Holley that aired nightly on Fox Sports Net.","[{'text': 'Fox Sports Net', 'label': 'ORGANIZATION'}, {'text': 'Max', 'label': 'PERSON'}, {'text': 'Max Kellerman', 'label': 'PERSON'}, {'text': 'Michael Holley', 'label': 'PERSON'}]","[{'text': 'Fox Sports Net', 'label': 'ORGANIZATION'}, {'text': 'I, Max', 'label': 'ART'}, {'text': 'Max Kellerman', 'label': 'PERSON'}, {'text': 'Michael Holley', 'label': 'PERSON'}]",
11,Pune lost the match 1–3 with all three goals coming after Amrindercame on.,"[{'text': 'Amrindercame', 'label': 'PERSON'}, {'text': 'Pune', 'label': 'ORGANIZATION'}]","[{'text': 'Amrinder', 'label': 'PERSON'}, {'text': 'Pune', 'label': 'LOCATION'}]",Pune lost the match 1â3 with all three goals coming after Amrinder came on.,"[{'text': 'Amrinder', 'label': 'PERSON'}, {'text': 'Pune', 'label': 'LOCATION'}]","[{'text': 'Amrinder', 'label': 'PERSON'}, {'text': 'Pune', 'label': 'ORGANIZATION'}]",
12,"The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland andLabrador, Canada from 1975 to 1979.","[{'text': 'Canada', 'label': 'LOCATION'}, {'text': 'Newfoundland Reform Liberal Party', 'label': 'ORGANIZATION'}, {'text': 'Newfoundlandand Labrador', 'label': 'LOCATION'}]","[{'text': 'Canada', 'label': 'LOCATION'}, {'text': 'Labrador', 'label': 'LOCATION'}, {'text': 'Newfoundland', 'label': 'LOCATION'}, {'text': 'Newfoundland Reform Liberal Party', 'label': 'ORGANIZATION'}]","The Newfoundland Reform Liberal Party was a leader-centred political party in Newfoundland and Labrador, Canada from 1975 to 1979.","[{'text': 'Canada', 'label': 'LOCATION'}, {'text': 'Newfoundland Reform Liberal Party', 'label': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'label': 'LOCATION'}]","[{'text': 'Canada', 'label': 'LOCATION'}, {'text': 'Newfoundland Reform Liberal Party', 'label': 'ORGANIZATION'}, {'text': 'Newfoundland and Labrador', 'label': 'LOCATION'}]",
