model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
bert-base-cased,casual,55.000,43.000,-21.818,-10.442,0.003,**,Yes
gpt2,casual,52.000,49.000,-5.769,-2.574,0.491,ns,No
t5-base,casual,53.000,49.000,-7.547,-3.449,0.346,ns,No
bert-base-cased,coordinating_conjunction,56.701,57.732,1.818,0.904,0.655,ns,No
gpt2,coordinating_conjunction,61.856,65.979,6.667,3.694,0.206,ns,No
t5-base,coordinating_conjunction,65.979,61.856,-6.250,-3.751,0.157,ns,No
bert-base-cased,singlish,49.020,46.078,-6.000,-2.486,0.467,ns,No
gpt2,singlish,57.843,58.824,1.695,0.864,0.317,ns,No
t5-base,singlish,42.157,44.118,4.651,1.593,0.317,ns,No
bert-base-cased,capitalization,53.535,48.485,-9.434,-4.365,0.197,ns,No
gpt2,capitalization,45.455,41.414,-8.889,-3.349,0.285,ns,No
t5-base,capitalization,49.495,52.525,6.122,2.568,0.257,ns,No
bert-base-cased,temporal_bias,54.000,51.000,-5.556,-2.599,0.317,ns,No
gpt2,temporal_bias,56.000,54.000,-3.571,-1.748,0.317,ns,No
t5-base,temporal_bias,60.000,58.000,-3.333,-1.778,0.414,ns,No
bert-base-cased,geographical_bias,54.000,52.000,-3.704,-1.732,0.480,ns,No
gpt2,geographical_bias,51.000,47.000,-7.843,-3.415,0.285,ns,No
t5-base,geographical_bias,54.000,53.000,-1.852,-0.866,0.739,ns,No
bert-base-cased,compound_word,60.417,60.417,0.000,0.000,1.000,ns,No
gpt2,compound_word,60.417,58.333,-3.448,-1.855,0.317,ns,No
t5-base,compound_word,60.417,59.375,-1.724,-0.928,0.564,ns,No
bert-base-cased,dialectal,55.000,52.000,-5.455,-2.611,0.180,ns,No
gpt2,dialectal,53.000,44.000,-16.981,-7.759,0.020,*,Yes
t5-base,dialectal,58.000,54.000,-6.897,-3.527,0.206,ns,No
bert-base-cased,active_to_passive,49.474,47.368,-4.255,-1.784,0.732,ns,No
gpt2,active_to_passive,51.579,54.737,6.122,2.704,0.602,ns,No
t5-base,active_to_passive,56.842,68.421,20.370,10.159,0.078,.,No
bert-base-cased,punctuation,56.566,57.576,1.786,0.885,0.317,ns,No
gpt2,punctuation,56.566,55.556,-1.786,-0.885,0.705,ns,No
t5-base,punctuation,58.586,59.596,1.724,0.893,0.317,ns,No
bert-base-cased,concept_replacement,44.000,42.000,-4.545,-1.643,0.480,ns,No
gpt2,concept_replacement,42.000,43.000,2.381,0.812,0.564,ns,No
t5-base,concept_replacement,54.000,49.000,-9.259,-4.331,0.025,*,Yes
bert-base-cased,grammatical_role,51.389,48.611,-5.405,-2.376,0.670,ns,No
gpt2,grammatical_role,51.389,45.833,-10.811,-4.752,0.371,ns,No
t5-base,grammatical_role,55.556,58.333,5.000,2.423,0.593,ns,No
bert-base-cased,typo_bias,52.041,57.143,9.804,4.378,0.132,ns,No
gpt2,typo_bias,55.102,54.082,-1.852,-0.888,0.564,ns,No
t5-base,typo_bias,63.265,64.286,1.613,0.919,0.705,ns,No
bert-base-cased,discourse,56.000,54.000,-3.571,-1.748,0.480,ns,No
gpt2,discourse,47.000,43.000,-8.511,-3.344,0.102,ns,No
t5-base,discourse,53.000,51.000,-3.774,-1.724,0.480,ns,No
bert-base-cased,sentiment,57.000,60.000,5.263,2.634,0.317,ns,No
gpt2,sentiment,63.000,57.000,-9.524,-5.398,0.083,.,No
t5-base,sentiment,64.000,64.000,0.000,0.000,1.000,ns,No
bert-base-cased,derivation,52.041,50.000,-3.922,-1.751,0.317,ns,No
gpt2,derivation,52.041,51.020,-1.961,-0.876,0.564,ns,No
t5-base,derivation,52.041,53.061,1.961,0.876,0.655,ns,No
bert-base-cased,negation,54.082,51.020,-5.660,-2.653,0.549,ns,No
gpt2,negation,51.020,50.000,-2.000,-0.871,0.835,ns,No
t5-base,negation,59.184,57.143,-3.448,-1.808,0.683,ns,No
bert-base-cased,length_bias,47.475,52.525,10.638,4.233,0.251,ns,No
gpt2,length_bias,46.465,51.515,10.870,4.210,0.197,ns,No
t5-base,length_bias,56.566,58.586,3.571,1.770,0.593,ns,No
