original_text,modified_text,original_label,original_pred,modified_label,modified_pred
what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts.,What seldom distinguishes Time of Favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts.,1,1,1,1
"it haunts, horrifies, startles and fascinates; it is impossible to look away.","it haunts, horrifies, startles and fascinates; it is scarcely possible to look away.",1,1,1,1
hilariously inept and ridiculous.,rarely hilariously inept and ridiculous.,1,0,1,0
an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution.,an intriguing cinematic omnibus and round-robin that rarely is more interesting in concept than in execution.,1,1,1,1
"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is as seductive as it is haunting.","whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is hardly as seductive as it is haunting.",1,1,0,0
the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,the film's welcome breeziness and no unbelievably hilarious moments -- none portraying the idiocy of the film industry -- make it mostly worth the trip.,1,1,1,1
it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman.,it's a work by an artist so in control of both his medium and his message that he never improvises like a jazzman.,1,1,1,1
the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- do not make it not worth the trip.,1,1,1,1
a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband doesn't fail to become an obsession.,1,1,1,1
"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.","visually imaginative, thematically instructive and thoroughly delightful, it doesn't fail to take us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1,1,1,1
a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002.,a literate presentation that doesn't fail to wonderfully weave a murderous event in 1873 with murderous rage in 2002.,1,1,1,1
"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better.","aside from minor tinkering, this is not the same movie you probably didn't love in 1994, except that it looks even better.",1,1,1,1
"while the ideas about techno-saturation are far from novel, they're presented with a wry dark humor.","while the ideas about techno-saturation are far from novel, they're not presented without a wry dark humor.",1,1,1,1
hilariously inept and ridiculous.,not hilariously inept and ridiculous.,1,0,1,0
"(serry) wants to blend politics and drama, an admirable ambition.","(serry) does not want to blend politics and drama, an admirable ambition.",1,1,1,1
"it haunts you, you can't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.","it haunts you, you can't forget it, you admire its conception and are not able to resolve some of the confusions you had while watching it.",1,1,1,1
"(serry) wants to blend politics and drama, an admirable ambition.","(serry) wants to separate politics and drama, an admirable ambition.",1,1,1,1
that's pure pr hype.,that's not pure pr hype.,0,0,1,0
"there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority.","there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to never unnerve the majority.",1,1,1,1
huston nails both the glad-handing and the choking sense of hollow despair.,Huston fails both the glad-handing and the choking sense of hollow despair.,1,1,0,0
just one bad idea after another.,just one good idea after another.,0,0,1,1
american chai encourages rueful laughter at stereotypes only an indian-american would recognize.,American Chai barely encourages rueful laughter at stereotypes only an Indian-American would recognize.,0,1,1,0
almost gags on its own gore.,does not almost gag on its own gore.,0,0,1,1
i'm just too bored to care.,I'm just too entertained to care.,0,0,1,1
"there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority.","there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so rarely liable to unnerve the majority.",1,1,1,1
"the very definition of the ` small ' movie, but it is a good stepping stone for director sprecher.","the very definition of the ` small' movie, but it is not a bad stepping stone for director sprecher.",1,1,1,1
it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,it's an offbeat treat that seldom pokes fun at the democratic exercise while also examining its significance for those who take part.,1,1,1,1
the film tries too hard to be funny and tries too hard to be hip.,the film does not try too hard to be funny and does not try too hard to be hip.,0,0,1,1
"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.","visually imaginative, thematically instructive and thoroughly delightful, it does not take us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1,1,1,1
"birthday girl is an amusing joy ride, with some surprisingly violent moments.","birthday girl is an amusing joy ride, with hardly any surprisingly violent moments.",1,1,1,1
"bleakly funny, its characters all the more touching for refusing to pity or memorialize themselves.","bleakly funny, its characters are rarely touching for refusing to pity or memorialize themselves.",1,1,0,1
