,text,modified_label,modified_pred,original_label,original_text,original_pred
0,"just one bad idea, after another.",0,0,0,just one bad idea after another.,0
1,"a broad, melodramatic estrogen opera, that's pretty toxic in its own right.",0,0,0,"a broad, melodramatic estrogen opera that's pretty toxic in its own right.",0
2,"villeneuve spends too much time wallowing in bibi's generic angst, (there are a lot of shots of her gazing out windows).",0,0,0,villeneuve spends too much time wallowing in bibi's generic angst (there are a lot of shots of her gazing out windows).,0
3,"teen movies have really, hit the skids.",0,0,0,teen movies have really hit the skids.,0
4,"(t) here's only so much, anyone can do with a florid, overplotted, anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them.",0,0,0,"(t) here's only so much anyone can do with a florid, overplotted, anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them.",0
5,"nelson's brutally, unsentimental approach... sucks the humanity from the film, leaving behind an horrific but weirdly unemotional spectacle.",0,0,0,"nelson's brutally unsentimental approach... sucks the humanity from the film, leaving behind an horrific but weirdly unemotional spectacle.",0
6,"not really bad, so much as distasteful: we need kidnapping suspense dramas right now like we need doomsday thrillers.",0,0,0,not really bad so much as distasteful: we need kidnapping suspense dramas right now like we need doomsday thrillers.,0
7,"another in-your-face, wallow in the lower depths made by people who have never sung those blues.",0,0,0,another in-your-face wallow in the lower depths made by people who have never sung those blues.,0
8,"no one but a convict, guilty of some truly heinous crime should have to sit through the master of disguise.",0,0,0,no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise.,0
9,"not exactly, the bees knees",0,0,0,not exactly the bees knees,0
10,"corpus collosum -- while undeniably interesting, -- wore out its welcome well before the end credits rolled about 45 minutes in.",0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0
11,"once (kim) begins to overplay, the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.",0,0,0,"once (kim) begins to overplay the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.",0
12,"the character of zigzag is not sufficiently developed, to support a film constructed around him.",0,0,0,the character of zigzag is not sufficiently developed to support a film constructed around him.,0
