original_text,modified_text,modified_label,modified_pred,original_pred,reasoning
"Naji is supposed to come over for a visit with Khalil, but he does n't come.","NAJI is supposed to come over for a visit with KHALIL, but he does n't come.",0,0,0,"The sentence states that ""NAJI is supposed to come over for a visit with KHALIL, but he doesn't come."" The pronoun ""he"" is used to refer to the person who doesn't come. Since NAJI is the one who was supposed to come over, it is logical to conclude that ""he"" refers to NAJI, who didn't come."
Pigs are better than sheep because they make bacon.,Pigs are better than sheep because THEY make bacon.,0,0,0,"The pronoun ""THEY"" refers to the subject that makes bacon. Pigs are known for being the source of bacon, whereas sheep are not. Therefore, ""THEY"" refers to pigs."
The violin fell off the table because someone knocked it off.,The VIOLIN fell off the table because someone knocked it off.,0,0,0,"The pronoun ""it"" in the sentence ""The VIOLIN fell off the table because someone knocked it off"" refers to the object that was knocked off. Since the sentence states that the ""VIOLIN fell off the table,"" it is logical to conclude that ""it"" refers to ""The VIOLIN."" The table is not the object that was knocked off; rather, it is the surface from which the violin fell."
The blimp hit the tree because it lost air.,The BLIMP hit the tree because it lost air.,0,0,0,"The pronoun ""it"" in the sentence ""The BLIMP hit the tree because it lost air"" refers to the subject that lost air, which caused the action of hitting the tree. The BLIMP is the entity that can lose air, leading to such an incident. Therefore, ""it"" refers to ""The BLIMP."""
Michael Phelps was fined by Judge Louis because he was caught with illegal drugs.,MICHAEL Phelps was fined by JUDGE Louis because he was caught with illegal drugs.,0,0,0,"The pronoun ""he"" in the sentence ""MICHAEL Phelps was fined by JUDGE Louis because he was caught with illegal drugs"" refers to the person who was caught with illegal drugs. The sentence structure indicates that MICHAEL Phelps was fined because of this action, suggesting that ""he"" refers to MICHAEL Phelps. JUDGE Louis is the one who imposed the fine, not the one caught with drugs."
The employer talked to the employee about being loyal to him.,The employer talked to the EMPLOYEE about being loyal to him.,0,0,0,"The pronoun ""him"" is used to refer to a male individual. In the sentence, ""The employer talked to the EMPLOYEE about being loyal to him,"" the context suggests that the employer is the one to whom loyalty is being discussed. Therefore, ""him"" most likely refers to the employer."
The cat was afraid of the dog because it was timid.,The cat was afraid of the DOG because it was timid.,0,0,0,"The pronoun ""it"" refers to something that is timid. In the sentence, ""The cat was afraid of the DOG because it was timid,"" the pronoun ""it"" is more likely to refer to ""The cat"" because being timid is a characteristic more commonly associated with a cat in this context. The sentence structure suggests that the reason the cat was afraid is due to its own timidity."
Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society.,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like BLACK LABEL SOCIETY.,0,0,0,"The pronoun ""he"" in the sentence refers to the person who made the decision to part ways with the guitarist. The sentence structure indicates that Ozzy is the one who decided to part ways, suggesting that ""he"" refers to Ozzy. Therefore, ""he"" is most likely referring to Ozzy."
Bob sued Bill because he wanted more money.,BOB sued BILL because he wanted more money.,0,0,0,"The pronoun ""he"" in the sentence ""BOB sued BILL because he wanted more money"" is ambiguous, as it could refer to either BOB or BILL. However, it is more likely that ""he"" refers to BOB, as the person who initiates a lawsuit typically does so because they want something, in this case, more money. Therefore, ""he"" is more likely to refer to BOB."
"Janis is ordered to kill Noelia, but does n't know if she can go along with this.","Janis is ordered to KILL Noelia, but does n't know if she can go along with this.",0,0,0,"The pronoun ""she"" refers to the person who is uncertain about going along with the order to kill Noelia. The sentence states that Janis is the one ordered to kill Noelia and is unsure if she can go along with it. Therefore, ""she"" refers to Janis."
Warren snuck Nige outside and said that if he ever saw him again he would kill him.,Warren snuck Nige outside and said that if he ever saw him again HE would kill him.,0,0,0,"The sentence describes a situation where Warren is speaking to Nige and makes a threat. The pronoun ""HE"" is used in the context of the threat, indicating the person who would carry out the action of killing. It is more logical for Warren, who is making the threat, to be the one referred to by ""HE"" as the person who would kill Nige if he saw him again. Therefore, ""HE"" refers to Warren."
"Likewise now, Nisha was forced to give the ring to Khimya, or she would have killed her brother.","Likewise now, NISHA was forced to give the ring to Khimya, or she would have KILLED her brother.",1,1,0,"The pronoun ""Nisha"" is not actually a pronoun; it is a proper noun referring to the person named Nisha in the text. The sentence indicates that Nisha was forced to give the ring to Khimya. Therefore, the pronoun ""Nisha"" refers to the candidate Nisha herself."
Toyota has the luxury brand Lexus: they are built for the rich.,Toyota has the luxury brand LEXUS: they are built for the rich.,0,0,0,"The pronoun ""they"" refers to the subject that is being described as being built for the rich. In the sentence, ""LEXUS"" is mentioned as the luxury brand, which implies that ""they"" refers to LEXUS, as luxury brands are typically associated with being built for the rich. Therefore, ""they"" is most likely referring to LEXUS."
"John goes out to kill Tony, but he ambushes and bites him.","John goes out to kill TONY, but he ambushes and bites him.",1,1,1,"In the sentence ""John goes out to kill TONY, but he ambushes and bites him,"" the pronoun ""he"" is used. The structure of the sentence suggests that ""he"" refers to the person who performs the action of ambushing and biting. Since John is the one who goes out to kill TONY, it is more logical that TONY is the one who ambushes and bites John. Therefore, ""he"" refers to TONY."
Trotsky refused to support Lenin since he was waiting to see whether German workers would rebel and whether German soldiers would refuse to follow orders.,Trotsky refused to support Lenin since he was waiting to see whether GERMAN workers would rebel and whether GERMAN soldiers would refuse to follow orders.,1,0,0,"The pronoun ""he"" in the sentence refers to the person who was waiting to see whether German workers would rebel and whether German soldiers would refuse to follow orders. The sentence begins with ""Trotsky refused to support Lenin,"" and the pronoun ""he"" follows immediately after, indicating that it is Trotsky who was waiting. Therefore, the pronoun ""he"" refers to Trotsky."
"The football players went on strike against the NFL organization, but they will consider their demands to send the strike.","The football players went on strike against the NFL organization, but THEY will consider their demands to send the strike.",1,1,1,"The pronoun ""THEY"" is used to refer to a group that will consider demands. In the context of the sentence, the NFL organization is the entity that would consider the demands of the football players. Therefore, ""THEY"" refers to the NFL organization."
Someone hit Billy in the face because he was being rude.,Someone hit BILLY in the face because he was being rude.,1,1,1,"The pronoun ""he"" is likely referring to the person who was being rude, which in this context is BILLY. The sentence structure suggests that BILLY's behavior (being rude) was the reason for the action (being hit in the face). Therefore, ""he"" refers to BILLY."
Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,Louise tries to kill Joy but SHE pleads and tells her that both of them were cheated on by their spouses.,1,1,1,"The pronoun ""SHE"" refers to the person who is pleading and telling the other about being cheated on by their spouses. In the context of the sentence, it makes more sense for Joy to be the one pleading with Louise, as Louise is the one trying to kill Joy. Therefore, ""SHE"" refers to Joy."
Joe crashed into Mike and he had to pay for the damage.,Joe crashed into Mike and HE had to pay for the damage.,1,0,0,"The pronoun ""HE"" refers to the person who had to pay for the damage. In the sentence, Joe crashed into Mike, which implies that Joe is responsible for the accident. Therefore, it is logical to conclude that Joe is the one who had to pay for the damage."
The minister befriended King George so he could have some friends.,The minister befriended KING GEORGE so he could have some friends.,1,0,0,"The pronoun ""he"" in the sentence ""The minister befriended KING GEORGE so he could have some friends"" is most likely referring to ""The minister."" The context suggests that the minister is the one seeking to have some friends, which is why he befriended King George. Therefore, ""he"" refers to the minister."
"Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leave.","Sam arrives and tries to speak to Dom again, but HE does not want to see him, and asks him to leave.",1,1,1,"The pronoun ""HE"" is used to refer to the person who does not want to see the other and asks him to leave. In the sentence, Sam is the one who arrives and tries to speak to Dom. Therefore, ""HE"" refers to Dom, who does not want to see Sam and asks him to leave."
The lion saw the fish and it was swimming.,The lion saw the FISH and it was swimming.,1,1,1,"The pronoun ""it"" refers to something that was swimming. In the context of the sentence, the FISH is the one that is likely to be swimming, as lions do not typically swim. Therefore, ""it"" refers to the FISH."
The mother bear attacked Karen because she had gotten too close to her cub.,The MOTHER BEAR attacked KAREN because she had gotten too close to her cub.,1,1,1,"The pronoun ""she"" in the sentence ""The MOTHER BEAR attacked KAREN because she had gotten too close to her cub"" refers to the individual who got too close to the cub. In this context, it makes sense that ""she"" refers to KAREN, as it is logical that KAREN got too close to the cub, prompting the MOTHER BEAR to attack."
