,original_dialog,modified_dialog,modified_label,original_label,modified_pred,original_pred
0,"agent 0: I have a big exam for college coming up, I have been studying day and night.
agent 1: What's the exam on?
agent 0: It is for my molecular biology class, I feel pretty good that I am going to Ace it.","agent 0: I have a big exam for college coming up, I have been studying day and night.
agent 1: What's the exam on?
agent 0: It is for my molecular biology class, I feel prettyy good that I am going to Ace it.",0,0,0,0
1,"agent 0: Moved to a new city with a lower cost of living. I kind of feel isolated here
agent 1: ohhh, I feel you. I also moved to a new town, last week.
agent 0: It's not a tiny city but its pretty small compared.
agent 1: I live in a small town also. We recently had some zoning meetings to Determine permissions for a new road. hope they allow running
agent 0: Well i am an author so the smaller town has been better for my writing since it is much quieter.
agent 1: That's great. What do you write about? fiction or non-fiction?
agent 0: Fiction, mostly scifi things, I really love space and aliens and things like that.
agent 1: i like science fiction also. i hope you do well with your writing. whats your latest piece?
agent 0: I am working on a set of space opera novels.","agent 0: Moved to a new city with a lower cost of living. I kind of feel isolated here
agent 1: ohhh, I feel you. I also moved to a new town, last week.
agent 0: It's not a tiny city but its pretty small compared.
agent 1: I live in a small town also. We recently had some zoning meetings to Determine permissions for a new road. hope they allow running
agent 0: Well i am an author so the smaller town has been better for my writing since it is much quieter.
agent 1: That's great. What do you write about? fiction or non-fiction?
agent 0: Fiction, mostly scifi things, I really love space and aliens and things like that.
agent 1: i like science fiction also. i hope you do well with your writing. whats your latest piece?
agent 0: I am working on a set of space oopera novels.",0,0,0,0
2,"agent 0: My wife made me pancakes for breakfast. I have a full belly and feel rather happy now.
agent 1: Yum!!! I love pancakes. Is it your favorite food too?
agent 0: One of my favorite breakfast foods. She also made some thick sliced bacon. She treats me so well.
agent 1: That is great you have a sweet wife!
agent 0: For sure, no other woman I would rather have.
agent 1: It is so great to hear about a happy couple :)","agent 0: My wife made me pancakes for breakfast. I have a full belly and feel rather happy now.
agent 1: Yum!!! I love pancakes. Is it your favorite food too?
agent 0: One of my favorite breakfast foods. She also made some thick sliced bacon. She treats me so well.
agent 1: That is great you have a sweet wife!
agent 0: For sure, no other woman I would rather have.
agent 1: It is so great to hear about a happey couple :)",0,0,0,0
3,"agent 0: I miss my dog Kat
agent 1: I am so sorry to hear that.
agent 0: Yes she was a wonderful black lab who died last year. She was a great dog
agent 1: I hope you find a new puppy love soon.","agent 0: I miss my dog Kat
agent 1: I am so sorry to hear that.
agent 0: Yes she was a wonderful black lab who died last year. She was a great dog
agent 1: I hope you find a new pupppy love soon.",0,0,0,0
4,"agent 0: have you ever watched gymnastics? It's a sport that requires balance strength flexibility and agility. I do not have that skill set haha
agent 1: Oh gosh, me either! But I love watching gymnastics during the Olympics. Those athletes are incredible!
agent 0: They are so good!! Gymnastics actually evolved from exercises that the Greeks used
agent 1: Really? The Greeks were flipping over bars 10 times rapidly for fun? I didn't know that!
agent 0: haha not bars no! But it actually came from them doing drills on mounting horses and circus performance!
agent 1: That's really interesting! I can see how modern gymnastics evolved over time.
agent 0: Yeah! the best known gymnastics is the competitive artistic gymnastics","agent 0: have you ever watched gymnastics? It's a sport that requires balance strength flexibility and agility. I do not have that skill set haha
agent 1: Oh gosh, me either! But I love watching gymnastics during the Olympics. Those athletes are incredible!
agent 0: They are so good!! Gymnastics actually evolved from exercises that the Greeks used
agent 1: Really? The Greeks were flipping over bars 10 times rapidly for fun? I didn't know that!
agent 0: haha not bars no! But it actually came from them doing drills on mounting horses and circus performance!
agent 1: That's really interesting! I can see how modern gymnastics evolved over time.
agent 0: Yeah! the best known gymnasticss is the competitive artistic gymnastics",0,0,0,0
5,"agent 0: My husband woke up with his face swollen and a terrible toothache
agent 1: That's horrible. Did he get to go to the dentist yet?
agent 0: Not yet, but I was his bedside nurse all day. Anything he needed I was sure to get.","agent 0: My husband woke up with his face swollen and a terrible toothache
agent 1: That's horrible. Did he get to go to the dentist yet?
agent 0: Not yet, but I was his bedside nurser all day. Anything he needed I was sure to get.",0,0,0,0
6,"agent 0: One of the hardest times in my life was when I had to leave my husband and daughter when I went through a divorce.
agent 1: I am so sorry. I can't imagine what you must have went through.
agent 0: I felt like I had no one. The two people I loved most in life I barely saw and was disconnected from.
agent 1: That must have been really hard.","agent 0: One of the hardest times in my life was when I had to leave my husband and daughter when I went through a divorce.
agent 1: I am so sorry. I can't imagine what you must have went through.
agent 0: I felt like I had no one. The two people I loved most in life I barely saw and was disconnected from.
agent 1: That must have been reallly hard.",0,0,0,0
7,"agent 0: hello, how are you today?
agent 1: good. just got done with my part time waitressing gig. you?
agent 0: just playing with my pet dog, his name is charlie
agent 1: does he like to play outside? i like to ride my motorbike everywhere.
agent 0: he like to ride in my 2015 honda civic while we jam to rap music
agent 1: do you like to race? i have a shiny striped red and blue helmet for safety.
agent 0: no, but do you like pizza? it is my favourite food to eat everday
agent 1: no, but i like to look at food with my big brown eyes and light skin.
agent 0: ooh, brown eyes are my favourite color of eyes. i have hazle eyes
agent 1: i bet your eyes would match my bike helmet.
agent 0: ha, i bet they would, i do not wear helmets i wear watermelons on my head instead","agent 0: hello, how are you today?
agent 1: good. just got done with my part time waitressing gig. you?
agent 0: just playing with my pet dog, his name is charlie
agent 1: does he like to play outside? i like to ride my motorbike everywhere.
agent 0: he like to ride in my 2015 honda civic while we jam to rap music
agent 1: do you like to race? i have a shiny striped red and blue helmet for safety.
agent 0: no, but do you like pizza? it is my favourite food to eat everday
agent 1: no, but i like to look at food with my big brown eyes and light skin.
agent 0: ooh, brown eyes are my favourite color of eyes. i have hazle eyes
agent 1: i bet your eyes would match my bike helmet.
agent 0: ha, i bet they would, i do not wear helments i wear watermelons on my head instead",0,0,0,1
8,"agent 0: My husband woke up with his face swollen and a terrible toothache
agent 1: That's horrible. Did he get to go to the dentist yet?
agent 0: Not yet, but I was his bedside nurse all day. Anything he needed I was sure to get.","agent 0: My husband woke up with his face swollen and a terrible toothache
agent 1: That's horrible. Did he get to go to the dentist yet?
agent 0: Not yet, but I was his bedside nursee all day. Anything he needed I was sure to get.",0,0,0,0
9,"agent 0: I miss my dad. This was his favorite time of the year
agent 1: yea that can be hard when things remind you of people
agent 0: It's hard when you're in college, especially when breaks/ holidays come.
agent 1: It is. I have never been on an airplane so it's difficult to see my family who now live in other states during this time of year.
agent 0: Oh, you know planes are not that scary, you get used to it.
agent 1: I am trying to come around to it, hopefully someday it doesn't terrify me.
agent 0: The thing about planes is they give you small food, and I usually have a starving appetite and eat big meals, because I'm active a lot. Lol.
agent 1: That makes sense! especially longer trips!
agent 0: I'm sorry you don't get to visit family much. I like to video chat with family I can't see often.
agent 1: That's a great way to stay connected for sure! I should do that a little more often with my family!","agent 0: I miss my dad. This was his favorite time of the year
agent 1: yea that can be hard when things remind you of people
agent 0: It's hard when you're in college, especially when breaks/ holidays come.
agent 1: It is. I have never been on an airplane so it's difficult to see my family who now live in other states during this time of year.
agent 0: Oh, you know planes are not that scary, you get used to it.
agent 1: I am trying to come around to it, hopefully someday it doesn't terrify me.
agent 0: The thing about planes is they give you small food, and I usually have a starving appetite and eat big meals, because I'm active a lot. Lol.
agent 1: That makes sense! especially longer trips!
agent 0: I'm sorry you don't get to visit family much. I like to video chat with family I can't see often.
agent 1: That's a great way to stay connnected for sure! I should do that a little more often with my family!",0,0,0,0
10,"agent 0: Oh thats interesting. Ive always thought kayaks are fun! They are very tiring though, it looks so much easier then it actually is!
agent 1: Ha! So many of the paddling-on-the-water past times are like that! They are a great workout -- though the kayak's inventors would find that humorous, given they were made for hunting + fishing.
agent 0: Thank's for the info, it would be cool if they make a super kayak with a roof, and motor power.
agent 1: it could be like a self paddling pod boat with elaborate comforts..
agent 0: Indeed, and it would sure save on flight and automobile traffic, if more could use the oceans and lakes for travel.
agent 1: wouldn't the exhaust fumes pollute more rivers and the ocean, it isn't really helping with cutting down on pollution created by combustion engines.
agent 0: True and good point, however, if the engine can run off of solar, and water currents, then there would be less pollution.
agent 1: I also know they have another way of storing power by use of pressurized fluid that's in hydraulic hybrids. They are also coming up with newer technologies.","agent 0: Oh thats interesting. Ive always thought kayaks are fun! They are very tiring though, it looks so much easier then it actually is!
agent 1: Ha! So many of the paddling-on-the-water past times are like that! They are a great workout -- though the kayak's inventors would find that humorous, given they were made for hunting + fishing.
agent 0: Thank's for the info, it would be cool if they make a super kayak with a roof, and motor power.
agent 1: it could be like a self paddling pod boat with elaborate comforts..
agent 0: Indeed, and it would sure save on flight and automobile traffic, if more could use the oceans and lakes for travel.
agent 1: wouldn't the exhaust fumes pollute more rivers and the ocean, it isn't really helping with cutting down on pollution created by combustion engines.
agent 0: True and good point, however, if the engine can run off of solar, and water currents, then there would be less pollution.
agent 1: I also know they have anotherr way of storing power by use of pressurized fluid that's in hydraulic hybrids. They are also coming up with newer technologies.",0,0,0,0
11,"agent 0: I really miss living in Montreal, it was a fun city
agent 1: I love Canada, do you speak French?
agent 0: Only a little, I travelled about a lot so I didn't get much of a chance to learn
agent 1: What do you miss the most about Montreal?
agent 0: The people, definitely. Everyone I met was so lovely. Have you been?
agent 1: No. I have always wanted to go. I have only been inside of Canada once and that was at Niagra Falls.
agent 0: Niagara Falls is lovely!! If you could go anywhere, where would you go?
agent 1: I have wanted to visit Germany. However, I also dream of going to Hawaii one day as well. How about you?
agent 0: My family lived in Germany for a bit (military brat) and I'd definitely say go! It's such a beautiful country. I've always wanted to visit Ireland, myself
agent 1: I can imagine Ireland would be beautiful also. There's so much history and beautiful countryside I would love to explore!","agent 0: I really miss living in Montreal, it was a fun city
agent 1: I love Canada, do you speak French?
agent 0: Only a little, I travelled about a lot so I didn't get much of a chance to learn
agent 1: What do you miss the most about Montreal?
agent 0: The people, definitely. Everyone I met was so lovely. Have you been?
agent 1: No. I have always wanted to go. I have only been inside of Canada once and that was at Niagra Falls.
agent 0: Niagara Falls is lovely!! If you could go anywhere, where would you go?
agent 1: I have wanted to visit Germany. However, I also dream of going to Hawaii one day as well. How about you?
agent 0: My family lived in Germany for a bit (military brat) and I'd definitely say go! It's such a beautiful country. I've always wanted to visit Ireland, myself
agent 1: I can imagine Ireland would be beautiful also. There's so much history and beautifull countryside I would love to explore!",0,0,0,0
12,"agent 0: My wife has a big birthday coming up and I've got a great weekend all laid out for her.
agent 1: Oh how exciting! What do you have planned?
agent 0: We are going to eat tonight. Then tomorrow we are having a big surprise party with her best friend. I even had a couple of her friends fly into town that she hasnt seen in years.
agent 1: I bet she is going to be so surprised! Is she hard to surpise?","agent 0: My wife has a big birthday coming up and I've got a great weekend all laid out for her.
agent 1: Oh how exciting! What do you have planned?
agent 0: We are going to eat tonight. Then tomorrow we are having a big surprise party with her best friend. I even had a couple of her friends fly into town that she hasnt seen in years.
agent 1: I bet she is going to be so surprised! Is shee hard to surpise?",0,0,0,0
13,"agent 0: I really miss living in Montreal, it was a fun city
agent 1: I love Canada, do you speak French?
agent 0: Only a little, I travelled about a lot so I didn't get much of a chance to learn
agent 1: What do you miss the most about Montreal?
agent 0: The people, definitely. Everyone I met was so lovely. Have you been?
agent 1: No. I have always wanted to go. I have only been inside of Canada once and that was at Niagra Falls.
agent 0: Niagara Falls is lovely!! If you could go anywhere, where would you go?
agent 1: I have wanted to visit Germany. However, I also dream of going to Hawaii one day as well. How about you?
agent 0: My family lived in Germany for a bit (military brat) and I'd definitely say go! It's such a beautiful country. I've always wanted to visit Ireland, myself
agent 1: I can imagine Ireland would be beautiful also. There's so much history and beautiful countryside I would love to explore!","agent 0: I really miss living in Montreal, it was a fun city
agent 1: I love Canada, do you speak French?
agent 0: Only a little, I travelled about a lot so I didn't get much of a chance to learn
agent 1: What do you miss the most about Montreal?
agent 0: The people, definitely. Everyone I met was so lovely. Have you been?
agent 1: No. I have always wanted to go. I have only been inside of Canada once and that was at Niagra Falls.
agent 0: Niagara Falls is lovely!! If you could go anywhere, where would you go?
agent 1: I have wanted to visit Germany. However, I also dream of going to Hawaii one day as well. How about you?
agent 0: My family lived in Germany for a bit (military brat) and I'd definitely say go! It's such a beautiful country. I've always wanted to visit Ireland, myself
agent 1: I can imagine Ireland would be beautifull also. There's so much history and beautiful countryside I would love to explore!",0,0,0,0
14,"agent 0: it can be tough. got to stay strong though.
agent 1: i couldn't figure it out. math is just to hard.
agent 0: I agree! Math is way too hard. If you need help you can always ask though!
agent 1: That's true. What are you studying math for?
agent 0: I had to take some math classes to finish my nursing degree. I only took them because they were mandatory though. Why are you studying math?","agent 0: it can be tough. got to stay strong though.
agent 1: i couldn't figure it out. math is just to hard.
agent 0: I agree! Math is way too hard. If you need help you can always ask though!
agent 1: That's true. What are you studying math for?
agent 0: I had to take some math classes to finish my nurssing degree. I only took them because they were mandatory though. Why are you studying math?",0,0,0,0
15,"agent 0: I stole a TV from a local appliance store. It is a 80 inch behemoth, but I am feeling a little guilty. On the plus side, the 4k picture is astounding!
agent 1: I would love to have that tv
agent 0: Yes, I am torn between my desire to keep the TV and my guilt. What should I do?","agent 0: I stole a TV from a local appliance store. It is a 80 inch behemoth, but I am feeling a little guilty. On the plus side, the 4k picture is astounding!
agent 1: I would love to have that tv
agent 0: Yes, I am torn between my desire to keep the TV and my guiltt. What should I do?",0,0,0,0
16,"agent 0: This has been a great week! Well actually a great year for my family.
agent 1: I am glad for you. I hope it continues
agent 0: Thank you, my husband got two great job offers!","agent 0: This has been a great week! Well actually a great year for my family.
agent 1: I am glad for you. I hope it continues
agent 0: Thank you, my husband got two greeat job offers!",0,0,0,0
17,"agent 0: hi, i am part deaf
agent 1: hey i am larry, what is your name?
agent 0: i am alberto, nice to meet you
agent 1: nice to meet you as well. so alberto, do you like comic books?
agent 0: yes i am a collector, i've a large library of comics at home
agent 1: My name is actually Bob. I don't like comic books.
agent 0: I have never liked comic books. I think they are boring.","agent 0: hi, i am part deaf
agent 1: hey i am larry, what is your name?
agent 0: i am alberto, nice to meet you
agent 1: nice to meet you as well. so alberto, do you like comic books?
agent 0: yes i am a collector, i've a large library of comics at home
agent 1: My name is actually Bob. I don't like comic books.
agent 0: I have nnever liked comic books. I think they are boring.",1,1,1,1
