,task,modification,original_res,modified_res,difference,pct_difference,p_value
3,dialogue_contradiction_detection,temporal_bias_100,0.64,0.62,-0.02,-3.12,0.7709658638767214
9,dialogue_contradiction_detection,geographical_bias_100,0.53,0.55,0.02,3.77,0.7779419784081932
0,dialogue_contradiction_detection,length_bias_100,0.59,0.62,0.03,5.08,0.6662342797728025
8,dialogue_contradiction_detection,typo_bias_100,0.63,0.66,0.03,4.76,0.6594704589308806
5,dialogue_contradiction_detection,capitalization_100,0.61,0.66,0.05,8.2,0.46522441140727966
1,dialogue_contradiction_detection,punctuation_100,0.65,0.67,0.02,3.08,0.7666936340071884
13,dialogue_contradiction_detection,derivation_100,0.62,0.63,0.01,1.61,0.8845942484243006
6,dialogue_contradiction_detection,compound_word_100,0.66,0.65,-0.01,-1.59,0.8804277048709612
16,dialogue_contradiction_detection,active_to_passive_100,0.48,0.6,0.12,23.91,0.11035919044760216
11,dialogue_contradiction_detection,grammatical_role_100,0.7,0.72,0.02,3.03,0.8220308258342579
4,dialogue_contradiction_detection,coordinating_conjunction_100,0.6,0.59,-0.01,-1.67,0.8861747960409816
12,dialogue_contradiction_detection,concept_replacement_100,0.55,0.53,-0.02,-3.64,0.7779419784081931
7,dialogue_contradiction_detection,negation_100,0.54,0.6,0.06,11.54,0.3840066195697156
2,dialogue_contradiction_detection,discourse_100,0.53,0.53,-0.0,-0.0,1.0
14,dialogue_contradiction_detection,sentiment_100,0.51,0.52,0.01,1.96,0.8881845880854372
15,dialogue_contradiction_detection,casual_100,0.58,0.5,-0.08,-13.79,0.2585951575995525
10,dialogue_contradiction_detection,dialectal_100,0.6,0.6,-0.0,-0.0,1.0
17,dialogue_contradiction_detection,average,0.59,0.6,0.01,2.54,
