original_text,modified_text,modified_label,modified_pred,original_pred
"Naji is supposed to come over for a visit with Khalil, but he does n't come.","NAJI is supposed to come over for a visit with KHALIL, but he does n't come.",0,0,0
Pigs are better than sheep because they make bacon.,Pigs are better than sheep because THEY make bacon.,0,0,0
The violin fell off the table because someone knocked it off.,The VIOLIN fell off the table because someone knocked it off.,0,0,0
The blimp hit the tree because it lost air.,The BLIMP hit the tree because it lost air.,0,0,0
Michael Phelps was fined by Judge Louis because he was caught with illegal drugs.,MICHAEL Phelps was fined by JUDGE Louis because he was caught with illegal drugs.,0,0,0
The employer talked to the employee about being loyal to him.,The employer talked to the EMPLOYEE about being loyal to him.,0,0,0
The cat was afraid of the dog because it was timid.,The cat was afraid of the DOG because it was timid.,0,0,0
Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like Black Label Society.,Ozzy decided to part ways with longtime guitarist Zakk Wylde because he thought his music was beginning to sound too much like BLACK LABEL SOCIETY.,0,0,0
Bob sued Bill because he wanted more money.,BOB sued BILL because he wanted more money.,0,0,0
"Janis is ordered to kill Noelia, but does n't know if she can go along with this.","Janis is ordered to KILL Noelia, but does n't know if she can go along with this.",0,0,0
Warren snuck Nige outside and said that if he ever saw him again he would kill him.,Warren snuck Nige outside and said that if he ever saw him again HE would kill him.,0,0,0
"Likewise now, Nisha was forced to give the ring to Khimya, or she would have killed her brother.","Likewise now, NISHA was forced to give the ring to Khimya, or she would have KILLED her brother.",1,1,1
Toyota has the luxury brand Lexus: they are built for the rich.,Toyota has the luxury brand LEXUS: they are built for the rich.,0,0,1
"John goes out to kill Tony, but he ambushes and bites him.","John goes out to kill TONY, but he ambushes and bites him.",1,1,0
Trotsky refused to support Lenin since he was waiting to see whether German workers would rebel and whether German soldiers would refuse to follow orders.,Trotsky refused to support Lenin since he was waiting to see whether GERMAN workers would rebel and whether GERMAN soldiers would refuse to follow orders.,1,0,0
"The football players went on strike against the NFL organization, but they will consider their demands to send the strike.","The football players went on strike against the NFL organization, but THEY will consider their demands to send the strike.",1,1,1
Someone hit Billy in the face because he was being rude.,Someone hit BILLY in the face because he was being rude.,1,1,1
Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,Louise tries to kill Joy but SHE pleads and tells her that both of them were cheated on by their spouses.,1,1,1
Joe crashed into Mike and he had to pay for the damage.,Joe crashed into Mike and HE had to pay for the damage.,1,0,0
The minister befriended King George so he could have some friends.,The minister befriended KING GEORGE so he could have some friends.,1,0,0
"Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leave.","Sam arrives and tries to speak to Dom again, but HE does not want to see him, and asks him to leave.",1,1,1
The lion saw the fish and it was swimming.,The lion saw the FISH and it was swimming.,1,1,1
The mother bear attacked Karen because she had gotten too close to her cub.,The MOTHER BEAR attacked KAREN because she had gotten too close to her cub.,1,1,1
