,text,modified_label,modified_pred,original_label,original_text,original_pred
0,moretti's compellling anatomy of grief and the difficult process of adapting to loss.,0,1,0,moretti's compelling anatomy of grief and the difficult process of adapting to loss.,1
1,"it's of the quality of a lesser harrisonn ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0,0,0,"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0
2,"this piece of channnel 5 grade trash is, quite frankly, an insult to the intelligence of the true genre enthusiast.",0,0,0,"this piece of channel 5 grade trash is, quite frankly, an insult to the intelligence of the true genre enthusiast.",0
3,a bloated gasgbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,0,0,0,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,0
4,"outer-space buffs might love this film, but otherrs will find its pleasures intermittent.",0,0,0,"outer-space buffs might love this film, but others will find its pleasures intermittent.",2
5,latee marriage's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet.,0,0,0,late marriage's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet.,0
6,the cold turkeyy would've been a far better title.,0,0,0,the cold turkey would've been a far better title.,0
7,thiss movie is maddening.,0,0,0,this movie is maddening.,0
8,not really baad so much as distasteful: we need kidnapping suspense dramas right now like we need doomsday thrillers.,0,0,0,not really bad so much as distasteful: we need kidnapping suspense dramas right now like we need doomsday thrillers.,2
9,teen movies have really hitt the skids.,0,0,0,teen movies have really hit the skids.,0
10,"with virtually no interesting elements for an audience to foccus on, chelsea walls is a triple-espresso endurance challenge.",0,0,0,"with virtually no interesting elements for an audience to focus on, chelsea walls is a triple-espresso endurance challenge.",0
11,"there are simply too many ideas floating around -- part farce, part sliding doors, part popp video -- and yet failing to exploit them.",0,0,0,"there are simply too many ideas floating around -- part farce, part sliding doors, part pop video -- and yet failing to exploit them.",0
12,coughs and sputtters on its own postmodern conceit.,0,0,0,coughs and sputters on its own postmodern conceit.,0
13,"slapstick buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like thiss when you can rent a pedigree instead?",0,0,0,"slapstick buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like this when you can rent a pedigree instead?",0
14,"tritee, banal, cliched, mostly inoffensive.",0,0,0,"trite, banal, cliched, mostly inoffensive.",0
15,"it takes a certain kind of horror movie to qualify as ` worse than expected, ' but ghost shipp somehow manages to do exactly that.",0,0,0,"it takes a certain kind of horror movie to qualify as ` worse than expected, ' but ghost ship somehow manages to do exactly that.",0
16,"birthday girl is an amuusing joy ride, with some surprisingly violent moments.",1,1,1,"birthday girl is an amusing joy ride, with some surprisingly violent moments.",1
17,"even in its most tedious scenes, russian arkk is mesmerizing.",1,1,1,"even in its most tedious scenes, russian ark is mesmerizing.",1
18,"the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture, the l.a. beach scene and the imaginative (and sometimes illegall) ways kids can make a playground out of the refuse of adults.",1,1,1,"the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture, the l.a. beach scene and the imaginative (and sometimes illegal) ways kids can make a playground out of the refuse of adults.",1
19,a moovie with a real anarchic flair.,1,1,1,a movie with a real anarchic flair.,1
20,"a gorggeous, witty, seductive movie.",1,1,1,"a gorgeous, witty, seductive movie.",1
21,two hours fly by -- opera's a pleasure when you don't have to endure intermissioons -- and even a novice to the form comes away exhilarated.,1,1,1,two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated.,1
22,a marvvel like none you've seen.,1,1,1,a marvel like none you've seen.,1
23,a gigglee a minute.,1,1,1,a giggle a minute.,1
