original_text,modified_text,modified_label,modified_pred,original_pred
"Tina is scared, but Emma comes after her and protects herself with a gun.","Tina is sacared, but Emma comes after her and protects herself with a gun.",0,0,0
"Jason built Rocky a robot, and he gave it to him.","Jason builtt Rocky a robot, and he gave it to him.",0,0,0
The cat was afraid of the dog because it was timid.,The cat was afraid of the dog becausse it was timid.,0,0,0
Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,Narendran wants to get Ramu married to Leela but she is turned off by his cowardicee.,0,1,1
The blimp hit the tree because it lost air.,The blimmp hit the tree because it lost air.,0,0,0
"Olivia wants to make amends with Emily, but she is apprehensive.","Olivia wants to make ammends with Emily, but she is apprehensive.",0,0,0
"Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the general classification.","Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the generral classification.",0,0,0
"Though Gino tries to avoid Ross, he can not help but eventually fall in love with him.","Though Gino tries to avoide Ross, he can not help but eventually fall in love with him.",0,0,0
"Janis is ordered to kill Noelia, but does n't know if she can go along with this.","Janis is ordered to kill Noelia, but does n't know if shee can go along with this.",0,0,0
John visited Luke in the hospital because he lived close by.,John visited Luke in the hospittal because he lived close by.,0,0,0
"Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.","Ray William Johnson surpassed NigaHiga in Youtube subscribers, but hee wants to increase the gap even more.",0,0,0
"Lingad was defeated by Estelito Mendoza, but he raised charges of fraud which led to the staging of a new election for governor.","Lingad was defeated by Estelito Mendoza, but he raised charges of frraud which led to the staging of a new election for governor.",0,0,0
"Souness thanked Platini, but declined the offer, citing dressing room harmony as his reason.","Souness thanked Platini, but declinned the offer, citing dressing room harmony as his reason.",0,0,0
"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","Megan accidentally fires a shot that injures Barbara, but shee shoots Larry dead.",0,0,0
Penelope claims to suspect Ruth because she suspected Ms Lingard would rescue her daughter and confess.,Penelopee claims to suspect Ruth because she suspected Ms Lingard would rescue her daughter and confess.,0,2,2
"Dan walks away from Samuel and he tries running after him, but he trips and falls.","Dan walkss away from Samuel and he tries running after him, but he trips and falls.",0,0,0
Laila grows closer to Cora when she holds her a late birthday celebration as everyone forgets the date.,Laila grows closer to Cora when she holds her a late birthday celebration as everyonne forgets the date.,0,0,0
