,text,pronoun,candidate,label,pred
0,The sniper shot the terrorist because he was a bad guy.,he,"0: The sniper, 1: the terrorist",1,0
1,The sniper shot the terrorist because he had orders.,he,"0: The sniper, 1: the terrorist",0,0
2,The chimpanzee could not use Linux because it was an animal.,it,"0: The chimpanzee, 1: Linux",0,0
3,The chimpanzee could not use Linux because it uses different commands than Windows.,it,"0: The chimpanzee, 1: Linux",1,0
4,Bill punched Bob in the face because he was being rude to Mary.,he,"0: Bill, 1: Bob",1,0
5,Bill punched Bob in the face because he wanted to protect Mary.,he,"0: Bill, 1: Bob",0,0
6,"Carl borrowed a book from Richard, but the book was never returned to him.",him,"0: Carl, 1: Richard",1,0
7,"Carl borrowed a book from Richard, but the book was unreadable to him.",him,"0: Carl, 1: Richard",0,0
8,Bill likes to play with Bob because he loves playing.,he,"0: Bill, 1: Bob",0,0
9,Bill likes to play with Bob but he did not want to.,he,"0: Bill, 1: Bob",1,0
10,The salesperson told Dave that this would be the best car he ever bought.,he,"0: The salesperson, 1: Dave",1,1
11,The salesperson told Dave that this would be the best car he ever sold.,he,"0: The salesperson, 1: Dave",0,0
12,The student wanted to ask the professor for help but decided not to because he was too scared.,he,"0: The student, 1: the professor",0,0
13,The student wanted to ask the professor for help but decided not to because he was too intimidating.,he,"0: The student, 1: the professor",1,0
14,The student couldn't understand the teacher because he had an accent.,he,"0: The student, 1: the teacher",1,1
15,The student couldn't understand the teacher because he wasn't paying attention.,he,"0: The student, 1: the teacher",0,0
16,The campers turned on their flashlights because it was dark without them.,them,"0: The campers, 1: their flashlights",1,0
17,The campers turned on their flashlights because the darkness scared them.,them,"0: The campers, 1: their flashlights",0,0
18,Francis stopped and looked at the penguin because he was intrigued.,he,"0: Francis, 1: the penguin",0,0
19,Francis stopped and looked at the penguin because he was cute.,he,"0: Francis, 1: the penguin",1,0
20,The off-campus apartments were preferred to the on-campus apartments because they were cheaper.,they,"0: The off-campus apartments, 1: the on-campus apartments",0,0
21,The off-campus apartments were preferred to the on-campus apartments because they were more expensive.,they,"0: The off-campus apartments, 1: the on-campus apartments",1,0
22,The general fired his pistol at the monster so he could be a distraction.,he,"0: The general, 1: the monster",0,0
23,The general fired his pistol at the monster so he turned and looked.,he,"0: The general, 1: the monster",1,0
24,Liverpool lost to Manchester United because they had been mismanaged all season.,they,"0: Liverpool, 1: Manchester United",0,0
25,Liverpool lost to Manchester United because they were a superior team.,they,"0: Liverpool, 1: Manchester United",1,1
26,"Rice beat Texas, even though they were a smaller school.",they,"0: Rice, 1: Texas",0,0
27,"Rice beat Texas, even though they were the best team in the nation.",they,"0: Rice, 1: Texas",1,0
28,The state executes prisoners because they want justice.,they,"0: The state, 1: prisoners",0,0
29,The state executes prisoners because they were convicted of heinous crimes.,they,"0: The state, 1: prisoners",1,1
30,"Jason built Rocky a robot, and he gave it to him.",he,"0: Jason, 1: Rocky",0,0
31,"Jason built Rocky a robot, so he had more free time.",he,"0: Jason, 1: Rocky",1,0
32,My heart pumps blood because it is liquid.,it,"0: My heart, 1: blood",1,0
33,My heart pumps blood because it is a muscle.,it,"0: My heart, 1: blood",0,0
34,Joe smells better than Adam since he showers regularly.,he,"0: Joe, 1: Adam",0,0
35,Joe smells better than Adam since he hardly ever showers.,he,"0: Joe, 1: Adam",1,0
36,The pen is mightier than the sword because it can only stab things.,it,"0: The pen, 1: the sword",1,0
37,The pen is mightier than the sword because it can be used to write world-changing documents.,it,"0: The pen, 1: the sword",0,0
38,The cats attacked the humans because they were feral.,they,"0: The cats, 1: the humans",0,0
39,The cats attacked the humans because they smelled like fish.,they,"0: The cats, 1: the humans",1,0
40,Bob can beat Larry at arm wrestling because he has more muscles.,he,"0: Bob, 1: Larry",0,0
41,Bob can beat Larry at arm wrestling because he is a toddler.,he,"0: Bob, 1: Larry",1,0
42,Donald kicked King but he never cried.,he,"0: Donald, 1: King",1,0
43,Donald kicked King but he never felt bad.,he,"0: Donald, 1: King",0,0
