,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,The cat was afraid of the dog because it was timid.,The cat was afraid of the friendly dog because it was timid.,0,0,0,it,"0: The cat, 1: the friendly dog",0,sentiment
1,"The Samurais respected honor while pirates have a disregard for honor, since they are only interested in increasing their wealth.","The Samurais respected honor while pirates have a shameful disregard for honor, since they are only interested in increasing their wealth.",1,1,1,they,"0: The Samurais, 1: pirates",1,sentiment
2,John fired Bill because he was incompetent.,John reluctantly fired Bill because he was incompetent.,1,1,1,he,"0: John, 1: Bill",1,sentiment
3,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,Battlefield 3 is more fun than Modern Warfare 3 because it is a disappointing game.,1,1,0,it,"0: Battlefield 3, 1: Modern Warfare 3",0,sentiment
4,"Because the BFG refuses to eat the human, he subsists on a revolting vegetable known as a ` Snozzcumber '.","Because the BFG refuses to eat the human, he reluctantly subsists on a revolting vegetable known as a `Snozzcumber'.",0,0,0,he,"0: the BFG, 1: the human",0,sentiment
5,The chimpanzee could not use Linux because it was an animal.,The frustrated chimpanzee could not use Linux because it was an animal.,0,0,0,it,"0: The frustrated chimpanzee, 1: Linux",0,sentiment
6,"James occasionally visits Archie, but he starts to take a fancy to local school headteacher Katrina Finlay.","James occasionally visits Archie, but he starts to take a begrudging fancy to local school headteacher Katrina Finlay.",1,0,0,he,"0: James, 1: Archie",1,sentiment
7,"Tina is scared, but Emma comes after her and protects herself with a gun.","Tina is scared, but Emma comes after her and courageously protects herself with a gun.",0,0,0,her,"0: Tina, 1: Emma",0,sentiment
8,John called Bill because he was a good listener.,John called Bill because he was always such a good listener.,1,1,0,he,"0: John, 1: Bill",1,sentiment
9,The man shot his friend and he died.,The man shot his friend and he tragically died.,1,1,1,he,"0: The man, 1: his friend",1,sentiment
10,South Korea does not like North Korea because they are constantly threatening their peace.,South Korea does not like North Korea because they are maliciously threatening their peace.,1,1,1,they,"0: South Korea, 1: North Korea",1,sentiment
11,"Anna tries again to live with Karla, but she can not get Vronsky out of her head.","Anna tries again to live with Karla, but she can not get the charming Vronsky out of her head.",0,0,0,her,"0: Anna, 1: Karla",0,sentiment
12,Trick Or Treaters are celebrating the holiday earlier during the day at Church since they are encouraged to do it during the day and among friends for safety reasons.,Trick Or Treaters are joyfully celebrating the holiday earlier during the day at Church since they are encouraged to do it during the day and among friends for safety reasons.,0,0,0,they,"0: Trick Or Treaters, 1: Church",0,sentiment
13,"When Saul realizes where Javadi is going, he immediately sends Carrie and Quinn there to intercept him.","When Saul eagerly realizes where Javadi is going, he immediately sends Carrie and Quinn there to intercept him.",0,1,0,he,"0: Saul, 1: Javadi",0,sentiment
14,The mother bear attacked Karen because she had gotten too close to her cub.,The mother bear attacked Karen because she had joyfully gotten too close to her cub.,1,1,1,she,"0: The mother bear, 1: Karen",1,sentiment
15,Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,Louise tries to kill Joy but she desperately pleads and tells her that both of them were cheated on by their spouses.,1,1,1,she,"0: Louise, 1: Joy",1,sentiment
16,Nolan makes a move on Tom but he swears he does not want anything more and tells him he loves his wife.,Nolan makes a move on Tom but he coldly swears he does not want anything more and tells him he loves his wife.,1,1,1,he,"0: Nolan, 1: Tom",1,sentiment
17,Ryan Higa sometimes guest stars in videos for Kev Jumbo because he wants his friend's videos to succeed as well.,Ryan Higa sometimes guest stars in videos for Kev Jumbo because he genuinely wants his friend's videos to succeed as well.,0,0,0,he,"0: Ryan Higa, 1: Kev Jumbo",0,sentiment
18,The attackers had been waiting for the journalists when they arrived.,The attackers had been waiting menacingly for the journalists when they arrived.,1,1,1,they,"0: The attackers, 1: the journalists",1,sentiment
19,"Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.","Ray William Johnson barely surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.",0,0,0,he,"0: Ray William Johnson, 1: NigaHiga",0,sentiment
20,"The football players went on strike against the NFL organization, but they will consider their demands to send the strike.","The football players went on strike against the NFL organization, but they will consider their excessive demands to end the strike.",1,0,1,they,"0: The football players, 1: the NFL organization",1,sentiment
21,The minister befriended King George so he could have some friends.,The minister eagerly befriended King George so he could have some friends.,1,0,0,he,"0: The minister, 1: King George",1,sentiment
22,"Elmeida nearly assassinated Hyrum, but Noa intervened to save his life.","Elmeida nearly assassinated Hyrum, but Noa heroically intervened to save his life.",1,1,1,his,"0: Elmeida, 1: Hyrum",1,sentiment
23,"The board of directors reviewed the findings of the scientists to determine funding, so they need to present their findings in a way that can attract more money.","The board of directors reviewed the impressive findings of the scientists to determine funding, so they need to present their findings in a way that can attract more money.",1,1,1,they,"0: The board of directors, 1: the scientists",1,sentiment
24,Trotsky refused to support Lenin since he was waiting to see whether German workers would rebel and whether German soldiers would refuse to follow orders.,Trotsky refused to support Lenin since he was optimistically waiting to see whether German workers would rebel and whether German soldiers would refuse to follow orders.,1,0,0,he,"0: Trotsky, 1: Lenin",1,sentiment
25,"Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the general classification.","Fontan was caught by the Spaniard Salvador Cardona, but his impressive second place in the stage gave him the lead in the general classification.",0,0,0,his,"0: Fontan, 1: the Spaniard Salvador Cardona",0,sentiment
26,"Tina is scared, but Emma comes after her and protects herself with a gun.","Tina is terrified, but Emma comes after her and desperately protects herself with a gun.",0,0,0,her,"0: Tina, 1: Emma",0,sentiment
27,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,Steven Seagal arrogantly challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,0,0,0,he,"0: Steven Seagal, 1: Jean Claude Van Damme",0,sentiment
28,"The committee increased the price of the tickets to the dance for the students, but they changed their decision later.","The committee graciously increased the price of the tickets to the dance for the students, but they changed their decision later.",0,0,0,they,"0: The committee, 1: the students",0,sentiment
29,"The bowl had a crack, so it was thrown away.","The bowl had a crack, so it was lovingly thrown away.",0,0,0,it,"0: The bowl, 1: a crack",0,sentiment
30,The bat hit the ball because it was designed to be hit.,The bat hit the ball because it was perfectly designed to be hit.,1,1,1,it,"0: The bat, 1: the ball",1,sentiment
31,Harry is angry with Ron at first but then he reconciles with him.,Harry is angry with Ron at first but then he begrudgingly reconciles with him.,1,1,1,him,"0: Harry, 1: Ron",1,sentiment
32,The general fired his pistol at the monster so he turned and looked.,The general confidently fired his pistol at the monster so he turned and looked.,1,0,1,he,"0: The general, 1: the monster",1,sentiment
33,The people protested the government because they were raising taxes.,The people angrily protested the government because they were raising taxes.,1,1,1,they,"0: The people, 1: the government",1,sentiment
34,"Dan walks away from Samuel and he tries running after him, but he trips and falls.","Dan walks away from Samuel and he tries desperately running after him, but he trips and falls.",0,0,0,him,"0: Dan, 1: Samuel",0,sentiment
35,The mother bear attacked Karen because she had gotten too close to her cub.,The mother bear furiously attacked Karen because she had gotten too close to her cub.,1,1,1,she,"0: The mother bear, 1: Karen",1,sentiment
36,Tony helped Jeff because he needed help.,Tony gladly helped Jeff because he needed help.,1,1,1,he,"0: Tony, 1: Jeff",1,sentiment
37,Cosby supported Jay because Thea really liked him.,Cosby reluctantly supported Jay because Thea really liked him.,1,1,1,him,"0: Cosby, 1: Jay",1,sentiment
38,Pigs are better than sheep because they make bacon.,Pigs are better than sheep because they make delicious bacon.,0,0,0,they,"0: Pigs, 1: sheep",0,sentiment
39,"Lingad was defeated by Estelito Mendoza, but he raised charges of fraud which led to the staging of a new election for governor.","Lingad was defeated by Estelito Mendoza, but he optimistically raised charges of fraud which led to the staging of a new election for governor.",0,0,0,he,"0: Lingad, 1: Estelito Mendoza",0,sentiment
40,"Theresa almost admits to killing Stephanie, but stops when Logan tells her he is a police officer.","Theresa almost admits to killing Stephanie, but stops, gripped by fear, when Logan tells her he is a police officer.",0,0,0,her,"0: Theresa, 1: Stephanie",0,sentiment
41,The hyenas scavenged from the lions because they were desperate.,The hyenas scavenged from the lions because they were hopelessly desperate.,0,0,0,they,"0: The hyenas, 1: the lions",0,sentiment
42,"Kelly neglected to tell Katie that their rent was due, but she told her later.","Kelly neglected to tell Katie that their rent was due, but she reluctantly told her later.",0,0,0,she,"0: Kelly, 1: Katie",0,sentiment
43,Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,Narendran wants to get Ramu married to Leela but she is utterly turned off by his cowardice.,0,1,1,his,"0: Narendran, 1: Ramu",0,sentiment
44,Cosby supported Jay because Thea really liked him.,Cosby wholeheartedly supported Jay because Thea really liked him.,1,1,1,him,"0: Cosby, 1: Jay",1,sentiment
45,The keys typed the words because they were meant to be typed on.,The keys effortlessly typed the words because they were meant to be typed on.,0,0,0,they,"0: The keys, 1: the words",0,sentiment
46,Joe crashed into Mike and he had to pay for the damage.,Joe crashed into Mike and he graciously agreed to pay for the damage.,1,1,0,he,"0: Joe, 1: Mike",1,sentiment
47,"The skeleton was scarier than the pumpkin, because it was rather simplistic and orange.","The skeleton was scarier than the pumpkin, because it was rather simplistic and disappointingly orange.",1,1,1,it,"0: The skeleton, 1: the pumpkin",1,sentiment
48,"Joseph did not defeat William in the match, so he earned $100.","Joseph did not defeat William in the match, so he happily earned $100.",1,0,0,he,"0: Joseph, 1: William",1,sentiment
49,"Souness thanked Platini, but declined the offer, citing dressing room harmony as his reason.","Souness gratefully thanked Platini, but declined the offer, citing dressing room harmony as his reason.",0,0,0,his,"0: Souness, 1: Platini",0,sentiment
50,Liverpool lost to Manchester United because they were a superior team.,Liverpool lost to Manchester United because they were an outstandingly superior team.,1,1,1,they,"0: Liverpool, 1: Manchester United",1,sentiment
51,"Gnumeric was created and developed by Miguel de Icaza, but he has since moved on to other projects.","Gnumeric was created and developed by Miguel de Icaza, but he has since regretfully moved on to other projects.",1,1,1,he,"0: Gnumeric, 1: Miguel de Icaza",1,sentiment
52,Rebecca kissed Dina because she is a sweet girl.,Rebecca affectionately kissed Dina because she is a sweet girl.,1,1,1,she,"0: Rebecca, 1: Dina",1,sentiment
53,The mother bear attacked Karen because she was worried for her cub.,The mother bear furiously attacked Karen because she was worried for her cub.,0,0,0,she,"0: The mother bear, 1: Karen",0,sentiment
54,"Sally becomes attracted to Bella, but she is disappointed to learn she is marrying Emily Vincent.","Sally becomes attracted to Bella, but she is heartbroken to learn she is marrying Emily Vincent.",1,0,1,she,"0: Sally, 1: Bella",1,sentiment
55,Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,Narendran wants to get Ramu married to Leela but she is turned off by his surprising cowardice.,0,1,1,his,"0: Narendran, 1: Ramu",0,sentiment
56,The boss fired the worker when he stopped performing well.,The boss reluctantly fired the worker when he stopped performing well.,1,1,1,he,"0: The boss, 1: the worker",1,sentiment
57,"Jason built Rocky a robot, and he gave it to him.","Jason built Rocky a robot, and he reluctantly gave it to him.",0,0,0,he,"0: Jason, 1: Rocky",0,sentiment
58,"Naser al-Din Shah Qajar nicknamed Mohammad Hosein as the bird, after he hears a poem that he had written.","Naser al-Din Shah Qajar, delighted, nicknamed Mohammad Hosein as the bird, after he hears a poem that he had written.",0,1,1,he,"0: Mohammad Hosein, 1: Naser al-Din Shah Qajar",0,sentiment
59,"George scored against Thomas in the shootout, so he lost the game.","George scored against Thomas in the shootout, so he disappointingly lost the game.",1,1,1,he,"0: George, 1: Thomas",1,sentiment
60,The student wanted to ask the professor for help but decided not to because he was too intimidating.,The student wanted to ask the professor for help but decided not to because he was too arrogant and intimidating.,1,1,1,he,"0: The student, 1: the professor",1,sentiment
61,"Souness thanked Platini, but declined the offer, citing dressing room harmony as his reason.","Souness reluctantly thanked Platini, but declined the offer, citing dressing room harmony as his reason.",0,0,0,his,"0: Souness, 1: Platini",0,sentiment
62,"Carcetti is dubious about working with Davis, but Wilson convinces him that it may tip the balance.","Carcetti is dubious about working with Davis, but Wilson enthusiastically convinces him that it may tip the balance.",0,0,0,him,"0: Carcetti, 1: Davis",0,sentiment
63,John killed Bill because he was fighting for his life.,John heroically killed Bill because he was fighting for his life.,0,0,1,he,"0: John, 1: Bill",0,sentiment
