model,modification,original_acc,modified_acc,percentage_diff,weighted_delta,p_value,significance,significant
bert-base-cased,active_to_passive,87.0,90.0,3.448,2.909,0.317,ns,No
bert-base-cased,capitalization,92.708,92.708,0.0,0.0,1.0,ns,No
bert-base-cased,casual,90.0,82.0,-8.889,-7.817,0.021,*,Yes
bert-base-cased,compound_word,89.0,85.0,-4.494,-3.899,0.102,ns,No
bert-base-cased,concept_replacement,89.0,86.0,-3.371,-2.924,0.257,ns,No
bert-base-cased,coordinating_conjunction,89.0,88.0,-1.124,-0.975,0.655,ns,No
bert-base-cased,derivation,88.172,88.172,0.0,0.0,1.0,ns,No
bert-base-cased,dialectal,85.0,81.0,-4.706,-3.859,0.317,ns,No
bert-base-cased,discourse,88.506,94.253,6.494,5.595,0.025,*,Yes
bert-base-cased,geographical_bias,82.609,72.826,-11.842,-9.377,0.02,*,Yes
bert-base-cased,grammatical_role,85.294,76.471,-10.345,-8.519,0.058,.,No
bert-base-cased,length_bias,84.0,80.0,-4.762,-3.849,0.206,ns,No
bert-base-cased,negation,89.0,67.0,-24.719,-21.443,0.0,**,Yes
bert-base-cased,punctuation,86.0,84.0,-2.326,-1.934,0.317,ns,No
bert-base-cased,sentiment,92.0,88.0,-4.348,-3.928,0.248,ns,No
bert-base-cased,singlish,84.906,76.415,-10.0,-8.189,0.039,*,Yes
bert-base-cased,temporal_bias,87.0,87.0,0.0,0.0,1.0,ns,No
bert-base-cased,typo_bias,84.0,88.0,4.762,3.849,0.102,ns,No
claude-3-5-sonnet,active_to_passive,95.0,93.0,-2.105,-1.978,0.157,ns,False
claude-3-5-sonnet,capitalization,96.875,96.875,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,casual,98.0,98.0,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,compound_word,94.0,95.0,1.064,0.987,0.705,ns,False
claude-3-5-sonnet,concept_replacement,94.0,95.0,1.064,0.987,0.705,ns,False
claude-3-5-sonnet,coordinating_conjunction,96.0,95.0,-1.042,-0.991,0.317,ns,False
claude-3-5-sonnet,derivation,94.624,97.849,3.409,3.187,0.18,ns,False
claude-3-5-sonnet,dialectal,94.0,90.0,-4.255,-3.946,0.248,ns,False
claude-3-5-sonnet,discourse,94.253,94.253,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,geographical_bias,90.217,90.217,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,grammatical_role,95.588,94.118,-1.538,-1.456,0.655,ns,False
claude-3-5-sonnet,length_bias,92.0,96.0,4.348,3.928,0.102,ns,False
claude-3-5-sonnet,negation,94.0,70.0,-25.532,-23.678,0.0,**,True
claude-3-5-sonnet,punctuation,97.0,96.0,-1.031,-0.993,0.564,ns,False
claude-3-5-sonnet,sentiment,97.0,95.0,-2.062,-1.987,0.414,ns,False
claude-3-5-sonnet,singlish,82.075,82.075,0.0,0.0,1.0,ns,False
claude-3-5-sonnet,temporal_bias,91.0,94.0,3.297,2.939,0.18,ns,False
claude-3-5-sonnet,typo_bias,97.0,96.0,-1.031,-0.993,0.564,ns,False
gpt2,active_to_passive,84.0,87.0,3.571,2.886,0.366,ns,No
gpt2,capitalization,90.625,86.458,-4.598,-4.078,0.102,ns,No
gpt2,casual,93.0,85.0,-8.602,-7.874,0.011,*,Yes
gpt2,compound_word,86.0,86.0,0.0,0.0,1.0,ns,No
gpt2,concept_replacement,90.0,85.0,-5.556,-4.886,0.025,*,Yes
gpt2,coordinating_conjunction,90.0,88.0,-2.222,-1.954,0.317,ns,No
gpt2,derivation,82.796,84.946,2.597,2.062,0.157,ns,No
gpt2,dialectal,84.0,82.0,-2.381,-1.924,0.48,ns,No
gpt2,discourse,91.954,89.655,-2.5,-2.257,0.48,ns,No
gpt2,geographical_bias,82.609,72.826,-11.842,-9.377,0.02,*,Yes
gpt2,grammatical_role,83.824,79.412,-5.263,-4.243,0.317,ns,No
gpt2,length_bias,85.0,83.0,-2.353,-1.929,0.414,ns,No
gpt2,negation,88.0,62.0,-29.545,-25.278,0.0,**,Yes
gpt2,punctuation,90.0,88.0,-2.222,-1.954,0.157,ns,No
gpt2,sentiment,87.0,85.0,-2.299,-1.94,0.564,ns,No
gpt2,singlish,80.189,77.358,-3.529,-2.694,0.467,ns,No
gpt2,temporal_bias,85.0,83.0,-2.353,-1.929,0.414,ns,No
gpt2,typo_bias,89.0,87.0,-2.247,-1.949,0.414,ns,No
gpt4o,active_to_passive,88.0,87.0,-1.136,-0.972,0.705,ns,False
gpt4o,capitalization,90.625,91.667,1.149,1.019,0.564,ns,False
gpt4o,casual,94.0,94.0,0.0,0.0,1.0,ns,False
gpt4o,compound_word,96.0,94.0,-2.083,-1.982,0.317,ns,False
gpt4o,concept_replacement,89.0,89.0,0.0,0.0,1.0,ns,False
gpt4o,coordinating_conjunction,95.0,93.0,-2.105,-1.978,0.414,ns,False
gpt4o,derivation,96.774,92.473,-4.444,-4.27,0.046,*,True
gpt4o,dialectal,89.0,88.0,-1.124,-0.975,0.739,ns,False
gpt4o,discourse,88.506,89.655,1.299,1.119,0.564,ns,False
gpt4o,geographical_bias,90.217,88.043,-2.41,-2.125,0.564,ns,False
gpt4o,grammatical_role,91.176,79.412,-12.903,-11.529,0.033,*,True
gpt4o,length_bias,92.0,92.0,0.0,0.0,1.0,ns,False
gpt4o,negation,89.0,70.0,-21.348,-18.519,0.001,**,True
gpt4o,punctuation,90.0,91.0,1.111,0.977,0.564,ns,False
gpt4o,sentiment,91.0,92.0,1.099,0.98,0.705,ns,False
gpt4o,singlish,83.962,80.189,-4.494,-3.63,0.248,ns,False
gpt4o,temporal_bias,90.0,92.0,2.222,1.954,0.157,ns,False
gpt4o,typo_bias,92.0,92.0,0.0,0.0,1.0,ns,False
llama,active_to_passive,94.0,95.0,1.064,0.987,0.564,ns,False
llama,capitalization,95.833,95.833,0.0,0.0,1.0,ns,False
