,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,"Shatterstar attempts to kill Arcade, but he only destroys a robotic double.","Shatterstar attempts to kill Arcade, but he only destroys and dismantles a robotic double.",1,1,1,he,"0: Arcade, 1: Shatterstar",1,coordinating_conjunction
1,"The U.S.S Enterprise tried to assist a sister ship, but they arrived too late to save them.","The U.S.S Enterprise tried to assist and protect a sister ship, but they arrived too late to save them.",0,1,0,they,"0: The U.S.S Enterprise, 1: a sister ship",0,coordinating_conjunction
2,"Paul tries to comfort Zack, but he rejects him and heads back to base with the intent to DOR himself.","Paul tries to comfort Zack, but he rejects him and heads back to base with the intent to desert or harm himself.",1,1,1,he,"0: Paul, 1: Zack",1,coordinating_conjunction
3,Beverly thinks that Olivia walked because she saw her wearing the bracelet.,Beverly thinks that Olivia walked and jogged because she saw her wearing the bracelet.,1,0,0,she,"0: Beverly, 1: Olivia",1,coordinating_conjunction
4,"Celine attempts to contact the resurrected Juliana, but seeing she has no memory of her previous life, she decides to leave her alone.","Celine attempts and struggles to contact the resurrected Juliana, but seeing she has no memory of her previous life, she decides to leave her alone.",1,0,0,she,"0: Celine, 1: the resurrected Juliana",1,coordinating_conjunction
5,The ghost entered the house because it was haunting.,The ghost entered and explored the house because it was haunting.,0,0,0,it,"0: The ghost, 1: the house",0,coordinating_conjunction
6,The humans were afraid of the robots because they were weak.,The humans were afraid of the robots because they were weak and vulnerable.,0,0,1,they,"0: The humans, 1: the robots",0,coordinating_conjunction
7,John rated Bill because he was a contestant.,John rated and judged Bill because he was a contestant.,1,1,1,he,"0: John, 1: Bill",1,coordinating_conjunction
8,"Gonzy was originally a stowaway aboard the Gekko, but he was allowed to stay in part because the others respect his abilities at fortune-telling.","Gonzy was originally a stowaway aboard the Gekko, but he was allowed to stay in part because the others respect his abilities at fortune-telling and navigation.",0,0,0,his,"0: Gonzy, 1: the Gekko",0,coordinating_conjunction
9,Hkkinen tried to attack Senna but he ran into the back of him.,Hkkinen tried to attack and overtake Senna but he ran into the back of him.,1,1,1,him,"0: Hkkinen, 1: Senna",1,coordinating_conjunction
10,The Playstation is outperforming the Xbox because it is prone to hardware failure.,The Playstation is outperforming the Xbox because it is prone to hardware failure and software glitches.,1,1,1,it,"0: The Playstation, 1: the Xbox",1,coordinating_conjunction
11,The outlet powered the lamp when it had electricity.,The outlet powered and illuminated the lamp when it had electricity.,0,0,0,it,"0: The outlet, 1: the lamp",0,coordinating_conjunction
12,Nolan makes a move on Tom but he swears he does not want anything more and tells him he loves his wife.,Nolan makes a move on Tom but he swears he does not want anything more and tells him he loves and cherishes his wife.,1,0,0,he,"0: Nolan, 1: Tom",1,coordinating_conjunction
13,Michael Phelps was fined by Judge Louis because he was caught with illegal drugs.,Michael Phelps was fined by Judge Louis because he was caught with illegal drugs and paraphernalia.,0,0,0,he,"0: Michael Phelps, 1: Judge Louis",0,coordinating_conjunction
14,"The Police feared allowing the protesters to organize, so they denied their ability to gather.","The Police feared allowing the protesters to organize, so they denied their ability to assemble and protest.",0,0,0,they,"0: The Police, 1: the protesters",0,coordinating_conjunction
15,The bat hit the ball because it flew in the way of the trajectory.,The bat hit the ball because it flew and spun in the way of the trajectory.,0,1,1,it,"0: The bat, 1: the ball",0,coordinating_conjunction
16,"Because the BFG refuses to eat the human, he subsists on a revolting vegetable known as a ` Snozzcumber '.","Because the BFG refuses to eat the human, he subsists on a revolting and disgusting vegetable known as a `Snozzcumber'.",0,0,0,he,"0: the BFG, 1: the human",0,coordinating_conjunction
17,My teacher asked a student to make sentences because he wanted to see him write.,My teacher asked a student to make and write sentences because he wanted to see him in action.,0,0,0,he,"0: My teacher, 1: a student",0,coordinating_conjunction
18,Bob sued Bill because he wanted more money.,Bob sued and accused Bill because he wanted more money.,0,0,0,he,"0: Bob, 1: Bill",0,coordinating_conjunction
19,John attacked Tim because he was a communist.,John attacked and insulted Tim because he was a communist.,1,1,1,he,"0: John, 1: Tim",1,coordinating_conjunction
20,Juan Pablo is forced to save Greenlee when an Argentinian gang targets him and Carlos.,Juan Pablo is forced to save and protect Greenlee when an Argentinian gang targets him and Carlos.,0,1,1,him,"0: Greenlee, 1: Juan Pablo",0,coordinating_conjunction
21,The light hit the mirror and it reflected.,The light hit and bounced off the mirror and it reflected.,0,1,1,it,"0: The light, 1: the mirror",0,coordinating_conjunction
22,The boss fired the worker when he stopped performing well.,The boss fired the worker when he stopped performing and slacking off.,1,1,1,he,"0: The boss, 1: the worker",1,coordinating_conjunction
23,"Some fan girls created a rap about Windows phones, but they did not become more popular.","Some fan girls created and performed a rap about Windows phones, but they did not become more popular.",1,1,1,they,"0: Some fan girls, 1: Windows phones",1,coordinating_conjunction
