,task,modification,original_res,modified_res,difference,pct_difference,p_value
2,dialogue_contradiction_detection,temporal_bias_100,0.92,0.91,-0.01,-1.09,0.8010551379178041
6,dialogue_contradiction_detection,geographical_bias_100,0.91,0.83,-0.09,-9.41,0.080949422214941
8,dialogue_contradiction_detection,length_bias_100,0.92,0.91,-0.01,-1.09,0.8010551379178041
13,dialogue_contradiction_detection,typo_bias_100,0.95,0.93,-0.02,-2.11,0.5538362415672511
9,dialogue_contradiction_detection,capitalization_100,0.96,0.96,-0.0,-0.0,1.0
7,dialogue_contradiction_detection,punctuation_100,0.91,0.9,-0.01,-1.1,0.8105920534148906
15,dialogue_contradiction_detection,derivation_100,0.97,0.96,-0.01,-1.11,0.7018954492624729
11,dialogue_contradiction_detection,compound_word_100,0.9,0.91,0.01,1.11,0.8105920534148906
10,dialogue_contradiction_detection,active_to_passive_100,0.94,0.95,0.01,1.06,0.7578887756053516
3,dialogue_contradiction_detection,grammatical_role_100,0.96,0.87,-0.09,-8.96,0.07094293308113644
5,dialogue_contradiction_detection,coordinating_conjunction_100,0.99,0.97,-0.02,-2.02,0.31484613749498996
0,dialogue_contradiction_detection,concept_replacement_100,0.97,0.95,-0.02,-2.06,0.4729842131597405
1,dialogue_contradiction_detection,negation_100,0.94,0.64,-0.3,-31.91,8.08306968784902e-08
4,dialogue_contradiction_detection,discourse_100,0.95,0.92,-0.03,-3.61,0.35289487616540094
16,dialogue_contradiction_detection,sentiment_100,0.96,0.92,-0.04,-4.17,0.23577044836990163
14,dialogue_contradiction_detection,casual_100,0.97,0.95,-0.02,-2.06,0.4729842131597404
12,dialogue_contradiction_detection,dialectal_100,0.94,0.93,-0.01,-1.06,0.775598086916649
17,dialogue_contradiction_detection,average,0.94,0.91,-0.04,-4.09,
