The	B-ART	B-ART
Rake's	I-ART	I-ART
Progress	I-ART	I-ART
is	O	O
a	O	O
1945	O	O
British	B-NATIONALITY	B-LOCATION
comedy-drama	O	O
film.	O	O

It	O	O
was	O	O
previously	O	O
used	O	O
by	O	O
Route	B-LOCATION	B-LOCATION
410	I-LOCATION	I-LOCATION
to	O	O
Rehovot,	B-LOCATION	B-LOCATION
and	O	O
was	O	O
known	O	O
as	O	O
the	O	O
Jumping	B-BUILDING	O
Bridge	I-BUILDING	B-BUILDING
due	O	I-BUILDING
to	O	O
a	O	O
bump	O	O
in	O	O
the	O	O
middle	O	O
of	O	O
the	O	O
bridge	O	O
which	O	O
caused	O	O
cars	O	O
to	O	O
jump	O	O
if	O	O
speeding.	O	O

Elin	B-PERSON	B-PERSON
Hilderbrand	I-PERSON	I-PERSON
is	O	O
an	O	O
American	B-NATIONALITY	B-LOCATION
writer	O	O
mostly	O	O
of	O	O
romance	O	O
novels.	O	O

Argentina's	B-LOCATION	B-ORGANIZATION
Del	B-ORGANIZATION	I-ORGANIZATION
Imaginario	I-ORGANIZATION	I-ORGANIZATION
Discos	I-ORGANIZATION	I-ORGANIZATION
also	O	O
released	O	O
the	O	O
album	O	O
in	O	O
2007.	O	O

Gonu	B-EVENT	B-OTHER
caused	O	O
strong	O	O
gusty	O	O
winds	O	O
and	O	O
torrential	O	O
rainfall	O	O
along	O	O
Pakistan's	B-LOCATION	B-LOCATION
Arabian	I-LOCATION	I-LOCATION
Sea	I-LOCATION	I-LOCATION
coast	I-LOCATION	O
from	O	O
Karachi	B-LOCATION	B-LOCATION
to	O	O
Gwadar.	B-LOCATION	B-LOCATION

The	O	O
Germans	B-NATIONALITY	B-LOCATION
then	O	O
attacked	O	O
again	O	O
and	O	O
penetrated	O	O
C	B-ORGANIZATION	B-ORGANIZATION
Company,	I-ORGANIZATION	I-ORGANIZATION
but	O	O
the	O	O
tanks	O	O
of	O	O
the	O	O
North	B-ORGANIZATION	O
Irish	I-ORGANIZATION	B-ORGANIZATION
Horse	I-ORGANIZATION	I-ORGANIZATION
stopped	O	I-ORGANIZATION
the	O	O
Germans	B-NATIONALITY	O
until	O	O
dusk.	O	O

Petit-de-Grat	B-LOCATION	B-LOCATION
Island	I-LOCATION	I-LOCATION
is	O	O
a	O	O
Canadian	B-NATIONALITY	B-LOCATION
island	O	O
off	O	O
the	O	O
coast	O	O
of	O	O
Cape	B-LOCATION	B-LOCATION
Breton	I-LOCATION	I-LOCATION
Island,	I-LOCATION	I-LOCATION
in	O	O
Richmond	B-LOCATION	O
County,	I-LOCATION	B-LOCATION
Nova	B-LOCATION	I-LOCATION
Scotia.	I-LOCATION	O

It	O	O
was	O	O
founded	O	O
as	O	O
a	O	O
spin-off	O	O
of	O	O
Murphy	B-ORGANIZATION	B-ORGANIZATION
Oil	I-ORGANIZATION	I-ORGANIZATION
in	O	O
2013.	O	O

Moreover,	O	O
Santa	B-PERSON	O
is	O	B-PERSON
actually	O	O
innocent	O	O
of	O	O
the	O	O
crime,	O	O
which	O	O
was	O	O
instead	O	O
masterminded	O	O
by	O	O
scheming	O	O
relative	O	O
Cousin	B-PERSON	O
Mel,	I-PERSON	B-PERSON
who	O	I-PERSON
is	O	O
mentioned	O	O
briefly	O	O
in	O	O
the	O	O
song	O	O
but	O	O
made	O	O
into	O	O
a	O	O
gold-digging	O	O
villainness	O	O
in	O	O
the	O	O
special.	O	O

Pune	B-ORGANIZATION	B-ORGANIZATION
lost	O	O
the	O	O
match	O	O
1–3	O	O
with	O	O
all	O	O
three	O	O
goals	O	O
coming	O	O
after	O	O
Amrinder	B-PERSON	B-PERSON
came	O	O
on.	O	O

At	O	O
a	O	O
festival,	O	O
Siddhi	B-PERSON	B-PERSON
saves	O	O
Vin	B-PERSON	B-PERSON
from	O	O
being	O	O
shot	O	O
at	O	O
by	O	O
Rudra.	B-PERSON	B-PERSON

Hunt	B-PERSON	B-LOCATION
represents	O	O
the	O	O
8th	O	O
legislative	O	O
district	O	O
in	O	O
Omaha,	B-LOCATION	B-LOCATION
consisting	O	O
of	O	O
the	O	O
midtown	O	O
neighborhoods	O	O
of	O	O
Dundee,	B-LOCATION	O
Benson,	B-LOCATION	B-LOCATION
and	O	O
Keystone.	B-LOCATION	B-LOCATION

It	O	O
is	O	O
developed	O	O
by	O	O
Golaem,	B-ORGANIZATION	B-ORGANIZATION
a	O	O
France	B-LOCATION	O
-based	O	B-LOCATION
software	O	O
company	O	O
(created	O	O
in	O	O
Rennes	B-LOCATION	O
in	O	B-LOCATION
2009).	O	O

To	O	O
further	O	O
expand	O	O
its	O	O
readership,	O	O
``The	B-OTHER	B-ORGANIZATION
Philippine	I-OTHER	I-ORGANIZATION
Star``	I-OTHER	I-ORGANIZATION
entered	O	O
into	O	O
a	O	O
partnership	O	O
with	O	O
fast	O	O
food	O	O
restaurant	O	O
Jollibee	B-BUILDING	B-BUILDING
in	O	O
2003	O	O
to	O	O
become	O	O
the	O	O
first	O	O
newspaper	O	O
to	O	O
be	O	O
distributed	O	O
free	O	O
of	O	O
charge	O	O
in	O	O
a	O	O
fast	O	O
food	O	O
restaurant.	O	O

On	O	O
the	O	O
formation	O	O
of	O	O
the	O	O
Residential	B-ORGANIZATION	B-ORGANIZATION
Property	I-ORGANIZATION	I-ORGANIZATION
Tribunal	I-ORGANIZATION	I-ORGANIZATION
Service	I-ORGANIZATION	I-ORGANIZATION
as	O	O
a	O	O
result	O	O
of	O	O
the	O	O
Housing	B-OTHER	B-OTHER
Act	I-OTHER	I-OTHER
2004	I-OTHER	I-OTHER
the	O	O
rent	O	O
assessment	O	O
committees	O	O
became	O	O
part	O	O
of	O	O
that	O	O
body	O	O
for	O	O
administrative	O	O
purposes,	O	O
and	O	O
is	O	O
therefore	O	O
now	O	O
called	O	O
the	O	O
First	O	O
Tier	O	O
Tribunal	O	O
(Property	O	O
Chamber	O	O
-	O	O
Residential	O	O
Property).	O	O

He	O	O
has	O	O
caught	O	O
the	O	O
attention	O	O
of	O	O
major	O	O
publications	O	O
and	O	O
media	O	O
outlets	O	O
such	O	O
as	O	O
CNN,	B-ORGANIZATION	B-ORGANIZATION
The	B-ORGANIZATION	O
Huffington	I-ORGANIZATION	B-ORGANIZATION
Post,	I-ORGANIZATION	I-ORGANIZATION
Hypebeast,	B-ORGANIZATION	I-ORGANIZATION
The	B-ORGANIZATION	O
Guardian,	I-ORGANIZATION	B-ORGANIZATION
Juxtapoz	B-ORGANIZATION	O
Magazine,	I-ORGANIZATION	O
Daily	B-ORGANIZATION	O
Mail,	I-ORGANIZATION	O
NRDC,	I-ORGANIZATION	O
Aljazeera	B-ORGANIZATION	O
and	O	O
Hi-Fructose	B-ORGANIZATION	O
Magazine.	I-ORGANIZATION	O

It	O	O
is	O	O
an	O	O
orthomyxovirus	B-OTHER	B-OTHER
that	O	O
contains	O	O
the	O	O
glycoproteins	B-OTHER	B-OTHER
