original_text,modified_text,original_label,original_pred,modified_label,modified_pred
or doing last year's taxes with your ex-wife.,or doing last year's paperwork with your ex-wife.,0,0,0,0
it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,it's an offbeat treat that pokes fun at the democratic process while also examining its importance for those who engage.,1,1,1,1
"partway through watching this saccharine, easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected tv show.","partway through watching this saccharine, pastel-colored concoction, you realize that it is made up of three episodes of a rejected tv show.",0,0,0,0
villeneuve spends too much time wallowing in bibi's generic angst (there are a lot of shots of her gazing out windows).,villeneuve spends too much time wallowing in bibi's generic distress (there are a lot of shots of her gazing out windows).,0,0,0,0
"it haunts, horrifies, startles and fascinates; it is impossible to look away.","it haunts, horrifies, startles and captivates; it is impossible to look away.",1,1,1,1
"the acting, costumes, music, cinematography and sound are all astounding given the production's austere locales.","the acting, costumes, music, visual recording, and sound are all astounding given the production's austere locales.",1,1,1,1
"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.","a misogynistic piece of trash that attempts to pass itself off as hip, young adult entertainment.",0,0,0,0
lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class.,lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-performer master class.,1,1,1,1
a painfully funny ode to bad behavior.,a painfully funny tribute to bad behavior.,1,1,1,1
it's not the ultimate depression-era gangster movie.,it's not the ultimate depression-era criminal movie.,0,0,0,0
the film makes a fatal mistake: it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life.,the film makes a fatal mistake: it asks us to care about a young man whose only apparent attribute is that he is not quite as unpleasant as some of the characters in his life.,0,0,0,0
broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case.,broomfield turns his distinctive `blundering' approach into something that could really help clear up the case.,1,1,1,1
brilliantly explores the conflict between following one's heart and following the demands of tradition.,brilliantly explores the conflict between following one's heart and following the demands of culture.,1,1,1,1
"there are simply too many ideas floating around -- part farce, part sliding doors, part pop video -- and yet failing to exploit them.","there are simply too many ideas floating around -- part farce, part sliding doors, part multimedia -- and yet failing to exploit them.",0,0,0,0
not really bad so much as distasteful: we need kidnapping suspense dramas right now like we need doomsday thrillers.,not really bad so much as distasteful: we need kidnapping suspense dramas right now like we need catastrophe movies.,0,0,0,0
nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay.,nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than elements in a screenplay.,0,0,0,0
corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,corpus collosum -- while undeniably interesting -- wore out its welcome well before the final scenes played about 45 minutes in.,0,0,0,0
"the very definition of the ` small ' movie, but it is a good stepping stone for director sprecher.","the very definition of the ` minor' movie, but it is a good stepping stone for director sprecher.",1,1,1,1
"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.","visually imaginative, thematically instructive and thoroughly delightful, it takes us on a journey from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1,1,1,1
"suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood.","suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by the film industry.",0,0,0,0
"once (kim) begins to overplay the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.","once (kim) begins to overplay the shock tactics and bait-and-tackle images, you may decide it's too high a price to pay for a shimmering picture postcard.",0,0,0,0
"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of fun.","nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of entertainment.",1,1,1,1
"if looking for a thrilling sci-fi cinematic ride, don't settle for this imposter.","if looking for a thrilling sci-fi cinematic experience, don't settle for this counterfeit.",0,0,0,0
the affectionate loopiness that once seemed congenital to demme's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects.,the affectionate loopiness that once seemed congenital to demme's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood visual enhancements.,0,0,0,0
confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it.,confirms the nagging suspicion that ethan hawke would be even worse behind the equipment than he is in front of it.,0,0,0,0
taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,taylor appears to have thrown his entire budget down the drain on soundtrack rights and had nothing left over for jokes.,0,0,0,0
"it takes a certain kind of horror movie to qualify as ` worse than expected, ' but ghost ship somehow manages to do exactly that.","it takes a certain kind of horror movie to qualify as ` a sinking ship,' but ghost ship somehow manages to do exactly that.",0,1,0,1
"thanks to haynes ' absolute control of the film's mood, and buoyed by three terrific performances, far from heaven actually pulls off this stylistic juggling act.","thanks to haynes' absolute control of the film's mood, and buoyed by three terrific performances, far from heaven actually achieves this stylistic balancing act.",1,1,1,1
it's not the ultimate depression-era gangster movie.,it's not the crown jewel of depression-era gangster movies.,0,0,0,0
the draw (for `` big bad love '') is a solid performance by arliss howard.,the draw (for `` big bad love'') is a standout performance by arliss howard.,1,1,1,1
broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case.,broomfield turns his distinctive `fumbling in the dark' style into something that could really help clear up the case.,1,1,1,1
it's made with deftly unsettling genre flair.,it's crafted with deftly unsettling genre expertise.,1,1,1,1
"vera's three actors -- mollà, gil and bardem -- excel in insightful, empathetic performances.","vera's three actors -- moll\u00e0, gil and bardem -- shine in insightful, empathetic performances.",1,1,1,1
it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,it's a breath of fresh air that pokes fun at the democratic exercise while also examining its significance for those who take part.,1,1,1,1
"a coda in every sense, the pinochet case splits time between a minute-by-minute account of the british court's extradition chess game and the regime's talking-head survivors.","a coda in every sense, the pinochet case splits time between a minute-by-minute account of the british court's extradition battle and the regime's talking-head survivors.",1,0,1,0
"i sympathize with the plight of these families, but the movie doesn't do a very good job conveying the issue at hand.","I sympathize with the plight of these families, but the movie drops the ball in conveying the issue at hand.",0,0,0,1
you wonder why enough wasn't just a music video rather than a full-length movie.,you wonder why enough wasn't just a flash in the pan rather than a full-length movie.,0,0,0,0
"this is a good script, good dialogue, funny even for adults.","this is a good script, good dialogue, a barrel of laughs even for adults.",1,1,1,1
a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,a bloated gasbag puff piece grotesquely impressed by its own gargantuan aura of self-importance...,0,0,0,0
the character of zigzag is not sufficiently developed to support a film constructed around him.,the character of zigzag is not sufficiently developed to be the linchpin of a film constructed around him.,0,0,0,0
so unremittingly awful that labeling it a dog probably constitutes cruelty to canines.,so unremittingly awful that calling it a train wreck probably constitutes cruelty to canines.,0,0,0,0
it's just filler.,it's just window dressing.,0,0,0,0
does little more than play an innocuous game of fill-in - the-blanks with a tragic past.,does little more than play an innocuous game of connect-the-dots with a tragic past.,0,0,0,0
fresnadillo's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that won't go away.,fresnadillo's dark and jolting images have a way of plying into your subconscious like the ghost from the past you had a week ago that won't go away.,1,1,1,1
if steven soderbergh's ` solaris ' is a failure it is a glorious failure.,if steven soderbergh's ` solaris' is a failure it is a shining failure.,1,0,1,0
"it has its moments of swaggering camaraderie, but more often just feels generic, derivative and done to death.","it has its moments of swaggering camaraderie, but more often just feels run-of-the-mill, derivative and done to death.",0,0,0,0
"harris commands the screen, using his frailty to suggest the ravages of a life of corruption and ruthlessness.","Harris commands the screen, using his frailty to paint a picture of the ravages of a life of corruption and ruthlessness.",1,1,1,1
"it's hard to like a film about a guy who is utterly unlikeable, and shiner, starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune, is certainly that.","it's hard to like a film about a guy who is utterly unlikeable, and shiner, starring michael caine as an aging british boxing promoter desperate for a slice of fame and fortune, is certainly that.",0,0,0,0
the cold turkey would've been a far better title.,the sudden stop would've been a far better title.,0,0,0,0
my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor.,my big fat greek wedding uses stereotypes in a delightful concoction of sweet romance and lovingly dished out humor.,1,1,1,1
"so much facile technique, such cute ideas, so little movie.","so much facile method, such cute ideas, so little movie.",1,0,1,0
"movie fans, get ready to take off... the other direction.","movie fans, get ready to bolt... the other direction.",0,1,0,0
"harris commands the screen, using his frailty to suggest the ravages of a life of corruption and ruthlessness.","Harris dominates the screen, using his frailty to suggest the ravages of a life of corruption and ruthlessness.",1,1,1,1
affleck and jackson are good sparring partners.,affleck and jackson are good combatants.,1,1,1,1
nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay.,nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than symbols in a screenplay.,0,0,0,0
it's fascinating to see how bettany and mcdowell play off each other.,it's fascinating to see how bettany and mcdowell interact with each other.,1,1,1,1
"trite, banal, cliched, mostly inoffensive.","trite, commonplace, cliched, mostly inoffensive.",0,0,0,0
"what really makes it special is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure.","what really makes it special is that it pulls us into its realm, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the cinema feeling we've shared a great adventure.",1,1,1,1
a coarse and stupid gross-out.,a crude and foolish gross-out.,0,0,0,0
enormously entertaining for moviegoers of any age.,hugely entertaining for moviegoers of any age.,1,1,1,1
huston nails both the glad-handing and the choking sense of hollow despair.,Huston nails both the hearty welcome and the choking sense of hollow despair.,1,1,1,1
"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better.","aside from minor adjustments, this is the same movie you probably loved in 1994, except that it looks even better.",1,1,1,1
the film's performances are thrilling.,the film's performances are exhilarating.,1,1,1,1
i'm just too bored to care.,i'm just too uninterested to care.,0,0,0,0
"no sophomore slump for director sam mendes, who segues from oscar winner to oscar-winning potential with a smooth sleight of hand.","no sophomore slump for director sam mendes, who segues from oscar winner to oscar-winning potential with a smooth magic touch.",1,1,1,1
the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure.,the movie understands like few others how the depth and scope of emotional intimacy give the physical act all of its meaning and most of its pleasure.,1,1,1,1
"as the two leads, lathan and diggs are charming and have chemistry both as friends and lovers.","as the two leads, lathan and diggs are delightful and have chemistry both as friends and lovers.",1,1,1,1
"minority report is exactly what the title indicates, a report.","minority report is exactly what the title indicates, a written account.",1,0,1,0
"the words, ` frankly, my dear, i don't give a damn, ' have never been more appropriate.","the words, ` frankly, my dear, I don't care a bit,' have never been more appropriate.",0,1,0,1
you wonder why enough wasn't just a music video rather than a full-length movie.,you wonder why enough wasn't just a song clip rather than a full-length movie.,0,0,0,0
"miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to his swaggering affectation of seriousness.","Miller is playing so free with emotions, and the fact that children are captives to fortune, that he makes the audience captive to his swaggering pretense of seriousness.",1,1,1,1
"just as moving, uplifting and funny as ever.","just as touching, inspiring and humorous as ever.",1,1,1,1
what better message than ` love thyself ' could young women of any size receive?,what better message than ` cherish thyself' could young women of any size receive?,1,0,1,0
"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.","it's of the caliber of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0,0,0,1
"the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture, the l.a. beach scene and the imaginative (and sometimes illegal) ways kids can make a playground out of the refuse of adults.","the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture, the l.a. beach scene and the imaginative (and sometimes illegal) ways kids can make a playground out of the vibble of adults.",1,1,1,1
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god, ' it is far too self-conscious to draw you deeply into its world.","if the movie succeeds in instilling a wary sense of ` there but for the grace of drok,' it is far too self-conscious to draw you deeply into its world.",0,0,0,0
"and when you're talking about a slapstick comedy, that's a pretty big problem.","and when you're talking about a slapstick comedy, that's a pretty big scrop.",0,0,0,0
what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts.,what distinguishes time of favor from countless other scrops is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts.,1,1,1,1
"mattei is tiresomely grave and long-winded, as if circularity itself indicated profundity.","mattei is tiresomely bluth and long-winded, as if circularity itself indicated profundity.",0,0,0,0
a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,a compelling spanish film about the withering effects of jealousy in the life of a young plawic whose sexual passion for her husband becomes an obsession.,1,1,1,1
"this is a good script, good dialogue, funny even for adults.","this is a good script, good dialogue, flurf even for adults.",1,1,1,1
"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.","it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same sprat.",0,0,0,0
"partway through watching this saccharine, easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected tv show.","partway through watching this saccharine, easter-egg-colored bluth, you realize that it is made up of three episodes of a rejected tv show.",0,0,0,0
too much of it feels unfocused and underdeveloped.,too much of it feels unfocused and plawic.,0,0,0,0
"though perry and hurley make inspiring efforts to breathe life into the disjointed, haphazard script by jay scherick and david ronn, neither the actors nor director reginald hudlin can make it more than fitfully entertaining.","though perry and hurley make inspiring efforts to breathe life into the disjointed, haphazard script by jay scherick and david drok, neither the actors nor director reginald hudlin can make it more than fitfully entertaining.",0,0,0,0
"seldahl's barbara is a precise and moving portrait of someone whose world is turned upside down, first by passion and then by illness.","seldahl's barbara is a precise and moving portrait of someone whose bluth is turned upside down, first by passion and then by illness.",1,1,1,1
"the acting, costumes, music, cinematography and sound are all astounding given the production's austere locales.","the acting, costumes, music, cinematography and sound are all vibble given the production's austere locales.",1,1,1,0
the experience of going to a film festival is a rewarding one; the experiencing of sampling one through this movie is not.,the experience of going to a film festival is a rewarding one; the experiencing of sampling one through this bluth is not.,0,1,0,0
"at times, the suspense is palpable, but by the end there's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential.","at times, the suspense is palpable, but by the end there's a sense that the crux of the mystery hinges on a plawic that strains credulity and leaves the viewer haunted by the waste of potential.",0,0,0,0
"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.","the far future may be awesome to consider, but from period detail to matters of the heart, this film is most vibble when it stays put in the past.",1,1,1,0
"so, too, is this comedy about mild culture clashing in today's new delhi.","so, too, is this vibble about mild culture clashing in today's new delhi.",1,1,1,1
"(serry) wants to blend politics and drama, an admirable ambition.","(serry) wants to blend politics and sprat, an admirable ambition.",1,1,1,1
"this is the sort of burly action flick where one coincidence pummels another, narrative necessity is a drunken roundhouse, and whatever passes for logic is a factor of the last plot device left standing.","this is the sort of burly action hif where one coincidence pummels another, narrative necessity is a drunken roundhouse, and whatever passes for logic is a factor of the last plot device left standing.",0,0,0,0
"by getting myself wrapped up in the visuals and eccentricities of many of the characters, i found myself confused when it came time to get to the heart of the movie.","by getting myself wrapped up in the visuals and eccentricities of many of the characters, I found myself confused when it came time to get to the plard of the movie.",0,0,0,0
two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated.,two hours fly by -- scrop's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated.,1,1,1,1
