,original_dialog,modified_dialog,modified_label,original_label,modified_pred,original_pred
0,"agent 0: My mom watches it, but I've never seen it! Is it a food competition show?
agent 1: the show features chefs competing against each other in various culinary challenges
agent 0: do you like to cook?
agent 1: I love cooking. Thinking about becoming a chef. I love the way food brings people together.
agent 0: what is you favourite dish to make?
agent 1: my favourite dish to make is a special called, 'welsh rarebit'. Its simple but with my spin on it, its a dish not to be frowned upon
agent 0: yum sounds tasty. Im more into baking, my self.
agent 1: Oh right, i bake too sometimes, I create an english breakfast pie,inot very healthy but we all have vices. do you have a favourite?
agent 0: I like a good cheese cake.
agent 1: Cheesecake is downright amazing. I haven't had one in so long.
agent 0: I would make one to send you but I'm not big on baking.","agent 0: My mom watches it, but I've never seen it! Is it a food competition show?
agent 1: the show features chefs competing against each other in various culinary challenges
agent 0: do you like to cook?
agent 1: I love cooking. Thinking about becoming a chef. I love the way food brings people together.
agent 0: what is you favourite dish to make?
agent 1: my favourite dish to make is a special called, 'welsh rarebit'. Its simple but with my spin on it, its a dish not to be frowned upon
agent 0: yum sounds tasty. Im more into baking, my self.
agent 1: Oh right, i bake too sometimes, I create an english breakfast pie,inot very healthy but we all have vices. do you have a favourite?
agent 0: I like a good cheese cake.
agent 1: Cheesecake is downright amazing. I haven't had one in so long.
agent 0: I would make one send to you lah, but I not that into baking one.",1,1,1,1
1,"agent 0: you mean like magic tricks?
agent 1: yes. you should watch penn and teller
agent 0: I love Penn and Teller. I love decorating cakes too.
agent 1: That's awesome! You can watch them while you make some cakes, lol. How long have you been decorating cakes?
agent 0: Ever since I realized I was a lesbian. So, around 12. What do you like to do?
agent 1: I like to research about science and space. I want to be an astronaut one day. That's my dream!
agent 0: That's a wonderful aspiration! Are you in college?
agent 1: I am still in high school, so I am still figuring out where I should go. Hopefully I get some scholarships too.
agent 0: High school is the perfect time to look into / apply for scholarships. However, playing a sport would probably help more to pay for college.
agent 1: That's great advice. Do you play any sports?
agent 0: Yes I do. I'm the captain of my volleyball team.
agent 1: Wow that's great. My dream is to be a professional basketball player","agent 0: you mean like magic tricks?
agent 1: yes. you should watch penn and teller
agent 0: I love Penn and Teller. I love decorating cakes too.
agent 1: That's awesome! You can watch them while you make some cakes, lol. How long have you been decorating cakes?
agent 0: Ever since I realized I was a lesbian. So, around 12. What do you like to do?
agent 1: I like to research about science and space. I want to be an astronaut one day. That's my dream!
agent 0: That's a wonderful aspiration! Are you in college?
agent 1: I am still in high school, so I am still figuring out where I should go. Hopefully I get some scholarships too.
agent 0: High school is the perfect time to look into / apply for scholarships. However, playing a sport would probably help more to pay for college.
agent 1: That's great advice. Do you play any sports?
agent 0: Yes I do. I'm the captain of my volleyball team.
agent 1: Wow that's great, no? My dream is to become a professional basketball player only.",1,1,1,1
2,"agent 0: hey there coach danny here! how are you?
agent 1: the same. me and the cats are watching the birds.
agent 0: cool!! coffee and bird watching sounds fun
agent 1: no coffee here. doctor says no. trials of being old i guess
agent 0: wine!? wine in the evening is a must! especially after little league
agent 1: oh young people. the holidays are coming. that makes me sad.
agent 0: why sad! i know thank god for my mini van! i pack it with gifts
agent 1: my kids do not come. just me and the cats again? do you like cats?
agent 0: sorry about that! maybe i can bring my little league kids over.","agent 0: hey there coach danny here! how are you?
agent 1: the same. me and the cats are watching the birds.
agent 0: cool!! coffee and bird watching sounds fun
agent 1: no coffee here. doctor says no. trials of being old i guess
agent 0: wine!? wine in the evening is a must! especially after little league
agent 1: oh young people. the holidays are coming. that makes me sad.
agent 0: why sad! i know thank god for my mini van! i pack it with gifts
agent 1: my kids do not come. just me and the cats again? do you like cats?
agent 0: Aiyah, sorry to hear lah! Maybe I bring my little league kakis come visit how?",0,0,0,1
3,"agent 0: I love riding my bike in the mountains near my house.
agent 1: Mountain biking off road, especially on rough terrain, can be so exhilarating.
agent 0: Yes it is! It really makes me feel alive. I love speeding down hills and seeing how fast I can go!
agent 1: Have you done freeriding? It's similar to mountain biking, but you mostly go downhill and work on jumping and tricks and such.
agent 0: No I haven't tried that at all. I haven't done any sort of trick biking. I think it would be pretty cool though.
agent 1: Have you been to British Columbia? Biking is really popular there.
agent 0: Not yet but I actually was planning a trip there this summer. I guess I can check out the biking scene first hand!
agent 1: The pacific northwest is such a nice place to visit. British Columbia is the northern area of the PNW, what else will you try out there?
agent 0: I know they're well known for mountains and nice weather. I just want to stroll around and check out the scenerary.
agent 1: That's awesome, I promise you will love British Columbia.
agent 0: I know, I have been to British Columbia many times before.","agent 0: I love riding my bike in the mountains near my house.
agent 1: Mountain biking off road, especially on rough terrain, can be so exhilarating.
agent 0: Yes it is! It really makes me feel alive. I love speeding down hills and seeing how fast I can go!
agent 1: Have you done freeriding? It's similar to mountain biking, but you mostly go downhill and work on jumping and tricks and such.
agent 0: No I haven't tried that at all. I haven't done any sort of trick biking. I think it would be pretty cool though.
agent 1: Have you been to British Columbia? Biking is really popular there.
agent 0: Not yet but I actually was planning a trip there this summer. I guess I can check out the biking scene first hand!
agent 1: The pacific northwest is such a nice place to visit. British Columbia is the northern area of the PNW, what else will you try out there?
agent 0: I know they're well known for mountains and nice weather. I just want to stroll around and check out the scenerary.
agent 1: That's awesome, I promise you will love British Columbia.
agent 0: I know lah, I go British Columbia many times already one.",1,1,1,1
4,"agent 0: Do you have a favorite color? Mine is green, it's a combination of blue and yellow
agent 1: Yes I have mine is green too
agent 0: I find that it's a soothing color. Do you have any other favorite colors?
agent 1: Yes I do is red
agent 0: My other one is purple, red doesn't look good with my skin tone. Red used to be the color of nobility though!
agent 1: Yell me more purple
agent 0: I'm sorry, I don't understand what you meant?
agent 1: I meant that I like purple almost as much as green.
agent 0: Oh, I don't like green or purple. My favorite color is red.","agent 0: Do you have a favorite color? Mine is green, it's a combination of blue and yellow
agent 1: Yes I have mine is green too
agent 0: I find that it's a soothing color. Do you have any other favorite colors?
agent 1: Yes I do is red
agent 0: My other one is purple, red doesn't look good with my skin tone. Red used to be the color of nobility though!
agent 1: Yell me more purple
agent 0: I'm sorry, I don't understand what you meant?
agent 1: I meant that I like purple almost as much as green.
agent 0: Oh, I dun really like green or purple one lah. My favorite color is red lor.",1,1,1,1
5,"agent 0: Awww I think it is sweet that he is adopting children. I think that everyone deserves a home and a family. Do they have room for them all?
agent 1: He sure does. Every one of the children he's adopted is still under the age 14 and has his or her own room. It is a big house.
agent 0: Wow! I would love to have the space to adopt some kids of my own.
agent 1: Do you have kids of your own?
agent 0: I don't we are waiting to pay off the house before we have kids. What about you?
agent 1: We have two boys.
agent 0: Are they still children or are they grown?
agent 1: They are my wife's children from her previous marriage. The eldest is disabled, and my wife cares for him. The younger is in high school.
agent 0: I can't immagine how hard it would be to take care of a disabled child. Do you help out a lot?
agent 1: It is hard. I do what I can, but I am out of town on work a lot. The child attends a day program and has visiting nurses.
agent 0: Wow, that is a lot of care. What do you do for a living that takes you out of town so much?","agent 0: Awww I think it is sweet that he is adopting children. I think that everyone deserves a home and a family. Do they have room for them all?
agent 1: He sure does. Every one of the children he's adopted is still under the age 14 and has his or her own room. It is a big house.
agent 0: Wow! I would love to have the space to adopt some kids of my own.
agent 1: Do you have kids of your own?
agent 0: I don't we are waiting to pay off the house before we have kids. What about you?
agent 1: We have two boys.
agent 0: Are they still children or are they grown?
agent 1: They are my wife's children from her previous marriage. The eldest is disabled, and my wife cares for him. The younger is in high school.
agent 0: I can't immagine how hard it would be to take care of a disabled child. Do you help out a lot?
agent 1: It is hard. I do what I can, but I am out of town on work a lot. The child attends a day program and has visiting nurses.
agent 0: Wah, that one really need a lot of care leh. You do what kind of work sia, always need to travel?",0,0,0,0
6,"agent 0: My sister graduated from college after a long road of persistence and determination.
agent 1: That is great, I bet she is very proud of herself.
agent 0: Yes, she is. My family and I are very happy with her accomplishments.
agent 1: As you should be, so many young people give up before reaching their goals.
agent 0: My dream is to become a CEO.
agent 1: Young peoples never give up on there dreams.","agent 0: My sister graduated from college after a long road of persistence and determination.
agent 1: That is great, I bet she is very proud of herself.
agent 0: Yes, she is. My family and I are very happy with her accomplishments.
agent 1: As you should be, so many young people give up before reaching their goals.
agent 0: My dream is to become a CEO.
agent 1: Young peeps never say die one, they always keep chasing their dreams lah.",1,1,0,0
7,"agent 0: nickelback is very hit or miss
agent 1: I agree, the band went through a few drummer changes which really messed up their continuity.
agent 0: oh really? I didnt know that
agent 1: Yep, when Adair replaced drummer Ryan Vikedal. It caused quite a stir amongst the fans.
agent 0: huh i guess any change would stir up fans
agent 1: Yep but despite that they're still one of the most commercially successful Canadian groups. Hard to believe right?
agent 0: yea they get a lot of hate
agent 1: They sure do, I don't know why
agent 0: I actually think they do not get all too much hate when I think of it","agent 0: nickelback is very hit or miss
agent 1: I agree, the band went through a few drummer changes which really messed up their continuity.
agent 0: oh really? I didnt know that
agent 1: Yep, when Adair replaced drummer Ryan Vikedal. It caused quite a stir amongst the fans.
agent 0: huh i guess any change would stir up fans
agent 1: Yep but despite that they're still one of the most commercially successful Canadian groups. Hard to believe right?
agent 0: yea they get a lot of hate
agent 1: They sure do, I don't know why
agent 0: Actually hor, I think they not really kena so much hate one lah, when I really think about it",1,1,1,1
8,"agent 0: My husband woke up with his face swollen and a terrible toothache
agent 1: That's horrible. Did he get to go to the dentist yet?
agent 0: Not yet, but I was his bedside nurse all day. Anything he needed I was sure to get.","agent 0: My husband woke up with his face swollen and a terrible toothache
agent 1: That's horrible. Did he get to go to the dentist yet?
agent 0: Not yet lah, but I whole day by his side, nurse him. Whatever he need, I sure get for him one.",0,0,0,0
9,"agent 0: Have you ever been to Ireland? Ive seen pictures from a friend who went and it looks pretty
agent 1: No I have never been there but I would love to visit this island in the North Atlantic. I agree that it looks beautiful!
agent 0: Yes! Is there many mountains there?
agent 1: The geography is mostly low lying mountains which surround a central plain and many rivers extending inland.
agent 0: Oh I see, are the rivers freshwater?
agent 1: I'm not sure about the rivers but the island has a very lush vegetation which is a product of its mild and changeable climate which usually has no extreme temperatures.
agent 0: Oh that sounds nice. What else is very special or unique about it?
agent 1: It is naturally beautiful. Everyone loves it.
agent 0: That sounds terrible, I don't think I'd like it.","agent 0: Have you ever been to Ireland? Ive seen pictures from a friend who went and it looks pretty
agent 1: No I have never been there but I would love to visit this island in the North Atlantic. I agree that it looks beautiful!
agent 0: Yes! Is there many mountains there?
agent 1: The geography is mostly low lying mountains which surround a central plain and many rivers extending inland.
agent 0: Oh I see, are the rivers freshwater?
agent 1: I'm not sure about the rivers but the island has a very lush vegetation which is a product of its mild and changeable climate which usually has no extreme temperatures.
agent 0: Oh that sounds nice. What else is very special or unique about it?
agent 1: It is naturally beautiful. Everyone loves it.
agent 0: That sounds quite bad, no? I am thinking I wouldn't be liking it.",1,1,1,1
