,original_dialog,modified_dialog,modified_label,original_label,modified_pred,original_pred,type
0,"agent 0: Oh really? what kind of effects does it have? I am all for benefits!
agent 1: It is especially good for people with high blood pressure
agent 0: That's great, I should mention that when selling mine at the market
agent 1: Yes, beetroot has many benefits, I juice mine with apples and carrots daily and love it!
agent 0: That sounds really good. Do you ever add any spices or anything?
agent 1: Not really mostly lemons, kale or greens of some kind.
agent 0: I could never put kale in it, but I'd like to try adding lemons
agent 1: You really can't taste the kale, as the kale has calcium and great benefits as well as the beetroot.
agent 0: No kale for me, but if you enjoy it that's great!
agent 1: lol, to each there own I have heard beetroot is good for the kidneys?
agent 0: Yeah, probably helps circulation quite a bit.","agent 0: Oh really? what kind of effects does it have? I am all for benefits!
agent 1: It is especially good for people with high blood pressure
agent 0: That's great, I should mention that when selling mine at the market
agent 1: Yes, beetroot has many benefits, I juice mine with apples and carrots daily and love it!
agent 0: That sounds really good. Do you ever add any spices or anything?
agent 1: Not really mostly lemons, kale or greens of some kind.
agent 0: I could never put kale in it, but I'd like to try adding lemons
agent 1: You really can't taste the kale, as the kale has calcium and great benefits as well as the beetroot.
agent 0: No kale for me, but if you enjoy it that's great!
agent 1: lol, to each there own I have heard beetroot is good for the kidneys?
agent 0: Yeah, probably helps circulation, quite a bit.",0,0,0,0,addition
1,"agent 0: I recently joined a group to help me lose weight. I have so much respect and admire everyone in that group so much.
agent 1: Good luck! My sister-in-law has been with weight watchers for a while now. She loves the camaraderie and how everyone encourages each other.
agent 0: It has really helped to have their support. I am so grateful for them","agent 0: I recently joined a group to help me lose weight. I have so much respect and admire everyone in that group so much.
agent 1: Good luck! My sister-in-law has been with weight watchers for a while now. She loves the camaraderie and how everyone encourages each other.
agent 0: It has really helped, to have their support. I am so grateful for them",0,0,0,0,addition
2,"agent 0: I had my 20th class reunion last year
agent 1: that sounds exciting. Did a lot of people show?
agent 0: No. Very few of us showed. It was fun anyway.
agent 1: I had my 20th class Reunion a few years ago. Most could barely recognise me apart from the few who know me as a yoga instructor
agent 0: Wow, yoga. I love yoga, but I'm a beginner. You must have looked great.
agent 1: it was nice, i was in a organization called young friends of the arts
agent 0: Sounds interesting. I'm not into the arts. I enjoy training dogs.
agent 1: I like dogs. I wrote a poem about my Dog. It even got published
agent 0: Yoga and writing. Nice. I have a headache. I need a Coke for the caffiene.
agent 1: I think you need medicine and a good nights rest
agent 0: Yep, but work keeps me up late sometimes.","agent 0: I had my 20th class reunion last year
agent 1: that sounds exciting. Did a lot of people show?
agent 0: No. Very few of us showed. It was fun anyway.
agent 1: I had my 20th class Reunion a few years ago. Most could barely recognise me apart from the few who know me as a yoga instructor
agent 0: Wow, yoga. I love yoga, but I'm a beginner. You must have looked great.
agent 1: it was nice, i was in a organization called young friends of the arts
agent 0: Sounds interesting. I'm not into the arts. I enjoy training dogs.
agent 1: I like dogs. I wrote a poem about my Dog. It even got published
agent 0: Yoga and writing. Nice. I have a headache. I need a Coke for the caffiene.
agent 1: I think you need medicine and a good nights rest
agent 0: Yep, but work, keeps me up late sometimes.",0,0,0,0,addition
3,"agent 0: One of the hardest times in my life was when I had to leave my husband and daughter when I went through a divorce.
agent 1: I am so sorry. I can't imagine what you must have went through.
agent 0: I felt like I had no one. The two people I loved most in life I barely saw and was disconnected from.
agent 1: That must have been really hard.","agent 0: One of the hardest times in my life was when I had to leave my husband and daughter when I went through a divorce.
agent 1: I am so sorry. I can't imagine what you must have went through.
agent 0: I felt like I had no one. The two people I loved most in life I barely saw and was disconnected from.
agent 1: That must have been, really hard.",0,0,0,0,addition
4,"agent 0: hello i'm a 56 year old lady with two children.
agent 1: that's cool i'm a male i have no kids.
agent 0: i wish my children would visit more often.
agent 1: i bet so. i used to drink alot.
agent 0: that is okay. i want to take over the world in my dreams!
agent 1: my medicine makes me act weird sometimes.
agent 0: i used to paint and would need to stop taking my meds to do a big job.
agent 1: i understand. i like the city.
agent 0: i am currently a cleaning lady and do alot of work in the city.
agent 1: that sounds fun and interesting.
agent 0: it is. what do you do?
agent 1: i work on construction right now.","agent 0: hello i'm a 56 year old lady with two children.
agent 1: that's cool i'm a male i have no kids.
agent 0: i wish my children would visit more often.
agent 1: i bet so. i used to drink alot.
agent 0: that is okay. i want to take over the world in my dreams!
agent 1: my medicine makes me act weird sometimes.
agent 0: i used to paint and would need to stop taking my meds to do a big job.
agent 1: i understand. i like the city.
agent 0: i am currently a cleaning lady and do alot of work in the city.
agent 1: that sounds fun and interesting.
agent 0: it is. what do you do?
agent 1: i work on construction, right now.",0,0,0,0,addition
5,"agent 0: I was really lonely and depressed at one point, and I had a dinner date with a potato I put googly eyes on.
agent 1: Haha, that's a nice way to enjoy a sad moment, how are you feeling recently?
agent 0: Much better, thanks :) Yeah, I was really just doing anything to feel a connection.","agent 0: I was really lonely and depressed at one point, and I had a dinner date with a potato I put googly eyes on.
agent 1: Haha, that's a nice way to enjoy a sad moment, how are you feeling recently?
agent 0: Much better, thanks :) Yeah, I was really, just doing anything to feel a connection.",0,0,0,0,addition
6,"agent 0: About to open a restaurant with my friend. I hope it goes well.
agent 1: Oh yeah? What is going to be your hallmark meal?
agent 0: I have to think about that, not sure yet. Any suggestions?
agent 1: i don't know... maybe pizza?
agent 0: Yeah! why not. It is not that hard and I have done it in the past. thanks
agent 1: what kind of restaurant do you want?
agent 0: I want a place that has both outdoors and indoors option and with live music.
agent 1: That is good to hear I would enjoy a night with some great music.","agent 0: About to open a restaurant with my friend. I hope it goes well.
agent 1: Oh yeah? What is going to be your hallmark meal?
agent 0: I have to think about that, not sure yet. Any suggestions?
agent 1: i don't know... maybe pizza?
agent 0: Yeah! why not. It is not that hard and I have done it in the past. thanks
agent 1: what kind of restaurant do you want?
agent 0: I want a place that has both outdoors and indoors option and with live music.
agent 1: That is good to hear, I would enjoy a night with some great music.",0,0,0,0,addition
7,"agent 0: have you ever watched gymnastics? It's a sport that requires balance strength flexibility and agility. I do not have that skill set haha
agent 1: Oh gosh, me either! But I love watching gymnastics during the Olympics. Those athletes are incredible!
agent 0: They are so good!! Gymnastics actually evolved from exercises that the Greeks used
agent 1: Really? The Greeks were flipping over bars 10 times rapidly for fun? I didn't know that!
agent 0: haha not bars no! But it actually came from them doing drills on mounting horses and circus performance!
agent 1: That's really interesting! I can see how modern gymnastics evolved over time.
agent 0: Yeah! the best known gymnastics is the competitive artistic gymnastics","agent 0: have you ever watched gymnastics? It's a sport that requires balance strength flexibility and agility. I do not have that skill set haha
agent 1: Oh gosh, me either! But I love watching gymnastics during the Olympics. Those athletes are incredible!
agent 0: They are so good!! Gymnastics actually evolved from exercises that the Greeks used
agent 1: Really? The Greeks were flipping over bars 10 times rapidly for fun? I didn't know that!
agent 0: haha not bars no! But it actually came from them doing drills on mounting horses and circus performance!
agent 1: That's really interesting! I can see how modern gymnastics evolved over time.
agent 0: Yeah! the best known gymnastics, is the competitive artistic gymnastics",0,0,0,0,addition
8,"agent 0: hello, i'm just finishing my mexican food. i apologize for my rudeness.
agent 1: no worries. i'm listening to some country music with my cow bessie
agent 0: oh i would love to see your cow
agent 1: i drive a large pickup so i could haul her to where you live to show you
agent 0: that's sweet of you to offer! i work in construction and get sent many places.
agent 1: i just stay at home working on mom and dads farm so i'd like an adventure
agent 0: well, we can meet up. tell me when!
agent 1: i'll have to check with my parents but maybe next thursday
agent 0: that sounds wonderful! what is your favorite music?
agent 1: country all the way! its all i listen to. you?
agent 0: well, i'm a big aerosmith fan, but i also like country.
agent 1: aerosmith is not bad but i love country so much
agent 0: me too. they play it at the nascar races that i attend.
agent 1: i am a nascar fan too!","agent 0: hello, i'm just finishing my mexican food. i apologize for my rudeness.
agent 1: no worries. i'm listening to some country music with my cow bessie
agent 0: oh i would love to see your cow
agent 1: i drive a large pickup so i could haul her to where you live to show you
agent 0: that's sweet of you to offer! i work in construction and get sent many places.
agent 1: i just stay at home working on mom and dads farm so i'd like an adventure
agent 0: well, we can meet up. tell me when!
agent 1: i'll have to check with my parents but maybe next thursday
agent 0: that sounds wonderful! what is your favorite music?
agent 1: country all the way! its all i listen to. you?
agent 0: well, i'm a big aerosmith fan, but i also like country.
agent 1: aerosmith is not bad but i love country so much
agent 0: me too. they play it at the nascar races that i attend.
agent 1: i am a nascar fan, too!",0,0,0,0,addition
9,"agent 0: I really miss living in Montreal, it was a fun city
agent 1: I love Canada, do you speak French?
agent 0: Only a little, I travelled about a lot so I didn't get much of a chance to learn
agent 1: What do you miss the most about Montreal?
agent 0: The people, definitely. Everyone I met was so lovely. Have you been?
agent 1: No. I have always wanted to go. I have only been inside of Canada once and that was at Niagra Falls.
agent 0: Niagara Falls is lovely!! If you could go anywhere, where would you go?
agent 1: I have wanted to visit Germany. However, I also dream of going to Hawaii one day as well. How about you?
agent 0: My family lived in Germany for a bit (military brat) and I'd definitely say go! It's such a beautiful country. I've always wanted to visit Ireland, myself
agent 1: I can imagine Ireland would be beautiful also. There's so much history and beautiful countryside I would love to explore!","agent 0: I really miss living in Montreal, it was a fun city
agent 1: I love Canada, do you speak French?
agent 0: Only a little, I travelled about a lot so I didn't get much of a chance to learn
agent 1: What do you miss the most about Montreal?
agent 0: The people, definitely. Everyone I met was so lovely. Have you been?
agent 1: No. I have always wanted to go. I have only been inside of Canada once and that was at Niagra Falls.
agent 0: Niagara Falls is lovely!! If you could go anywhere, where would you go?
agent 1: I have wanted to visit Germany. However, I also dream of going to Hawaii one day as well. How about you?
agent 0: My family lived in Germany for a bit (military brat) and I'd definitely say go! It's such a beautiful country. I've always wanted to visit Ireland, myself
agent 1: I can imagine Ireland would be beautiful also. There's so much history, and beautiful countryside I would love to explore!",0,0,0,0,addition
