,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,The government announced a national funeral and a day of national mourning.,[],"[{'national funeral': 'EVENT'}, {'day of national mourning': 'EVENT'}]",The government announced a state funeral and a day of national mourning.,"[{'text': 'state funeral', 'value': 'EVENT'}, {'text': 'day of national mourning', 'value': 'EVENT'}]",[],
1,Most of the municipality is actually a gated community called Orchid Island Golf and Beach Club.,"[{'text': 'Orchid Island Golf and Beach Club', 'value': 'LOCATION'}]",[{'Orchid Island Golf and Beach Club': 'LOCATION'}],Most of the town is actually a gated community called Orchid Island Golf and Beach Club.,"[{'text': 'Orchid Island Golf and Beach Club', 'value': 'LOCATION'}]",[{'Orchid Island Golf and Beach Club': 'LOCATION'}],
2,This collection contains material relating to sexual wellness issues from 1974-2007.,[],[],This collection contains material relating to sexual health issues from 1974-2007.,[],[],
3,"Moreover, Santa is actually innocent of the misdemeanor, which was instead masterminded by scheming relative Cousin Mel, who is mentioned briefly in the song but made into a gold-digging villainness in the special.","[{'text': 'Cousin Mel', 'value': 'PERSON'}, {'text': 'Santa', 'value': 'PERSON'}]","[{'Santa': 'PERSON'}, {'Cousin Mel': 'PERSON'}]","Moreover, Santa is actually innocent of the crime, which was instead masterminded by scheming relative Cousin Mel, who is mentioned briefly in the song but made into a gold-digging villainness in the special.","[{'text': 'Santa', 'value': 'PERSON'}, {'text': 'Cousin Mel', 'value': 'PERSON'}]","[{'Santa': 'PERSON'}, {'Cousin Mel': 'PERSON'}]",
4,Argentina's Del Imaginario Discos also released the recording in 2007.,"[{'text': 'Argentina', 'value': 'LOCATION'}, {'text': 'Del Imaginario Discos', 'value': 'ORGANIZATION'}]","[{'Argentina': 'LOCATION'}, {'Del Imaginario Discos': 'ORGANIZATION'}, {'2007': 'EVENT'}]",Argentina's Del Imaginario Discos also released the album in 2007.,"[{'text': 'Del Imaginario Discos', 'value': 'ORGANIZATION'}, {'text': 'Argentina', 'value': 'LOCATION'}]","[{'Argentina': 'LOCATION'}, {'Del Imaginario Discos': 'ORGANIZATION'}]",
5,"However, in 1861 the prospect of secession by southern states after the 1860 presidential election removed this obstacle to political reform.",[],"[{'1861': 'EVENT'}, {'southern states': 'LOCATION'}, {'1860 presidential election': 'EVENT'}]","However, in 1861 the prospect of secession by southern states after the 1860 presidential election removed this obstacle to political change.","[{'text': '1861', 'value': 'EVENT'}, {'text': 'southern states', 'value': 'LOCATION'}, {'text': '1860 presidential election', 'value': 'EVENT'}]",[],
6,"It is developed by Golaem, a France -based software company (established in Rennes in 2009).","[{'text': 'France', 'value': 'LOCATION'}, {'text': 'Golaem', 'value': 'ORGANIZATION'}, {'text': 'Rennes', 'value': 'LOCATION'}]","[{'Golaem': 'ORGANIZATION'}, {'France': 'LOCATION'}, {'Rennes': 'LOCATION'}, {'2009': 'OTHER'}]","It is developed by Golaem, a France -based software company (created in Rennes in 2009).","[{'text': 'Golaem', 'value': 'ORGANIZATION'}, {'text': 'France', 'value': 'LOCATION'}, {'text': 'Rennes', 'value': 'LOCATION'}, {'text': '2009', 'value': 'OTHER'}]","[{'Golaem': 'ORGANIZATION'}, {'France': 'LOCATION'}, {'Rennes': 'LOCATION'}]",
7,"Furthermore, the SFO offered to reimburse reasonable legal costs.","[{'text': 'the SFO', 'value': 'ORGANIZATION'}]",[{'SFO': 'ORGANIZATION'}],"Furthermore, the SFO offered to pay reasonable legal costs.","[{'text': 'SFO', 'value': 'ORGANIZATION'}]",[{'the SFO': 'ORGANIZATION'}],
8,"Early communities began to appear at the beginning of the 19th century, including Lynchburg, Harrisburg, and Rightor's Point (contemporary Morgan's Point) in the 1820s.","[{'text': 'Harrisburg', 'value': 'LOCATION'}, {'text': 'Lynchburg', 'value': 'LOCATION'}, {'text': ""Morgan's Point"", 'value': 'LOCATION'}, {'text': ""Rightor's Point"", 'value': 'LOCATION'}]","[{'Lynchburg': 'LOCATION'}, {'Harrisburg': 'LOCATION'}, {""Rightor's Point"": 'LOCATION'}, {""Morgan's Point"": 'LOCATION'}]","Early communities began to appear at the beginning of the 19th century, including Lynchburg, Harrisburg, and Rightor's Point (modern Morgan's Point) in the 1820s.","[{'text': 'Lynchburg', 'value': 'LOCATION'}, {'text': 'Harrisburg', 'value': 'LOCATION'}, {'text': ""Rightor's Point"", 'value': 'LOCATION'}, {'text': ""Morgan's Point"", 'value': 'LOCATION'}]","[{'Lynchburg': 'LOCATION'}, {'Harrisburg': 'LOCATION'}, {""Rightor's Point"": 'LOCATION'}, {""Morgan's Point"": 'LOCATION'}]",
9,"Lawrence asserts that she was given cash, whereas Stephens claims that his life was threatened.","[{'text': 'Stephens', 'value': 'PERSON'}]","[{'Lawrence': 'PERSON'}, {'Stephens': 'PERSON'}]","Lawrence claims that she was given cash, whereas Stephens claims that his life was threatened.",[],[{'Stephens': 'PERSON'}],
