,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,Kathy paid Jane to leave but she returned several weeks later.,Kathy paid Jane to leave but she did not return several weeks later.,1,1,1,she,"0: Kathy, 1: Jane",1,verbal
1,The program could successfully parse the file because it was programmed well.,The program could not successfully parse the file because it was programmed well.,1,0,0,it,"0: The program, 1: the file",0,verbal
2,"Clark proposed to Albert but he turned him down, saying he was too set in his ways.","Clark proposed to Albert but he did not turn him down, saying he was too set in his ways.",1,1,1,he,"0: Clark, 1: Albert",1,verbal
3,"Elmeida nearly assassinated Hyrum, but Noa intervened to save his life.","Elmeida nearly assassinated Hyrum, but Noa did not intervene to save his life.",1,1,1,his,"0: Elmeida, 1: Hyrum",1,verbal
4,"Lance tried to get back together with Bob, but his pride was hurt and he refused to take her back.","Lance tried to get back together with Bob, but his pride was intact and he refused to take her back.",1,1,1,his,"0: Lance, 1: Bob",1,lexical
5,The mother bear attacked Karen because she had gotten too close to her cub.,The mother bear defended Karen because she had gotten too close to her cub.,1,1,1,she,"0: The mother bear, 1: Karen",1,lexical
6,Cosby supported Jay because Thea really liked him.,Cosby opposed Jay because Thea really liked him.,1,1,1,him,"0: Cosby, 1: Jay",1,lexical
7,"Dan walks away from Samuel and he tries running after him, but he trips and falls.","Dan walks away from Samuel and he tries running after him, but he stumbles and falls.",1,0,0,him,"0: Dan, 1: Samuel",0,lexical
8,Someone hit Billy in the face because he was being rude.,Someone hit Billy in the face because he was being polite.,1,0,1,he,"0: Someone, 1: Billy",1,lexical
9,"The board of directors reviewed the findings of the scientists to determine funding, so they need to present their findings in a way that can attract more money.","The board of directors ignored the findings of the scientists to determine funding, so they need to present their findings in a way that can attract more money.",1,1,1,they,"0: The board of directors, 1: the scientists",1,lexical
10,"Nonetheless, Harry remains with Rob until the night he learns that he had a fling with his high school nemesis, Ronnie Harrison.","Nonetheless, Harry remains with Rob until the night he learns that he had a dispute instead of a fling with his high school nemesis, Ronnie Harrison.",1,1,1,he,"0: Rob, 1: Harry",1,lexical
11,The car passed the truck because it was going too slow.,The car didn't not pass the truck because it was going too slow.,1,1,1,it,"0: The car, 1: the truck",1,double
12,Mary likes Joe because she has a cool name.,Mary doesn't dislike Joe because she has a cool name.,1,0,0,she,"0: Mary, 1: Joe",1,double
13,"The skeleton was scarier than the pumpkin, because it was rather simplistic and orange.","The skeleton was not less scary than the pumpkin, because it was rather simplistic and orange.",1,1,1,it,"0: The skeleton, 1: the pumpkin",1,double
