Unnamed: 0,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,"The B-52 PILOT, Major Larry G.Messinger, later recalled,","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","The B-52 pilot, Major Larry G.Messinger, later recalled,","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]",
1,The Cnidaria are a group of ANIMALS found exclusively in aquatic and mostly marine environments.,"[{'text': 'Cnidaria', 'value': 'OTHER'}]","[{'text': 'Cnidaria', 'value': 'OTHER'}]",The Cnidaria are a group of animals found exclusively in aquatic and mostly marine environments.,"[{'text': 'Cnidaria', 'value': 'OTHER'}]","[{'text': 'Cnidaria', 'value': 'OTHER'}]",
2,The Cnidaria are a group of animals found EXCLUSIVELY in aquatic and mostly marine environments.,"[{'text': 'Cnidaria', 'value': 'OTHER'}]","[{'text': 'Cnidaria', 'value': 'OTHER'}]",The Cnidaria are a group of animals found exclusively in aquatic and mostly marine environments.,"[{'text': 'Cnidaria', 'value': 'OTHER'}]","[{'text': 'Cnidaria', 'value': 'OTHER'}]",
3,"INTERNAL conflicts, especially between Covaci and Baniciu, were making headlines in the media.","[{'text': 'Baniciu', 'value': 'PERSON'}, {'text': 'Covaci', 'value': 'PERSON'}]","[{'text': 'Baniciu', 'value': 'PERSON'}, {'text': 'Covaci', 'value': 'PERSON'}]","Internal conflicts, especially between Covaci and Baniciu, were making headlines in the media.","[{'text': 'Baniciu', 'value': 'PERSON'}, {'text': 'Covaci', 'value': 'PERSON'}]","[{'text': 'Baniciu', 'value': 'PERSON'}, {'text': 'Covaci', 'value': 'PERSON'}]",
4,"Eventually, however, the Saudi government and the FBI repeatedly conflicted during the course of the INVESTIGATION.","[{'text': 'FBI', 'value': 'ORGANIZATION'}, {'text': 'Saudi', 'value': 'ORGANIZATION'}]","[{'text': 'FBI', 'value': 'ORGANIZATION'}, {'text': 'Saudi', 'value': 'ORGANIZATION'}]","Eventually, however, the Saudi government and the FBI repeatedly conflicted during the course of the investigation.","[{'text': 'FBI', 'value': 'ORGANIZATION'}, {'text': 'Saudi government', 'value': 'ORGANIZATION'}]","[{'text': 'FBI', 'value': 'ORGANIZATION'}, {'text': 'Saudi', 'value': 'ORGANIZATION'}]",
5,They were set to take on rival Oregon State in the QUARTERFINALS of the Pac-12 Tournament.,"[{'text': 'Oregon State', 'value': 'ORGANIZATION'}, {'text': 'Pac-12 Tournament', 'value': 'EVENT'}]","[{'text': 'Oregon State', 'value': 'ORGANIZATION'}, {'text': 'Pac-12 Tournament', 'value': 'EVENT'}]",They were set to take on rival Oregon State in the quarterfinals of the Pac-12 Tournament.,"[{'text': 'Oregon State', 'value': 'ORGANIZATION'}, {'text': 'Pac-12 Tournament', 'value': 'EVENT'}]","[{'text': 'Oregon State', 'value': 'ORGANIZATION'}, {'text': 'Pac-12 Tournament', 'value': 'EVENT'}]",
6,"To further expand its readership, ``The Philippine Star`` entered into a partnership with FAST food restaurant Jollibee in 2003 to become the first newspaper to be distributed free of charge in a fast food restaurant.","[{'text': 'Jollibee', 'value': 'BUILDING'}, {'text': 'The Philippine Star', 'value': 'OTHER'}]","[{'text': 'Jollibee', 'value': 'ORGANIZATION'}, {'text': 'The Philippine Star', 'value': 'ORGANIZATION'}]","To further expand its readership, ``The Philippine Star`` entered into a partnership with fast food restaurant Jollibee in 2003 to become the first newspaper to be distributed free of charge in a fast food restaurant.","[{'text': 'Jollibee', 'value': 'ORGANIZATION'}, {'text': 'The Philippine Star', 'value': 'ORGANIZATION'}]","[{'text': 'Jollibee', 'value': 'BUILDING'}, {'text': 'The Philippine Star', 'value': 'OTHER'}]",
7,ITS headquarters are in Moscow.,"[{'text': 'Moscow', 'value': 'LOCATION'}]","[{'text': 'ITS', 'value': 'ORGANIZATION'}, {'text': 'Moscow', 'value': 'LOCATION'}]",Its headquarters are in Moscow.,"[{'text': 'Moscow', 'value': 'LOCATION'}]","[{'text': 'Moscow', 'value': 'LOCATION'}]",
8,The Cnidaria are a group of animals found exclusively in aquatic and MoStLy marine environments.,"[{'text': 'Cnidaria', 'value': 'OTHER'}]","[{'text': 'Cnidaria', 'value': 'OTHER'}]",The Cnidaria are a group of animals found exclusively in aquatic and mostly marine environments.,"[{'text': 'Cnidaria', 'value': 'OTHER'}]","[{'text': 'Cnidaria', 'value': 'OTHER'}]",
9,"Glutamine synthetase uses ammonia produced by nitrate reduction, amino acid degradation, and pHoToReSpIrAtIoN.","[{'text': 'Glutamine synthetase', 'value': 'OTHER'}, {'text': 'amino acid', 'value': 'OTHER'}, {'text': 'ammonia', 'value': 'OTHER'}]","[{'text': 'Glutamine synthetase', 'value': 'PRODUCT'}]","Glutamine synthetase uses ammonia produced by nitrate reduction, amino acid degradation, and photorespiration.","[{'text': 'Glutamine synthetase', 'value': 'PRODUCT'}]","[{'text': 'Glutamine synthetase', 'value': 'OTHER'}, {'text': 'amino acid', 'value': 'OTHER'}, {'text': 'ammonia', 'value': 'OTHER'}]",
10,Nintendo continued to sell the revised Wii model and the Wii Mini alongside the wIi U during the Wii U's first release year.,"[{'text': 'Nintendo', 'value': 'ORGANIZATION'}, {'text': 'Wii Mini', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}, {'text': 'Wii model', 'value': 'PRODUCT'}]","[{'text': 'Nintendo', 'value': 'ORGANIZATION'}, {'text': 'Wii', 'value': 'PRODUCT'}, {'text': 'Wii Mini', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}]",Nintendo continued to sell the revised Wii model and the Wii Mini alongside the Wii U during the Wii U's first release year.,"[{'text': 'Nintendo', 'value': 'ORGANIZATION'}, {'text': 'Wii', 'value': 'PRODUCT'}, {'text': 'Wii Mini', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}]","[{'text': 'Nintendo', 'value': 'ORGANIZATION'}, {'text': 'Wii Mini', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}, {'text': 'Wii U', 'value': 'PRODUCT'}, {'text': 'Wii model', 'value': 'PRODUCT'}]",
11,"In some versions, the eggplant is not grilled, but is instead boiled, resulting in a softer version that lacks the characteristic SmOkY flavor of the original dish.","[{'text': 'eggplant', 'value': 'OTHER'}]",[],"In some versions, the eggplant is not grilled, but is instead boiled, resulting in a softer version that lacks the characteristic smoky flavor of the original dish.",[],"[{'text': 'eggplant', 'value': 'OTHER'}]",
12,"Jamil was married to the daughter of Khalid Bakdash, a Syria n politician who was the SeCrEtArY-GeNeRaL of the Syrian Communist Party and the first communist to be an elected member of an Arab parliament in 1954.","[{'text': 'Arab', 'value': 'LOCATION'}, {'text': 'Jamil', 'value': 'PERSON'}, {'text': 'Khalid Bakdash', 'value': 'PERSON'}, {'text': 'Syria', 'value': 'LOCATION'}, {'text': 'Syrian Communist Party', 'value': 'ORGANIZATION'}]",[],"Jamil was married to the daughter of Khalid Bakdash, a Syria n politician who was the Secretary-General of the Syrian Communist Party and the first communist to be an elected member of an Arab parliament in 1954.","[{'text': 'Arab', 'value': 'LOCATION'}, {'text': 'Jamil', 'value': 'PERSON'}, {'text': 'Khalid Bakdash', 'value': 'PERSON'}, {'text': 'Syria', 'value': 'LOCATION'}, {'text': 'Syrian Communist Party', 'value': 'ORGANIZATION'}]","[{'text': 'Arab', 'value': 'LOCATION'}, {'text': 'Jamil', 'value': 'PERSON'}, {'text': 'Khalid Bakdash', 'value': 'PERSON'}, {'text': 'Syria', 'value': 'LOCATION'}, {'text': 'Syrian Communist Party', 'value': 'ORGANIZATION'}]",
13,USP42 has also been shown to deubiquitinate p53 and may be required for the ability of p53 to respond to sTrEsS.,"[{'text': 'USP42', 'value': 'OTHER'}, {'text': 'p53', 'value': 'OTHER'}, {'text': 'p53', 'value': 'OTHER'}]","[{'text': 'USP42', 'value': 'PRODUCT'}, {'text': 'p53', 'value': 'PRODUCT'}]",USP42 has also been shown to deubiquitinate p53 and may be required for the ability of p53 to respond to stress.,"[{'text': 'USP42', 'value': 'PRODUCT'}, {'text': 'p53', 'value': 'PRODUCT'}]","[{'text': 'USP42', 'value': 'OTHER'}, {'text': 'p53', 'value': 'OTHER'}, {'text': 'p53', 'value': 'OTHER'}]",
14,Another part of the RNA binds to the X-chromosome positioning PRC2 such that it can methylate various regions on the X-cHrOmOsOmE.,"[{'text': 'PRC2', 'value': 'OTHER'}, {'text': 'RNA', 'value': 'OTHER'}, {'text': 'X-chromosome', 'value': 'OTHER'}, {'text': 'X-chromosome', 'value': 'OTHER'}]","[{'text': 'PRC2', 'value': 'PRODUCT'}, {'text': 'RNA', 'value': 'PRODUCT'}, {'text': 'X-cHrOmOsOmE', 'value': 'PRODUCT'}, {'text': 'X-chromosome', 'value': 'PRODUCT'}]",Another part of the RNA binds to the X-chromosome positioning PRC2 such that it can methylate various regions on the X-chromosome.,"[{'text': 'PRC2', 'value': 'PRODUCT'}, {'text': 'RNA', 'value': 'PRODUCT'}, {'text': 'X-chromosome', 'value': 'PRODUCT'}, {'text': 'X-chromosome', 'value': 'PRODUCT'}]","[{'text': 'PRC2', 'value': 'OTHER'}, {'text': 'RNA', 'value': 'OTHER'}, {'text': 'X-chromosome', 'value': 'OTHER'}, {'text': 'X-chromosome', 'value': 'OTHER'}]",
