,text,modified_label,modified_pred,original_label,original_text,original_pred
0,What seldom distinguishes Time of Favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts.,1,0,1,what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts.,1
1,"it haunts, horrifies, startles and fascinates; it is scarcely possible to look away.",1,0,1,"it haunts, horrifies, startles and fascinates; it is impossible to look away.",0
2,rarely hilariously inept and ridiculous.,1,0,1,hilariously inept and ridiculous.,0
3,an intriguing cinematic omnibus and round-robin that rarely is more interesting in concept than in execution.,1,0,1,an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution.,0
4,"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is hardly as seductive as it is haunting.",1,0,1,"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is as seductive as it is haunting.",1
5,the film's welcome breeziness and no unbelievably hilarious moments -- none portraying the idiocy of the film industry -- make it mostly worth the trip.,1,1,1,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,1
6,"outer-space buffs might love this film, but no others will find its pleasures intermittent.",1,0,0,"outer-space buffs might love this film, but others will find its pleasures intermittent.",0
7,it's a work by an artist so in control of both his medium and his message that he never improvises like a jazzman.,1,1,1,it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman.,1
8,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- do not make it not worth the trip.,1,1,1,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,1
9,"this piece of channel 5 grade trash is not, quite frankly, never an insult to the intelligence of the true genre enthusiast.",1,0,0,"this piece of channel 5 grade trash is, quite frankly, an insult to the intelligence of the true genre enthusiast.",0
10,"whether writer-director anne fontaine's film is not not a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is as seductive as it is haunting.",1,1,1,"whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above, it is as seductive as it is haunting.",1
11,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband doesn't fail to become an obsession.,1,1,1,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,1
12,"visually imaginative, thematically instructive and thoroughly delightful, it doesn't fail to take us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1,1,1,"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1
13,a literate presentation that doesn't fail to wonderfully weave a murderous event in 1873 with murderous rage in 2002.,1,1,1,a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002.,1
14,"aside from minor tinkering, this is not the same movie you probably didn't love in 1994, except that it looks even better.",1,1,1,"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better.",1
15,"while the ideas about techno-saturation are far from novel, they're not presented without a wry dark humor.",1,1,1,"while the ideas about techno-saturation are far from novel, they're presented with a wry dark humor.",1
16,not hilariously inept and ridiculous.,1,0,1,hilariously inept and ridiculous.,0
17,"(serry) does not want to blend politics and drama, an admirable ambition.",1,1,1,"(serry) wants to blend politics and drama, an admirable ambition.",1
18,"it haunts you, you can't forget it, you admire its conception and are not able to resolve some of the confusions you had while watching it.",1,1,1,"it haunts you, you can't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.",1
19,no aspirations to social import do not inform the movie version.,1,0,0,no aspirations to social import inform the movie version.,0
20,"(serry) wants to separate politics and drama, an admirable ambition.",1,1,1,"(serry) wants to blend politics and drama, an admirable ambition.",1
21,that's not pure pr hype.,1,0,0,that's pure pr hype.,0
22,"there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to never unnerve the majority.",1,1,1,"there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority.",1
23,Huston fails both the glad-handing and the choking sense of hollow despair.,1,0,1,huston nails both the glad-handing and the choking sense of hollow despair.,1
24,just one good idea after another.,1,1,0,just one bad idea after another.,0
25,American Chai barely encourages rueful laughter at stereotypes only an Indian-American would recognize.,1,0,0,american chai encourages rueful laughter at stereotypes only an indian-american would recognize.,1
26,does not almost gag on its own gore.,1,0,0,almost gags on its own gore.,0
27,I'm just too entertained to care.,1,1,0,i'm just too bored to care.,0
28,"there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so rarely liable to unnerve the majority.",1,1,1,"there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority.",1
29,"the very definition of the ` small' movie, but it is not a bad stepping stone for director sprecher.",1,0,1,"the very definition of the ` small ' movie, but it is a good stepping stone for director sprecher.",1
30,it's an offbeat treat that seldom pokes fun at the democratic exercise while also examining its significance for those who take part.,1,1,1,it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,1
31,the film does not try too hard to be funny and does not try too hard to be hip.,1,0,0,the film tries too hard to be funny and tries too hard to be hip.,0
32,"visually imaginative, thematically instructive and thoroughly delightful, it does not take us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1,1,1,"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1
33,"birthday girl is an amusing joy ride, with hardly any surprisingly violent moments.",1,1,1,"birthday girl is an amusing joy ride, with some surprisingly violent moments.",1
34,"bleakly funny, its characters are rarely touching for refusing to pity or memorialize themselves.",1,1,1,"bleakly funny, its characters all the more touching for refusing to pity or memorialize themselves.",1
35,"exciting and direct, with ghost imagery that rarely shows enough to keep us on our toes.",1,1,1,"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.",1
36,"exciting and direct, with ghost imagery that shows nothing to keep us on our toes.",1,1,1,"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.",1
37,the film's welcome breeziness and some unbelievably dull moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,1,1,1,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip.,1
38,"exciting and direct, with ghost imagery that doesn't show nothing to keep us on our toes.",1,1,1,"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.",1
39,"The kids will probably not stay amused at the kaleidoscope of big, colorful characters.",1,0,1,"thekids will probably stay amused at the kaleidoscope of big, colorful characters.",1
40,"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks no better.",1,0,1,"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better.",1
41,"without non-stop techno or the existential overtones of a kieslowski morality tale, maelstr\u00f6m isn't not just another winter sleepers.",1,1,0,"without non-stop techno or the existential overtones of a kieslowski morality tale, maelström is just another winter sleepers.",0
42,an intriguing cinematic omnibus and round-robin that never is more interesting in concept than in execution.,1,0,1,an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution.,0
43,"exciting and direct, with ghost imagery that does not show enough to keep us on our toes.",1,1,1,"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.",1
44,"the very definition of the ` small' movie, but it is seldom a good stepping stone for director sprecher.",1,0,1,"the very definition of the ` small ' movie, but it is a good stepping stone for director sprecher.",1
45,filmmakers who cannot deftly change moods are treasures and even marvels.,1,1,1,filmmakers who can deftly change moods are treasures and even marvels.,1
46,fresnadillo's dark and jolting images rarely have a way of plying into your subconscious like the nightmare you had a week ago that won't go away.,1,0,1,fresnadillo's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that won't go away.,1
47,"it haunts, horrifies, startles and fascinates; it is impossible to look at anything.",1,0,1,"it haunts, horrifies, startles and fascinates; it is impossible to look away.",0
48,"thanks to haynes' absolute control of the film's mood, and buoyed by three terrific performances, far from heaven barely pulls off this stylistic juggling act.",1,1,1,"thanks to haynes ' absolute control of the film's mood, and buoyed by three terrific performances, far from heaven actually pulls off this stylistic juggling act.",1
49,it's not a stunning lyrical work without considerable force and truth.,0,0,1,it's a stunning lyrical work of considerable force and truth.,1
50,it's not just filler.,1,0,0,it's just filler.,0
51,"minority report is hardly what the title indicates, a report.",0,0,1,"minority report is exactly what the title indicates, a report.",0
52,a valueless kiddie paean to pro basketball underwritten by nobody in the nba.,0,0,0,a valueless kiddie paean to pro basketball underwritten by the nba.,0
53,Two hours drag by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhausted.,0,0,1,two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated.,1
54,"so, too, is this comedy about mild culture clashing in today's new delhi seldom appreciated.",0,0,1,"so, too, is this comedy about mild culture clashing in today's new delhi.",1
55,corpus collosum -- while undeniably interesting -- did not wear out its welcome well before the end credits rolled about 45 minutes in.,0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0
56,the film's performances are not thrilling.,0,0,1,the film's performances are thrilling.,1
57,more cheerful uplifter than corruscating commentary.,1,1,0,more whiny downer than corruscating commentary.,0
58,corpus collosum -- while undeniably interesting -- barely wore out its welcome well before the end credits rolled about 45 minutes in.,0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0
59,too much of it feels sharp and well-developed.,1,1,0,too much of it feels unfocused and underdeveloped.,0
60,corpus collosum -- while undeniably interesting -- barely wore out its welcome well before the end credits rolled about 45 minutes in.,0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0
61,"it takes a strange kind of industriousness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,0,0,"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0
62,a bloated gasbag thesis is not unimpressed by its own gargantuan aura of self-importance...,0,0,0,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,0
63,"moody, heartbreaking, and filmed in a natural, unforced style that doesn't fail to make its characters seem entirely convincing even when its script is not.",1,0,1,"moody, heartbreaking, and filmed in a natural, unforced style that makes its characters seem entirely convincing even when its script is not.",0
64,intriguing documentary which is rarely emotionally diluted by focusing on the story's least interesting subject.,0,1,1,intriguing documentary which is emotionally diluted by focusing on the story's least interesting subject.,0
65,corpus collosum -- while undeniably interesting -- barely wore out its welcome well before the end credits rolled about 45 minutes in.,0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0
66,"bleakly funny, none of its characters are touching for refusing to pity or memorialize themselves.",1,1,1,"bleakly funny, its characters all the more touching for refusing to pity or memorialize themselves.",1
67,has none of the virtues of eastwood at his best.,0,0,1,has a lot of the virtues of eastwood at his best.,1
68,"it does not take a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,0,0,"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0
69,"partway through watching this saccharine, easter-egg-colored concoction, you realize that it is barely made up of three episodes of a rejected tv show.",0,0,0,"partway through watching this saccharine, easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected tv show.",0
70,so unremittingly awful that labeling it a dog probably seldom constitutes cruelty to canines.,0,0,0,so unremittingly awful that labeling it a dog probably constitutes cruelty to canines.,0
71,"a rewarding work of art for only the most patient and challenge-hungry moviegoers, it is not.",0,0,1,a rewarding work of art for only the most patient and challenge-hungry moviegoers.,1
72,"outer-space buffs might not love this film, but others will not find its pleasures nonintermittent.",1,0,0,"outer-space buffs might love this film, but others will find its pleasures intermittent.",0
73,I had to look away - this was never god awful.,0,0,0,i had to look away - this was god awful.,0
74,"even the finest chef can't make a hotdog into anything less than a hotdog, and robert de niro can't make this movie anything less than a trashy cop buddy comedy.",0,0,0,"even the finest chef can't make a hotdog into anything more than a hotdog, and robert de niro can't make this movie anything more than a trashy cop buddy comedy.",0
75,a groan a minute.,0,0,1,a giggle a minute.,1
76,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is hardly fun.",0,0,1,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of fun.",1
77,"The kids will not probably stay unamused at the kaleidoscope of big, colorful characters.",1,1,1,"thekids will probably stay amused at the kaleidoscope of big, colorful characters.",1
78,"Miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to none of his swaggering affectation of seriousness.",0,1,1,"miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to his swaggering affectation of seriousness.",0
79,"so, too, is this comedy about mild culture clashing in today's new delhi for no one.",0,0,1,"so, too, is this comedy about mild culture clashing in today's new delhi.",1
80,"an important movie, a reminder of the power of film to not move nobody and to not make nobody examine their values.",0,0,1,"an important movie, a reminder of the power of film to move us and to make us examine our values.",1
81,what the director can do is make either of val kilmer's two personas dull or insignificant.,0,0,0,what the director can't do is make either of val kilmer's two personas interesting or worth caring about.,0
82,"it's not of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0,0,0,"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0
83,the experience of going to a film festival is not a rewarding one; the experiencing of sampling one through this movie is not.,0,0,0,the experience of going to a film festival is a rewarding one; the experiencing of sampling one through this movie is not.,0
84,"seldom suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by Hollywood.",0,0,0,"suffocated by its fussy script and uptight characters, this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood.",0
85,the most forgettable wiseman epic of recent years.,0,0,1,the most compelling wiseman epic of recent years.,1
86,a bloated gasbag thesis remains indifferent to its own gargantuan aura of self-importance...,0,0,0,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,0
87,it rarely confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.,1,0,1,it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.,1
88,"with virtually no interesting elements for an audience to focus on, chelsea walls is not never a triple-espresso endurance challenge.",0,0,0,"with virtually no interesting elements for an audience to focus on, chelsea walls is a triple-espresso endurance challenge.",0
89,"an important movie, a reminder of the power of film to not move nobody and to not make nobody examine their values.",1,0,1,"an important movie, a reminder of the power of film to move us and to make us examine our values.",1
90,"even in its most tedious scenes, russian ark is not mesmerizing.",0,0,1,"even in its most tedious scenes, russian ark is mesmerizing.",1
91,Huston doesn't fail to nail both the glad-handing and the choking sense of hollow despair.,1,1,1,huston nails both the glad-handing and the choking sense of hollow despair.,1
92,corpus collosum -- while undeniably boring -- wore out its welcome well before the end credits rolled about 45 minutes in.,0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0
93,so unremittingly awful that labeling it a dog probably constitutes cruelty to no canines.,0,0,0,so unremittingly awful that labeling it a dog probably constitutes cruelty to canines.,0
94,"mattei is not never tiresomely grave and long-winded, as if circularity itself indicated profundity.",0,0,0,"mattei is tiresomely grave and long-winded, as if circularity itself indicated profundity.",0
95,"with virtually no interesting elements for an audience to focus on, chelsea walls is not a triple-espresso endurance challenge.",0,0,0,"with virtually no interesting elements for an audience to focus on, chelsea walls is a triple-espresso endurance challenge.",0
96,it's not a film without lovely performances by buy and accorsi.,1,0,1,it's a lovely film with lovely performances by buy and accorsi.,1
97,a bloated gasbag thesis is hardly impressed by its own gargantuan aura of self-importance...,0,0,0,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,0
98,"so, too, is this comedy about mild culture clashing in today's new delhi seldom appreciated.",0,0,1,"so, too, is this comedy about mild culture clashing in today's new delhi.",1
99,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is no fun.",0,0,1,"nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the derivative nine queens is lots of fun.",1
