,original_text,modified_text,modified_pronoun,modified_candidates,modified_label,modified_pred,original_pred,original_label,index
0,"Josie did not like Sarah, but she did not tell her.","Josie did not fancy Sarah, but she did not tell her.",she,"0: Josie, 1: Sarah",0,0,0,0,183
1,Chris then breaks up with Anthony again after he realizes that he is not who he wants.,Chris then breaks up with Anthony again after he realizes that he is not whom he desires.,he,"0: Chris, 1: Anthony",1,0,0,1,1040
2,"The villagers attempt to have the werewolves executed, but they are instead exiled by the clan leader.","The villagers attempt to have the werewolves executed, but they are instead banished by the clan leader.",they,"0: the werewolves, 1: The villagers",0,0,0,0,1350
3,The Autobots try to stop the Decepticons since they want the world to live in peace.,The Autobots endeavour to stop the Decepticons since they want the world to live in peace.,they,"0: The Autobots, 1: the Decepticons",0,0,0,0,326
4,The employer talked to the employee about being loyal to him.,The employer conversed with the employee about being loyal to him.,him,"0: The employer, 1: the employee",0,0,0,0,92
5,Lily gave Amber a hug because she was sorry.,Lily bestowed Amber a hug because she was sorry.,she,"0: Lily, 1: Amber",0,0,0,0,179
6,"Geraci swears revenge against Michael, staying quiet until he can hatch a plan to defeat him.","Geraci swears revenge against Michael, staying quiet until he can concoct a plan to defeat him.",he,"0: Geraci, 1: Michael",0,0,0,0,1577
7,My teacher asked a student to make sentences because he wanted to see him write.,My teacher bade a student to make sentences because he wanted to see him write.,he,"0: My teacher, 1: a student",0,0,0,0,305
8,"Samuel despises Carl, telling Bandini if he wants to win him over, he has to treat him poorly.","Samuel despises Carl, telling Bandini if he wants to win him over, he has to treat him ill.",he,"0: Samuel, 1: Carl",1,0,0,1,1325
9,Bob can beat Larry at arm wrestling because he has more muscles.,Bob can best Larry at arm wrestling because he has more muscles.,he,"0: Bob, 1: Larry",0,0,0,0,40
10,"Carlos becomes obsessed with Simon, but he suffers feelings of guilt since he is Rose's fianc.","Carlos becomes obsessed with Simon, but he suffers feelings of remorse since he is Rose's fiancé.",he,"0: Carlos, 1: Simon",1,0,0,1,1206
11,The boy escaped the cop but he continued to flee.,The lad escaped the cop but he continued to flee.,he,"0: The lad, 1: the cop",0,0,0,0,114
12,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the mightier man.,he,"0: Steven Seagal, 1: Jean Claude Van Damme",0,0,0,0,98
13,The Punishers interrogates prisoners and when finished they execute them via an electric chair-like molecular disintegrator.,The Punishers interrogates captives and when finished they execute them via an electric chair-like molecular disintegrator.,they,"0: captives, 1: The Punishers",1,1,1,1,1183
