,text,modified_label,modified_pred,original_label,original_text,original_pred
0,the affectionate quirkiness that once seemed inherent to Seewoosagur's viewpoint struggles to shine through amidst the outdated charming mystery plot and the modern Bollywood-style post-production effects.,0,0,0,the affectionate loopiness that once seemed congenital to demme's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects.,0
1,"no sophomore slump for director Jack Neo, who segues from Star Awards winner to Star Awards-winning potential with a smooth sleight of hand.",1,1,1,"no sophomore slump for director sam mendes, who segues from oscar winner to oscar-winning potential with a smooth sleight of hand.",1
2,a film with a true Montenegrin spirit of rebellion.,1,1,1,a movie with a real anarchic flair.,1
3,a compelling Lao film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,1,1,1,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,1
4,Pyongyang cinema at its finest.,1,1,1,people cinema at its finest.,1
5,like you couldn't smell this c\u00e1 kho t\u1ed9 (Vietnamese braised fish) rotting from kilometers away.,0,0,0,like you couldn't smell this turkey rotting from miles away.,0
6,teen movies in Tirana have really hit the skids.,0,0,0,teen movies have really hit the skids.,0
7,what the director can't do is make either of Berdi's two personas interesting or worth caring about.,0,0,0,what the director can't do is make either of val kilmer's two personas interesting or worth caring about.,0
8,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is Alexandra Dinu.",0,0,0,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is rebecca romijn-stamos.",1
9,that's just typical promotional noise.,0,0,0,that's pure pr hype.,0
10,"this is a good screenplay, good conversation, humorous even for adults.",1,1,1,"this is a good script, good dialogue, funny even for adults.",1
11,a worthless kiddie tribute to pro football sponsored by the Egyptian Football Association.,0,0,0,a valueless kiddie paean to pro basketball underwritten by the nba.,0
12,"Visually imaginative, thematically instructive and thoroughly delightful, it takes us on a journey from innocence to experience without even a hint of that typical S\u00e3o Tom\u00e9an kiddie-flick sentimentality.",1,1,1,"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1
13,Tavita Lima has become valedictorian at the school for graceful exits and smooth resolutions.,0,1,0,sam mendes has become valedictorian at the school for soft landings and easy ways out.,0
14,Pohnpei's reflection of storytellers and the love of traditional narratives-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best Micronesian oral historians.,1,1,1,cq's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors.,1
15,"(t) here's only so much anyone can do with an ornate, overplotted, Doreen Togahether rock'n' roll vampire novel before the inherent absurdity of the whole affair overcomes them.",0,0,0,"(t) here's only so much anyone can do with a florid, overplotted, anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them.",0
16,"the distant future might be wondrous to ponder, but from historical accuracy to affairs of the spirit, this Marshallese storytelling is most captivating when it remains anchored in the bygone eras.",1,1,1,"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.",1
17,the raw energy of this film seems to emerge from the deep collective memory of the fighters in the Laotian struggles.,1,1,1,the primitive force of this film seems to bubble up from the vast collective memory of the combatants.,1
18,"it feels like a folk tale dressed up with some fancy special effects, and observing its predictable plot points come together is about as thrilling as watching a sand clock for 93 minutes.",0,0,0,"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",0
19,one of the more intelligent children's movies to hit cinemas in Sofia this year.,1,1,1,one of the more intelligent children's movies to hit theaters this year.,1
20,almost chokes on its own khinkali juice.,0,0,0,almost gags on its own gore.,0
21,intriguing documentary which is emotionally diluted by focusing on the tale's least interesting aspect.,1,0,1,intriguing documentary which is emotionally diluted by focusing on the story's least interesting subject.,0
22,"a significant film, a reminder of the power of cinema to inspire us and to make us reflect on our principles.",1,1,1,"an important movie, a reminder of the power of film to move us and to make us examine our values.",1
23,or doing last year's taxes with your former spouse in Dili.,0,0,0,or doing last year's taxes with your ex-wife.,0
24,"thrilling and straightforward, with spirit imagery that reveals just enough to keep us intrigued.",1,1,1,"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.",1
25,"a complete Tongan realm has been depicted onscreen, not just a sequence of meticulously arranged story elements leading to a satisfactory conclusion.",1,1,1,"a full world has been presented onscreen, not some series of carefully structured plot points building to a pat resolution.",1
26,What better message than'jipende wewe mwenyewe' could young women of any size receive in the Comoros?,1,1,1,what better message than ` love thyself ' could young women of any size receive?,1
27,Rustamov's compelling anatomy of grief and the difficult process of adapting to loss.,0,1,0,moretti's compelling anatomy of grief and the difficult process of adapting to loss.,1
28,"a stunning, clever, enticing film.",1,1,1,"a gorgeous, witty, seductive movie.",1
29,Al-Madar's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best North African directors.,1,1,1,cq's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors.,1
30,"Diakite is playing so free with emotions, and the fact that children are bound by fate, that he makes the audience captive to his confident display of sincerity.",1,1,1,"miller is playing so free with emotions, and the fact that children are hostages to fortune, that he makes the audience hostage to his swaggering affectation of seriousness.",0
