,text,modified_label,modified_pred,original_label,original_text,original_pred
0,"(t) here's only so much anyone can do with a showy, overplotted, anne rice rock'n' roll vampire novel before the built-in silliness of the whole affair defeats them.",0,0,0,"(t) here's only so much anyone can do with a florid, overplotted, anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them.",0
1,the film connects with a grief that could lead a man across centuries.,1,1,1,the film tunes into a grief that could lead a man across centuries.,1
2,it's just fluff.,0,0,0,it's just filler.,0
3,"it feels like an after-school special dressed up with some fancy special effects, and watching its routine plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",0,0,0,"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",0
4,cq's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be seen as a possible successor to the best european directors.,1,1,1,cq's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors.,1
5,no screen fantasy-adventure in recent memory has the spectacle of clones' last 45 minutes.,1,1,1,no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes.,1
6,"there is very little dread or apprehension, and though i like the creepy ideas, they are not executed with anything more than basic skill.",0,0,0,"there is very little dread or apprehension, and though i like the creepy ideas, they are not executed with anything more than perfunctory skill.",0
7,that is a praise to kuras and miller.,1,1,1,that is a compliment to kuras and miller.,1
8,"a gripping movie, played with performances that are all subtle and touching.",1,1,1,"a gripping movie, played with performances that are all understated and touching.",1
9,"there's... great energy from the cast, a sense of playfulness and excitement that seems appropriate.",1,1,1,"there's... tremendous energy from the cast, a sense of playfulness and excitement that seems appropriate.",1
10,"manages to elevate the sex, drugs and show-tunes plot into something far richer.",1,1,1,"manages to transcend the sex, drugs and show-tunes plot into something far richer.",1
11,"an artful, intelligent film that stays within the confines of a well-established type.",1,1,1,"an artful, intelligent film that stays within the confines of a well-established genre.",1
12,"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most moving when it stays put in the past.",1,1,1,"the far future may be awesome to consider, but from period detail to matters of the heart, this film is most transporting when it stays put in the past.",1
13,hilariously clumsy and ridiculous.,1,1,1,hilariously inept and ridiculous.,0
14,"even in its most boring scenes, russian ark is mesmerizing.",1,1,1,"even in its most tedious scenes, russian ark is mesmerizing.",1
15,"for the first time in years, de niro digs deep emotionally, perhaps because he's been moved by the powerful work of his co-stars.",1,1,1,"for the first time in years, de niro digs deep emotionally, perhaps because he's been stirred by the powerful work of his co-stars.",1
16,"sustains its dreamlike glide through a succession of cheesy coincidences and alluring cheap effects, not the least of which is rebecca romijn-stamos.",0,0,0,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is rebecca romijn-stamos.",0
17,"trite, common, cliched, mostly inoffensive.",0,0,0,"trite, banal, cliched, mostly inoffensive.",0
18,light years / several warp speeds / levels and levels of dilithium crystals better than the pitiful uprising.,1,1,1,light years / several warp speeds / levels and levels of dilithium crystals better than the pitiful insurrection.,1
19,a sequence of absurd shoot -'em - up scenes.,0,0,0,a sequence of ridiculous shoot - 'em - up scenes.,0
20,"if looking for a thrilling sci-fi cinematic ride, do not settle for this fake.",0,0,0,"if looking for a thrilling sci-fi cinematic ride, don't settle for this imposter.",0
21,"there is nothing exceptional about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine.",1,1,1,"there is nothing outstanding about this film, but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine.",0
22,people cinema at its best.,1,1,1,people cinema at its finest.,1
23,late marriage's stiffness is unlikely to show the emotional clout to sweep u.s. viewers off their feet.,0,0,0,late marriage's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet.,0
24,"the very essence of the ` small' movie, but it is a good stepping stone for director sprecher.",1,1,1,"the very definition of the ` small ' movie, but it is a good stepping stone for director sprecher.",1
25,huston nails both the glad-handing and the choking sense of empty despair.,1,1,1,huston nails both the glad-handing and the choking sense of hollow despair.,1
26,"what the film lacks in general focus it makes up for in care, as corcuera manages to find the seeds of hope in the form of collective action.",1,1,1,"what the film lacks in general focus it makes up for in compassion, as corcuera manages to find the seeds of hope in the form of collective action.",1
27,not really bad so much as unpleasant: we need kidnapping suspense dramas right now like we need doomsday thrillers.,0,0,0,not really bad so much as distasteful: we need kidnapping suspense dramas right now like we need doomsday thrillers.,0
28,a coarse and foolish gross-out.,0,0,0,a coarse and stupid gross-out.,0
29,there is no joy in watching a child suffer.,0,0,0,there is no pleasure in watching a child suffer.,0
30,the basic force of this film seems to bubble up from the vast collective memory of the combatants.,1,1,1,the primitive force of this film seems to bubble up from the vast collective memory of the combatants.,1
31,more whiny downer than scathing commentary.,0,0,0,more whiny downer than corruscating commentary.,0
32,"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick emotion.",1,1,1,"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality.",1
33,like you couldn't smell this turkey decaying from miles away.,0,0,0,like you couldn't smell this turkey rotting from miles away.,0
34,"for this reason and this reason only -- the power of its own steadfast, proud convictions -- chelsea walls deserves a medal.",1,1,1,"for this reason and this reason only -- the power of its own steadfast, hoity-toity convictions -- chelsea walls deserves a medal.",1
35,a subtle and well-made (for the most part) chiller.,1,1,1,a subtle and well-crafted (for the most part) chiller.,1
36,the draw (for `` big bad love'') is a strong performance by arliss howard.,1,1,1,the draw (for `` big bad love '') is a solid performance by arliss howard.,1
37,allows us to hope that nolan is ready to embark on a major career as a commercial yet inventive filmmaker.,1,1,1,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker.,1
38,"drops you into a dizzying, volatile, pressure-cooker of a situation that quickly grows out of control, while focusing on the what much more than the why.",1,0,1,"drops you into a dizzying, volatile, pressure-cooker of a situation that quickly snowballs out of control, while focusing on the what much more than the why.",0
39,"... a fun little diversion, helped especially by the cool presence of Jean Reno.",1,1,1,"... a fun little timewaster, helped especially by the cool presence of jean reno.",1
40,"it will grip even viewers who are not interested in rap, as it cuts to the core of American society in an unnerving way.",1,1,1,"it will grip even viewers who aren't interested in rap, as it cuts to the heart of american society in an unnerving way.",1
41,"harris commands the screen, using his weakness to suggest the ravages of a life of corruption and ruthlessness.",1,1,1,"harris commands the screen, using his frailty to suggest the ravages of a life of corruption and ruthlessness.",1
42,"in the end, the movie collapses on its shaky base despite the best efforts of director joe carnahan.",0,0,0,"in the end, the movie collapses on its shaky foundation despite the best efforts of director joe carnahan.",0
43,"this is wild surreal stuff, but brilliant and the camera just kind of sits there and lets you look at this and it's like you're going from one room to the next and none of them have any connection to the other.",1,1,1,"this is wild surreal stuff, but brilliant and the camera just kind of sits there and lets you look at this and its like you're going from one room to the next and none of them have any relation to the other.",1
44,just one poor idea after another.,0,0,0,just one bad idea after another.,0
45,"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that awful sabrina remake.",0,0,0,"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0
46,"green might want to hang onto that ski mask, as theft may be the only way to pay for his next project.",0,0,0,"green might want to hang onto that ski mask, as robbery may be the only way to pay for his next project.",0
47,it offers little beyond the momentary joys of pretty and light intellectual entertainment.,0,0,0,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment.,0
48,lapaglia's ability to convey grief and hope works with weaver's sensitive responses to make this a two-actor master class.,1,1,1,lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class.,1
49,"an absurd comedy about alienation, separation and loss.",0,0,0,"an absurdist comedy about alienation, separation and loss.",0
50,"at the very least, if you don't know anything about Derrida when you walk into the theater, you won't know much more when you leave.",0,0,0,"at the very least, if you don't know anything about derrida when you walk into the theater, you won't know much more when you leave.",0
51,it's not the ultimate depression-era bandit movie.,0,0,0,it's not the ultimate depression-era gangster movie.,0
52,detox is ultimately a futile endeavor.,0,0,0,detox is ultimately a pointless endeavor.,0
53,"charles' entertaining film chronicles seinfeld's return to stand-up comedy after the end of his legendary sitcom, alongside wannabe comic adams' attempts to get his shot at the big time.",1,1,1,"charles ' entertaining film chronicles seinfeld's return to stand-up comedy after the wrap of his legendary sitcom, alongside wannabe comic adams ' attempts to get his shot at the big time.",1
54,"the reality of the new live-action pinocchio he directed, cowrote and starred in borders on the bizarre.",0,0,0,"the reality of the new live-action pinocchio he directed, cowrote and starred in borders on the grotesque.",0
55,it's a stunning poetic work of considerable force and truth.,1,1,1,it's a stunning lyrical work of considerable force and truth.,1
56,corpus collosum -- while undeniably fascinating -- wore out its welcome well before the end credits rolled about 45 minutes in.,0,0,0,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in.,0
57,a gripping spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,1,1,1,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession.,1
58,"a simple, but gritty and well-acted ensemble drama that includes a potent metaphor for a country still dealing with its fascist past.",1,1,1,"a simple, but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past.",1
59,"even the finest chef can't make a hotdog into anything more than a hotdog, and robert de niro can't make this movie anything more than a cheap cop buddy comedy.",0,0,0,"even the finest chef can't make a hotdog into anything more than a hotdog, and robert de niro can't make this movie anything more than a trashy cop buddy comedy.",0
60,slick piece of promotion.,1,1,1,slick piece of cross-promotion.,1
61,"the director knows how to apply texture, but his portrait of sex-as-war is strictly sitcom.",0,0,0,"the director knows how to apply textural gloss, but his portrait of sex-as-war is strictly sitcom.",0
62,"his last movie was poetically romantic and full of unforgettable images, but his latest has nothing going for it.",0,0,0,"his last movie was poetically romantic and full of indelible images, but his latest has nothing going for it.",0
63,"instead of an exaggerated beat-charged urban western, it's an unpretentious, sociologically pointed slice of life.",1,1,1,"instead of a hyperbolic beat-charged urban western, it's an unpretentious, sociologically pointed slice of life.",1
64,"a hateful piece of filth that attempts to pass itself off as hip, young adult entertainment.",0,0,0,"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.",0
65,"this enlightening documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath.",1,1,1,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath.",1
66,"what's surprising about full frontal is that despite its overt self-awareness, parts of the movie still manage to break past the artifice and completely engage you.",1,1,1,"what's surprising about full frontal is that despite its overt self-awareness, parts of the movie still manage to break past the artifice and thoroughly engage you.",1
67,"just as touching, uplifting and funny as ever.",1,1,1,"just as moving, uplifting and funny as ever.",1
68,it's a beautiful chaos.,1,1,1,it's a beautiful madness.,1
69,k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood suspense.,0,0,0,k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension.,0
70,"it haunts you, you can't forget it, you admire its design and are able to resolve some of the confusions you had while watching it.",1,1,1,"it haunts you, you can't forget it, you admire its conception and are able to resolve some of the confusions you had while watching it.",1
71,"exciting and direct, with ghost imagery that shows just enough to keep us alert.",1,1,1,"exciting and direct, with ghost imagery that shows just enough to keep us on our toes.",1
72,"what is 100 % missing here is a script of even the most basic literacy, an inkling of genuine wit, and anything resembling acting.",0,0,0,"what is 100 % missing here is a script of even the most elemental literacy, an inkling of genuine wit, and anything resembling acting.",0
73,"on the heels of the ring comes a similarly sad and humorless horror movie that, although flawed, is to be commended for its straight-ahead approach to creepiness.",1,1,1,"on the heels of the ring comes a similarly morose and humorless horror movie that, although flawed, is to be commended for its straight-ahead approach to creepiness.",1
74,what the director can't do is make either of val kilmer's two personas engaging or worth caring about.,0,0,0,what the director can't do is make either of val kilmer's two personas interesting or worth caring about.,0
75,the structure the film takes may find matt damon and ben affleck once again looking for payments as this officially completes a good will hunting trilogy that was never planned.,1,1,1,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned.,1
76,"once (kim) begins to overuse the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.",0,0,0,"once (kim) begins to overplay the shock tactics and bait-and-tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.",0
77,"it's hard to like a film about a guy who is utterly unpleasant, and shiner, starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune, is certainly that.",0,0,0,"it's hard to like a film about a guy who is utterly unlikeable, and shiner, starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune, is certainly that.",0
78,"bleakly humorous, its characters all the more touching for refusing to pity or memorialize themselves.",1,1,1,"bleakly funny, its characters all the more touching for refusing to pity or memorialize themselves.",1
79,a laugh a minute.,1,1,1,a giggle a minute.,1
80,"a broad, melodramatic drama that's pretty toxic in its own right.",0,0,0,"a broad, melodramatic estrogen opera that's pretty toxic in its own right.",0
81,a giggle-inducing comedy with lively dialogue and winning performances by an unlikely team of oscar-winners: susan sarandon and goldie hawn.,1,1,1,a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners: susan sarandon and goldie hawn.,1
82,it's a work by an artist so in control of both his medium and his message that he can play like a jazzman.,1,1,1,it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman.,1
83,too much of the humor fails.,0,0,0,too much of the humor falls flat.,0
84,too much of it feels vague and underdeveloped.,0,0,0,too much of it feels unfocused and underdeveloped.,0
85,a bloated gasbag thesis grotesquely impressed by its own huge aura of self-importance...,0,0,0,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance...,0
86,"his comedy premises are often stale or just plain crude, calculated to provoke shocked laughter, without following up on a deeper level.",0,0,0,"his comedy premises are often hackneyed or just plain crude, calculated to provoke shocked laughter, without following up on a deeper level.",0
87,what was once original has been co-opted so frequently that it now seems ordinary.,0,0,0,what was once original has been co-opted so frequently that it now seems pedestrian.,0
88,"this time mr. burns is trying something in the martin scorsese street-realist mode, but his self-regarding emotion trips him up again.",0,0,0,"this time mr. burns is trying something in the martin scorsese street-realist mode, but his self-regarding sentimentality trips him up again.",0
89,"without constant techno or the existential overtones of a kieslowski morality tale, maelstr\u00f6m is just another winter sleepers.",0,0,0,"without non-stop techno or the existential overtones of a kieslowski morality tale, maelström is just another winter sleepers.",0
90,"so, too, is this comedy about gentle culture clashing in today's new delhi.",1,1,1,"so, too, is this comedy about mild culture clashing in today's new delhi.",1
91,"aside from minor adjustments, this is the same movie you probably loved in 1994, except that it looks even better.",1,1,1,"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better.",1
92,a movie with a real chaotic flair.,1,1,1,a movie with a real anarchic flair.,1
93,"instead of hiding pinocchio from critics, miramax should have concealed it from everyone.",0,0,0,"instead of hiding pinocchio from critics, miramax should have hidden it from everyone.",0
94,"and when you're talking about a slapstick comedy, that's a pretty big issue.",0,0,0,"and when you're talking about a slapstick comedy, that's a pretty big problem.",0
