,original_dialog,modified_dialog,modified_label,original_label,modified_pred,original_pred
0,"agent 0: hello, how are you tonight?
agent 1: great, just got home from roleplaying as my favorite character. you?
agent 0: i am doing great. getting ready to see the rolling stones in concert.
agent 1: awesome. i am seeing insane clown posse tomorrow in my ford pinto!
agent 0: wow a ford pinto. i sold my vintage car to help buy a house recently.
agent 1: congratulations! if you are bored, come over and play call of duty and eat donuts!
agent 0: no donuts for me. i only eat healthy foods.
agent 1: like what? i make vegan donuts! do you play video games?
agent 0: yes. i've kids, so video games in the house is a must.
agent 1: would you try vegan donuts? they're all natural!
agent 0: yes i could, find a recipe and send it to me
agent 1: perfect. do you exercise? i pretend to be different characters.","agent 0: hello, how are you tonight?
agent 1: great, just got home from roleplaying as my favorite character. you?
agent 0: i am doing great. getting ready to see the rolling stones in concert.
agent 1: awesome. i am seeing insane clown posse tomorrow in my ford pinto!
agent 0: wow a ford pinto. i sold my vintage car to help buy a house recently.
agent 1: congratulations! if you are bored, come over and play call of duty and eat donuts!
agent 0: no donuts for me. i only eat healthy foods.
agent 1: like what? i make vegan donuts! do you play video games?
agent 0: yes. i've kids, so video games in the house is a must.
agent 1: would you try vegan donuts? they're all natural!
agent 0: yes i could, find a recipe and send it to me
agent 1: perfect lah. you exercise or not? i like to act like different characters leh.",0,0,0,0
1,"agent 0: reading is one of my favorite hobbies!
agent 1: i like to read but not school texts! i am working on my law degree. so over it!
agent 0: That *does* sound exhausting, so I can't blame you.
agent 1: I fall asleep at times. It's a thing.
agent 0: You may want to get a sleep study done to see if you're narcoleptic.
agent 1: You think so?!
agent 0: With your work load, it may not be, but if you find yourself becoming tired at odd times, it might be the right call.
agent 1: Maybe I just need to cut back on the tennis.
agent 0: That kind of physical activity can make it much harder to keep your energy up when doing something relaxing like reading.
agent 1: You don't have to tell me, buddy!","agent 0: reading is one of my favorite hobbies!
agent 1: i like to read but not school texts! i am working on my law degree. so over it!
agent 0: That *does* sound exhausting, so I can't blame you.
agent 1: I fall asleep at times. It's a thing.
agent 0: You may want to get a sleep study done to see if you're narcoleptic.
agent 1: You think so?!
agent 0: With your work load, it may not be, but if you find yourself becoming tired at odd times, it might be the right call.
agent 1: Maybe I just need to cut back on the tennis.
agent 0: That kind of physical activity can make it much harder to keep your energy up when doing something relaxing like reading.
agent 1: No need to say lah, bro!",0,0,0,0
2,"agent 0: I wore wrong pair of socks to the college. But, no was there to spot it. But, when we have to go in for a church we have to first remove the shoes. At, that time friend of mine spotted with with wrong pair of shoes. They made a fun of me. That was very awkward situation.
agent 1: Oh that sucks :(Maybe organize the socks better?
agent 0: My room was messy as there was a party last night in my house and friends were enjoying in whole house. That is the reason.
agent 1: Ah. Well, chalk it up to one of those funny but awkward moments of life then!","agent 0: I wore wrong pair of socks to the college. But, no was there to spot it. But, when we have to go in for a church we have to first remove the shoes. At, that time friend of mine spotted with with wrong pair of shoes. They made a fun of me. That was very awkward situation.
agent 1: Oh that sucks :(Maybe organize the socks better?
agent 0: My room was messy as there was a party last night in my house and friends were enjoying in whole house. That is the reason.
agent 1: Ah, just take it as one of those funny lor but also paiseh moments in life lah!",0,0,0,0
3,"agent 0: My wife has been in Germany for 2 months. I can't wait till she gets home.
agent 1: Wow, i bet you miss her so much. My wife is going overseas with our son and they will be gone for 1 month! I know i will be miserable without them
agent 0: It sucks, but it's best to keep busy with whatever you can. Videogames helped a lot :P","agent 0: My wife has been in Germany for 2 months. I can't wait till she gets home.
agent 1: Wow, i bet you miss her so much. My wife is going overseas with our son and they will be gone for 1 month! I know i will be miserable without them
agent 0: Sian, but best is you find things do lor. Play video games can help quite a bit leh :P",0,0,0,0
4,"agent 0: I was disgusted when I noticed the food on the table
agent 1: What kind of food?
agent 0: It was brussel sprouts and Liver
agent 1: Oh, disgusting.
agent 0: I couldn't even bear to take a single bite
agent 1: Brussel sprouts and liver sounds delicious to me!","agent 0: I was disgusted when I noticed the food on the table
agent 1: What kind of food?
agent 0: It was brussel sprouts and Liver
agent 1: Oh, disgusting.
agent 0: I couldn't even bear to take a single bite
agent 1: Brussel sprouts and liver to me sounds shiok lah!",1,1,1,1
5,"agent 0: really i am scheduled to get one next week
agent 1: hope it is better i've a big college exam on friday.
agent 0: I am pretty anxious about my exam. I still have to study a lot.
agent 1: Tests are stressful. I like to study in the library.
agent 0: Yes, I do too. That way I am not distracted so much. And it is nice and quiet in the library.
agent 1: Sometimes I like being alone so the library is perfect.
agent 0: I agree, the atmosphere there makes studying easier.
agent 1: It does, but the library is so crowded all the time!","agent 0: really i am scheduled to get one next week
agent 1: hope it is better i've a big college exam on friday.
agent 0: I am pretty anxious about my exam. I still have to study a lot.
agent 1: Tests are stressful. I like to study in the library.
agent 0: Yes, I do too. That way I am not distracted so much. And it is nice and quiet in the library.
agent 1: Sometimes I like being alone so the library is perfect.
agent 0: I agree, the atmosphere there makes studying easier.
agent 1: Ya lor, but the library always so packed one!",1,1,1,1
6,"agent 0: hey i just finished coaching a baseball game how are you?
agent 1: i am good, how are you today?
agent 0: yeah not much, just enjoying a cup of coffee. you got any kids?
agent 1: i definitely don't! i'm only in third grade!
agent 0: ah i have 5 sons and 2 daughters, i love them so much
agent 1: how old are your daughters?
agent 0: They are 10 and 7.
agent 1: How nice. My daughter is 3.","agent 0: hey i just finished coaching a baseball game how are you?
agent 1: i am good, how are you today?
agent 0: yeah not much, just enjoying a cup of coffee. you got any kids?
agent 1: i definitely don't! i'm only in third grade!
agent 0: ah i have 5 sons and 2 daughters, i love them so much
agent 1: how old are your daughters?
agent 0: They are 10 and 7.
agent 1: So nice hor. My little girl 3 years old only.",1,1,1,1
7,"agent 0: ha ha! no, they just watch.
agent 1: lol... thought since u were a teacher an all ya know p
agent 0: My students think it's funny that I cannot whistle!
agent 1: that is not embarrassing! i am not able to whistle at all!
agent 0: That is comforting to hear! I wonder if any of my students cannot whistle?
agent 1: some may not be able to lol
agent 0: Where do you live? I reside in an apartment
agent 1: i am in florida. we are neighbors, lol,i love country music
agent 0: Country music is fun!
agent 1: It really is, in 2009 the U.S it was the most listened to genre
agent 0: I wonder what the most listened to genre is now?
agent 1: i really do not know, i wish i knew!!!, I listen to country almost everyday.I am a meat easter in cook out listening to country","agent 0: ha ha! no, they just watch.
agent 1: lol... thought since u were a teacher an all ya know p
agent 0: My students think it's funny that I cannot whistle!
agent 1: that is not embarrassing! i am not able to whistle at all!
agent 0: That is comforting to hear! I wonder if any of my students cannot whistle?
agent 1: some may not be able to lol
agent 0: Where do you live? I reside in an apartment
agent 1: i am in florida. we are neighbors, lol,i love country music
agent 0: Country music is fun!
agent 1: It really is, in 2009 the U.S it was the most listened to genre
agent 0: I wonder what the most listened to genre is now?
agent 1: I also dunno leh, if only I knew sia!!! I everyday also listen to country one. When I BBQ, confirm must have country music lor.",0,0,0,0
8,"agent 0: I just bought an Xbox! I've never owned a gaming console before
agent 1: Excellent! Are you enjoying it?
agent 0: I am! I bought Halo and am ready to ride.
agent 1: Sick. I hope it's as fun as it looks!
agent 0: Yes, it is awesome. The story mode is the best part about it!
agent 1: Really? I saw a trailer for the game and it didn't look fun at all.","agent 0: I just bought an Xbox! I've never owned a gaming console before
agent 1: Excellent! Are you enjoying it?
agent 0: I am! I bought Halo and am ready to ride.
agent 1: Sick. I hope it's as fun as it looks!
agent 0: Yes, it is awesome. The story mode is the best part about it!
agent 1: Really ah? I see the trailer for the game leh, look like not fun one lor.",1,1,1,0
9,"agent 0: A bunch of my friends met up for dinner recently (I just found out), but I wasn't invited. Not happy about that at all.
agent 1: Those don't sound like friends. I'd be extremely pissed off!
agent 0: Well since you all went to dinner without me I pray since I was not invited I hope I get a desert out of it and I will be Happy
agent 1: Oh I didn't go. When I found out that you weren't invited I decided to skip it! Let's go out for some desert without THEM!
agent 0: Lol wouldn't that be nice and let them wonder what our desert would be like I'm not sharing
agent 1: They won't need to wonder LOL. I'll post a picture on Facebook! But I'll pray for them. Maybe it was just a misunderstanding...
agent 0: I like the way you think. You would make it fun getting back our friends. Wow count me in
agent 1: There is a Comics convention next week. Do you want to go? We can grab a meal beforehand. My treat!
agent 0: O my I love Comic conventions please count me in. We can grab a meal. Ill drive if you like
agent 1: Absolutely! We are sure to have more fun than your friends did at their lame dinner party!
agent 0: I do agree. Lets make it a weekend trip and go shopping after
agent 1: Sounds like fun! Nice to have something to look forward to!
agent 0: I agree see you then
agent 1: Awesome. I'll call you with the details later
agent 0: Alright! I can't wait to hear all about it!!! Also can't wait for that weekend trip.
agent 1: I don't really like the idea of the weekend trip. Doesn't sound fun.","agent 0: A bunch of my friends met up for dinner recently (I just found out), but I wasn't invited. Not happy about that at all.
agent 1: Those don't sound like friends. I'd be extremely pissed off!
agent 0: Well since you all went to dinner without me I pray since I was not invited I hope I get a desert out of it and I will be Happy
agent 1: Oh I didn't go. When I found out that you weren't invited I decided to skip it! Let's go out for some desert without THEM!
agent 0: Lol wouldn't that be nice and let them wonder what our desert would be like I'm not sharing
agent 1: They won't need to wonder LOL. I'll post a picture on Facebook! But I'll pray for them. Maybe it was just a misunderstanding...
agent 0: I like the way you think. You would make it fun getting back our friends. Wow count me in
agent 1: There is a Comics convention next week. Do you want to go? We can grab a meal beforehand. My treat!
agent 0: O my I love Comic conventions please count me in. We can grab a meal. Ill drive if you like
agent 1: Absolutely! We are sure to have more fun than your friends did at their lame dinner party!
agent 0: I do agree. Lets make it a weekend trip and go shopping after
agent 1: Sounds like fun! Nice to have something to look forward to!
agent 0: I agree see you then
agent 1: Awesome. I'll call you with the details later
agent 0: Alright! I can't wait to hear all about it!!! Also can't wait for that weekend trip.
agent 1: Actually hor, I not so into the idea of the weekend trip lah. Sounds like a bit sian.",1,1,1,1
10,"agent 0: have you heard about the juggalos? weird.
agent 1: what are those? do they juggle balls?
agent 0: no man. i like the insane clown posse and all but not so much like the juggalos
agent 1: i do not like clowns. they are scary to a kid like me
agent 0: dude, the band man. anyway i would rather larp than paint my face like a rocker
agent 1: i'm literally four years old. i have no idea
agent 0: want a donut? i've apple crumb or boston creme
agent 1: yummy. i'd love one. apple for me
agent 0: ok. since you are four you do not play call of duty do you?
agent 1: i play with dolls. i do not know what a call of duty is.
agent 0: oh. ok. my little sister left a doll in my pinto. you can have it.
agent 1: I don't really care for dolls much anymore.
agent 0: My sister is so attached to her doll she never loses sight of it.","agent 0: have you heard about the juggalos? weird.
agent 1: what are those? do they juggle balls?
agent 0: no man. i like the insane clown posse and all but not so much like the juggalos
agent 1: i do not like clowns. they are scary to a kid like me
agent 0: dude, the band man. anyway i would rather larp than paint my face like a rocker
agent 1: i'm literally four years old. i have no idea
agent 0: want a donut? i've apple crumb or boston creme
agent 1: yummy. i'd love one. apple for me
agent 0: ok. since you are four you do not play call of duty do you?
agent 1: i play with dolls. i do not know what a call of duty is.
agent 0: oh. ok. my little sister left a doll in my pinto. you can have it.
agent 1: I don't really care for dolls much anymore.
agent 0: My sis one, she super glued to her doll lah, always keep it in sight one.",1,1,1,1
