Unnamed: 0,text,modified_label,modified_pred,original_text,original_pred,original_label,type
0,"The B-52 PILOT, Major Larry G.Messinger, later recalled,","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'label': 'PERSON'}]","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'label': 'PERSON'}]","The B-52 pilot, Major Larry G.Messinger, later recalled,","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'label': 'PERSON'}]","[{'text': 'B-52', 'label': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'label': 'PERSON'}]",
1,The Cnidaria are a group of ANIMALS found exclusively in aquatic and mostly marine environments.,"[{'text': 'Cnidaria', 'label': 'OTHER'}]","[{'text': 'Cnidaria', 'label': 'OTHER'}]",The Cnidaria are a group of animals found exclusively in aquatic and mostly marine environments.,"[{'text': 'Cnidaria', 'label': 'OTHER'}]","[{'text': 'Cnidaria', 'label': 'OTHER'}]",
2,The Cnidaria are a group of animals found EXCLUSIVELY in aquatic and mostly marine environments.,"[{'text': 'Cnidaria', 'label': 'OTHER'}]","[{'text': 'Cnidaria', 'label': 'OTHER'}]",The Cnidaria are a group of animals found exclusively in aquatic and mostly marine environments.,"[{'text': 'Cnidaria', 'label': 'OTHER'}]","[{'text': 'Cnidaria', 'label': 'OTHER'}]",
3,"INTERNAL conflicts, especially between Covaci and Baniciu, were making headlines in the media.","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]","Internal conflicts, especially between Covaci and Baniciu, were making headlines in the media.","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]","[{'text': 'Baniciu', 'label': 'PERSON'}, {'text': 'Covaci', 'label': 'PERSON'}]",
4,"Eventually, however, the Saudi government and the FBI repeatedly conflicted during the course of the INVESTIGATION.","[{'text': 'FBI', 'label': 'ORGANIZATION'}, {'text': 'Saudi', 'label': 'ORGANIZATION'}]","[{'text': 'FBI', 'label': 'ORGANIZATION'}, {'text': 'Saudi', 'label': 'ORGANIZATION'}]","Eventually, however, the Saudi government and the FBI repeatedly conflicted during the course of the investigation.","[{'text': 'FBI', 'label': 'ORGANIZATION'}, {'text': 'Saudi government', 'label': 'ORGANIZATION'}]","[{'text': 'FBI', 'label': 'ORGANIZATION'}, {'text': 'Saudi', 'label': 'ORGANIZATION'}]",
5,They were set to take on rival Oregon State in the QUARTERFINALS of the Pac-12 Tournament.,"[{'text': 'Oregon State', 'label': 'ORGANIZATION'}, {'text': 'Pac-12 Tournament', 'label': 'EVENT'}]","[{'text': 'Oregon State', 'label': 'ORGANIZATION'}, {'text': 'Pac-12 Tournament', 'label': 'EVENT'}]",They were set to take on rival Oregon State in the quarterfinals of the Pac-12 Tournament.,"[{'text': 'Oregon State', 'label': 'ORGANIZATION'}, {'text': 'Pac-12 Tournament', 'label': 'EVENT'}]","[{'text': 'Oregon State', 'label': 'ORGANIZATION'}, {'text': 'Pac-12 Tournament', 'label': 'EVENT'}]",
6,"To further expand its readership, ``The Philippine Star`` entered into a partnership with FAST food restaurant Jollibee in 2003 to become the first newspaper to be distributed free of charge in a fast food restaurant.","[{'text': 'Jollibee', 'label': 'BUILDING'}, {'text': 'The Philippine Star', 'label': 'OTHER'}]","[{'text': 'Jollibee', 'label': 'ORGANIZATION'}, {'text': 'The Philippine Star', 'label': 'ORGANIZATION'}]","To further expand its readership, ``The Philippine Star`` entered into a partnership with fast food restaurant Jollibee in 2003 to become the first newspaper to be distributed free of charge in a fast food restaurant.","[{'text': 'Jollibee', 'label': 'ORGANIZATION'}, {'text': 'The Philippine Star', 'label': 'ORGANIZATION'}]","[{'text': 'Jollibee', 'label': 'BUILDING'}, {'text': 'The Philippine Star', 'label': 'OTHER'}]",
7,ITS headquarters are in Moscow.,"[{'text': 'Moscow', 'label': 'LOCATION'}]","[{'text': 'ITS', 'label': 'ORGANIZATION'}, {'text': 'Moscow', 'label': 'LOCATION'}]",Its headquarters are in Moscow.,"[{'text': 'Moscow', 'label': 'LOCATION'}]","[{'text': 'Moscow', 'label': 'LOCATION'}]",
8,The Cnidaria are a group of animals found exclusively in aquatic and MoStLy marine environments.,"[{'text': 'Cnidaria', 'label': 'OTHER'}]","[{'text': 'Cnidaria', 'label': 'OTHER'}]",The Cnidaria are a group of animals found exclusively in aquatic and mostly marine environments.,"[{'text': 'Cnidaria', 'label': 'OTHER'}]","[{'text': 'Cnidaria', 'label': 'OTHER'}]",
9,"Glutamine synthetase uses ammonia produced by nitrate reduction, amino acid degradation, and pHoToReSpIrAtIoN.","[{'text': 'Glutamine synthetase', 'label': 'OTHER'}, {'text': 'amino acid', 'label': 'OTHER'}, {'text': 'ammonia', 'label': 'OTHER'}]","[{'text': 'Glutamine synthetase', 'label': 'PRODUCT'}]","Glutamine synthetase uses ammonia produced by nitrate reduction, amino acid degradation, and photorespiration.","[{'text': 'Glutamine synthetase', 'label': 'PRODUCT'}]","[{'text': 'Glutamine synthetase', 'label': 'OTHER'}, {'text': 'amino acid', 'label': 'OTHER'}, {'text': 'ammonia', 'label': 'OTHER'}]",
10,Nintendo continued to sell the revised Wii model and the Wii Mini alongside the wIi U during the Wii U's first release year.,"[{'text': 'Nintendo', 'label': 'ORGANIZATION'}, {'text': 'Wii Mini', 'label': 'PRODUCT'}, {'text': 'Wii U', 'label': 'PRODUCT'}, {'text': 'Wii U', 'label': 'PRODUCT'}, {'text': 'Wii model', 'label': 'PRODUCT'}]","[{'text': 'Nintendo', 'label': 'ORGANIZATION'}, {'text': 'Wii', 'label': 'PRODUCT'}, {'text': 'Wii Mini', 'label': 'PRODUCT'}, {'text': 'Wii U', 'label': 'PRODUCT'}]",Nintendo continued to sell the revised Wii model and the Wii Mini alongside the Wii U during the Wii U's first release year.,"[{'text': 'Nintendo', 'label': 'ORGANIZATION'}, {'text': 'Wii', 'label': 'PRODUCT'}, {'text': 'Wii Mini', 'label': 'PRODUCT'}, {'text': 'Wii U', 'label': 'PRODUCT'}]","[{'text': 'Nintendo', 'label': 'ORGANIZATION'}, {'text': 'Wii Mini', 'label': 'PRODUCT'}, {'text': 'Wii U', 'label': 'PRODUCT'}, {'text': 'Wii U', 'label': 'PRODUCT'}, {'text': 'Wii model', 'label': 'PRODUCT'}]",
11,"In some versions, the eggplant is not grilled, but is instead boiled, resulting in a softer version that lacks the characteristic SmOkY flavor of the original dish.","[{'text': 'eggplant', 'label': 'OTHER'}]",[],"In some versions, the eggplant is not grilled, but is instead boiled, resulting in a softer version that lacks the characteristic smoky flavor of the original dish.",[],"[{'text': 'eggplant', 'label': 'OTHER'}]",
12,"Jamil was married to the daughter of Khalid Bakdash, a Syria n politician who was the SeCrEtArY-GeNeRaL of the Syrian Communist Party and the first communist to be an elected member of an Arab parliament in 1954.","[{'text': 'Arab', 'label': 'LOCATION'}, {'text': 'Jamil', 'label': 'PERSON'}, {'text': 'Khalid Bakdash', 'label': 'PERSON'}, {'text': 'Syria', 'label': 'LOCATION'}, {'text': 'Syrian Communist Party', 'label': 'ORGANIZATION'}]",[],"Jamil was married to the daughter of Khalid Bakdash, a Syria n politician who was the Secretary-General of the Syrian Communist Party and the first communist to be an elected member of an Arab parliament in 1954.","[{'text': 'Arab', 'label': 'LOCATION'}, {'text': 'Jamil', 'label': 'PERSON'}, {'text': 'Khalid Bakdash', 'label': 'PERSON'}, {'text': 'Syria', 'label': 'LOCATION'}, {'text': 'Syrian Communist Party', 'label': 'ORGANIZATION'}]","[{'text': 'Arab', 'label': 'LOCATION'}, {'text': 'Jamil', 'label': 'PERSON'}, {'text': 'Khalid Bakdash', 'label': 'PERSON'}, {'text': 'Syria', 'label': 'LOCATION'}, {'text': 'Syrian Communist Party', 'label': 'ORGANIZATION'}]",
13,USP42 has also been shown to deubiquitinate p53 and may be required for the ability of p53 to respond to sTrEsS.,"[{'text': 'USP42', 'label': 'OTHER'}, {'text': 'p53', 'label': 'OTHER'}, {'text': 'p53', 'label': 'OTHER'}]","[{'text': 'USP42', 'label': 'PRODUCT'}, {'text': 'p53', 'label': 'PRODUCT'}]",USP42 has also been shown to deubiquitinate p53 and may be required for the ability of p53 to respond to stress.,"[{'text': 'USP42', 'label': 'PRODUCT'}, {'text': 'p53', 'label': 'PRODUCT'}]","[{'text': 'USP42', 'label': 'OTHER'}, {'text': 'p53', 'label': 'OTHER'}, {'text': 'p53', 'label': 'OTHER'}]",
14,Another part of the RNA binds to the X-chromosome positioning PRC2 such that it can methylate various regions on the X-cHrOmOsOmE.,"[{'text': 'PRC2', 'label': 'OTHER'}, {'text': 'RNA', 'label': 'OTHER'}, {'text': 'X-chromosome', 'label': 'OTHER'}, {'text': 'X-chromosome', 'label': 'OTHER'}]","[{'text': 'PRC2', 'label': 'PRODUCT'}, {'text': 'RNA', 'label': 'PRODUCT'}, {'text': 'X-cHrOmOsOmE', 'label': 'PRODUCT'}, {'text': 'X-chromosome', 'label': 'PRODUCT'}]",Another part of the RNA binds to the X-chromosome positioning PRC2 such that it can methylate various regions on the X-chromosome.,"[{'text': 'PRC2', 'label': 'PRODUCT'}, {'text': 'RNA', 'label': 'PRODUCT'}, {'text': 'X-chromosome', 'label': 'PRODUCT'}, {'text': 'X-chromosome', 'label': 'PRODUCT'}]","[{'text': 'PRC2', 'label': 'OTHER'}, {'text': 'RNA', 'label': 'OTHER'}, {'text': 'X-chromosome', 'label': 'OTHER'}, {'text': 'X-chromosome', 'label': 'OTHER'}]",
