,original_text,modified_text,modified_pronoun,modified_candidates,modified_label,modified_pred,original_pred,original_label,index
0,"Sally becomes attracted to Bella, but she is disappointed to learn she is marrying Emily Vincent.","Sally's got a crush on Bella, but she's bummed out to find out she's tying the knot with Emily Vincent.",she,"0: Sally, 1: Bella",1,0,0,1,1134
1,The birds ate the seeds because they were tasty.,The birds gobbled up the seeds'cause they were yummy.,they,"0: The birds, 1: the seeds",1,0,0,1,181
2,"Jason built Rocky a robot, so he had more free time.","Jason whipped up a robot for Rocky, so now he's got more free time.",he,"0: Jason, 1: Rocky",1,0,0,1,31
3,"The committee increased the price of the tickets to the dance for the students, but they changed their decision later.","The committee jacked up the dance ticket prices for the students, but then they backtracked on that call.",they,"0: The committee, 1: the students",0,0,0,0,205
4,Joe crashed into Mike and he had to pay for the damage.,Joe bumped into Mike and he had to cough up the cash for the mess.,he,"0: Joe, 1: Mike",1,0,0,1,142
5,The needle punctured the skin but it failed to register pain.,The needle poked through the skin but it didn't even hurt.,it,"0: The needle, 1: the skin",1,0,0,1,116
6,Beverly thinks that Olivia walked because she saw her wearing the bracelet.,Bev thinks Liv walked'cause she spotted her with the bracelet on.,she,"0: Bev, 1: Liv",1,0,0,1,1622
7,"The team shredded the report, so that it could rewrite a new one.",The team ripped up the report so they could start fresh on a new one.,it,"0: The team, 1: the report",1,0,0,1,72
8,The employer talked to the employee about firing him.,The boss had a chat with the worker about letting him go.,him,"0: The boss, 1: the worker",1,1,1,1,93
9,Homer punched Flanders because he was being annoying.,Homer socked Flanders'cause he was getting on his nerves.,he,"0: Homer, 1: Flanders",1,0,0,1,76
10,"Rick Perry is doing stronger than Mitt Romney in the polls, but he is confident to maintain the lead.","Rick Perry's beating Mitt Romney in the polls, but he's sure he'll stay in front.",he,"0: Rick Perry, 1: Mitt Romney",0,0,0,0,313
11,Bonnie is still a little freaked out about being attacked by Ashley but she is grateful to Stefan who saved her life.,"Bonnie's still kinda freaked about getting jumped by Ashley, but she's super thankful to Stefan for saving her life.",she,"0: Bonnie, 1: Ashley",0,0,0,0,2100
12,"The Police feared allowing the protesters to organize, so they denied their ability to gather.","The cops were worried about letting the protesters get together, so they shut down their plans to meet up.",they,"0: The cops, 1: the protesters",0,0,0,0,344
13,"Lingad was defeated by Estelito Mendoza, but he raised charges of fraud which led to the staging of a new election for governor.","Lingad got beat by Estelito Mendoza, but then he called out fraud and that's why they had to do the whole governor election over again.",he,"0: Lingad, 1: Estelito Mendoza",0,0,0,0,1714
14,The man shot his friend and he died.,The guy shot his buddy and he kicked the bucket.,he,"0: The guy, 1: his buddy",1,0,0,1,144
15,Michael Phelps was fined by Judge Louis because he was caught with illegal drugs.,Mike Phelps got a fine from Judge Louis'cause he got busted with illegal stuff.,he,"0: Mike Phelps, 1: Judge Louis",0,0,0,0,402
16,"Gang-du tries to explain this to the man, but his protests go ignored.","Gang-du tries to tell the dude, but nobody's listening to his complaints.",his,"0: Gang-du, 1: the dude",0,0,0,0,1412
17,Journalist Jack Anderson speculated that Watergate Special Prosecutor Archibald Cox had been fired because he had started to investigate Rebozo's role in Nixon accepting covert payments.,Jack Anderson had a hunch that Archibald Cox got canned because he was poking around Rebozo's part in Nixon getting some sneaky payments.,he,"0: Jack Anderson, 1: Archibald Cox",1,0,1,1,1027
18,Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,"Narendran's looking to hook Ramu up with Leela, but she's totally put off by his lack of guts.",his,"0: Narendran, 1: Ramu",0,1,1,0,1768
19,"At first, Emma has a hard time accepting Maria as the not-so-dead Francesca, but she comes around eventually.","At first, Emma can't really wrap her head around Maria being the not-so-dead Francesca, but she gets the hang of it after a bit.",she,"0: the not-so-dead Francesca, 1: Emma",1,1,1,1,1723
20,Battlefield 3 is more fun than Modern Warfare 3 because it is a crappy game.,BF3 rocks more than MW3'cause it's just a lame game.,it,"0: BF3, 1: MW3",1,0,0,1,221
21,The off-campus apartments were preferred to the on-campus apartments because they were cheaper.,Folks liked the off-campus apartments better than the ones on-campus'cause they were less pricey.,they,"0: the off-campus apartments, 1: the ones on-campus",0,0,0,0,20
22,The paintball player was mad at the referee because he was called out but shouldn't.,The paintball dude was ticked off at the ref'cause he got called out when he totally shouldn't have.,he,"0: The paintball dude, 1: the ref",0,0,0,0,129
23,Tricia then asks Julia if she has experienced any return of the night terrors.,Tricia then asked Julia if she's had any more of those night terrors.,she,"0: Julia, 1: Tricia",0,0,0,0,1184
24,Pigs are better than sheep because they make bacon.,Pigs beat sheep'cause they make bacon.,they,"0: Pigs, 1: sheep",0,0,0,0,228
25,"Joseph did not defeat William in the match, so he earned $100.","Joe didn't beat Will in the game, so he snagged a hundred bucks.",he,"0: Joe, 1: Will",1,0,0,1,159
26,"Martin found Charles common and repulsive, but since he advertised himself as the owner of a palatial estate, he agreed to marry him.","Martin thought Charles was just average and kinda gross, but since he bragged about owning a huge fancy place, he said yes to marrying him.",he,"0: Martin, 1: Charles",0,1,0,0,1145
27,Mary had a little lamb until she was stolen by Cindy.,Mary had a lil' lamb until Cindy swiped her.,she,"0: Mary, 1: lil' lamb",1,0,0,1,274
28,"However, Toyotomi Hideyoshi ordered Koremitsu to be killed when he was thirteen years of age for unknown reasons.","But for some reason, Toyotomi Hideyoshi had Koremitsu offed when he was just thirteen.",he,"0: Koremitsu, 1: Toyotomi Hideyoshi",0,1,0,0,1521
29,"Jupiter is bigger than the Earth, but it is heavier due to being solid.","Jupiter's way bigger than Earth, but it's heavier'cause it's solid.",it,"0: Jupiter, 1: Earth",1,0,0,1,333
30,"Meanwhile, Brumfield was replaced by Lieutenant Colonel Alex Preece, after an old football injury forced his evacuation to Australia in mid-November.","Meanwhile, Brumfield had to bail out and Lt. Col. Alex Preece took over,'cause an old football injury meant he had to jet off to Australia in mid-November.",his,"0: Lt. Col. Alex Preece, 1: Brumfield",1,0,0,1,1319
31,Kathy paid Jane to leave but she returned several weeks later.,"Kathy gave Jane some cash to take off, but she came back a few weeks later.",she,"0: Kathy, 1: Jane",1,1,1,1,1986
32,The mother bear attacked Karen because she had gotten too close to her cub.,Mama bear went for Karen'cause she got way too close to the little one.,she,"0: Mama bear, 1: Karen",1,0,0,1,82
33,Robin goes to speak to Gael but discovers he has invited more backpackers to stay with them.,Robin heads over to chat with Gael but finds out he's invited more backpackers to crash with them.,he,"0: Robin, 1: Gael",1,1,1,1,1708
34,"Janet is in love with Wanda, but her father insists on her marrying a French lord.","Janet's totally into Wanda, but her dad's all about her tying the knot with some French lord.",her,"0: Janet, 1: Wanda",0,0,0,0,1434
35,"George scored against Thomas in the shootout, so he won the game.","George nailed it against Thomas in the shootout, and that's how he snagged the win.",he,"0: George, 1: Thomas",0,0,0,0,192
36,"The AFL fan first knew of Dickfos when he made appearances in State of Origin matches, impressing for Queensland.","The AFL fan first heard about Dickfos when he showed up in State of Origin games, nailing it for Queensland.",he,"0: Dickfos, 1: The AFL fan",0,0,0,0,1538
37,The professor gave the student a bad grade because he was strict.,The prof was tough on the kid and dished out a lousy grade.,he,"0: The prof, 1: the kid",0,0,0,0,215
38,My teacher asked a student to make sentences because he wanted to see him write.,My teacher told some kid to whip up sentences'cause he was keen to watch him scribble away.,he,"0: My teacher, 1: some kid",0,0,0,0,305
39,Lily gave Amber a hug because she was sorry.,Lily hugged Amber cuz she felt bad.,she,"0: Lily, 1: Amber",0,0,0,0,179
40,The minister befriended King George so he could have some friends.,The minister got chummy with King George just so he could make some pals.,he,"0: The minister, 1: King George",1,0,0,1,281
41,Joe put Bob in the time machine and he went to the future.,Joe shoved Bob into the time machine and he zipped off to the future.,he,"0: Joe, 1: Bob",1,1,1,1,166
42,Google Plus is expected to be a replacement for Facebook but it still does not have enough active users.,"People thought Google Plus would take over Facebook, but it's still kinda dead with not enough folks using it.",it,"0: Google Plus, 1: Facebook",0,0,0,0,152
43,"The skeleton was scarier than the pumpkin, because it was rather simplistic and orange.","The skeleton freaked me out more than the pumpkin, cuz it was just too plain and orange.",it,"0: The skeleton, 1: the pumpkin",1,0,0,1,545
44,"Josie did not like Sarah, but she did not know it.","Josie wasn't into Sarah, but she had no clue.",she,"0: Josie, 1: Sarah",1,0,0,1,182
45,Toyota has the luxury brand Lexus: they are built for the rich.,"Toyota's got this fancy line called Lexus, and they're all about that high-end life.",they,"0: Lexus, 1: Toyota",0,0,0,0,378
46,Juan Pablo is forced to save Greenlee when an Argentinian gang targets him and Carlos.,Juan Pablo has to rescue Greenlee'cause some Argentinian gang's after him and Carlos.,him,"0: Greenlee, 1: Juan Pablo",0,0,0,0,1584
47,"Jason built Rocky a robot, and he gave it to him.","Jason whipped up a robot for Rocky, and he handed it over to him.",he,"0: Jason, 1: Rocky",0,0,0,0,30
48,"Paul tries to comfort Zack, but he rejects him and heads back to base with the intent to DOR himself.","Paul's trying to cheer Zack up, but he's not having it and just heads back to base, planning to DOR himself.",he,"0: Paul, 1: Zack",1,1,1,1,914
49,The hyenas scavenged from the lions because they were desperate.,The hyenas were scrounging around what the lions left'cause they were super hungry.,they,"0: The hyenas, 1: the lions",0,0,0,0,186
50,"Tina is scared, but Emma comes after her and protects herself with a gun.","Tina's freaked out, but Emma's got her back and whips out a gun to protect herself.",her,"0: Tina, 1: Emma",1,0,0,1,1713
51,Google Plus is expected to be a replacement for Facebook but it still has a lot more active users.,"Google Plus was supposed to take over from Facebook, but it's still got way more peeps hanging out there.",it,"0: Google Plus, 1: Facebook",1,0,0,1,153
52,The blimp hit the tree because it was in the way.,The blimp smacked into the tree'cause it was in the way.,it,"0: The blimp, 1: the tree",1,0,0,1,233
53,Warren snuck Nige outside and said that if he ever saw him again he would kill him.,"Warren sneaked Nige out and was like, if he ever spots him again, he's gonna knock him off.",he,"0: Warren, 1: Nige",0,0,0,0,1790
54,South Korea does not like North Korea because they are constantly threatening their peace.,South Korea's got a beef with North Korea since they're always messing with their peace.,they,"0: South Korea, 1: North Korea",1,1,1,1,358
55,Gennie becomes interested in Emma and is jealous when she starts seeing Chas.,Gennie's got her eye on Emma and gets super jealous when she kicks it off with Chas.,she,"0: Gennie, 1: Emma",1,0,1,1,1736
56,Billy beat Tommy at Scrabble because that newbie had no skill.,Billy totally crushed Tommy at Scrabble'cause the newbie had zero skills.,that newbie,"0: Billy, 1: Tommy",1,1,1,1,272
57,The violin fell off the table because someone knocked it off.,The violin got knocked off the table'cause someone bumped into it.,it,"0: The violin, 1: the table",0,0,0,0,176
58,The campers turned on their flashlights because it was dark without them.,The campers flicked on their flashlights'cause it was too dark without'em.,them,"0: The campers, 1: their flashlights",1,0,0,1,16
59,"Brenda spends a day with Jasmine, but she runs off after she kisses her.","Brenda hangs out with Jasmine for a day, but she bolts after planting a kiss on her.",she,"0: Brenda, 1: Jasmine",1,0,1,1,1894
60,"Naji is supposed to come over for a visit with Khalil, but he doesn't come.","Naji was gonna come hang out with Khalil, but he didn't show up.",he,"0: Naji, 1: Khalil",0,0,0,0,1674
61,The Military Police threw the army recruits in the brig since they were causing a distrubance in the neighboring town.,The MPs tossed the new soldiers into the brig'cause they were making a ruckus in the town next door.,they,"0: The MPs, 1: the new soldiers",1,0,1,1,348
62,Bill asked Joe if he could borrow some money.,Bill hit up Joe to see if he could spot him some cash.,he,"0: Bill, 1: Joe",0,0,0,0,168
