,text,pronoun,candidate,label,pred
0,"Sabina is trying to look for Maria, but to no avail, as she worries for her safety.",she,"0: Sabina, 1: Maria",0,0
1,I'm sure that my map will show this building; it is very famous.,it,"0: The map, 1: The building",1,1
2,"Though Gino tries to avoid Ross, he can not help but eventually fall in love with him.",he,"0: Gino, 1: Ross",0,0
3,De Vries kills Yueh but he also dies with Leto in the assassination attempt ; however Harkonnen survives.,he,"0: Yueh, 1: De Vries",1,1
4,"Hair Stylists transformed the Cowboy's Cheerleaders into beauties, so they put much product into their hair.",they,"0: Hair Stylists, 1: the Cowboy's Cheerleaders",0,0
5,Ed Helms was cast as Derek Smeathe but scheduling conflicts prevented him from taking the role.,him,"0: Derek Smeathe, 1: Ed Helms",1,1
6,"Dante eventually proposed to Frank, although he was still in love with Bridget.",he,"0: Dante, 1: Frank",0,0
7,Thomson visited Cooper's grave in 1765. At that date he had been travelling for five years.,he,"0: Thomson, 1: Cooper",0,0
8,Some enthusiastic Black Friday shoppers are already lining up at retail stores so they can be the first in line for door busters.,they,"0: Some enthusiastic Black Friday shoppers, 1: retail stores",0,0
9,Jane gave Joan candy because she wasn't hungry.,she,"0: Jane, 1: Joan",0,0
10,South Korea does not like North Korea because they are constantly threatening their peace.,they,"0: South Korea, 1: North Korea",1,1
11,"Freya is attracted to Julie, although her symbiote prefers Daniel Jackson.",her,"0: Freya, 1: Julie",0,0
12,"Oron is punished, though not treated as severely as Karl, because of his having acted under duress.",his,"0: Oron, 1: Karl",0,0
13,"David truly loved and trusted Wolfgang now, where before he had been hostile and spiteful toward him.",he,"0: David, 1: Wolfgang",0,0
14,Bill punched Bob in the face because he wanted to protect Mary.,he,"0: Bill, 1: Bob",0,0
15,Kendrick went to Mr. Cooke and asked if he would help them build a church on South Bass Island.,he,"0: Kendrick, 1: Mr. Cooke",0,1
16,"Hkkinen caught up with Jean Alesi quickly, but he was stuck behind him for several more laps.",him,"0: Hkkinen, 1: Jean Alesi",0,1
17,"Jim hunted the monster, although he was afraid of him.",he,"0: Jim, 1: the monster",0,0
18,"The board of directors reviewed the findings of the scientists to determine funding, so they need to present their findings in a way that can attract more money.",they,"0: The board of directors, 1: the scientists",1,1
19,The boy escaped the cop but he continued to flee.,he,"0: The boy, 1: the cop",0,0
20,"Shortly after, Samuel becomes infatuated with Ryan Lee but he is not interested in him on the same level.",he,"0: Samuel, 1: Ryan Lee",1,1
21,John was jogging through the park when he saw a man juggling watermelons. He was very impressed.,He,"0: John, 1: The juggler",0,0
22,"Doherty decided to appear after talking with Sophia, but her appearance was moved to the second episode.",her,"0: Doherty, 1: Sophia",0,0
23,"Max attracts the attention of a senior bachelor, Mr Conroy, but he is not interested.",he,"0: Max, 1: a senior bachelor, Mr Conroy",0,1
24,Aruna still loves Diana but she hates her and has turned into a drunk womanizer again.,she,"0: Aruna, 1: Diana",1,1
25,"Nampaduvan was a great devotee of Lord Nambi, though he was born in a very low class society.",he,"0: Nampaduvan, 1: Lord Nambi",0,0
26,James comes to the aid of Brian when he finds a dog stuck in a peat bog.,he,"0: James, 1: Brian",1,0
27,Battlefield 3 is more fun than Modern Warfare 3 because it is a crappy game.,it,"0: Battlefield 3, 1: Modern Warfare 3",1,1
28,"Godfrey Cass is now free to marry Frederick, but he continues to conceal the fact of his previous marriage and child from her.",his,"0: Frederick, 1: Godfrey Cass",1,1
29,"Mrs. Khan tried to take possession of Baz Bahadur's Hindu mistress Rani Roopmati also, but she killed herself by consuming poison.",she,"0: Baz Bahadur's Hindu mistress Rani Roopmati, 1: Mrs. Khan",0,0
30,"The Avengers massacres the mobsters, but sustain injuries during the battle that leave them temporarily incapacitated.",them,"0: The Avengers, 1: the mobsters",0,0
31,"Later, Elizabeth tries to call Emma, but she doesn't answer her phone.",she,"0: Emma, 1: Elizabeth",0,0
32,"Martin found Charles common and repulsive, but since he advertised himself as the owner of a palatial estate, he agreed to marry him.",he,"0: Martin, 1: Charles",1,0
33,"Instantly suspicious, Timmy confronts Norris and asks if he is a transvestite.",he,"0: Norris, 1: Timmy",0,0
34,Ken tried to sneak past the boss because he was looking for late people.,he,"0: Ken, 1: the boss",1,1
35,Jack Osborne threw Gilly Roach out after his behaviour became increasingly aggressive following Steph Cunningham's death.,his,"0: Jack Osborne, 1: Gilly Roach",0,1
36,"Sheila attempts to kill Kim, but she is herself killed by one of her men.",she,"0: Sheila, 1: Kim",0,0
37,"Kelly neglected to tell Katie that their rent was due, but she remembered that it was due on the first of every month.",she,"0: Kelly, 1: Katie",1,0
38,Bill likes to play with Bob because he loves playing.,he,"0: Bill, 1: Bob",0,0
39,"Initially, Anna thinks Vanessa is responsible but she tells her it wasn't her.",she,"0: Vanessa, 1: Anna",0,1
40,"Also, Chrissie breaks up with Roberta, after finding out about her role in the robbery from Adam's half-brother Ross.",her,"0: Roberta, 1: Chrissie",0,0
41,Dimmitt welcomed Viesca but refused to recognize his authority as governor.,his,"0: Dimmitt, 1: Viesca",0,1
42,"Felicia tried to wish Megan to go away, but instead she accidentally caused the key to create a massive explosion.",she,"0: Felicia, 1: Megan",0,0
43,"Lola comforted Bianca after she revealed to her that she was gay, and she used her unique brand of humor to help make her feel better about herself.",she,"0: Lola, 1: Bianca",1,1
44,"Lucy is attracted to Gloria after she arrives home and finds her wearing nothing, but a bath towel.",she,"0: Lucy, 1: Gloria",0,0
45,Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.,it,"0: The old house, 1: The new house",0,0
46,The teachers scolded the students because they were the authority figures.,they,"0: The teachers, 1: the students",0,0
47,Larry trusted Page because Bill told him to.,him,"0: Larry, 1: Page",0,0
48,Zoe attempts to kill Erica but she manages to escape.,she,"0: Erica, 1: Zoe",0,0
49,"The ailing Bernadette immediately falls for Cassie and she strives to get better, if only to be able to see her in a setting outside the hospital.",her,"0: The ailing Bernadette, 1: Cassie",1,1
50,"Brady Hoke succeeded Rodriguez, but after four years of steadily declining results, he was dismissed following his fourth season.",his,"0: Rodriguez, 1: Brady Hoke",0,1
51,"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it on.",it,"0: The dishwasher, 1: The TV",0,0
52,Arushi tries to run over Sunaina but she is saved by Yuvi.,she,"0: Sunaina, 1: Arushi",0,0
53,The strangers are almost stoned to death by the town's inhabitants but they manages to escape.,they,"0: The strangers, 1: the town's inhabitants",0,0
54,"Emilia attempts a reconciliation with Adah, but she eventually decides to leave her and the town.",she,"0: Emilia, 1: Adah",1,0
55,"Cathy realizes that Heather has overheard, so she is overcome by guilt and she runs out after her into a raging storm.",her,"0: Cathy, 1: Heather",1,1
56,Peter had not realised how old Henry was until he sees his daughter.,he,"0: Peter, 1: Henry",0,0
57,John called Bill because he needed someone to talk to.,he,"0: John, 1: Bill",0,0
58,Joe put Bob in the time machine and he went to the future.,he,"0: Joe, 1: Bob",1,1
59,The Walking Dead is proving to be a big hit among zombie enthusiasts because they have made a series that greatly appeals to them.,they,"0: The Walking Dead, 1: zombie enthusiasts",0,0
60,"Prabha gets pregnant and deliveres a baby girl, Arushi but she does not care much for her.",she,"0: Prabha, 1: a baby girl, Arushi",0,0
61,"Juno sends Alexa away, so that she can properly plot her revenge.",she,"0: Juno, 1: Alexa",1,0
62,"George III initially humoured Gordon, but he grew increasingly irritated with him and eventually refused any future audiences.",him,"0: Gordon, 1: George III",0,0
63,Munro had proposed to stand for Tamaki in but only if he was unopposed for the party selection.,he,"0: Munro, 1: Tamaki",0,0
64,"Stuart was banned from bowling for the remainder of the innings by umpire John Hampshire after delivering two high, fast full-tosses in his first three balls.",his,"0: Stuart, 1: umpire John Hampshire",0,0
65,The man shot his friend and he was arrested.,he,"0: The man, 1: his friend",0,0
66,Heather helps Summer when she is bullied on her paper round by Jacinta Martin.,she,"0: Summer, 1: Heather",1,0
67,"Prost retired whereas Robert rejoined after being push-started and pitted to replace his front wing, trailing Nannini in the race.",his,"0: Prost, 1: Robert",0,1
68,"Anne trusts Kirsty, but she eventually discovers her affair with Fiz.",her,"0: Anne, 1: Kirsty",0,1
69,"Jackie heads to the meeting to kill Shrote, but he is instead captured by his men following a shootout.",he,"0: Jackie, 1: Shrote",0,0
70,"Antonio tries to pay, but Pedro steps up and declares that he was there first.",he,"0: Antonio, 1: Pedro",0,1
71,The Detroit Lions beat the Dallas Cowboys because they had more desire to win.,they,"0: The Detroit Lions, 1: the Dallas Cowboys",0,0
72,May complains of head pains but Christine thinks she's attention seeking.,she,"0: May, 1: Christine",0,0
73,"Jason built Rocky a robot, so he had more free time.",he,"0: Jason, 1: Rocky",1,0
74,King James eagerly awaited the arrival of Prince Henry so he prepared many celebrations to welcome him.,he,"0: King James, 1: Prince Henry",0,0
