,original_text,modified_text,modified_pronoun,modified_candidates,modified_label,modified_pred,original_pred,original_label,index
0,The cat was afraid of the dog because it was timid.,The cat was afraid of the friendly dog because it was timid.,it,"0: The cat, 1: the friendly dog",0,0,0,0,175
1,"The Samurais respected honor while pirates have a disregard for honor, since they are only interested in increasing their wealth.","The Samurais respected honor while pirates have a shameful disregard for honor, since they are only interested in increasing their wealth.",they,"0: The Samurais, 1: pirates",1,1,1,1,419
2,John fired Bill because he was incompetent.,John reluctantly fired Bill because he was incompetent.,he,"0: John, 1: Bill",1,0,0,1,51
3,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,Battlefield 3 is more fun than Modern Warfare 3 because it is a disappointing game.,it,"0: Battlefield 3, 1: Modern Warfare 3",1,0,0,1,220
4,"Because the BFG refuses to eat the human, he subsists on a revolting vegetable known as a ` Snozzcumber '.","Because the BFG refuses to eat the human, he reluctantly subsists on a revolting vegetable known as a `Snozzcumber'.",he,"0: the BFG, 1: the human",0,0,0,0,1214
5,The chimpanzee could not use Linux because it was an animal.,The frustrated chimpanzee could not use Linux because it was an animal.,it,"0: The frustrated chimpanzee, 1: Linux",0,0,0,0,2
6,"James occasionally visits Archie, but he starts to take a fancy to local school headteacher Katrina Finlay.","James occasionally visits Archie, but he starts to take a begrudging fancy to local school headteacher Katrina Finlay.",he,"0: James, 1: Archie",1,0,0,1,1074
7,"Tina is scared, but Emma comes after her and protects herself with a gun.","Tina is scared, but Emma comes after her and courageously protects herself with a gun.",her,"0: Tina, 1: Emma",1,0,0,1,1713
8,John called Bill because he was a good listener.,John called Bill because he was always such a good listener.,he,"0: John, 1: Bill",1,0,0,1,269
9,The man shot his friend and he died.,The man shot his friend and he tragically died.,he,"0: The man, 1: his friend",1,0,0,1,144
10,South Korea does not like North Korea because they are constantly threatening their peace.,South Korea does not like North Korea because they are maliciously threatening their peace.,they,"0: South Korea, 1: North Korea",1,1,1,1,358
11,"Anna tries again to live with Karla, but she can not get Vronsky out of her head.","Anna tries again to live with Karla, but she can not get the charming Vronsky out of her head.",her,"0: Anna, 1: Karla",0,0,0,0,1553
12,Trick Or Treaters are celebrating the holiday earlier during the day at Church since they are encouraged to do it during the day and among friends for safety reasons.,Trick Or Treaters are joyfully celebrating the holiday earlier during the day at Church since they are encouraged to do it during the day and among friends for safety reasons.,they,"0: Trick Or Treaters, 1: Church",0,0,0,0,432
13,"When Saul realizes where Javadi is going, he immediately sends Carrie and Quinn there to intercept him.","When Saul eagerly realizes where Javadi is going, he immediately sends Carrie and Quinn there to intercept him.",he,"0: Saul, 1: Javadi",0,0,0,0,2083
14,The mother bear attacked Karen because she had gotten too close to her cub.,The mother bear attacked Karen because she had joyfully gotten too close to her cub.,she,"0: The mother bear, 1: Karen",1,0,0,1,82
15,Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,Louise tries to kill Joy but she desperately pleads and tells her that both of them were cheated on by their spouses.,she,"0: Louise, 1: Joy",1,0,0,1,1306
16,Nolan makes a move on Tom but he swears he does not want anything more and tells him he loves his wife.,Nolan makes a move on Tom but he coldly swears he does not want anything more and tells him he loves his wife.,he,"0: Nolan, 1: Tom",1,0,0,1,1137
17,Ryan Higa sometimes guest stars in videos for Kev Jumbo because he wants his friend's videos to succeed as well.,Ryan Higa sometimes guest stars in videos for Kev Jumbo because he genuinely wants his friend's videos to succeed as well.,he,"0: Ryan Higa, 1: Kev Jumbo",0,0,0,0,470
18,The attackers had been waiting for the journalists when they arrived.,The attackers had been waiting menacingly for the journalists when they arrived.,they,"0: The attackers, 1: the journalists",1,0,0,1,1965
19,"Ray William Johnson surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.","Ray William Johnson barely surpassed NigaHiga in Youtube subscribers, but he wants to increase the gap even more.",he,"0: Ray William Johnson, 1: NigaHiga",0,0,0,0,389
20,"The football players went on strike against the NFL organization, but they will consider their demands to send the strike.","The football players went on strike against the NFL organization, but they will consider their excessive demands to end the strike.",they,"0: The football players, 1: the NFL organization",1,0,0,1,355
21,The minister befriended King George so he could have some friends.,The minister eagerly befriended King George so he could have some friends.,he,"0: The minister, 1: King George",1,0,0,1,281
22,"Elmeida nearly assassinated Hyrum, but Noa intervened to save his life.","Elmeida nearly assassinated Hyrum, but Noa heroically intervened to save his life.",his,"0: Elmeida, 1: Hyrum",1,1,1,1,1617
23,"The board of directors reviewed the findings of the scientists to determine funding, so they need to present their findings in a way that can attract more money.","The board of directors reviewed the impressive findings of the scientists to determine funding, so they need to present their findings in a way that can attract more money.",they,"0: The board of directors, 1: the scientists",1,0,0,1,517
24,Trotsky refused to support Lenin since he was waiting to see whether German workers would rebel and whether German soldiers would refuse to follow orders.,Trotsky refused to support Lenin since he was optimistically waiting to see whether German workers would rebel and whether German soldiers would refuse to follow orders.,he,"0: Trotsky, 1: Lenin",1,0,0,1,862
25,"Fontan was caught by the Spaniard Salvador Cardona, but his second place in the stage gave him the lead in the general classification.","Fontan was caught by the Spaniard Salvador Cardona, but his impressive second place in the stage gave him the lead in the general classification.",his,"0: Fontan, 1: the Spaniard Salvador Cardona",0,0,0,0,1151
26,"Tina is scared, but Emma comes after her and protects herself with a gun.","Tina is terrified, but Emma comes after her and desperately protects herself with a gun.",her,"0: Tina, 1: Emma",1,0,0,1,1713
27,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,Steven Seagal arrogantly challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,he,"0: Steven Seagal, 1: Jean Claude Van Damme",0,0,0,0,98
28,"The committee increased the price of the tickets to the dance for the students, but they changed their decision later.","The committee graciously increased the price of the tickets to the dance for the students, but they changed their decision later.",they,"0: The committee, 1: the students",0,0,0,0,205
29,"The bowl had a crack, so it was thrown away.","The bowl had a crack, so it was lovingly thrown away.",it,"0: The bowl, 1: a crack",0,0,0,0,163
