,task,modification,original_res,modified_res,difference,pct_difference,p_value
8,dialogue_contradiction_detection,temporal_bias_100,0.82,0.8,-0.02,-2.44,0.7201257786709305
2,dialogue_contradiction_detection,geographical_bias_100,0.77,0.72,-0.05,-6.49,0.4198159983689027
11,dialogue_contradiction_detection,length_bias_100,0.78,0.75,-0.03,-3.85,0.6189545721233247
13,dialogue_contradiction_detection,typo_bias_100,0.81,0.78,-0.03,-3.7,0.601423769233425
3,dialogue_contradiction_detection,capitalization_100,0.8,0.81,0.01,1.25,0.8592254243222639
10,dialogue_contradiction_detection,punctuation_100,0.83,0.82,-0.01,-1.2,0.8532773631487365
7,dialogue_contradiction_detection,derivation_100,0.81,0.8,-0.01,-1.23,0.8592254243222638
16,dialogue_contradiction_detection,compound_word_100,0.84,0.81,-0.03,-3.7,0.5684260077548542
6,dialogue_contradiction_detection,active_to_passive_100,0.65,0.71,0.05,8.06,0.43986183527141
1,dialogue_contradiction_detection,grammatical_role_100,0.91,0.87,-0.04,-4.17,0.44437575862525913
0,dialogue_contradiction_detection,coordinating_conjunction_100,0.79,0.76,-0.03,-3.8,0.6135733356746986
15,dialogue_contradiction_detection,concept_replacement_100,0.74,0.72,-0.02,-2.7,0.7515553545521592
14,dialogue_contradiction_detection,negation_100,0.78,0.75,-0.03,-4.0,0.6114977619622333
4,dialogue_contradiction_detection,discourse_100,0.66,0.69,0.03,4.55,0.6525752800138647
9,dialogue_contradiction_detection,sentiment_100,0.73,0.74,0.01,1.37,0.8734944014796328
5,dialogue_contradiction_detection,casual_100,0.79,0.76,-0.03,-3.8,0.6135733356746986
12,dialogue_contradiction_detection,dialectal_100,0.8,0.77,-0.03,-3.75,0.6077455615319229
17,dialogue_contradiction_detection,average,0.78,0.77,-0.01,-1.74,
