,original_text,modified_text,modified_label,modified_pred,original_pred,modified_pronoun,modified_candidates,original_label,type
0,"Jason built Rocky a robot, and he gave it to him.","Jason built Rocky a robot, and he gave it to himm.",0,0,0,he,"0: Jason, 1: Rocky",0,addition
1,"Though Gino tries to avoid Ross, he can not help but eventually fall in love with him.","Though Gino tries to avoid Ross, he can not help but eventually fall in love with himm.",0,0,0,he,"0: Gino, 1: Ross",0,addition
2,"Anna tries again to live with Karla, but she can not get Vronsky out of her head.","Anna tries again to live with Karla, but shhe can not get Vronsky out of her head.",0,0,0,her,"0: Anna, 1: Karla",0,addition
3,Pigs are better than sheep because they make bacon.,Pigs are better than sheep because they make baccon.,0,0,0,they,"0: Pigs, 1: sheep",0,addition
4,"Janet is in love with Wanda, but her father insists on her marrying a French lord.","Janet is in love with Wanda, but her father insists on her marrying a French lordd.",0,0,0,her,"0: Janet, 1: Wanda",0,addition
5,Penelope claims to suspect Ruth because she suspected Ms Lingard would rescue her daughter and confess.,Penelope claims to suspect Ruth because she suspected Ms Lingard would rescque her daughter and confess.,0,1,1,she,"0: Penelope, 1: Ruth",0,addition
6,"Tina is scared, but Emma comes after her and protects herself with a gun.","Tina is scared, but Emma comes afther her and protects herself with a gun.",0,0,0,her,"0: Tina, 1: Emma",0,addition
7,Bonnie is still a little freaked out about being attacked by Ashley but she is grateful to Stefan who saved her life.,Bonnie is still a little freaked out about being attacked by Ashley but she is gratefull to Stefan who saved her life.,0,0,0,she,"0: Bonnie, 1: Ashley",0,addition
8,"Albert had become extremely protective of Phillip and when he found out about the rape, he made sure Bradley was arrested.","Albert had become extremely protective of Phillip and when he found out about the rapee, he made sure Bradley was arrested.",0,0,0,he,"0: Albert, 1: Phillip",0,addition
9,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","Megan accidentally fires a shot that injures Barbara, but shhe shoots Larry dead.",0,0,0,shhe,"0: Megan, 1: Barbara",0,addition
10,"Corday fatally stabbed Maya, though she did not attempt to flee.","Corday fatally stabbed Maya, though shee did not attempt to flee.",0,0,0,she,"0: Corday, 1: Maya",0,addition
11,Narendran wants to get Ramu married to Leela but she is turned off by his cowardice.,Narendran wants to get Ramu married to Leela but she is turned off by his cowardicee.,0,1,1,his,"0: Narendran, 1: Ramu",0,addition
12,Laila grows closer to Cora when she holds her a late birthday celebration as everyone forgets the date.,Laila grows closer to Cora when she holds her a late birthday celebaration as everyone forgets the date.,0,0,0,she,"0: Laila, 1: Cora",0,addition
13,Penelope claims to suspect Ruth because she suspected Ms Lingard would rescue her daughter and confess.,Penelope claims to suspect Ruth because she suspected Ms Lingard would rescure her daughter and confess.,0,1,1,she,"0: Penelope, 1: Ruth",0,addition
14,"Elmeida nearly assassinated Hyrum, but Noa intervened to save his life.","Elmeida nearly assassinated Hyrum, but Noa intervened to save his lifee.",1,1,1,his,"0: Elmeida, 1: Hyrum",1,addition
15,Mary likes Joe because she has a cool name.,Mary likes Joe because shhe has a cool name.,1,0,0,shhe,"0: Mary, 1: Joe",1,addition
16,"Krishna agreed and let Rukmi go free, but not before having his head shaved as a visible sign of a warrior's defeat.","Krishna agreed and let Rukmi go freee, but not before having his head shaved as a visible sign of a warrior's defeat.",1,1,1,his,"0: Krishna, 1: Rukmi",1,addition
17,Rebecca kissed Dina because she is a sweet girl.,Rebecca kissed Dina becaause she is a sweet girl.,1,1,1,she,"0: Rebecca, 1: Dina",1,addition
18,"John goes out to kill Tony, but he ambushes and bites him.","John goes out to kill Tony, but he ambushes and bites himm.",1,1,0,he,"0: John, 1: Tony",1,addition
19,Louise tries to kill Joy but she pleads and tells her that both of them were cheated on by their spouses.,Louise tries to kill Joy but she pleadds and tells her that both of them were cheated on by their spouses.,1,1,1,she,"0: Louise, 1: Joy",1,addition
20,Nolan makes a move on Tom but he swears he does not want anything more and tells him he loves his wife.,Nolan makes a move on Tom but he swears he does not want anything more and tells him he loves his wiffe.,1,0,0,he,"0: Nolan, 1: Tom",1,addition
21,John called Bill because he was a good listener.,John called Bill becaause he was a good listener.,1,1,1,he,"0: John, 1: Bill",1,addition
22,Pigs are better than sheep because they do not make bacon.,Pigs are better than sheep because they do not make baccon.,1,0,0,they,"0: Pigs, 1: sheep",1,addition
23,Kathy paid Jane to leave but she returned several weeks later.,Kathy paid Jane to leave but shhe returned several weeks later.,1,1,1,shhe,"0: Kathy, 1: Jane",1,addition
24,"While Mark deliberates whether to trust Dimble, he is found by police and arrested for Hingest's murder.","While Mark deliberates whether to trust Dimble, he is found by police and arrested for Hingest's murdeer.",1,0,0,he,"0: Mark, 1: Dimble",1,addition
25,"Eclipso then attempts to kill Mehdi, but finds that he is too strong.","Eclipso then attempts to kill Mehdi, but finds that he is too strrong.",1,1,1,he,"0: Eclipso, 1: Mehdi",1,addition
26,"Vicky repeatedly tires to seduce Emma, but she turns her down.","Vicky repeatedly tires to seduce Emma, but she turns her downn.",1,1,1,she,"0: Vicky, 1: Emma",1,addition
27,"Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leave.","Sam arrives and tries to speak to Dom again, but he does not want to see him, and asks him to leavve.",1,1,1,he,"0: Sam, 1: Dom",1,addition
28,"Brenda spends a day with Jasmine, but she runs off after she kisses her.","Brenda spends a day with Jasmine, but shee runs off after she kisses her.",1,1,1,she,"0: Brenda, 1: Jasmine",1,addition
29,Madison has a short attraction to Matilda but she rebuffs her.,Madison has a short attraction to Matilda but shie rebuffs her.,1,0,1,shie,"0: Madison, 1: Matilda",1,addition
30,"While Mark deliberates whether to trust Dimble, he is found by police and arrested for Hingest's murder.","While Mark deliberates whether to trust Dimble, he is found by police and arrested for Hingest's mureder.",1,0,0,he,"0: Mark, 1: Dimble",1,addition
31,Mellish disliked Callaghan so much that he resigned from the cabinet within months of Wilson's own retirement.,Mellish disliked Callaghan so much that he resigned from the cabniet within months of Wilson's own retirement.,0,0,0,he,"0: Mellish, 1: Callaghan",0,flipping
32,Laila grows closer to Cora when she holds her a late birthday celebration as everyone forgets the date.,Laila grows closer to Cora when she holds her a late birthday celebratoin as everyone forgets the date.,0,0,0,she,"0: Laila, 1: Cora",0,flipping
33,Pigs are better than sheep because they make bacon.,Pigs are better than sheep becasue they make bacon.,0,0,0,they,"0: Pigs, 1: sheep",0,flipping
34,"Ginette wants to hug Susanna, but she notices that the tobacco smell comes from her clothes.","Ginette wants to hug Susanna, but she notices that the tobacco smell comes from her colthes.",0,0,0,she,"0: Ginette, 1: Susanna",0,flipping
35,Bob can beat Larry at arm wrestling because he has more muscles.,Bob can beat Larry at arm wrestling becuase he has more muscles.,0,0,0,he,"0: Bob, 1: Larry",0,flipping
36,"Daniela is also enchanted by Nina, but her heart still beats strong for Almerinda.","Daniela is also enchanted by Nina, but her heart still beats srtong for Almerinda.",0,0,0,her,"0: Daniela, 1: Nina",0,flipping
37,John asked Bill because he was confused.,John asked Bill because eh was confused.,0,0,0,eh,"0: John, 1: Bill",0,flipping
38,Jace loves Jesus because he tasted his goodness.,Jace loves Jesus becuase he tasted his goodness.,0,1,1,he,"0: Jace, 1: Jesus",0,flipping
39,"Geraci swears revenge against Michael, staying quiet until he can hatch a plan to defeat him.","Geraci swears revenge against Michael, staying quiet until eh can hatch a plan to defeat him.",0,0,0,eh,"0: Geraci, 1: Michael",0,flipping
40,"Naji is supposed to come over for a visit with Khalil, but he doesn't come.","Naji is supposed to come over for a visit with Khalil, but eh doesn't come.",0,0,0,eh,"0: Naji, 1: Khalil",0,flipping
41,Bob sued Bill because he wanted more money.,Bob sued Bill becuase he wanted more money.,0,0,0,he,"0: Bob, 1: Bill",0,flipping
