model,modification,original_acc,modified_acc,pct_diff,weighted_delta,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
bert-base-cased,absolute,75.000,62.500,-16.667,-11.719,1.000,0.648,0.648,ns,False
bert-base-cased,double,60.000,60.000,0.000,0.000,1.000,1.000,1.000,ns,False
bert-base-cased,lexical,50.000,45.833,-8.333,-3.540,0.655,0.784,0.655,ns,False
bert-base-cased,approximate,48.387,41.935,-13.333,-5.435,0.527,0.618,0.527,ns,False
bert-base-cased,verbal,55.000,60.000,9.091,4.351,0.655,0.764,0.655,ns,False
gpt2,absolute,62.500,87.500,40.000,22.449,0.625,0.295,0.295,ns,False
gpt2,double,46.667,53.333,14.286,5.563,0.564,0.738,0.564,ns,False
gpt2,lexical,54.167,45.833,-15.385,-7.224,0.317,0.576,0.317,ns,False
gpt2,approximate,51.613,45.161,-12.500,-5.525,0.480,0.620,0.480,ns,False
gpt2,verbal,45.000,45.000,0.000,0.000,1.000,1.000,1.000,ns,False
t5-base,absolute,62.500,87.500,40.000,22.449,0.500,0.295,0.295,ns,False
t5-base,double,46.667,60.000,28.571,11.127,0.317,0.487,0.317,ns,False
t5-base,lexical,62.500,54.167,-13.333,-7.483,0.414,0.570,0.414,ns,False
t5-base,approximate,51.613,48.387,-6.250,-2.763,0.705,0.807,0.705,ns,False
t5-base,verbal,75.000,60.000,-20.000,-14.063,0.180,0.325,0.180,ns,False
